 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F560W
  3.4285  3.3301  3.2381  3.1693  3.1283  3.1055  3.0869  3.0624  3.0230  2.9653
  2.9060  2.8423  2.7732  2.7053  2.6341  2.4554  2.2831  2.1152  1.9577
  3.4681  3.3774  3.2871  3.2032  3.1283  3.0636  3.0093  2.9640  2.9237  2.8856
  2.8470  2.8031  2.7472  2.6794  2.6070  2.4269  2.2554  2.0894  1.9271  1.7681
  3.4923  3.4079  3.3213  3.2332  3.1448  3.0608  2.9861  2.9232  2.8724  2.8332
  2.7988  2.7644  2.7201  2.6578  2.5866  2.4060  2.2341  2.0690  1.9046  1.7450
  1.5929
  3.5011  3.4216  3.3407  3.2593  3.1778  3.0971  3.0173  2.9400  2.8691  2.8081
  2.7614  2.7262  2.6919  2.6405  2.5729  2.3927  2.2192  2.0540  1.8903  1.7309
  1.5788  1.4339
  3.4958  3.4214  3.3459  3.2699  3.1940  3.1188  3.0450  2.9730  2.9017  2.8309
  2.7634  2.7058  2.6646  2.6220  2.5616  2.3847  2.2098  2.0433  1.8800  1.7209
  1.5688  1.4239  1.2856  1.1530
  3.4750  3.4074  3.3382  3.2680  3.1974  3.1268  3.0567  2.9879  2.9208  2.8547
  2.7878  2.7199  2.6596  2.6113  2.5523  2.3800  2.2049  2.0369  1.8732  1.7139
  1.5616  1.4165  1.2782  1.1459  1.0190  0.8968  0.7784  0.6637  0.5522  0.4430
  3.4366  3.3771  3.3160  3.2532  3.1890  3.1237  3.0576  2.9915  2.9261  2.8619
  2.7985  2.7342  2.6682  2.6124  2.5534  2.3785  2.2036  2.0347  1.8701  1.7098
  1.5568  1.4113  1.2727  1.1403  1.0135  0.8919  0.7744  0.6608  0.5507  0.4434
  0.3378
  3.3813  3.3285  3.2760  3.2228  3.1670  3.1088  3.0483  2.9863  2.9234  2.8604
  2.7980  2.7359  2.6729  2.6118  2.5557  2.3822  2.2060  2.0363  1.8711  1.7092
  1.5545  1.4079  1.2688  1.1360  1.0091  0.8875  0.7705  0.6577  0.5485  0.4426
  0.3391
  3.3140  3.2641  3.2173  3.1730  3.1273  3.0786  3.0261  2.9701  2.9114  2.8511
  2.7901  2.7289  2.6675  2.6065  2.5505  2.3839  2.2093  2.0389  1.8733  1.7101
  1.5527  1.4041  1.2638  1.1303  1.0028  0.8808  0.7638  0.6511  0.5425  0.4373
  0.3351
