 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -6.2357 -5.8914 -5.6413 -5.3667 -5.0651 -4.8188 -4.6759 -4.5898 -4.4964 -4.3728
 -4.2349 -4.0861 -3.9380 -3.7998 -3.6672 -3.3727 -3.1304 -2.9443 -2.7968
 -5.8491 -5.4513 -5.1556 -4.9144 -4.7180 -4.5621 -4.4374 -4.3322 -4.2356 -4.1396
 -4.0383 -3.9264 -3.8029 -3.6764 -3.5562 -3.2957 -3.0859 -2.9230 -2.7980 -2.7049
 -5.5890 -5.1709 -4.8524 -4.6210 -4.4638 -4.3453 -4.2371 -4.1369 -4.0466 -3.9642
 -3.8815 -3.7931 -3.6917 -3.5797 -3.4706 -3.2362 -3.0514 -2.9077 -2.7994 -2.7168
 -2.6513
 -5.4554 -5.0502 -4.7317 -4.4865 -4.3025 -4.1684 -4.0750 -4.0039 -3.9294 -3.8466
 -3.7645 -3.6862 -3.6044 -3.5097 -3.4104 -3.1942 -3.0269 -2.8984 -2.8010 -2.7258
 -2.6655 -2.6152
 -5.3611 -4.9805 -4.6754 -4.4333 -4.2428 -4.0949 -3.9813 -3.8934 -3.8240 -3.7613
 -3.6898 -3.6109 -3.5349 -3.4550 -3.3672 -3.1656 -3.0096 -2.8921 -2.8042 -2.7360
 -2.6808 -2.6343 -2.5940 -2.5583
 -5.2622 -4.9158 -4.6333 -4.4035 -4.2163 -4.0639 -3.9406 -3.8408 -3.7582 -3.6866
 -3.6208 -3.5535 -3.4824 -3.4112 -3.3331 -3.1456 -2.9972 -2.8866 -2.8060 -2.7448
 -2.6953 -2.6532 -2.6164 -2.5834 -2.5534 -2.5264 -2.5029 -2.4855 -2.4765 -2.4771
 -5.1459 -4.8374 -4.5829 -4.3719 -4.1952 -4.0459 -3.9195 -3.8125 -3.7223 -3.6438
 -3.5724 -3.5042 -3.4367 -3.3720 -3.3040 -3.1305 -2.9879 -2.8812 -2.8048 -2.7496
 -2.7063 -2.6696 -2.6374 -2.6080 -2.5810 -2.5558 -2.5334 -2.5137 -2.5006 -2.4974
 -2.5042
 -5.0192 -4.7459 -4.5189 -4.3288 -4.1668 -4.0260 -3.9023 -3.7934 -3.6981 -3.6150
 -3.5405 -3.4708 -3.4038 -3.3386 -3.2764 -3.1176 -2.9809 -2.8759 -2.8011 -2.7493
 -2.7115 -2.6811 -2.6544 -2.6300 -2.6071 -2.5853 -2.5649 -2.5465 -2.5313 -2.5221
 -2.5247
 -4.8868 -4.6461 -4.4431 -4.2721 -4.1252 -3.9955 -3.8786 -3.7725 -3.6766 -3.5907
 -3.5137 -3.4435 -3.3771 -3.3130 -3.2520 -3.1030 -2.9734 -2.8706 -2.7956 -2.7445
 -2.7102 -2.6853 -2.6650 -2.6466 -2.6291 -2.6120 -2.5953 -2.5794 -2.5651 -2.5541
 -2.5494
 -4.7636 -4.5525 -4.3680 -4.2110 -4.0763 -3.9572 -3.8487 -3.7481 -3.6548 -3.5689
 -3.4906 -3.4196 -3.3541 -3.2922 -3.2327 -3.0910 -2.9667 -2.8667 -2.7916 -2.7392
 -2.7052 -2.6833 -2.6684 -2.6564 -2.6453 -2.6340 -2.6226 -2.6111 -2.5998 -2.5897
 -2.5807
 -4.6535 -4.4660 -4.2978 -4.1504 -4.0229 -3.9115 -3.8106 -3.7165 -3.6278 -3.5445
 -3.4669 -3.3956 -3.3304 -3.2701 -3.2131 -3.0792 -2.9595 -2.8619 -2.7875 -2.7341
 -2.6988 -2.6773 -2.6652 -2.6583 -2.6535 -2.6488 -2.6438 -2.6378 -2.6313 -2.6247
 -2.6190
 -4.5564 -4.3866 -4.2339 -4.0947 -3.9717 -3.8636 -3.7670 -3.6784 -3.5948 -3.5156
 -3.4406 -3.3705 -3.3057 -3.2463 -3.1932 -3.0676 -2.9518 -2.8562 -2.7833
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = G_BP 
 -7.2403 -6.7072 -6.2473 -5.8557 -5.5251 -5.2387 -4.9801 -4.7393 -4.5227 -4.3360
 -4.1698 -4.0152 -3.8684 -3.7319 -3.5961 -3.3299 -3.1131 -2.9383 -2.8040
 -6.8413 -6.3115 -5.8529 -5.4674 -5.1484 -4.8846 -4.6624 -4.4644 -4.2908 -4.1403
 -4.0049 -3.8757 -3.7472 -3.6227 -3.5073 -3.2628 -3.0694 -2.9157 -2.7965 -2.7051
 -6.4212 -5.8999 -5.4731 -5.1759 -4.8901 -4.6488 -4.4463 -4.2733 -4.1243 -3.9958
 -3.8817 -3.7736 -3.6633 -3.5500 -3.4419 -3.2138 -3.0375 -2.8998 -2.7929 -2.7100
 -2.6435
 -6.1046 -5.5885 -5.1836 -4.8755 -4.6390 -4.4501 -4.2889 -4.1415 -4.0074 -3.8892
 -3.7860 -3.6925 -3.6001 -3.5007 -3.3999 -3.1829 -3.0174 -2.8906 -2.7932 -2.7177
 -2.6571 -2.6067
 -5.9800 -5.4610 -5.0430 -4.7202 -4.4741 -4.2856 -4.1385 -4.0193 -3.9167 -3.8201
