 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F182M
  2.0185  2.0849  2.1976  2.2628  2.2615  2.2750  2.3469  2.4330  2.4808  2.4800
  2.4516  2.4007  2.3407  2.2789  2.2122  2.0406  1.8711  1.7063  1.5468
  2.0610  2.0755  2.1121  2.1507  2.1935  2.2425  2.2934  2.3399  2.3757  2.3962
  2.3965  2.3718  2.3230  2.2604  2.1935  2.0246  1.8591  1.6974  1.5398  1.3862
  2.0871  2.0776  2.0736  2.0883  2.1331  2.1856  2.2285  2.2647  2.2972  2.3244
  2.3374  2.3299  2.2952  2.2382  2.1733  2.0075  1.8456  1.6875  1.5325  1.3816
  1.2350
  2.0968  2.0912  2.0821  2.0756  2.0803  2.1043  2.1522  2.2074  2.2453  2.2646
  2.2743  2.2750  2.2573  2.2123  2.1516  1.9893  1.8306  1.6766  1.5250  1.3765
  1.2322  1.0921
  2.0779  2.0832  2.0812  2.0753  2.0702  2.0728  2.0885  2.1187  2.1603  2.1986
  2.2163  2.2160  2.2067  2.1778  2.1264  1.9701  1.8140  1.6640  1.5166  1.3708
  1.2284  1.0903  0.9563  0.8261
  2.0246  2.0457  2.0566  2.0600  2.0585  2.0561  2.0582  2.0690  2.0882  2.1114
  2.1333  2.1439  2.1401  2.1249  2.0892  1.9492  1.7963  1.6494  1.5067  1.3645
  1.2241  1.0874  0.9551  0.8266  0.7018  0.5803  0.4618  0.3458  0.2324  0.1239
  1.9332  1.9736  2.0018  2.0196  2.0286  2.0315  2.0317  2.0338  2.0408  2.0516
  2.0617  2.0670  2.0642  2.0555  2.0327  1.9211  1.7773  1.6334  1.4947  1.3573
  1.2197  1.0842  0.9528  0.8256  0.7023  0.5826  0.4658  0.3520  0.2407  0.1317
  0.0268
  1.8062  1.8657  1.9132  1.9490  1.9731  1.9872  1.9938  1.9965  1.9988  2.0027
  2.0072  2.0081  2.0020  1.9894  1.9717  1.8810  1.7542  1.6161  1.4809  1.3482
  1.2148  1.0813  0.9505  0.8238  0.7014  0.5827  0.4675  0.3553  0.2459  0.1388
  0.0336
  1.6558  1.7289  1.7929  1.8468  1.8884  1.9178  1.9361  1.9460  1.9505  1.9529
  1.9548  1.9548  1.9496  1.9370  1.9189  1.8378  1.7245  1.5955  1.4642  1.3352
  1.2063  1.0760  0.9463  0.8196  0.6970  0.5785  0.4637  0.3525  0.2444  0.1390
  0.0357
  1.4949  1.5720  1.6467  1.7154  1.7741  1.8200  1.8535  1.8753  1.8878  1.8940
  1.8969  1.8977  1.8954  1.8874  1.8724  1.7998  1.6961  1.5758  1.4492  1.3231
  1.1983  1.0726  0.9461  0.8204  0.6976  0.5788  0.4639  0.3529  0.2453  0.1408
  0.0374
  1.3262  1.4064  1.4863  1.5626  1.6330  1.6945  1.7435  1.7801  1.8049  1.8202
  1.8285  1.8324  1.8332  1.8303  1.8218  1.7649  1.6684  1.5561  1.4348  1.3115
  1.1890  1.0670  0.9445  0.8217  0.7000  0.5811  0.4657  0.3541  0.2461  0.1416
  0.0402
  1.1496  1.2321  1.3198  1.3969  1.4739  1.5451  1.6075  1.6590  1.6983  1.7263
  1.7446  1.7555  1.7612  1.7631  1.7671  1.7331  1.6414  1.5364  1.4210
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F182M
  2.1066  2.1613  2.2208  2.2818  2.3407  2.3932  2.4355  2.4648  2.4792  2.4771
  2.4554  2.4131  2.3551  2.2890  2.2193  2.0456  1.8748  1.7091  1.5482
  2.0659  2.1023  2.1487  2.2010  2.2551  2.3070  2.3526  2.3887  2.4131  2.4239
  2.4166  2.3870  2.3359  2.2723  2.2043  2.0322  1.8636  1.7002  1.5419  1.3881
