 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F410M
  4.2062  4.1729  4.0257  3.5910  2.8781  2.5574  2.6891  2.7184  2.6611  2.5864
  2.4000  2.3445  2.4563  2.6320  2.6927  2.5150
  3.8180  3.8211  3.7731  3.5806  3.2477  3.0562  3.0265  2.9480  2.8497  2.7609
  2.6579  2.6236  2.6590  2.7083  2.7003  2.5028  2.3296  2.1525  1.9786
  3.5917  3.5789  3.5568  3.4849  3.3670  3.2597  3.1637  3.0528  2.9518  2.8685
  2.8105  2.7786  2.7613  2.7355  2.6877  2.4919  2.3075  2.1309  1.9619  1.8032
  1.6544
  3.5273  3.4463  3.3768  3.3039  3.2360  3.1678  3.1007  3.0328  2.9674  2.9094
  2.8578  2.8093  2.7632  2.7138  2.6549  2.4823  2.2865  2.1139  1.9476  1.7878
  1.6359  1.4913  1.3523
  3.4249  3.3674  3.3131  3.2547  3.1942  3.1310  3.0667  3.0019  2.9371  2.8741
  2.8160  2.7631  2.7135  2.6640  2.6121  2.4604  2.2800  2.1024  1.9346  1.7756
  1.6244  1.4801  1.3419  1.2089  1.0803
  3.3199  3.2785  3.2361  3.1904  3.1396  3.0844  3.0259  2.9660  2.9053  2.8445
  2.7851  2.7286  2.6762  2.6273  2.5760  2.4372  2.2717  2.0949  1.9257  1.7663
  1.6152  1.4711  1.3334  1.2012  1.0740  0.9507
  3.2122  3.1796  3.1458  3.1110  3.0723  3.0280  2.9783  2.9251  2.8697  2.8131
  2.7560  2.6999  2.6462  2.5959  2.5466  2.4127  2.2616  2.0914  1.9209  1.7599
  1.6083  1.4643  1.3267  1.1950  1.0685  0.9464  0.8279  0.7129  0.6009  0.4913
  3.1019  3.0707  3.0422  3.0162  2.9889  2.9572  2.9199  2.8764  2.8286  2.7780
  2.7254  2.6719  2.6189  2.5683  2.5195  2.3925  2.2484  2.0888  1.9204  1.7572
  1.6039  1.4592  1.3216  1.1901  1.0639  0.9425  0.8252  0.7115  0.6009  0.4930
  0.3872
  2.9899  2.9581  2.9315  2.9097  2.8904  2.8702  2.8462  2.8159  2.7788  2.7366
  2.6909  2.6425  2.5922  2.5419  2.4937  2.3726  2.2362  2.0841  1.9223  1.7588
  1.6028  1.4563  1.3180  1.1862  1.0601  0.9391  0.8223  0.7095  0.6002  0.4937
  0.3897
  2.8919  2.8497  2.8178  2.7952  2.7795  2.7673  2.7546  2.7378  2.7145  2.6842
  2.6481  2.6073  2.5627  2.5155  2.4687  2.3510  2.2223  2.0769  1.9211  1.7610
  1.6033  1.4538  1.3134  1.1807  1.0542  0.9331  0.8166  0.7042  0.5954  0.4898
  0.3873
