 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F410M
 -3.2400 -3.2616 -3.4081 -3.8397 -4.5626 -4.9169 -4.8042 -4.7675 -4.8272 -4.8864
 -5.0745 -5.1300 -5.0006 -4.8236 -4.7641 -4.9364
 -3.6326 -3.6236 -3.6715 -3.8592 -4.1955 -4.3998 -4.4385 -4.5169 -4.6180 -4.7028
 -4.8078 -4.8403 -4.7968 -4.7450 -4.7525 -4.9482 -5.1217 -5.2995 -5.4762
 -3.8599 -3.8709 -3.8930 -3.9612 -4.0793 -4.1883 -4.2869 -4.4002 -4.5033 -4.5878
 -4.6473 -4.6776 -4.6925 -4.7162 -4.7633 -4.9591 -5.1434 -5.3207 -5.4903 -5.6493
 -5.7973
 -3.9219 -4.0035 -4.0726 -4.1457 -4.2140 -4.2823 -4.3494 -4.4175 -4.4829 -4.5412
 -4.5930 -4.6418 -4.6878 -4.7373 -4.7965 -4.9691 -5.1649 -5.3378 -5.5038 -5.6636
 -5.8152 -5.9603 -6.0994
 -4.0247 -4.0823 -4.1363 -4.1948 -4.2554 -4.3186 -4.3830 -4.4479 -4.5128 -4.5759
 -4.6343 -4.6874 -4.7372 -4.7868 -4.8389 -4.9908 -5.1713 -5.3490 -5.5168 -5.6758
 -5.8270 -5.9714 -6.1096 -6.2426 -6.3712
 -4.1298 -4.1711 -4.2133 -4.2590 -4.3097 -4.3649 -4.4235 -4.4835 -4.5444 -4.6053
 -4.6649 -4.7215 -4.7741 -4.8233 -4.8747 -5.0138 -5.1795 -5.3564 -5.5257 -5.6851
 -5.8363 -5.9804 -6.1181 -6.2503 -6.3776 -6.5009
 -4.2374 -4.2699 -4.3036 -4.3383 -4.3769 -4.4212 -4.4709 -4.5243 -4.5798 -4.6365
 -4.6937 -4.7499 -4.8038 -4.8543 -4.9039 -5.0381 -5.1895 -5.3600 -5.5305 -5.6915
 -5.8431 -5.9873 -6.1248 -6.2566 -6.3831 -6.5052 -6.6236 -6.7387 -6.8508 -6.9603
 -4.3473 -4.3787 -4.4072 -4.4331 -4.4603 -4.4919 -4.5293 -4.5728 -4.6207 -4.6715
 -4.7242 -4.7778 -4.8309 -4.8817 -4.9307 -5.0581 -5.2026 -5.3625 -5.5310 -5.6943
 -5.8476 -5.9923 -6.1299 -6.2615 -6.3877 -6.5092 -6.6266 -6.7403 -6.8508 -6.9586
 -7.0644
 -4.4591 -4.4912 -4.5179 -4.5396 -4.5589 -4.5790 -4.6030 -4.6333 -4.6704 -4.7127
 -4.7585 -4.8071 -4.8575 -4.9079 -4.9563 -5.0778 -5.2146 -5.3670 -5.5291 -5.6927
 -5.8488 -5.9953 -6.1336 -6.2654 -6.3915 -6.5126 -6.6294 -6.7422 -6.8515 -6.9580
 -7.0620
 -4.5575 -4.5995 -4.6314 -4.6542 -4.6699 -4.6820 -4.6946 -4.7113 -4.7347 -4.7651
 -4.8013 -4.8422 -4.8870 -4.9342 -4.9811 -5.0993 -5.2283 -5.3740 -5.5301 -5.6905
 -5.8483 -5.9978 -6.1382 -6.2709 -6.3975 -6.5186 -6.6351 -6.7476 -6.8563 -6.9618
 -7.0645
 -4.6487 -4.6967 -4.7342 -4.7622 -4.7794 -4.7901 -4.7968 -4.8032 -4.8129 -4.8297
 -4.8547 -4.8863 -4.9227 -4.9623 -5.0040 -5.1168 -5.2421 -5.3802 -5.5300 -5.6852
 -5.8411 -5.9928 -6.1361 -6.2710 -6.3987 -6.5203 -6.6370 -6.7491 -6.8574 -6.9622
 -7.0661
 -4.7234 -4.7828 -4.8284 -4.8615 -4.8843 -4.8979 -4.9036 -4.9056 -4.9068 -4.9129
 -4.9252 -4.9436 -4.9678 -4.9977 -5.0330 -5.1388 -5.2594 -5.3886 -5.5318 -5.6817
 -5.8338 -5.9845 -6.1300 -6.2679 -6.3979 -6.5210 -6.6384 -6.7509 -6.8591 -6.9636
 -7.0648
 -4.7818 -4.8579 -4.9140 -4.9521 -4.9846 -5.0054 -5.0084 -5.0109 -5.0095 -5.0095
 -5.0120 -5.0169 -5.0238 -5.0404 -5.0681 -5.1654 -5.2802 -5.3992 -5.5355
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F410M
 -3.8938 -3.9787 -4.0563 -4.1253 -4.1912 -4.1991 -4.1768 -4.2095 -4.2861 -4.3901
 -4.5090 -4.5995 -4.6449 -4.6739 -4.7216 -4.9136
 -3.8724 -3.9573 -4.0375 -4.1115 -4.1818 -4.2217 -4.2438 -4.2869 -4.3474 -4.4199
 -4.5001 -4.5722 -4.6300 -4.6835 -4.7464 -4.9385 -5.1223 -5.2978 -5.4649
 -3.8699 -3.9522 -4.0321 -4.1081 -4.1806 -4.2412 -4.2928 -4.3445 -4.3972 -4.4516
 -4.5084 -4.5682 -4.6316 -4.6987 -4.7700 -4.9599 -5.1437 -5.3191 -5.4861 -5.6452
 -5.7971
 -3.8863 -3.9634 -4.0401 -4.1151 -4.1876 -4.2576 -4.3238 -4.3825 -4.4354 -4.4852
 -4.5339 -4.5875 -4.6497 -4.7195 -4.7924 -4.9778 -5.1604 -5.3358 -5.5029 -5.6617
 -5.8131 -5.9580 -6.0979
 -3.9216 -3.9909 -4.0615 -4.1325 -4.2027 -4.2709 -4.3368 -4.4007 -4.4621 -4.5208
 -4.5766 -4.6300 -4.6844 -4.7459 -4.8136 -4.9922 -5.1724 -5.3479 -5.5153 -5.6741
 -5.8252 -5.9695 -6.1078 -6.2409 -6.3697
 -3.9758 -4.0347 -4.0963 -4.1603 -4.2259 -4.2918 -4.3565 -4.4194 -4.4813 -4.5424
 -4.6027 -4.6618 -4.7182 -4.7759 -4.8378 -5.0056 -5.1808 -5.3557 -5.5240 -5.6831
 -5.8342 -5.9783 -6.1160 -6.2482 -6.3758 -6.4994
 -4.0491 -4.0974 -4.1478 -4.2018 -4.2596 -4.3202 -4.3818 -4.4432 -4.5040 -4.5642
 -4.6243 -4.6844 -4.7440 -4.8012 -4.8614 -5.0207 -5.1879 -5.3596 -5.5289 -5.6894
 -5.8408 -5.9849 -6.1225 -6.2544 -6.3811 -6.5034 -6.6221 -6.7374 -6.8495 -6.9591
 -4.1366 -4.1772 -4.2176 -4.2602 -4.3073 -4.3593 -4.4149 -4.4725 -4.5308 -4.5893
 -4.6480 -4.7070 -4.7660 -4.8235 -4.8819 -5.0356 -5.1962 -5.3616 -5.5296 -5.6921
 -5.8452 -5.9898 -6.1274 -6.2592 -6.3855 -6.5072 -6.6248 -6.7388 -6.8495 -6.9574
 -7.0633
 -4.2056 -4.2593 -4.3024 -4.3359 -4.3718 -4.4130 -4.4594 -4.5101 -4.5637 -4.6189
 -4.6750 -4.7319 -4.7893 -4.8464 -4.9026 -5.0496 -5.2047 -5.3642 -5.5281 -5.6908
 -5.8456 -5.9927 -6.1310 -6.2629 -6.3892 -6.5105 -6.6275 -6.7408 -6.8506 -6.9572
 -7.0608
 -4.3373 -4.3617 -4.3917 -4.4266 -4.4544 -4.4845 -4.5200 -4.5612 -4.6071 -4.6565
 -4.7082 -4.7617 -4.8164 -4.8718 -4.9264 -5.0666 -5.2147 -5.3695 -5.5282 -5.6888
 -5.8461 -5.9953 -6.1355 -6.2684 -6.3950 -6.5164 -6.6331 -6.7457 -6.8547 -6.9604
 -7.0632
 -4.4169 -4.4563 -4.4918 -4.5235 -4.5470 -4.5709 -4.5961 -4.6264 -4.6623 -4.7031
 -4.7480 -4.7960 -4.8463 -4.8983 -4.9510 -5.0850 -5.2249 -5.3734 -5.5271 -5.6833
 -5.8393 -5.9906 -6.1337 -6.2685 -6.3962 -6.5180 -6.6349 -6.7472 -6.8557 -6.9607
 -7.0647
 -4.4931 -4.5432 -4.5842 -4.6169 -4.6397 -4.6564 -4.6743 -4.7082 -4.7333 -4.7638
 -4.7993 -4.8395 -4.8832 -4.9299 -4.9788 -5.1061 -5.2386 -5.3795 -5.5277 -5.6794
 -5.8320 -5.9826 -6.1279 -6.2656 -6.3954 -6.5186 -6.6363 -6.7490 -6.8573 -6.9620
 -7.0633
 -4.5659 -4.6224 -4.6691 -4.7068 -4.7323 -4.7411 -4.7749 -4.7897 -4.8074 -4.8403
 -4.8654 -4.8954 -4.9304 -4.9695 -5.0098 -5.1299 -5.2558 -5.3878 -5.5300
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F410M
 -3.9305 -4.0160 -4.0808 -4.1050 -4.0919 -4.0787 -4.0970 -4.1484 -4.2218 -4.3161
 -4.4084 -4.4966 -4.5732 -4.6433 -4.7171 -4.9072
 -3.8996 -3.9875 -4.0630 -4.1154 -4.1467 -4.1724 -4.2066 -4.2527 -4.3094 -4.3773
 -4.4490 -4.5245 -4.5996 -4.6735 -4.7486 -4.9371 -5.1211 -5.2962 -5.4623
 -3.8809 -3.9690 -4.0508 -4.1217 -4.1825 -4.2351 -4.2827 -4.3290 -4.3775 -4.4299
 -4.4880 -4.5534 -4.6250 -4.6997 -4.7750 -4.9618 -5.1437 -5.3180 -5.4843 -5.6433
 -5.7955
 -3.8744 -3.9605 -4.0442 -4.1239 -4.1993 -4.2668 -4.3253 -4.3773 -4.4261 -4.4739
 -4.5254 -4.5833 -4.6494 -4.7219 -4.7963 -4.9813 -5.1615 -5.3351 -5.5015 -5.6602
 -5.8115 -5.9563 -6.0957
 -3.8801 -3.9620 -4.0432 -4.1220 -4.1971 -4.2675 -4.3344 -4.3976 -4.4552 -4.5093
 -4.5612 -4.6142 -4.6728 -4.7401 -4.8125 -4.9956 -5.1745 -5.3475 -5.5138 -5.6723
 -5.8234 -5.9677 -6.1060 -6.2393 -6.3682
 -3.9017 -3.9764 -4.0522 -4.1277 -4.2017 -4.2727 -4.3397 -4.4030 -4.4651 -4.5263
 -4.5856 -4.6431 -4.6988 -4.7591 -4.8268 -5.0060 -5.1834 -5.3559 -5.5225 -5.6812
 -5.8322 -5.9763 -6.1141 -6.2465 -6.3742 -6.4980
 -3.9435 -4.0081 -4.0752 -4.1441 -4.2139 -4.2831 -4.3505 -4.4150 -4.4767 -4.5374
