 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F430M
  4.2704  4.3683  4.3210  3.8730  3.0018  2.2812  2.2415  2.2532  2.2801  2.3322
  2.1281  2.0692  2.2854  2.5722  2.6870  2.5228
  3.8256  3.8922  3.9048  3.7347  3.3538  2.9955  2.8903  2.7802  2.6832  2.6174
  2.4996  2.4732  2.5655  2.6739  2.6978  2.5104  2.3413  2.1565  1.9586
  3.5807  3.5882  3.5942  3.5487  3.4357  3.2949  3.1803  3.0433  2.9146  2.8111
  2.7432  2.7196  2.7246  2.7209  2.6867  2.4976  2.3187  2.1322  1.9545  1.7895
  1.6595
  3.5357  3.4563  3.3892  3.3150  3.2477  3.1793  3.1115  3.0425  2.9744  2.9135
  2.8591  2.8085  2.7626  2.7133  2.6537  2.4844  2.2905  2.1176  1.9506  1.7906
  1.6388  1.4939  1.3549
  3.4358  3.3800  3.3278  3.2698  3.2100  3.1468  3.0818  3.0160  2.9499  2.8852
  2.8247  2.7691  2.7176  2.6671  2.6144  2.4633  2.2835  2.1056  1.9375  1.7783
  1.6269  1.4824  1.3441  1.2112  1.0826
  3.3332  3.2933  3.2526  3.2082  3.1583  3.1033  3.0443  2.9835  2.9216  2.8595
  2.7986  2.7401  2.6854  2.6349  2.5820  2.4416  2.2755  2.0979  1.9284  1.7688
  1.6174  1.4731  1.3353  1.2031  1.0758  0.9525
  3.2279  3.1962  3.1636  3.1302  3.0926  3.0488  2.9990  2.9450  2.8886  2.8307
  2.7724  2.7149  2.6596  2.6077  2.5565  2.4193  2.2665  2.0945  1.9233  1.7621
  1.6103  1.4660  1.3284  1.1966  1.0700  0.9479  0.8295  0.7146  0.6027  0.4932
  3.1198  3.0887  3.0608  3.0358  3.0097  2.9789  2.9419  2.8981  2.8495  2.7977
  2.7439  2.6892  2.6349  2.5830  2.5328  2.4017  2.2550  2.0929  1.9229  1.7592
  1.6057  1.4608  1.3231  1.1913  1.0651  0.9437  0.8264  0.7127  0.6023  0.4946
  0.3889
  3.0107  2.9777  2.9508  2.9295  2.9110  2.8918  2.8686  2.8385  2.8011  2.7579
  2.7111  2.6614  2.6100  2.5585  2.5092  2.3843  2.2445  2.0896  1.9255  1.7608
  1.6045  1.4578  1.3193  1.1874  1.0612  0.9400  0.8232  0.7105  0.6012  0.4949
  0.3910
  2.9139  2.8708  2.8383  2.8153  2.7998  2.7883  2.7766  2.7606  2.7374  2.7066
  2.6695  2.6276  2.5818  2.5335  2.4856  2.3648  2.2324  2.0839  1.9255  1.7634
  1.6049  1.4552  1.3148  1.1819  1.0553  0.9341  0.8175  0.7050  0.5962  0.4907
  0.3882
  2.8227  2.7745  2.7366  2.7080  2.6904  2.6798  2.6737  2.6681  2.6590  2.6424
  2.6171  2.5846  2.5472  2.5065  2.4638  2.3485  2.2203  2.0790  1.9269  1.7696
  1.6123  1.4601  1.3167  1.1819  1.0542  0.9324  0.8158  0.7036  0.5953  0.4904
  0.3866
  2.7482  2.6888  2.6429  2.6093  2.5860  2.5720  2.5664  2.5648  2.5644  2.5587
  2.5463  2.5275  2.5027  2.4720  2.4359  2.3279  2.2045  2.0720  1.9261  1.7742
  1.6204  1.4687  1.3227  1.1848  1.0550  0.9319  0.8145  0.7020  0.5939  0.4894
  0.3881
  2.6903  2.6136  2.5572  2.5192  2.4866  2.4649  2.4614  2.4590  2.4607  2.4610
  2.4587  2.4541  2.4474  2.4300  2.4021  2.3030  2.1850  2.0629  1.9231
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F430M
  3.4903  3.4099  3.3322  3.2564  3.1794  3.1422  3.1768  3.1687  3.1147  3.0202
  2.8924  2.7963  2.7648  2.7540  2.7193  2.5334
  3.5241  3.4439  3.3654  3.2887  3.2124  3.1566  3.1388  3.1067  3.0577  2.9927
  2.9133  2.8429  2.7937  2.7499  2.6940  2.5069  2.3290  2.1580  1.9924
  3.5381  3.4604  3.3834  3.3077  3.2331  3.1661  3.1141  3.0645  3.0158  2.9664
  2.9150  2.8605  2.8021  2.7391  2.6707  2.4847  2.3070  2.1360  1.9696  1.8097
  1.6577
  3.5323  3.4594  3.3862  3.3134  3.2415  3.1707  3.1027  3.0423  2.9888  2.9410
  2.8974  2.8492  2.7900  2.7215  2.6494  2.4668  2.2898  2.1186  1.9518  1.7927
  1.6411  1.4962  1.3562
  3.5067  3.4409  3.3738  3.3058  3.2377  3.1704  3.1046  3.0399  2.9768  2.9167
  2.8606  2.8089  2.7573  2.6972  2.6301  2.4532  2.2774  2.1058  1.9390  1.7801
  1.6288  1.4843  1.3459  1.2128  1.0840
  3.4613  3.4049  3.3462  3.2849  3.2217  3.1575  3.0935  3.0306  2.9684  2.9066
  2.8448  2.7840  2.7281  2.6710  2.6089  2.4415  2.2690  2.0974  1.9300  1.7707
  1.6195  1.4753  1.3374  1.2051  1.0775  0.9540
  3.3961  3.3493  3.3009  3.2491  3.1934  3.1345  3.0739  3.0128  2.9519  2.8912
  2.8303  2.7689  2.7080  2.6509  2.5898  2.4289  2.2626  2.0932  1.9248  1.7643
  1.6126  1.4684  1.3307  1.1988  1.0720  0.9497  0.8312  0.7160  0.6039  0.4944
  3.3156  3.2756  3.2364  3.1954  3.1500  3.0994  3.0448  2.9877  2.9293  2.8704
  2.8111  2.7513  2.6911  2.6332  2.5741  2.4174  2.2559  2.0915  1.9239  1.7614
  1.6082  1.4634  1.3256  1.1937  1.0673  0.9457  0.8281  0.7143  0.6037  0.4958
  0.3900
  3.2568  3.1999  3.1559  3.1234  3.0888  3.0489  3.0033  2.9531  2.8995  2.8441
  2.7874  2.7298  2.6715  2.6136  2.5571  2.4068  2.2498  2.0899  1.9249  1.7626
  1.6077  1.4605  1.3220  1.1899  1.0635  0.9422  0.8252  0.7120  0.6022  0.4957
  0.3922
  3.1276  3.1022  3.0713  3.0357  3.0086  2.9797  2.9450  2.9044  2.8586  2.8089
  2.7567  2.7026  2.6470  2.5909  2.5359  2.3929  2.2421  2.0860  1.9266  1.7649
  1.6070  1.4578  1.3175  1.1845  1.0577  0.9363  0.8195  0.7068  0.5978  0.4922
  0.3895
  3.0507  3.0105  2.9741  2.9410  2.9178  2.8946  2.8703  2.8407  2.8052  2.7642
  2.7190  2.6703  2.6193  2.5665  2.5132  2.3770  2.2342  2.0838  1.9288  1.7712
  1.6141  1.4624  1.3193  1.1845  1.0567  0.9347  0.8178  0.7054  0.5970  0.4919
  0.3880
  2.9745  2.9250  2.8839  2.8504  2.8272  2.8110  2.7938  2.7597  2.7352  2.7049
  2.6692  2.6285  2.5841  2.5366  2.4871  2.3577  2.2228  2.0793  1.9293  1.7761
  1.6221  1.4705  1.3249  1.1873  1.0575  0.9343  0.8166  0.7040  0.5956  0.4910
  0.3896
  2.8990  2.8457  2.8009  2.7638  2.7369  2.7289  2.6932  2.6792  2.6620  2.6290
  2.6040  2.5738  2.5383  2.4985  2.4576  2.3350  2.2079  2.0725  1.9281
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F430M
  3.4270  3.3320  3.2561  3.2291  3.2532  3.2909  3.3025  3.2765  3.2151  3.1200
  3.0265  2.9361  2.8600  2.7905  2.7185  2.5330
  3.4764  3.3858  3.3051  3.2499  3.2217  3.2057  3.1855  3.1540  3.1083  3.0467
  2.9801  2.9073  2.8338  2.7608  2.6870  2.5023  2.3245  2.1562  1.9970
  3.5102  3.4241  3.3416  3.2688  3.2068  3.1548  3.1107  3.0709  3.0309  2.9875
  2.9375  2.8778  2.8089  2.7355  2.6612  2.4775  2.3013  2.1340  1.9718  1.8137
  1.6593
  3.5284  3.4469  3.3656  3.2858  3.2085  3.1382  3.0781  3.0272  2.9829  2.9424
  2.8987  2.8476  2.7853  2.7146  2.6411  2.4586  2.2832  2.1163  1.9528  1.7943
  1.6429  1.4979  1.3585
  3.5310  3.4542  3.3771  3.3009  3.2268  3.1559  3.0877  3.0229  2.9643  2.9114
  2.8637  2.8167  2.7630  2.6981  2.6267  2.4456  2.2702  2.1031  1.9399  1.7817
  1.6306  1.4861  1.3478  1.2146  1.0856
  3.5169  3.4468  3.3753  3.3033  3.2319  3.1623  3.0958  3.0324  2.9698  2.9077
  2.8477  2.7912  2.7387  2.6810  2.6145  2.4368  2.2619  2.0941  1.9307  1.7726
  1.6215  1.4773  1.3394  1.2069  1.0792  0.9555
  3.4835  3.4221  3.3585  3.2929  3.2261  3.1591  3.0931  3.0294  2.9680  2.9073
  2.8454  2.7823  2.7216  2.6637  2.6010  2.4302  2.2569  2.0890  1.9251  1.7663
  1.6149  1.4706  1.3329  1.2009  1.0739  0.9514  0.8326  0.7173  0.6051  0.4956
  3.4294  3.3776  3.3237  3.2670  3.2075  3.1457  3.0826  3.0197  2.9579  2.8975
  2.8373  2.7759  2.7127  2.6520  2.5898  2.4236  2.2539  2.0872  1.9233  1.7632
  1.6106  1.4658  1.3279  1.1960  1.0695  0.9476  0.8298  0.7157  0.6050  0.4971
  0.3912
  3.3582  3.3132  3.2690  3.2228  3.1728  3.1190  3.0618  3.0027  2.9425  2.8824
  2.8229  2.7632  2.7023  2.6409  2.5804  2.4175  2.2513  2.0870  1.9246  1.7639
  1.6093  1.4631  1.3245  1.1923  1.0658  0.9443  0.8271  0.7138  0.6041  0.4975
  0.3934
  3.2774  3.2344  3.1955  3.1587  3.1191  3.0753  3.0266  2.9740  2.9183  2.8608
  2.8026  2.7441  2.6852  2.6256  2.5668  2.4096  2.2471  2.0852  1.9252  1.7655
  1.6090  1.4603  1.3201  1.1871  1.0602  0.9386  0.8216  0.7087  0.5995  0.4937
  0.3907
  3.1966  3.1511  3.1124  3.0795  3.0485  3.0144  2.9760  2.9323  2.8840  2.8321
  2.7777  2.7218  2.6650  2.6076  2.5502  2.4008  2.2442  2.0856  1.9283  1.7715
  1.6155  1.4646  1.3218  1.1871  1.0593  0.9372  0.8201  0.7074  0.5987  0.4935
  0.3893
  3.1178  3.0683  3.0271  2.9923  2.9632  2.9368  2.9075  2.8737  2.8348  2.7911
  2.7433  2.6922  2.6391  2.5846  2.5294  2.3872  2.2380  2.0845  1.9303  1.7766
  1.6232  1.4723  1.3272  1.1898  1.0601  0.9368  0.8190  0.7061  0.5975  0.4927
  0.3911
  3.0411  2.9860  2.9431  2.9037  2.8727  2.8471  2.8234  2.7982  2.7687  2.7345
  2.6956  2.6521  2.6049  2.5551  2.5044  2.3688  2.2285  2.0819  1.9312
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F430M
  3.5583  3.5163  3.4707  3.4123  3.3594  3.3049  3.2472  3.1850  3.1224  3.0595
  2.9959  2.9308  2.8647  2.7949  2.7094  2.5286
  3.4974  3.4384  3.3844  3.3339  3.2844  3.2338  3.1805  3.1241  3.0677  3.0115
  2.9535  2.8914  2.8245  2.7536  2.6766  2.4958  2.3211  2.1527  1.9933
  3.4779  3.4062  3.3422  3.2843  3.2306  3.1789  3.1271  3.0745  3.0224  2.9710
  2.9178  2.8596  2.7943  2.7235  2.6507  2.4698  2.2957  2.1294  1.9705  1.8135
  1.6626
  3.4998  3.4197  3.3441  3.2635  3.1980  3.1401  3.0870  3.0362  2.9865  2.9380
  2.8888  2.8354  2.7741  2.7046  2.6317  2.4506  2.2765  2.1111  1.9525  1.7964
  1.6456  1.5005  1.3610
  3.5300  3.4478  3.3658  3.2847  3.2066  3.1340  3.0686  3.0110  2.9586  2.9096
  2.8617  2.8124  2.7570  2.6915  2.6196  2.4382  2.2635  2.0978  1.9393  1.7839
  1.6334  1.4890  1.3506  1.2171  1.0879
  3.5391  3.4613  3.3825  3.3043  3.2279  3.1540  3.0833  3.0163  2.9533  2.8949
  2.8414  2.7905  2.7385  2.6798  2.6112  2.4307  2.2552  2.0888  1.9298  1.7748
  1.6246  1.4805  1.3425  1.2099  1.0819  0.9578
