 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = G_RP 
 -1.5767 -0.5266  0.7000  0.9746 -0.0976 -2.2092 -1.4701 -0.1983  0.5759  0.6339
  0.7048  0.6800  0.2766 -0.2156 -0.4759 -0.3610
 -1.4614 -1.0027 -0.4072 -0.2163 -0.5772 -1.5135 -1.1988 -0.6384 -0.2233 -0.0746
  0.0359  0.0574 -0.1015 -0.3122 -0.4222 -0.3296 -0.2670 -0.2396 -0.2929
 -1.2194 -1.0943 -0.8925 -0.7701 -0.7594 -0.9795 -0.9013 -0.7575 -0.6010 -0.4650
 -0.3697 -0.3298 -0.3449 -0.3799 -0.3915 -0.3182 -0.2853 -0.2646 -0.2806 -0.3012
 -0.2964
 -0.8507 -0.8014 -0.7559 -0.6868 -0.6443 -0.6072 -0.5776 -0.5556 -0.5570 -0.5374
 -0.5120 -0.4817 -0.4534 -0.4188 -0.3838 -0.3268 -0.2903 -0.2791 -0.2836 -0.2992
 -0.3204 -0.3454 -0.3733
 -0.6557 -0.6388 -0.6200 -0.5884 -0.5616 -0.5347 -0.5100 -0.4887 -0.4714 -0.4568
 -0.4416 -0.4234 -0.4046 -0.3837 -0.3608 -0.3191 -0.3008 -0.2980 -0.3055 -0.3203
 -0.3402 -0.3638 -0.3901 -0.4196 -0.4529
 -0.4750 -0.4831 -0.4862 -0.4827 -0.4731 -0.4595 -0.4439 -0.4281 -0.4133 -0.4000
 -0.3883 -0.3772 -0.3649 -0.3533 -0.3392 -0.3104 -0.3035 -0.3086 -0.3207 -0.3371
 -0.3573 -0.3806 -0.4063 -0.4343 -0.4647 -0.4983
 -0.3086 -0.3343 -0.3545 -0.3697 -0.3788 -0.3816 -0.3793 -0.3738 -0.3664 -0.3581
 -0.3497 -0.3416 -0.3340 -0.3274 -0.3190 -0.3007 -0.2984 -0.3109 -0.3292 -0.3496
 -0.3717 -0.3958 -0.4218 -0.4493 -0.4785 -0.5098 -0.5438 -0.5832 -0.6293 -0.6782
 -0.1564 -0.1924 -0.2249 -0.2542 -0.2790 -0.2979 -0.3105 -0.3177 -0.3205 -0.3201
 -0.3175 -0.3136 -0.3092 -0.3047 -0.3004 -0.2896 -0.2894 -0.3048 -0.3289 -0.3552
 -0.3816 -0.4082 -0.4356 -0.4639 -0.4930 -0.5233 -0.5548 -0.5898 -0.6308 -0.6786
 -0.7297
 -0.0265 -0.0657 -0.1044 -0.1426 -0.1782 -0.2098 -0.2362 -0.2565 -0.2708 -0.2800
 -0.2850 -0.2870 -0.2870 -0.2857 -0.2833 -0.2781 -0.2793 -0.2938 -0.3203 -0.3520
 -0.3843 -0.4156 -0.4462 -0.4766 -0.5070 -0.5377 -0.5694 -0.6020 -0.6379 -0.6797
 -0.7291
  0.0844  0.0430  0.0009 -0.0418 -0.0835 -0.1233 -0.1596 -0.1910 -0.2165 -0.2357
 -0.2493 -0.2582 -0.2637 -0.2666 -0.2674 -0.2660 -0.2689 -0.2819 -0.3074 -0.3414
 -0.3789 -0.4162 -0.4519 -0.4861 -0.5192 -0.5517 -0.5842 -0.6172 -0.6516 -0.6895
 -0.7310
  0.1739  0.1329  0.0908  0.0478  0.0037 -0.0400 -0.0821 -0.1213 -0.1562 -0.1852
 -0.2078 -0.2248 -0.2370 -0.2452 -0.2501 -0.2545 -0.2584 -0.2707 -0.2938 -0.3266
 -0.3660 -0.4079 -0.4493 -0.4887 -0.5261 -0.5618 -0.5966 -0.6309 -0.6653 -0.7008
 -0.7382
  0.2407  0.2040  0.1648  0.1234  0.0798  0.0356 -0.0090 -0.0523 -0.0930 -0.1289
 -0.1595 -0.1849 -0.2050 -0.2201 -0.2304 -0.2427 -0.2489 -0.2604 -0.2816 -0.3124
 -0.3506 -0.3939 -0.4392 -0.4839 -0.5266 -0.5669 -0.6053 -0.6423 -0.6784 -0.7144
 -0.7512
  0.2847  0.2563  0.2229  0.1850  0.1448  0.1035  0.0571  0.0125 -0.0309 -0.0708
 -0.1069 -0.1395 -0.1689 -0.1913 -0.2083 -0.2306 -0.2404 -0.2510 -0.2708
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = G_RP 
 -0.7726 -0.6918 -0.6507 -0.6555 -0.7139 -0.9446 -0.8478 -0.7407 -0.6567 -0.5932
 -0.4989 -0.4112 -0.4027 -0.4319 -0.4304 -0.3075
 -0.8001 -0.7198 -0.6674 -0.6477 -0.6669 -0.7856 -0.7481 -0.6989 -0.6525 -0.6096
 -0.5522 -0.4951 -0.4658 -0.4507 -0.4238 -0.3160 -0.2570 -0.2352 -0.2351
 -0.8030 -0.7278 -0.6706 -0.6349 -0.6256 -0.6644 -0.6606 -0.6479 -0.6279 -0.6018
 -0.5710 -0.5363 -0.4988 -0.4592 -0.4181 -0.3237 -0.2748 -0.2578 -0.2598 -0.2739
 -0.2954
 -0.7813 -0.7158 -0.6603 -0.6171 -0.5899 -0.5810 -0.5853 -0.5879 -0.5828 -0.5698
 -0.5552 -0.5350 -0.5017 -0.4573 -0.4133 -0.3306 -0.2894 -0.2771 -0.2813 -0.2953
 -0.3157 -0.3406 -0.3692
 -0.7350 -0.6838 -0.6365 -0.5943 -0.5598 -0.5354 -0.5222 -0.5187 -0.5172 -0.5135
 -0.5049 -0.4911 -0.4745 -0.4451 -0.4094 -0.3367 -0.3008 -0.2931 -0.2996 -0.3140
 -0.3338 -0.3576 -0.3846 -0.4147 -0.4486
 -0.6641 -0.6318 -0.5992 -0.5665 -0.5353 -0.5084 -0.4880 -0.4745 -0.4665 -0.4615
 -0.4549 -0.4446 -0.4350 -0.4212 -0.3986 -0.3393 -0.3073 -0.3036 -0.3138 -0.3299
 -0.3501 -0.3736 -0.3997 -0.4283 -0.4595 -0.4937
 -0.5705 -0.5570 -0.5420 -0.5237 -0.5026 -0.4804 -0.4598 -0.4432 -0.4309 -0.4215
 -0.4129 -0.4037 -0.3934 -0.3868 -0.3737 -0.3347 -0.3079 -0.3070 -0.3218 -0.3417
 -0.3639 -0.3882 -0.4145 -0.4427 -0.4727 -0.5047 -0.5394 -0.5796 -0.6262 -0.6751
 -0.4615 -0.4634 -0.4643 -0.4620 -0.4546 -0.4425 -0.4275 -0.4127 -0.3998 -0.3896
 -0.3808 -0.3718 -0.3619 -0.3544 -0.3458 -0.3201 -0.3020 -0.3032 -0.3218 -0.3469
 -0.3732 -0.4001 -0.4279 -0.4568 -0.4867 -0.5179 -0.5510 -0.5864 -0.6274 -0.6756
 -0.7268
 -0.3603 -0.3642 -0.3718 -0.3828 -0.3892 -0.3900 -0.3850 -0.3763 -0.3667 -0.3579
 -0.3503 -0.3432 -0.3357 -0.3279 -0.3214 -0.3020 -0.2907 -0.2936 -0.3137 -0.3439
 -0.3729 -0.4073 -0.4382 -0.4692 -0.5004 -0.5318 -0.5643 -0.6000 -0.6392 -0.6814
 -0.7263
 -0.2224 -0.2553 -0.2782 -0.2921 -0.3094 -0.3223 -0.3292 -0.3303 -0.3274 -0.3225
 -0.3176 -0.3132 -0.3087 -0.3038 -0.2994 -0.2845 -0.2768 -0.2817 -0.3019 -0.3339
 -0.3708 -0.4081 -0.4440 -0.4786 -0.5124 -0.5456 -0.5789 -0.6126 -0.6476 -0.6853
 -0.7281
 -0.1080 -0.1463 -0.1751 -0.1951 -0.2205 -0.2422 -0.2599 -0.2720 -0.2787 -0.2811
 -0.2809 -0.2801 -0.2792 -0.2780 -0.2766 -0.2687 -0.2634 -0.2693 -0.2885 -0.3196
 -0.3584 -0.4002 -0.4417 -0.4815 -0.5194 -0.5557 -0.5912 -0.6261 -0.6611 -0.6972
 -0.7352
