 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = G_BP 
 -0.6717  1.1036  2.3174  1.3670 -1.6649 -6.1952 -5.0592 -3.0993 -1.9818 -1.8974
 -1.7256 -1.6026 -1.9724 -2.4457 -2.5595 -2.0306
 -3.6434 -2.7633 -1.9438 -2.0580 -3.0763 -5.0399 -4.5157 -3.5907 -2.9078 -2.6198
 -2.3714 -2.2253 -2.3189 -2.4685 -2.4542 -1.9847 -1.6672 -1.4709 -1.4066
 -4.7410 -4.3873 -3.9131 -3.6434 -3.6000 -4.0077 -3.8237 -3.5200 -3.1917 -2.9009
 -2.6745 -2.5304 -2.4620 -2.4108 -2.3152 -1.9194 -1.6267 -1.4414 -1.3332 -1.2423
 -1.1096
 -3.9645 -3.7684 -3.5905 -3.3892 -3.2359 -3.0987 -2.9832 -2.8873 -2.8335 -2.7407
 -2.6350 -2.5180 -2.4015 -2.2726 -2.1425 -1.8347 -1.5971 -1.4232 -1.2946 -1.1979
 -1.1208 -1.0561 -0.9999
 -3.6224 -3.4787 -3.3407 -3.1912 -3.0549 -2.9245 -2.8049 -2.6984 -2.6042 -2.5169
 -2.4282 -2.3327 -2.2337 -2.1308 -2.0249 -1.7708 -1.5643 -1.4110 -1.2965 -1.2081
 -1.1366 -1.0763 -1.0234 -0.9766 -0.9353
 -3.2967 -3.1952 -3.0920 -2.9839 -2.8711 -2.7570 -2.6451 -2.5397 -2.4430 -2.3546
 -2.2719 -2.1906 -2.1061 -2.0211 -1.9320 -1.7188 -1.5377 -1.4006 -1.2979 -1.2176
 -1.1520 -1.0963 -1.0471 -1.0027 -0.9624 -0.9262
 -2.9873 -2.9179 -2.8444 -2.7673 -2.6846 -2.5962 -2.5038 -2.4112 -2.3218 -2.2374
 -2.1587 -2.0841 -2.0115 -1.9393 -1.8638 -1.6787 -1.5173 -1.3920 -1.2988 -1.2264
 -1.1670 -1.1161 -1.0710 -1.0298 -0.9918 -0.9567 -0.9252 -0.8993 -0.8817 -0.8755
 -2.6942 -2.6468 -2.5979 -2.5477 -2.4935 -2.4331 -2.3662 -2.2942 -2.2197 -2.1455
 -2.0738 -2.0052 -1.9396 -1.8758 -1.8119 -1.6499 -1.5035 -1.3852 -1.2975 -1.2316
 -1.1786 -1.1334 -1.0931 -1.0562 -1.0215 -0.9888 -0.9579 -0.9311 -0.9111 -0.9002
 -0.9007
 -2.4294 -2.3969 -2.3657 -2.3358 -2.3041 -2.2685 -2.2270 -2.1785 -2.1236 -2.0646
 -2.0036 -1.9430 -1.8839 -1.8264 -1.7697 -1.6279 -1.4937 -1.3811 -1.2950 -1.2322
 -1.1845 -1.1453 -1.1109 -1.0792 -1.0492 -1.0203 -0.9930 -0.9666 -0.9443 -0.9298
 -0.9254
 -2.1922 -2.1731 -2.1562 -2.1413 -2.1260 -2.1090 -2.0880 -2.0610 -2.0266 -1.9850
 -1.9378 -1.8875 -1.8360 -1.7846 -1.7336 -1.6070 -1.4839 -1.3768 -1.2922 -1.2292
 -1.1839 -1.1498 -1.1216 -1.0961 -1.0719 -1.0481 -1.0250 -1.0028 -0.9823 -0.9660
 -0.9543
 -1.9831 -1.9768 -1.9712 -1.9662 -1.9625 -1.9581 -1.9518 -1.9417 -1.9258 -1.9020
 -1.8705 -1.8331 -1.7917 -1.7477 -1.7024 -1.5876 -1.4756 -1.3733 -1.2903 -1.2267
 -1.1808 -1.1487 -1.1252 -1.1058 -1.0881 -1.0706 -1.0532 -1.0358 -1.0189 -1.0033
 -0.9888
 -1.8127 -1.8080 -1.8073 -1.8103 -1.8148 -1.8188 -1.8226 -1.8241 -1.8217 -1.8119
 -1.7948 -1.7714 -1.7427 -1.7094 -1.6724 -1.5705 -1.4659 -1.3691 -1.2875 -1.2240
 -1.1771 -1.1444 -1.1227 -1.1078 -1.0962 -1.0853 -1.0744 -1.0630 -1.0513 -1.0397
 -1.0292
 -1.6812 -1.6666 -1.6645 -1.6736 -1.6829 -1.6911 -1.7022 -1.7115 -1.7179 -1.7189
 -1.7142 -1.7044 -1.6899 -1.6697 -1.6436 -1.5557 -1.4548 -1.3642 -1.2838
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = G_BP 
