 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F182M
  1.5284  0.4467 -1.1429 -1.2823  0.7089  2.6149  1.0212 -0.5438 -1.0788 -0.8107
 -0.7402 -0.6234 -0.0720  0.5257  0.8880  0.7410
  1.2369  0.8463  0.1613  0.0643  0.8612  1.7831  1.2075  0.5682  0.2437  0.2076
  0.1498  0.1782  0.4154  0.6812  0.8322  0.6927  0.5265  0.3678  0.2011
  0.9715  0.9441  0.7917  0.7473  0.8852  1.1772  1.1406  1.0341  0.9038  0.7825
  0.6994  0.6818  0.7260  0.7788  0.7934  0.6617  0.5160  0.3576  0.1978  0.0437
 -0.1041
  0.7322  0.7401  0.7483  0.7667  0.7808  0.7973  0.8205  0.8539  0.9016  0.9141
  0.9084  0.8876  0.8597  0.8185  0.7716  0.6480  0.4992  0.3438  0.1895  0.0398
 -0.1057 -0.2483 -0.3869
  0.5821  0.6257  0.6593  0.6863  0.7040  0.7186  0.7345  0.7550  0.7807  0.8046
  0.8148  0.8083  0.7896  0.7593  0.7189  0.6041  0.4741  0.3313  0.1823  0.0343
 -0.1096 -0.2495 -0.3854 -0.5176 -0.6466
  0.4058  0.4796  0.5373  0.5796  0.6086  0.6290  0.6452  0.6609  0.6779  0.6970
  0.7142  0.7215  0.7139  0.6952  0.6644  0.5614  0.4446  0.3137  0.1723  0.0279
 -0.1140 -0.2518 -0.3855 -0.5154 -0.6418 -0.7652
  0.2033  0.3018  0.3823  0.4466  0.4947  0.5285  0.5526  0.5716  0.5885  0.6049
  0.6208  0.6332  0.6370  0.6294  0.6081  0.5199  0.4107  0.2910  0.1595  0.0206
 -0.1189 -0.2552 -0.3872 -0.5153 -0.6397 -0.7608 -0.8790 -0.9948 -1.1080 -1.2166
 -0.0253  0.0923  0.1943  0.2822  0.3539  0.4083  0.4484  0.4775  0.5002  0.5194
  0.5367  0.5512  0.5608  0.5617  0.5515  0.4801  0.3780  0.2647  0.1427  0.0116
 -0.1241 -0.2589 -0.3899 -0.5167 -0.6396 -0.7589 -0.8751 -0.9886 -1.0999 -1.2088
 -1.3138
 -0.2595 -0.1358 -0.0203  0.0876  0.1825  0.2615  0.3236  0.3704  0.4052  0.4322
  0.4546  0.4732  0.4875  0.4953  0.4936  0.4421  0.3482  0.2389  0.1227 -0.0004
 -0.1301 -0.2623 -0.3925 -0.5188 -0.6409 -0.7591 -0.8740 -0.9857 -1.0948 -1.2017
 -1.3069
 -0.4864 -0.3666 -0.2477 -0.1298 -0.0168  0.0853  0.1718  0.2416  0.2954  0.3365
  0.3687  0.3944  0.4147  0.4290  0.4337  0.4024  0.3201  0.2148  0.1012 -0.0169
 -0.1403 -0.2682 -0.3969 -0.5232 -0.6455 -0.7636 -0.8779 -0.9888 -1.0965 -1.2017
 -1.3047
 -0.6995 -0.5871 -0.4710 -0.3517 -0.2290 -0.1119 -0.0046  0.0885  0.1651  0.2255
  0.2740  0.3122  0.3403  0.3589  0.3683  0.3548  0.2932  0.1945  0.0835 -0.0319
 -0.1505 -0.2728 -0.3977 -0.5226 -0.6449 -0.7633 -0.8779 -0.9886 -1.0958 -1.2000
 -1.3030
 -0.9085 -0.7973 -0.6828 -0.5656 -0.4428 -0.3198 -0.1993 -0.0883  0.0099  0.0919
  0.1585  0.2114  0.2520  0.2818  0.3018  0.3110  0.2654  0.1752  0.0682 -0.0453
 -0.1615 -0.2797 -0.4001 -0.5217 -0.6426 -0.7611 -0.8761 -0.9874 -1.0950 -1.1993
 -1.3004
 -1.1135 -0.9971 -0.8831 -0.7715 -0.6582 -0.5384 -0.4002 -0.2788 -0.1662 -0.0674
  0.0174  0.0893  0.1491  0.1977  0.2340  0.2711  0.2367  0.1569  0.0553
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F182M
  0.6624  0.6642  0.6847  0.7579  0.9224  1.1372  1.0125  0.9571  0.9484  0.9377
  0.8608  0.7884  0.8164  0.8755  0.8840  0.7152
  0.7302  0.7266  0.7338  0.7743  0.8749  1.0194  0.9979  0.9912  0.9936  0.9879
  0.9507  0.9086  0.8973  0.8928  0.8634  0.6982  0.5299  0.3663  0.2064
  0.7622  0.7589  0.7595  0.7776  0.8306  0.9185  0.9573  0.9833  0.9969  0.9985
  0.9884  0.9672  0.9350  0.8923  0.8395  0.6784  0.5177  0.3574  0.1998  0.0463
 -0.1032
  0.7584  0.7611  0.7618  0.7678  0.7894  0.8345  0.8907  0.9332  0.9581  0.9692
  0.9740  0.9642  0.9295  0.8742  0.8123  0.6558  0.5019  0.3468  0.1925  0.0418
 -0.1047 -0.2473 -0.3855
  0.7188  0.7332  0.7407  0.7449  0.7514  0.7674  0.7981  0.8411  0.8774  0.9002
  0.9074  0.8997  0.8808  0.8384  0.7818  0.6304  0.4825  0.3345  0.1844  0.0363
 -0.1078 -0.2478 -0.3838 -0.5162 -0.6454
  0.6434  0.6752  0.6962  0.7089  0.7166  0.7246  0.7382  0.7608  0.7891  0.8153
  0.8293  0.8264  0.8144  0.7876  0.7432  0.6026  0.4595  0.3190  0.1751  0.0302
 -0.1119 -0.2499 -0.3837 -0.5137 -0.6404 -0.7640
  0.5301  0.5829  0.6224  0.6497  0.6671  0.6780  0.6873  0.6995  0.7162  0.7340
  0.7464  0.7483  0.7387  0.7227  0.6901  0.5709  0.4343  0.3000  0.1635  0.0233
 -0.1166 -0.2530 -0.3852 -0.5134 -0.6380 -0.7593 -0.8777 -0.9936 -1.1069 -1.2155
  0.3821  0.4557  0.5158  0.5620  0.5948  0.6160  0.6297  0.6402  0.6513  0.6639
  0.6742  0.6775  0.6704  0.6567  0.6321  0.5326  0.4075  0.2783  0.1488  0.0151
 -0.1214 -0.2565 -0.3877 -0.5147 -0.6378 -0.7573 -0.8738 -0.9874 -1.0987 -1.2077
 -1.3127
  0.2715  0.3198  0.3774  0.4434  0.4948  0.5317  0.5564  0.5726  0.5842  0.5946
  0.6044  0.6103  0.6083  0.5969  0.5779  0.4926  0.3793  0.2559  0.1360  0.0043
 -0.1256 -0.2597 -0.3901 -0.5166 -0.6389 -0.7573 -0.8724 -0.9846 -1.0942 -1.2012
 -1.3058
  0.0194  0.1387  0.2297  0.2952  0.3649  0.4204  0.4609  0.4889  0.5076  0.5208
  0.5316  0.5398  0.5434  0.5392  0.5265  0.4535  0.3502  0.2328  0.1117 -0.0107
 -0.1364 -0.2653 -0.3945 -0.5210 -0.6434 -0.7617 -0.8763 -0.9873 -1.0952 -1.2005
 -1.3036
 -0.1639 -0.0481  0.0470  0.1236  0.2090  0.2806  0.3390  0.3832  0.4147  0.4364
  0.4519  0.4636  0.4719  0.4751  0.4711  0.4169  0.3235  0.2129  0.0950 -0.0247
 -0.1457 -0.2694 -0.3950 -0.5203 -0.6428 -0.7615 -0.8762 -0.9870 -1.0944 -1.1987
 -1.3019
 -0.3517 -0.2406 -0.1378 -0.0426  0.0510  0.1376  0.2122  0.2516  0.2999  0.3354
  0.3609  0.3793  0.3930  0.4026  0.4068  0.3786  0.2965  0.1936  0.0801 -0.0375
 -0.1561 -0.2758 -0.3971 -0.5193 -0.6405 -0.7592 -0.8744 -0.9859 -1.0936 -1.1980
 -1.2992
 -0.5441 -0.4388 -0.3249 -0.2035 -0.1090 -0.0085  0.0432  0.1192  0.1821  0.2124
  0.2525  0.2825  0.3046  0.3213  0.3336  0.3386  0.2692  0.1749  0.0670
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F182M
  0.6240  0.7705  0.9958  1.0904  1.0007  0.9450  1.0505  1.2053  1.2739  1.2381
  1.1640  1.0780  1.0099  0.9562  0.8911  0.7172
  0.6819  0.7485  0.8618  0.9271  0.9249  0.9376  1.0092  1.0950  1.1427  1.1421
  1.1132  1.0622  1.0023  0.9409  0.8739  0.7023  0.5328  0.3678  0.2083
  0.7237  0.7383  0.7752  0.8139  0.8566  0.9054  0.9561  1.0023  1.0379  1.0582
  1.0583  1.0334  0.9846  0.9221  0.8552  0.6863  0.5208  0.3591  0.2015  0.0479
 -0.1018
  0.7494  0.7399  0.7360  0.7508  0.7958  0.8484  0.8912  0.9272  0.9595  0.9864
  0.9993  0.9916  0.9568  0.8998  0.8350  0.6692  0.5073  0.3493  0.1943  0.0434
 -0.1032 -0.2458 -0.3847
  0.7590  0.7533  0.7442  0.7378  0.7425  0.7666  0.8145  0.8697  0.9075  0.9267
  0.9362  0.9368  0.9189  0.8740  0.8133  0.6510  0.4923  0.3384  0.1867  0.0382
 -0.1060 -0.2461 -0.3822 -0.5148 -0.6441
  0.7400  0.7453  0.7432  0.7373  0.7322  0.7348  0.7505  0.7807  0.8223  0.8605
  0.8782  0.8778  0.8684  0.8394  0.7881  0.6318  0.4757  0.3257  0.1783  0.0325
 -0.1098 -0.2479 -0.3819 -0.5121 -0.6389 -0.7627
  0.6866  0.7077  0.7186  0.7218  0.7203  0.7180  0.7200  0.7309  0.7500  0.7732
  0.7950  0.8056  0.8018  0.7866  0.7509  0.6109  0.4580  0.3111  0.1684  0.0263
 -0.1141 -0.2508 -0.3831 -0.5116 -0.6364 -0.7579 -0.8764 -0.9924 -1.1057 -1.2143
  0.5952  0.6356  0.6637  0.6814  0.6904  0.6932  0.6934  0.6956  0.7025  0.7133
  0.7234  0.7286  0.7259  0.7171  0.6944  0.5827  0.4390  0.2951  0.1564  0.0190
 -0.1186 -0.2540 -0.3854 -0.5126 -0.6359 -0.7556 -0.8723 -0.9861 -1.0975 -1.2065
 -1.3114
  0.4682  0.5277  0.5751  0.6108  0.6348  0.6490  0.6556  0.6582  0.6605  0.6644
  0.6689  0.6698  0.6636  0.6510  0.6333  0.5426  0.4159  0.2778  0.1426  0.0100
 -0.1234 -0.2569 -0.3877 -0.5144 -0.6368 -0.7555 -0.8707 -0.9829 -1.0923 -1.1994
 -1.3046
  0.3179  0.3909  0.4548  0.5087  0.5502  0.5796  0.5978  0.6077  0.6122  0.6146
  0.6165  0.6164  0.6112  0.5986  0.5804  0.4994  0.3861  0.2572  0.1259 -0.0031
 -0.1320 -0.2622 -0.3919 -0.5186 -0.6412 -0.7597 -0.8744 -0.9857 -1.0938 -1.1992
 -1.3024
  0.1571  0.2340  0.3087  0.3773  0.4359  0.4818  0.5152  0.5370  0.5494  0.5557
  0.5586  0.5593  0.5570  0.5490  0.5340  0.4613  0.3577  0.2374  0.1109 -0.0152
 -0.1400 -0.2656 -0.3921 -0.5178 -0.6405 -0.7594 -0.8742 -0.9853 -1.0929 -1.1973
 -1.3006
 -0.0117  0.0685  0.1484  0.2246  0.2950  0.3563  0.4053  0.4418  0.4667  0.4819
  0.4902  0.4940  0.4949  0.4920  0.4834  0.4265  0.3301  0.2178  0.0965 -0.0268
 -0.1492 -0.2712 -0.3937 -0.5165 -0.6381 -0.7570 -0.8725 -0.9841 -1.0920 -1.1965
 -1.2979
 -0.1884 -0.1056 -0.0181  0.0589  0.1359  0.2070  0.2693  0.3208  0.3601  0.3880
  0.4063  0.4171  0.4229  0.4248  0.4286  0.3950  0.3033  0.1984  0.0827
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F182M
  0.8559  0.9113  0.9750  1.0446  1.0994  1.1450  1.1785  1.1970  1.1977  1.1800
  1.1434  1.0920  1.0327  0.9672  0.8959  0.7211
  0.7703  0.8249  0.8843  0.9451  1.0037  1.0558  1.0979  1.1270  1.1412  1.1389
  1.1171  1.0748  1.0167  0.9506  0.8810  0.7073  0.5365  0.3708  0.2097
  0.7293  0.7657  0.8121  0.8643  0.9182  0.9698  1.0152  1.0510  1.0753  1.0858
  1.0784  1.0487  0.9976  0.9339  0.8660  0.6939  0.5254  0.3620  0.2036  0.0498
 -0.0998
  0.7329  0.7337  0.7584  0.8022  0.8430  0.8869  0.9304  0.9690  1.0000  1.0207
  1.0273  1.0137  0.9754  0.9171  0.8509  0.6809  0.5144  0.3532  0.1972  0.0459
 -0.1009 -0.2436 -0.3828
  0.7574  0.7367  0.7381  0.7582  0.7905  0.8287  0.8675  0.9025  0.9305  0.9524
  0.9659  0.9661  0.9453  0.8981  0.8357  0.6683  0.5035  0.3444  0.1905  0.0413
 -0.1032 -0.2435 -0.3798 -0.5126 -0.6421
  0.7761  0.7674  0.7542  0.7532  0.7650  0.7858  0.8124  0.8424  0.8734  0.9004
  0.9118  0.9131  0.9029  0.8726  0.8186  0.6558  0.4926  0.3354  0.1836  0.0363
 -0.1065 -0.2449 -0.3791 -0.5096 -0.6367 -0.7606
  0.7728  0.7719  0.7636  0.7507  0.7374  0.7296  0.7323  0.7484  0.7772  0.8164
  0.8486  0.8597  0.8555  0.8360  0.7958  0.6428  0.4815  0.3259  0.1763  0.0311
 -0.1102 -0.2473 -0.3800 -0.5087 -0.6337 -0.7555 -0.8743 -0.9905 -1.1038 -1.2122
  0.7425  0.7535  0.7549  0.7490  0.7384  0.7269  0.7183  0.7173  0.7250  0.7392
  0.7577  0.7768  0.7853  0.7801  0.7568  0.6277  0.4699  0.3159  0.1683  0.0256
 -0.1140 -0.2501 -0.3818 -0.5093 -0.6329 -0.7530 -0.8699 -0.9839 -1.0955 -1.2045
 -1.3092
  0.6784  0.7053  0.7204  0.7261  0.7247  0.7182  0.7091  0.7011  0.6970  0.6978
  0.7013  0.7043  0.7055  0.7036  0.6932  0.6007  0.4567  0.3052  0.1593  0.0192
 -0.1178 -0.2525 -0.3837 -0.5107 -0.6335 -0.7524 -0.8680 -0.9805 -1.0901 -1.1973
 -1.3025
  0.5765  0.6245  0.6558  0.6762  0.6874  0.6911  0.6888  0.6827  0.6753  0.6689
  0.6642  0.6589  0.6508  0.6392  0.6262  0.5549  0.4339  0.2909  0.1474  0.0095
 -0.1246 -0.2571 -0.3876 -0.5147 -0.6376 -0.7564 -0.8714 -0.9830 -1.0914 -1.1970
 -1.3004
  0.4474  0.5095  0.5581  0.5950  0.6214  0.6385  0.6474  0.6492  0.6458  0.6393
  0.6314  0.6225  0.6113  0.5959  0.5769  0.5081  0.4036  0.2745  0.1366  0.0011
 -0.1302 -0.2592 -0.3873 -0.5136 -0.6367 -0.7559 -0.8710 -0.9824 -1.0902 -1.1950
 -1.2986
  0.3031  0.3706  0.4327  0.4845  0.5262  0.5582  0.5803  0.5937  0.5989  0.5978
  0.5924  0.5839  0.5728  0.5581  0.5388  0.4690  0.3717  0.2539  0.1240 -0.0080
 -0.1371 -0.2632 -0.3879 -0.5118 -0.6341 -0.7534 -0.8691 -0.9810 -1.0892 -1.1940
 -1.2956
  0.1460  0.2206  0.2888  0.3508  0.4053  0.4510  0.4869  0.5130  0.5297  0.5379
  0.5392  0.5351  0.5271  0.5154  0.5119  0.4376  0.3382  0.2291  0.1096
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F182M
  0.9272  0.9894  1.0535  1.1168  1.1756  1.2222  1.2493  1.2551  1.2392  1.2053
