 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F356W
  4.0567  4.1882  4.1102  3.6200  2.7118  2.1248  2.0051  1.8770  1.8208  1.8693
  1.5906  1.4626  1.8176  2.3261  2.6311  2.4511
  3.6444  3.7260  3.7314  3.5474  3.1598  2.8759  2.7522  2.6007  2.4718  2.3876
  2.2202  2.1552  2.3074  2.5244  2.6378  2.4435  2.2739  2.0948  1.9247
  3.4078  3.4212  3.4312  3.3887  3.2832  3.1746  3.0708  2.9424  2.8146  2.6992
  2.6116  2.5765  2.5986  2.6311  2.6245  2.4347  2.2524  2.0765  1.9090  1.7516
  1.6009
  3.3469  3.2738  3.2096  3.1439  3.0821  3.0209  2.9609  2.9022  2.8492  2.8043
  2.7649  2.7264  2.6910  2.6462  2.5912  2.4247  2.2313  2.0595  1.8952  1.7369
  1.5858  1.4407  1.3015
  3.2554  3.2035  3.1535  3.1002  3.0451  2.9881  2.9305  2.8732  2.8166  2.7630
  2.7157  2.6734  2.6339  2.5920  2.5442  2.3999  2.2250  2.0498  1.8832  1.7253
  1.5750  1.4312  1.2932  1.1600  1.0309
  3.1559  3.1197  3.0816  3.0400  2.9939  2.9441  2.8917  2.8382  2.7842  2.7305
  2.6788  2.6309  2.5876  2.5478  2.5025  2.3730  2.2150  2.0426  1.8750  1.7166
  1.5664  1.4232  1.2860  1.1540  1.0266  0.9030
  3.0485  3.0224  2.9939  2.9633  2.9286  2.8889  2.8445  2.7972  2.7480  2.6976
  2.6468  2.5972  2.5504  2.5084  2.4661  2.3440  2.2013  2.0379  1.8706  1.7108
  1.5600  1.4167  1.2800  1.1488  1.0225  0.9005  0.7820  0.6665  0.5539  0.4442
  2.9332  2.9116  2.8904  2.8696  2.8465  2.8188  2.7858  2.7475  2.7055  2.6608
  2.6141  2.5663  2.5189  2.4744  2.4320  2.3187  2.1838  2.0322  1.8694  1.7085
  1.5559  1.4120  1.2751  1.1442  1.0186  0.8976  0.7805  0.6667  0.5560  0.4479
  0.3419
  2.8135  2.7934  2.7763  2.7620  2.7481  2.7321  2.7118  2.6857  2.6537  2.6171
  2.5773  2.5343  2.4894  2.4442  2.4012  2.2933  2.1673  2.0234  1.8687  1.7097
  1.5553  1.4094  1.2716  1.1405  1.0151  0.8946  0.7783  0.6659  0.5567  0.4503
  0.3462
  2.7054  2.6770  2.6566  2.6434  2.6352  2.6285  2.6200  2.6069  2.5876  2.5623
  2.5317  2.4964  2.4571  2.4150  2.3729  2.2665  2.1493  2.0125  1.8640  1.7100
  1.5558  1.4075  1.2676  1.1352  1.0092  0.8887  0.7727  0.6608  0.5526  0.4475
  0.3451
  2.6056  2.5706  2.5453  2.5287  2.5211  2.5180  2.5169  2.5145  2.5082  2.4955
  2.4754  2.4492  2.4182  2.3839  2.3471  2.2454  2.1306  2.0025  1.8605  1.7120
  1.5613  1.4125  1.2701  1.1356  1.0083  0.8871  0.7709  0.6592  0.5515  0.4473
  0.3441
  2.5182  2.4742  2.4423  2.4213  2.4097  2.4055  2.4072  2.4107  2.4136  2.4116
  2.4038  2.3901  2.3705  2.3452  2.3143  2.2192  2.1090  1.9899  1.8552  1.7122
  1.5659  1.4195  1.2764  1.1393  1.0097  0.8869  0.7698  0.6576  0.5498  0.4457
  0.3451
  2.4432  2.3877  2.3476  2.3212  2.3010  2.2910  2.2978  2.3025  2.3093  2.3139
  2.3155  2.3143  2.3106  2.2989  2.2746  2.1876  2.0845  1.9747  1.8481
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F356W
