 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F070W
 -1.6669 -0.1633  1.1862  1.0424 -0.7823 -3.7488 -2.9587 -1.5130 -0.6042 -0.4659
 -0.3439 -0.3270 -0.7071 -1.1933 -1.4020 -1.1773
 -2.1777 -1.5586 -0.9008 -0.8648 -1.5184 -2.8336 -2.4964 -1.8490 -1.3481 -1.1354
 -0.9773 -0.9182 -1.0523 -1.2462 -1.3235 -1.1432 -1.0314 -0.9739 -1.0137
 -2.3191 -2.1665 -1.9273 -1.8056 -1.8250 -2.1289 -2.0364 -1.8562 -1.6537 -1.4739
 -1.3409 -1.2701 -1.2613 -1.2745 -1.2632 -1.1229 -1.0429 -0.9932 -0.9895 -0.9924
 -0.9660
 -2.0911 -1.9870 -1.8933 -1.7800 -1.7021 -1.6347 -1.5787 -1.5346 -1.5210 -1.4812
 -1.4346 -1.3828 -1.3340 -1.2781 -1.2211 -1.1164 -1.0437 -1.0043 -0.9866 -0.9833
 -0.9890 -0.9999 -1.0151
 -1.8449 -1.7821 -1.7216 -1.6511 -1.5903 -1.5334 -1.4825 -1.4385 -1.4010 -1.3678
 -1.3343 -1.2978 -1.2610 -1.2226 -1.1823 -1.1000 -1.0491 -1.0209 -1.0075 -1.0044
 -1.0087 -1.0182 -1.0317 -1.0497 -1.0727
 -1.6163 -1.5861 -1.5535 -1.5163 -1.4754 -1.4335 -1.3928 -1.3548 -1.3202 -1.2890
 -1.2606 -1.2335 -1.2053 -1.1785 -1.1492 -1.0850 -1.0482 -1.0297 -1.0220 -1.0213
 -1.0261 -1.0354 -1.0482 -1.0643 -1.0837 -1.1073
 -1.4052 -1.3990 -1.3890 -1.3756 -1.3575 -1.3350 -1.3096 -1.2835 -1.2576 -1.2323
 -1.2083 -1.1856 -1.1638 -1.1436 -1.1218 -1.0714 -1.0410 -1.0307 -1.0301 -1.0340
 -1.0412 -1.0515 -1.0645 -1.0800 -1.0978 -1.1185 -1.1426 -1.1733 -1.2122 -1.2544
 -1.2116 -1.2208 -1.2281 -1.2337 -1.2356 -1.2328 -1.2251 -1.2136 -1.1995 -1.1836
 -1.1665 -1.1490 -1.1316 -1.1147 -1.0983 -1.0581 -1.0313 -1.0240 -1.0294 -1.0397
 -1.0516 -1.0648 -1.0796 -1.0958 -1.1135 -1.1328 -1.1538 -1.1791 -1.2117 -1.2524
 -1.2972
 -1.0439 -1.0609 -1.0788 -1.0975 -1.1142 -1.1276 -1.1366 -1.1405 -1.1396 -1.1349
 -1.1267 -1.1161 -1.1040 -1.0910 -1.0775 -1.0451 -1.0210 -1.0132 -1.0207 -1.0364
 -1.0546 -1.0730 -1.0912 -1.1099 -1.1290 -1.1487 -1.1699 -1.1923 -1.2187 -1.2521
 -1.2946
 -0.8982 -0.9219 -0.9473 -0.9742 -1.0005 -1.0252 -1.0468 -1.0640 -1.0761 -1.0827
 -1.0844 -1.0819 -1.0762 -1.0681 -1.0582 -1.0314 -1.0103 -1.0015 -1.0079 -1.0257
