 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F150W
 -1.0661 -2.0633 -3.2980 -3.2842 -1.7242  0.3116 -0.3972 -1.5164 -2.0632 -1.9505
 -1.7850 -1.6720 -1.5454 -1.4782 -1.4557 -1.5852
 -1.0772 -1.4811 -2.0426 -2.0831 -1.4839 -0.5933 -0.8713 -1.3122 -1.5621 -1.5729
 -1.5490 -1.5277 -1.4973 -1.4891 -1.5023 -1.6195 -1.7449 -1.8742 -2.0182
 -1.2036 -1.2750 -1.4267 -1.4684 -1.3886 -1.1757 -1.2171 -1.2847 -1.3497 -1.4010
 -1.4372 -1.4608 -1.4814 -1.5066 -1.5378 -1.6456 -1.7627 -1.8897 -2.0234 -2.1553
 -2.2808
 -1.4453 -1.4450 -1.4503 -1.4401 -1.4382 -1.4357 -1.4346 -1.4340 -1.4262 -1.4348
 -1.4496 -1.4712 -1.4979 -1.5307 -1.5622 -1.6635 -1.7804 -1.9061 -2.0344 -2.1607
 -2.2864 -2.4108 -2.5342
 -1.4871 -1.4880 -1.4920 -1.4902 -1.4898 -1.4886 -1.4883 -1.4902 -1.4957 -1.5044
 -1.5169 -1.5336 -1.5544 -1.5803 -1.6116 -1.7020 -1.8059 -1.9216 -2.0445 -2.1687
 -2.2920 -2.4137 -2.5339 -2.6526 -2.7702
 -1.5522 -1.5498 -1.5496 -1.5496 -1.5486 -1.5468 -1.5453 -1.5464 -1.5517 -1.5615
 -1.5751 -1.5913 -1.6104 -1.6322 -1.6584 -1.7394 -1.8335 -1.9400 -2.0563 -2.1769
 -2.2976 -2.4169 -2.5344 -2.6503 -2.7648 -2.8781
 -1.6405 -1.6304 -1.6231 -1.6183 -1.6145 -1.6103 -1.6056 -1.6026 -1.6037 -1.6101
 -1.6219 -1.6386 -1.6579 -1.6787 -1.7026 -1.7757 -1.8632 -1.9613 -2.0698 -2.1853
 -2.3032 -2.4204 -2.5358 -2.6495 -2.7614 -2.8719 -2.9811 -3.0895 -3.1969 -3.3002
 -1.7520 -1.7298 -1.7125 -1.6996 -1.6894 -1.6808 -1.6720 -1.6640 -1.6586 -1.6587
 -1.6651 -1.6777 -1.6959 -1.7176 -1.7405 -1.8088 -1.8914 -1.9842 -2.0856 -2.1950
 -2.3090 -2.4240 -2.5376 -2.6495 -2.7594 -2.8676 -2.9742 -3.0796 -3.1846 -3.2887
 -3.3892
 -1.8851 -1.8496 -1.8201 -1.7959 -1.7762 -1.7600 -1.7456 -1.7320 -1.7200 -1.7121
 -1.7105 -1.7165 -1.7295 -1.7485 -1.7716 -1.8374 -1.9164 -2.0059 -2.1029 -2.2063
 -2.3156 -2.4277 -2.5397 -2.6500 -2.7583 -2.8646 -2.9694 -3.0726 -3.1746 -3.2760
 -3.3771
