 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F210M
 -1.0779 -1.4303 -2.4457 -3.2144 -2.7574 -1.4006 -2.3427 -3.5385 -4.0550 -3.8911
 -3.8089 -3.6133 -3.0910 -2.5784 -2.2846 -2.4511
 -1.7366 -1.7616 -2.1256 -2.4444 -2.2838 -1.6424 -2.0049 -2.5270 -2.8441 -2.9056
 -2.9452 -2.8808 -2.6600 -2.4400 -2.3279 -2.4873 -2.6565 -2.8232 -2.9869
 -2.1453 -2.0551 -2.0794 -2.1437 -2.1344 -1.9441 -1.9890 -2.1063 -2.2376 -2.3503
 -2.4198 -2.4284 -2.3923 -2.3581 -2.3607 -2.5114 -2.6684 -2.8332 -2.9943 -3.1489
 -3.2996
 -2.3040 -2.3108 -2.3071 -2.3123 -2.3092 -2.3056 -2.2950 -2.2763 -2.2354 -2.2252
 -2.2328 -2.2561 -2.2879 -2.3327 -2.3830 -2.5234 -2.6850 -2.8476 -3.0051 -3.1569
 -3.3043 -3.4477 -3.5872
 -2.5250 -2.4730 -2.4296 -2.4046 -2.3900 -2.3832 -2.3777 -2.3688 -2.3533 -2.3351
 -2.3269 -2.3354 -2.3571 -2.3906 -2.4340 -2.5607 -2.7041 -2.8571 -3.0121 -3.1633
 -3.3092 -3.4503 -3.5871 -3.7200 -3.8496
 -2.7579 -2.6628 -2.5865 -2.5317 -2.4973 -2.4780 -2.4679 -2.4604 -2.4522 -2.4406
 -2.4273 -2.4214 -2.4305 -2.4519 -2.4860 -2.5984 -2.7279 -2.8706 -3.0203 -3.1694
 -3.3139 -3.4533 -3.5880 -3.7186 -3.8456 -3.9694
 -3.0028 -2.8802 -2.7778 -2.6936 -2.6311 -2.5900 -2.5656 -2.5511 -2.5408 -2.5314
 -2.5210 -2.5107 -2.5071 -2.5155 -2.5390 -2.6365 -2.7564 -2.8881 -3.0297 -3.1752
