 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F1130W
 -0.9328 -0.8062 -0.8355 -1.1984 -1.9137 -2.5439 -2.9064 -2.7992 -2.3329 -1.6624
 -1.7411 -2.3289 -2.5832 -2.4815 -2.4266 -2.6587
 -1.1943 -1.1669 -1.1867 -1.3509 -1.6769 -1.9802 -2.2014 -2.2442 -2.1480 -1.9766
 -2.0620 -2.3302 -2.4724 -2.4522 -2.4446 -2.6716 -2.8643 -3.0318 -3.2061
 -1.3186 -1.3718 -1.4186 -1.4921 -1.6111 -1.7353 -1.8662 -1.9750 -2.0650 -2.1461
 -2.2331 -2.3313 -2.4063 -2.4415 -2.4803 -2.6903 -2.8926 -3.0677 -3.2388 -3.4006
 -3.5529
 -1.3057 -1.4209 -1.5312 -1.6220 -1.7162 -1.8092 -1.9008 -1.9913 -2.0838 -2.1710
 -2.2544 -2.3320 -2.3851 -2.4494 -2.5337 -2.7148 -2.9090 -3.0923 -3.2638 -3.4261
 -3.5798 -3.7261 -3.8649
 -1.3569 -1.4492 -1.5428 -1.6325 -1.7243 -1.8155 -1.9054 -1.9937 -2.0804 -2.1652
 -2.2483 -2.3299 -2.4004 -2.4678 -2.5431 -2.7362 -2.9269 -3.1081 -3.2794 -3.4416
 -3.5955 -3.7418 -3.8810 -4.0142 -4.1423
 -1.4220 -1.4955 -1.5739 -1.6566 -1.7420 -1.8286 -1.9150 -2.0003 -2.0841 -2.1659
 -2.2458 -2.3247 -2.4026 -2.4690 -2.5464 -2.7453 -2.9381 -3.1196 -3.2911 -3.4534
 -3.6074 -3.7538 -3.8933 -4.0264 -4.1539 -4.2770
 -1.5009 -1.5598 -1.6245 -1.6943 -1.7694 -1.8485 -1.9296 -2.0111 -2.0920 -2.1715
 -2.2493 -2.3253 -2.4002 -2.4685 -2.5436 -2.7421 -2.9426 -3.1268 -3.2989 -3.4615
 -3.6155 -3.7621 -3.9018 -4.0350 -4.1623 -4.2847 -4.4032 -4.5183 -4.6305 -4.7408
 -1.5936 -1.6421 -1.6946 -1.7506 -1.8120 -1.8796 -1.9520 -2.0273 -2.1039 -2.1804
 -2.2558 -2.3303 -2.4031 -2.4722 -2.5424 -2.7350 -2.9356 -3.1290 -3.3033 -3.4665
 -3.6209 -3.7678 -3.9077 -4.0412 -4.1687 -4.2907 -4.4084 -4.5225 -4.6333 -4.7415
 -4.8481
 -1.6876 -1.7343 -1.7802 -1.8254 -1.8732 -1.9267 -1.9867 -2.0523 -2.1219 -2.1935
 -2.2656 -2.3375 -2.4089 -2.4790 -2.5463 -2.7289 -2.9248 -3.1215 -3.3038 -3.4689
 -3.6241 -3.7714 -3.9117 -4.0456 -4.1734 -4.2957 -4.4131 -4.5263 -4.6361 -4.7430
 -4.8475
 -1.7731 -1.8272 -1.8745 -1.9156 -1.9540 -1.9941 -2.0398 -2.0923 -2.1513 -2.2149
 -2.2814 -2.3493 -2.4180 -2.4868 -2.5545 -2.7279 -2.9175 -3.1114 -3.2996 -3.4709
 -3.6278 -3.7760 -3.9170 -4.0515 -4.1799 -4.3026 -4.4202 -4.5333 -4.6426 -4.7487
 -4.8519
 -1.8537 -1.9135 -1.9642 -2.0067 -2.0413 -2.0738 -2.1075 -2.1462 -2.1921 -2.2448
 -2.3029 -2.3649 -2.4293 -2.4949 -2.5610 -2.7300 -2.9093 -3.0990 -3.2865 -3.4639
 -3.6254 -3.7751 -3.9169 -4.0522 -4.1813 -4.3047 -4.4229 -4.5363 -4.6454 -4.7509
 -4.8554
 -1.9276 -1.9932 -2.0482 -2.0937 -2.1300 -2.1607 -2.1879 -2.2163 -2.2491 -2.2896
 -2.3372 -2.3902 -2.4473 -2.5074 -2.5696 -2.7328 -2.9063 -3.0883 -3.2734 -3.4523
 -3.6191 -3.7723 -3.9154 -4.0515 -4.1815 -4.3058 -4.4248 -4.5389 -4.6483 -4.7539
 -4.8561
 -1.9946 -2.0662 -2.1265 -2.1766 -2.2201 -2.2548 -2.2730 -2.2962 -2.3205 -2.3502
 -2.3858 -2.4269 -2.4729 -2.5243 -2.5803 -2.7362 -2.9085 -3.0793 -3.2603
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =F1130W
 -1.4014 -1.5093 -1.6243 -1.7490 -1.8823 -1.9708 -2.0095 -1.9842 -1.9446 -1.9367
 -2.0420 -2.2233 -2.3528 -2.3891 -2.4230 -2.6221
 -1.3805 -1.4921 -1.6056 -1.7231 -1.8449 -1.9445 -2.0180 -2.0551 -2.0777 -2.1071
 -2.1772 -2.2775 -2.3628 -2.4153 -2.4698 -2.6643 -2.8546 -3.0342 -3.2034
 -1.3676 -1.4806 -1.5920 -1.7033 -1.8156 -1.9204 -2.0151 -2.0931 -2.1589 -2.2170
 -2.2714 -2.3252 -2.3812 -2.4416 -2.5085 -2.6989 -2.8866 -3.0660 -3.2362 -3.3974
 -3.5503
 -1.3627 -1.4748 -1.5835 -1.6896 -1.7944 -1.8985 -2.0008 -2.0981 -2.1880 -2.2666
 -2.3246 -2.3664 -2.4080 -2.4680 -2.5391 -2.7259 -2.9113 -3.0903 -3.2610 -3.4228
 -3.5763 -3.7223 -3.8636
 -1.3658 -1.4747 -1.5801 -1.6820 -1.7813 -1.8788 -1.9751 -2.0701 -2.1651 -2.2557
 -2.3368 -2.4011 -2.4433 -2.4945 -2.5616 -2.7453 -2.9287 -3.1071 -3.2778 -3.4399
 -3.5936 -3.7398 -3.8792 -4.0125 -4.1409
 -1.3769 -1.4803 -1.5818 -1.6805 -1.7763 -1.8697 -1.9612 -2.0512 -2.1396 -2.2258
 -2.3122 -2.3953 -2.4561 -2.5078 -2.5767 -2.7588 -2.9409 -3.1186 -3.2893 -3.4514
 -3.6053 -3.7517 -3.8911 -4.0242 -4.1521 -4.2756
 -1.4013 -1.4955 -1.5902 -1.6843 -1.7767 -1.8671 -1.9555 -2.0422 -2.1274 -2.2108
 -2.2928 -2.3739 -2.4516 -2.5034 -2.5741 -2.7654 -2.9487 -3.1261 -3.2968 -3.4592
 -3.6132 -3.7597 -3.8993 -4.0326 -4.1602 -4.2829 -4.4018 -4.5171 -4.6294 -4.7397
 -1.4427 -1.5255 -1.6102 -1.6964 -1.7832 -1.8698 -1.9552 -2.0393 -2.1220 -2.2035
 -2.2831 -2.3616 -2.4390 -2.5001 -2.5656 -2.7595 -2.9497 -3.1298 -3.3011 -3.4639
 -3.6184 -3.7652 -3.9051 -4.0386 -4.1663 -4.2887 -4.4067 -4.5210 -4.6321 -4.7405
 -4.8471
 -1.4652 -1.5609 -1.6460 -1.7214 -1.7995 -1.8797 -1.9607 -2.0415 -2.1217 -2.2009
 -2.2789 -2.3559 -2.4317 -2.5018 -2.5614 -2.7495 -2.9415 -3.1270 -3.3024 -3.4661
 -3.6205 -3.7687 -3.9090 -4.0429 -4.1710 -4.2934 -4.4111 -4.5250 -4.6353 -4.7424
 -4.8464
 -1.5614 -1.6197 -1.6879 -1.7648 -1.8320 -1.9026 -1.9764 -2.0519 -2.1283 -2.2047
 -2.2805 -2.3558 -2.4303 -2.5021 -2.5640 -2.7442 -2.9330 -3.1199 -3.3004 -3.4683
 -3.6249 -3.7732 -3.9142 -4.0487 -4.1773 -4.3002 -4.4181 -4.5315 -4.6410 -4.7473
 -4.8508
 -1.6391 -1.6883 -1.7498 -1.8223 -1.8793 -1.9398 -2.0036 -2.0710 -2.1412 -2.2131
 -2.2855 -2.3581 -2.4304 -2.5017 -2.5682 -2.7407 -2.9232 -3.1080 -3.2897 -3.4627
 -3.6227 -3.7723 -3.9142 -4.0495 -4.1787 -4.3023 -4.4207 -4.5343 -4.6436 -4.7494
 -4.8542
 -1.7139 -1.7667 -1.8205 -1.8751 -1.9274 -1.9803 -2.0361 -2.1048 -2.1661 -2.2309
 -2.2981 -2.3666 -2.4356 -2.5048 -2.5729 -2.7413 -2.9169 -3.0972 -3.2777 -3.4526
 -3.6172 -3.7696 -3.9128 -4.0489 -4.1790 -4.3034 -4.4226 -4.5368 -4.6465 -4.7522
 -4.8547
 -1.7856 -1.8550 -1.9000 -1.9232 -1.9762 -2.0240 -2.0915 -2.1410 -2.1947 -2.2617
 -2.3210 -2.3833 -2.4476 -2.5131 -2.5781 -2.7460 -2.9141 -3.0875 -3.2644
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F1130W
 -1.4269 -1.5575 -1.6742 -1.7549 -1.7977 -1.8177 -1.8335 -1.8584 -1.9128 -2.0104
 -2.1056 -2.1995 -2.2937 -2.3615 -2.4325 -2.6192
 -1.4070 -1.5317 -1.6490 -1.7484 -1.8281 -1.8930 -1.9494 -2.0024 -2.0615 -2.1327
 -2.1999 -2.2658 -2.3373 -2.4066 -2.4797 -2.6665 -2.8520 -3.0324 -3.2014
 -1.3921 -1.5119 -1.6283 -1.7384 -1.8409 -1.9348 -2.0192 -2.0940 -2.1612 -2.2214
 -2.2748 -2.3241 -2.3787 -2.4451 -2.5181 -2.7044 -2.8869 -3.0650 -3.2346 -3.3955
 -3.5485
 -1.3822 -1.4981 -1.6121 -1.7249 -1.8361 -1.9431 -2.0429 -2.1332 -2.2119 -2.2765
 -2.3303 -2.3744 -2.4179 -2.4770 -2.5477 -2.7329 -2.9137 -3.0900 -3.2597 -3.4213
 -3.5746 -3.7206 -3.8600
 -1.3773 -1.4903 -1.6004 -1.7079 -1.8137 -1.9179 -2.0205 -2.1200 -2.2136 -2.2980
 -2.3664 -2.4167 -2.4549 -2.5023 -2.5685 -2.7520 -2.9324 -3.1074 -3.2766 -3.4383
 -3.5919 -3.7381 -3.8775 -4.0109 -4.1394
 -1.3771 -1.4877 -1.5948 -1.6986 -1.7998 -1.8987 -1.9955 -2.0901 -2.1829 -2.2735
 -2.3597 -2.4338 -2.4842 -2.5261 -2.5854 -2.7648 -2.9452 -3.1193 -3.2879 -3.4496
 -3.6034 -3.7497 -3.8892 -4.0226 -4.1507 -4.2745
 -1.3820 -1.4894 -1.5938 -1.6948 -1.7927 -1.8879 -1.9807 -2.0713 -2.1593 -2.2451
 -2.3296 -2.4130 -2.4847 -2.5347 -2.5951 -2.7736 -2.9536 -3.1272 -3.2954 -3.4570
 -3.6110 -3.7576 -3.8972 -4.0308 -4.1586 -4.2815 -4.4007 -4.5163 -4.6285 -4.7387
 -1.3956 -1.4970 -1.5973 -1.6951 -1.7903 -1.8828 -1.9728 -2.0605 -2.1460 -2.2291
 -2.3099 -2.3894 -2.4683 -2.5285 -2.5872 -2.7765 -2.9583 -3.1320 -3.2998 -3.4616
 -3.6160 -3.7629 -3.9029 -4.0366 -4.1644 -4.2871 -4.4054 -4.5200 -4.6312 -4.7396
 -4.8462
 -1.4228 -1.5153 -1.6084 -1.7008 -1.7922 -1.8817 -1.9693 -2.0548 -2.1383 -2.2199
 -2.2993 -2.3767 -2.4528 -2.5228 -2.5775 -2.7672 -2.9569 -3.1334 -3.3017 -3.4637
 -3.6187 -3.7662 -3.9067 -4.0407 -4.1689 -4.2916 -4.4095 -4.5234 -4.6338 -4.7410
 -4.8456
