 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F250M
  3.7317  3.8055  3.4935  2.6641  1.7458  1.5948  1.1542  0.8460  0.9667  1.4987
  1.2111  0.6062  0.9236  1.8258  2.4777  2.3016
  2.9558  3.0985  3.0742  2.8075  2.4493  2.4220  2.2295  2.0540  2.0007  2.0782
  1.8847  1.6192  1.7531  2.1668  2.4618  2.2785  2.0446  1.9133  1.7249
  2.5602  2.6740  2.7561  2.7572  2.7032  2.7221  2.6730  2.5978  2.5077  2.4099
  2.3119  2.2443  2.2706  2.3719  2.4331  2.2577  2.0439  1.8970  1.7339  1.5789
  1.4365
  2.5449  2.5320  2.5392  2.5132  2.5077  2.4951  2.4847  2.4775  2.4875  2.4938
  2.4925  2.4815  2.4760  2.4411  2.3916  2.2392  2.0630  1.8942  1.7328  1.5782
  1.4282  1.2837  1.1435
  2.3370  2.3804  2.4232  2.4405  2.4502  2.4469  2.4373  2.4272  2.4214  2.4229
  2.4257  2.4195  2.4086  2.3840  2.3426  2.2088  2.0507  1.8865  1.7250  1.5701
  1.4215  1.2786  1.1404  1.0064  0.8761
  2.1257  2.2070  2.2769  2.3287  2.3599  2.3731  2.3728  2.3664  2.3585  2.3531
  2.3521  2.3513  2.3425  2.3280  2.2940  2.1764  2.0336  1.8771  1.7182  1.5638
  1.4160  1.2742  1.1376  1.0054  0.8771  0.7521
  1.9112  2.0118  2.1003  2.1778  2.2367  2.2737  2.2912  2.2951  2.2922  2.2870
  2.2825  2.2801  2.2769  2.2697  2.2458  2.1420  2.0117  1.8660  1.7124  1.5593
  1.4117  1.2705  1.1350  1.0042  0.8777  0.7547  0.6347  0.5176  0.4036  0.2933
  1.6933  1.7948  1.8934  1.9893  2.0742  2.1401  2.1842  2.2076  2.2165  2.2176
  2.2155  2.2124  2.2097  2.2065  2.1944  2.1099  1.9875  1.8514  1.7058  1.5561
  1.4089  1.2677  1.1326  1.0029  0.8777  0.7564  0.6384  0.5234  0.4109  0.3010
  0.1944
  1.4888  1.5775  1.6735  1.7758  1.8773  1.9686  2.0425  2.0942  2.1244  2.1387
  2.1444  2.1456  2.1444  2.1419  2.1373  2.0778  1.9653  1.8348  1.6968  1.5530
  1.4079  1.2664  1.1310  1.0015  0.8772  0.7571  0.6407  0.5275  0.4171  0.3091
  0.2032
  1.2930  1.3690  1.4567  1.5548  1.6596  1.7665  1.8644  1.9455  2.0048  2.0420
  2.0627  2.0735  2.0780  2.0788  2.0767  2.0407  1.9433  1.8179  1.6840  1.5461
  1.4050  1.2644  1.1283  0.9981  0.8737  0.7542  0.6387  0.5269  0.4181  0.3119
  0.2080
  1.1005  1.1730  1.2544  1.3437  1.4462  1.5533  1.6629  1.7657  1.8529  1.9190
  1.9634  1.9906  2.0055  2.0123  2.0139  1.9913  1.9209  1.8041  1.6738  1.5398
  1.4037  1.2663  1.1308  0.9997  0.8745  0.7547  0.6396  0.5286  0.4211  0.3167
  0.2126
  0.9259  0.9895  1.0642  1.1487  1.2439  1.3456  1.4552  1.5659  1.6713  1.7577
  1.8246  1.8750  1.9116  1.9367  1.9521  1.9504  1.8934  1.7896  1.6646  1.5334
  1.4007  1.2672  1.1341  1.0033  0.8771  0.7562  0.6405  0.5295  0.4225  0.3190
  0.2184
  0.7693  0.8186  0.8861  0.9698  1.0527  1.1434  1.2553  1.3650  1.4745  1.5741
  1.6622  1.7397  1.8074  1.8520  1.8915  1.9180  1.8608  1.7744  1.6564
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F250M
  2.4067  2.3647  2.3209  2.2736  2.2426  2.3396  2.4002  2.4730  2.5401  2.5622
  2.4410  2.2588  2.2335  2.3572  2.4330  2.2798
  2.4861  2.4511  2.4121  2.3696  2.3367  2.3736  2.4007  2.4399  2.4804  2.5035
  2.4684  2.4027  2.3855  2.4170  2.4212  2.2626  2.0924  1.9232  1.7583
  2.5245  2.4997  2.4689  2.4339  2.4026  2.4001  2.4033  2.4177  2.4376  2.4572
  2.4716  2.4768  2.4694  2.4466  2.4061  2.2455  2.0783  1.9093  1.7458  1.5890
  1.4375
  2.5219  2.5105  2.4913  2.4665  2.4404  2.4191  2.4080  2.4066  2.4117  2.4234
  2.4505  2.4810  2.4853  2.4461  2.3877  2.2285  2.0648  1.8976  1.7353  1.5795
  1.4298  1.2851  1.1449
  2.4783  2.4835  2.4793  2.4674  2.4500  2.4306  2.4148  2.4066  2.4026  2.4021
  2.4051  2.4153  2.4331  2.4154  2.3660  2.2116  2.0519  1.8881  1.7268  1.5718
  1.4233  1.2803  1.1421  1.0079  0.8774
  2.3937  2.4187  2.4329  2.4366  2.4314  2.4200  2.4056  2.3938  2.3873  2.3861
  2.3821  2.3737  2.3774  2.3717  2.3350  2.1934  2.0382  1.8794  1.7202  1.5659
  1.4180  1.2762  1.1395  1.0072  0.8786  0.7534
  2.2710  2.3144  2.3500  2.3736  2.3849  2.3853  2.3784  2.3679  2.3584  2.3522
  2.3474  2.3395  2.3272  2.3254  2.2953  2.1707  2.0227  1.8700  1.7148  1.5615
  1.4140  1.2727  1.1371  1.0062  0.8794  0.7562  0.6360  0.5188  0.4047  0.2945
  2.1221  2.1763  2.2288  2.2745  2.3070  2.3248  2.3304  2.3270  2.3194  2.3115
  2.3045  2.2968  2.2847  2.2768  2.2538  2.1432  2.0045  1.8587  1.7092  1.5586
  1.4113  1.2701  1.1349  1.0050  0.8796  0.7581  0.6398  0.5245  0.4120  0.3021
  0.1955
  2.0340  2.0417  2.0780  2.1398  2.1937  2.2331  2.2569  2.2668  2.2668  2.2615
  2.2546  2.2470  2.2372  2.2255  2.2106  2.1144  1.9848  1.8450  1.7037  1.5560
