 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F300M
  1.4375  1.7555  1.7168  0.9749 -0.3624 -1.4891 -1.9988 -2.0122 -1.6319 -0.9882
 -1.5941 -2.5034 -2.0639 -0.8459  0.0535 -0.1111
  0.7254  0.9273  1.0155  0.8011  0.2952 -0.1605 -0.3976 -0.4765 -0.4568 -0.3827
 -0.7347 -1.1280 -0.9268 -0.3549  0.0597 -0.1248 -0.3019 -0.4695 -0.6364
  0.3885  0.4709  0.5613  0.5822  0.5108  0.4179  0.3379  0.2514  0.1349 -0.0114
 -0.1662 -0.2615 -0.2068 -0.0514  0.0468 -0.1365 -0.3156 -0.4869 -0.6519 -0.8077
 -0.9610
  0.4268  0.3863  0.3542  0.3182  0.2844  0.2461  0.2077  0.1715  0.1433  0.1257
  0.1114  0.0961  0.0961  0.0646  0.0148 -0.1462 -0.3339 -0.5047 -0.6670 -0.8234
 -0.9734 -1.1174 -1.2565
  0.3442  0.3262  0.3087  0.2855  0.2583  0.2255  0.1895  0.1531  0.1183  0.0886
  0.0657  0.0449  0.0297  0.0055 -0.0357 -0.1735 -0.3416 -0.5128 -0.6775 -0.8339
 -0.9830 -1.1258 -1.2632 -1.3960 -1.5249
  0.2451  0.2442  0.2394  0.2288  0.2112  0.1867  0.1565  0.1233  0.0889  0.0552
  0.0241 -0.0028 -0.0271 -0.0463 -0.0829 -0.2035 -0.3543 -0.5204 -0.6850 -0.8418
 -0.9908 -1.1330 -1.2693 -1.4007 -1.5277 -1.6511
  0.1296  0.1403  0.1463  0.1481  0.1430  0.1297  0.1087  0.0821  0.0520  0.0199
 -0.0128 -0.0443 -0.0733 -0.0959 -0.1268 -0.2362 -0.3720 -0.5275 -0.6895 -0.8471
 -0.9968 -1.1390 -1.2748 -1.4053 -1.5310 -1.6526 -1.7709 -1.8861 -1.9985 -2.1078
 -0.0023  0.0145  0.0294  0.0426  0.0510  0.0516  0.0438  0.0275  0.0051 -0.0215
 -0.0509 -0.0822 -0.1135 -0.1415 -0.1702 -0.2662 -0.3932 -0.5371 -0.6925 -0.8493
 -1.0002 -1.1434 -1.2794 -1.4095 -1.5345 -1.6550 -1.7717 -1.8851 -1.9957 -2.1038
 -2.2094
 -0.1416 -0.1238 -0.1043 -0.0834 -0.0640 -0.0493 -0.0421 -0.0439 -0.0548 -0.0727
 -0.0952 -0.1217 -0.1512 -0.1818 -0.2108 -0.2968 -0.4135 -0.5499 -0.6966 -0.8493
 -1.0004 -1.1452 -1.2824 -1.4130 -1.5379 -1.6580 -1.7738 -1.8858 -1.9947 -2.1010
 -2.2052
 -0.2721 -0.2630 -0.2469 -0.2245 -0.1984 -0.1725 -0.1511 -0.1372 -0.1329 -0.1378
 -0.1502 -0.1686 -0.1921 -0.2196 -0.2484 -0.3297 -0.4348 -0.5643 -0.7053 -0.8519
 -1.0007 -1.1464 -1.2855 -1.4175 -1.5433 -1.6636 -1.7794 -1.8910 -1.9989 -2.1038
 -2.2061
 -0.3966 -0.3935 -0.3824 -0.3641 -0.3370 -0.3067 -0.2761 -0.2490 -0.2291 -0.2188
 -0.2185 -0.2265 -0.2411 -0.2607 -0.2842 -0.3592 -0.4573 -0.5772 -0.7125 -0.8538
 -0.9979 -1.1420 -1.2821 -1.4159 -1.5430 -1.6642 -1.7805 -1.8923 -1.9999 -2.1040
 -2.2068
 -0.5113 -0.5153 -0.5097 -0.4956 -0.4729 -0.4442 -0.4101 -0.3758 -0.3443 -0.3208
 -0.3062 -0.3000 -0.3017 -0.3109 -0.3271 -0.3925 -0.4833 -0.5925 -0.7205 -0.8571
 -0.9969 -1.1374 -1.2764 -1.4113 -1.5401 -1.6626 -1.7798 -1.8923 -2.0005 -2.1048
 -2.2056
 -0.6164 -0.6283 -0.6288 -0.6190 -0.6061 -0.5850 -0.5440 -0.5082 -0.4718 -0.4401
 -0.4139 -0.3928 -0.3764 -0.3702 -0.3771 -0.4296 -0.5128 -0.6102 -0.7293
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F300M
  0.1139  0.0630 -0.0076 -0.0971 -0.1941 -0.2131 -0.1190  0.0414  0.1905  0.2439
  0.0750 -0.1757 -0.2049 -0.0329  0.0778 -0.1015
  0.1868  0.1411  0.0828  0.0118 -0.0656 -0.1036 -0.0793 -0.0090  0.0700  0.1173
  0.0784 -0.0007 -0.0104  0.0451  0.0637 -0.1188 -0.2984 -0.4701 -0.6361
  0.2383  0.1980  0.1505  0.0951  0.0344 -0.0134 -0.0345 -0.0265 -0.0003  0.0334
  0.0657  0.0889  0.0966  0.0835  0.0451 -0.1357 -0.3152 -0.4874 -0.6521 -0.8092
 -0.9604
  0.2684  0.2337  0.1955  0.1528  0.1057  0.0575  0.0154 -0.0113 -0.0203 -0.0077
  0.0371  0.0931  0.1160  0.0822  0.0220 -0.1522 -0.3293 -0.5012 -0.6653 -0.8219
 -0.9717 -1.1159 -1.2551
  0.2771  0.2482  0.2178  0.1849  0.1484  0.1091  0.0704  0.0368  0.0100 -0.0061
 -0.0075  0.0119  0.0478  0.0412 -0.0056 -0.1683 -0.3407 -0.5115 -0.6758 -0.8320
 -0.9811 -1.1240 -1.2615 -1.3944 -1.5235
  0.2644  0.2415  0.2174  0.1914  0.1625  0.1304  0.0960  0.0629  0.0344  0.0135
