 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F560W
  0.4891  0.6580  0.6676  0.1994 -0.7595 -1.7203 -2.0488 -1.9155 -1.5211 -1.0506
 -1.2613 -1.7161 -1.6524 -1.2795 -1.0461 -1.2431
  0.0372  0.1190  0.1603 -0.0024 -0.3999 -0.8355 -1.0424 -1.0978 -1.0575 -0.9778
 -1.1127 -1.3078 -1.2921 -1.1413 -1.0548 -1.2593 -1.4478 -1.6239 -1.8405
 -0.1842 -0.1865 -0.1720 -0.2046 -0.3057 -0.4451 -0.5668 -0.6912 -0.8081 -0.9085
 -0.9945 -1.0572 -1.0764 -1.0669 -1.0802 -1.2770 -1.4674 -1.6529 -1.8345 -2.0009
 -2.1230
 -0.1751 -0.2585 -0.3293 -0.4072 -0.4769 -0.5492 -0.6220 -0.6958 -0.7729 -0.8429
 -0.9068 -0.9643 -1.0054 -1.0562 -1.1223 -1.2962 -1.4873 -1.6632 -1.8331 -1.9940
 -2.1467 -2.2921 -2.4307
 -0.2691 -0.3254 -0.3786 -0.4385 -0.5006 -0.5674 -0.6371 -0.7081 -0.7795 -0.8498
 -0.9176 -0.9820 -1.0378 -1.0921 -1.1509 -1.3141 -1.4987 -1.6778 -1.8472 -2.0076
 -2.1600 -2.3051 -2.4435 -2.5762 -2.7043
 -0.3677 -0.4055 -0.4451 -0.4896 -0.5410 -0.5989 -0.6621 -0.7281 -0.7954 -0.8626
 -0.9287 -0.9934 -1.0557 -1.1108 -1.1719 -1.3295 -1.5067 -1.6872 -1.8575 -2.0181
 -2.1705 -2.3155 -2.4538 -2.5861 -2.7131 -2.8358
 -0.4707 -0.4988 -0.5288 -0.5605 -0.5981 -0.6437 -0.6970 -0.7558 -0.8179 -0.8815
 -0.9451 -1.0077 -1.0688 -1.1256 -1.1853 -1.3424 -1.5113 -1.6914 -1.8640 -2.0255
 -2.1782 -2.3233 -2.4616 -2.5937 -2.7202 -2.8419 -2.9597 -3.0741 -3.1854 -3.2945
 -0.5783 -0.6053 -0.6297 -0.6517 -0.6758 -0.7066 -0.7457 -0.7935 -0.8476 -0.9056
 -0.9654 -1.0257 -1.0852 -1.1419 -1.1986 -1.3506 -1.5148 -1.6904 -1.8657 -2.0298
 -2.1834 -2.3289 -2.4675 -2.5997 -2.7261 -2.8473 -2.9642 -3.0773 -3.1871 -3.2942
 -3.3996
 -0.6843 -0.7154 -0.7397 -0.7578 -0.7731 -0.7902 -0.8135 -0.8460 -0.8879 -0.9371
 -0.9905 -1.0465 -1.1037 -1.1604 -1.2150 -1.3588 -1.5173 -1.6872 -1.8618 -2.0297
 -2.1859 -2.3325 -2.4716 -2.6042 -2.7309 -2.8521 -2.9686 -3.0808 -3.1894 -3.2951
 -3.3984
 -0.7809 -0.8219 -0.8520 -0.8723 -0.8849 -0.8934 -0.9034 -0.9196 -0.9454 -0.9812
 -1.0248 -1.0736 -1.1260 -1.1802 -1.2337 -1.3703 -1.5220 -1.6861 -1.8570 -2.0268
 -2.1872 -2.3364 -2.4768 -2.6102 -2.7374 -2.8590 -2.9756 -3.0878 -3.1960 -3.3008
 -3.4026
 -0.8750 -0.9196 -0.9545 -0.9807 -0.9955 -1.0034 -1.0068 -1.0108 -1.0205 -1.0400
 -1.0704 -1.1093 -1.1538 -1.2017 -1.2512 -1.3821 -1.5264 -1.6844 -1.8496 -2.0169
 -2.1799 -2.3332 -2.4761 -2.6108 -2.7389 -2.8612 -2.9783 -3.0906 -3.1987 -3.3030
 -3.4061
 -0.9558 -1.0085 -1.0496 -1.0802 -1.1008 -1.1128 -1.1161 -1.1153 -1.1144 -1.1216
 -1.1379 -1.1621 -1.1932 -1.2303 -1.2726 -1.3957 -1.5352 -1.6848 -1.8446 -2.0074
