 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F277W
 -2.0028 -1.7655 -1.9148 -2.7275 -3.9294 -4.6415 -5.1252 -5.2637 -5.0022 -4.3945
 -4.8451 -5.6155 -5.2179 -4.1303 -3.3388 -3.5166
 -2.7636 -2.5775 -2.5290 -2.7746 -3.2325 -3.5048 -3.7232 -3.8447 -3.8612 -3.7811
 -4.0562 -4.3908 -4.2142 -3.7089 -3.3477 -3.5344 -3.7268 -3.8804 -4.0554
 -3.1385 -3.0397 -2.9450 -2.9296 -2.9931 -3.0364 -3.1018 -3.1844 -3.2912 -3.4154
 -3.5428 -3.6248 -3.5814 -3.4497 -3.3690 -3.5488 -3.7380 -3.8995 -4.0635 -4.2188
 -4.3685
 -3.1275 -3.1521 -3.1628 -3.1925 -3.2111 -3.2364 -3.2610 -3.2828 -3.2923 -3.2975
 -3.3048 -3.3175 -3.3195 -3.3527 -3.4027 -3.5598 -3.7419 -3.9122 -4.0737 -4.2290
 -4.3790 -4.5233 -4.6627
 -3.2623 -3.2518 -3.2405 -3.2438 -3.2524 -3.2702 -3.2928 -3.3161 -3.3365 -3.3510
 -3.3609 -3.3741 -3.3867 -3.4109 -3.4523 -3.5885 -3.7518 -3.9197 -4.0829 -4.2386
 -4.3875 -4.5304 -4.6681 -4.8013 -4.9307
 -3.4072 -3.3724 -3.3437 -3.3253 -3.3196 -3.3255 -3.3407 -3.3606 -3.3818 -3.4016
 -3.4181 -3.4320 -3.4483 -3.4650 -3.5002 -3.6196 -3.7666 -3.9280 -4.0900 -4.2458
 -4.3943 -4.5364 -4.6729 -4.8046 -4.9322 -5.0562
 -3.5621 -3.5139 -3.4724 -3.4370 -3.4127 -3.4023 -3.4047 -3.4163 -3.4330 -3.4517
 -3.4706 -3.4880 -3.5044 -3.5191 -3.5464 -3.6531 -3.7863 -3.9371 -4.0950 -4.2506
 -4.3994 -4.5413 -4.6772 -4.8079 -4.9340 -5.0564 -5.1754 -5.2913 -5.4044 -5.5140
 -3.7272 -3.6763 -3.6266 -3.5780 -3.5359 -3.5057 -3.4893 -3.4866 -3.4939 -3.5069
 -3.5228 -3.5403 -3.5578 -3.5737 -3.5941 -3.6842 -3.8090 -3.9491 -4.0997 -4.2532
 -4.4025 -4.5449 -4.6807 -4.8109 -4.9361 -5.0572 -5.1747 -5.2889 -5.4003 -5.5091
 -5.6151
 -3.8911 -3.8455 -3.7951 -3.7405 -3.6862 -3.6380 -3.6006 -3.5778 -3.5693 -3.5716
 -3.5803 -3.5932 -3.6089 -3.6258 -3.6430 -3.7156 -3.8302 -3.9638 -4.1063 -4.2546
 -4.4030 -4.5464 -4.6829 -4.8132 -4.9381 -5.0585 -5.1749 -5.2877 -5.3975 -5.5047
 -5.6097
 -4.0459 -4.0111 -3.9668 -3.9140 -3.8554 -3.7952 -3.7404 -3.6964 -3.6668 -3.6519
 -3.6485 -3.6526 -3.6623 -3.6760 -3.6917 -3.7508 -3.8518 -3.9794 -4.1169 -4.2593
 -4.4045 -4.5479 -4.6858 -4.8171 -4.9425 -5.0628 -5.1788 -5.2909 -5.3996 -5.5055
 -5.6087
 -4.1953 -4.1660 -4.1278 -4.0817 -4.0245 -3.9626 -3.8985 -3.8385 -3.7885 -3.7526
 -3.7316 -3.7228 -3.7230 -3.7296 -3.7407 -3.7899 -3.8744 -3.9928 -4.1256 -4.2634
 -4.4036 -4.5445 -4.6827 -4.8154 -4.9419 -5.0627 -5.1788 -5.2905 -5.3985 -5.5032
 -5.6072
 -4.3313 -4.3102 -4.2785 -4.2374 -4.1866 -4.1288 -4.0637 -3.9971 -3.9334 -3.8819
 -3.8434 -3.8165 -3.7999 -3.7925 -3.7933 -3.8274 -3.9013 -4.0076 -4.1342 -4.2682
 -4.4046 -4.5417 -4.6780 -4.8112 -4.9390 -5.0611 -5.1779 -5.2900 -5.3980 -5.5024
 -5.6034
 -4.4538 -4.4436 -4.4189 -4.3811 -4.3417 -4.2938 -4.2247 -4.1585 -4.0911 -4.0299
 -3.9762 -3.9293 -3.8889 -3.8647 -3.8495 -3.8632 -3.9325 -4.0238 -4.1427
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F277W
 -3.3703 -3.4160 -3.4723 -3.5431 -3.6090 -3.5699 -3.4828 -3.3601 -3.2474 -3.2059
 -3.3523 -3.5703 -3.5942 -3.4411 -3.3464 -3.5159
 -3.2921 -3.3310 -3.3782 -3.4355 -3.4912 -3.4916 -3.4605 -3.4015 -3.3380 -3.2994
 -3.3352 -3.4069 -3.4181 -3.3720 -3.3600 -3.5331 -3.7094 -3.8798 -4.0450
 -3.2444 -3.2753 -3.3128 -3.3573 -3.4029 -3.4277 -3.4342 -3.4202 -3.3943 -3.3649
 -3.3390 -3.3228 -3.3211 -3.3382 -3.3775 -3.5501 -3.7248 -3.8956 -4.0596 -4.2165
 -4.3677
 -3.2272 -3.2489 -3.2761 -3.3085 -3.3441 -3.3782 -3.4039 -3.4163 -3.4164 -3.4022
 -3.3637 -3.3181 -3.3032 -3.3395 -3.3989 -3.5669 -3.7385 -3.9084 -4.0717 -4.2278
 -4.3775 -4.5218 -4.6612
 -3.2405 -3.2518 -3.2681 -3.2891 -3.3148 -3.3431 -3.3696 -3.3898 -3.4043 -3.4114
 -3.4092 -3.3928 -3.3644 -3.3760 -3.4242 -3.5835 -3.7505 -3.9182 -4.0812 -4.2369
 -4.3856 -4.5286 -4.6663 -4.7997 -4.9293
 -3.2843 -3.2840 -3.2888 -3.2991 -3.3150 -3.3357 -3.3593 -3.3811 -3.3981 -3.4085
 -3.4194 -3.4308 -3.4235 -3.4240 -3.4589 -3.6018 -3.7627 -3.9262 -4.0881 -4.2438
 -4.3922 -4.5344 -4.6709 -4.8028 -4.9306 -5.0548
 -3.3578 -3.3458 -3.3373 -3.3351 -3.3398 -3.3517 -3.3691 -3.3894 -3.4091 -3.4257
