 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F430M
 -3.4481 -3.3631 -3.4113 -3.8614 -4.7313 -5.4510 -5.4914 -5.4772 -5.4472 -5.3994
 -5.5907 -5.6543 -5.4380 -5.1530 -5.0364 -5.2107
 -3.8990 -3.8383 -3.8260 -3.9980 -4.3784 -4.7349 -4.8412 -4.9500 -5.0458 -5.1140
 -5.2261 -5.2541 -5.1616 -5.0538 -5.0290 -5.2209 -5.3896 -5.5708 -5.7695
 -4.1477 -4.1418 -4.1358 -4.1825 -4.2954 -4.4348 -4.5503 -4.6867 -4.8153 -4.9197
 -4.9862 -5.0099 -5.0047 -5.0084 -5.0423 -5.2325 -5.4110 -5.5972 -5.7750 -5.9400
 -6.0705
 -4.1942 -4.2736 -4.3407 -4.4149 -4.4821 -4.5506 -4.6187 -4.6873 -4.7556 -4.8165
 -4.8709 -4.9215 -4.9674 -5.0167 -5.0763 -5.2455 -5.4394 -5.6120 -5.7790 -5.9390
 -6.0911 -6.2360 -6.3750
 -4.2941 -4.3499 -4.4021 -4.4601 -4.5199 -4.5831 -4.6481 -4.7139 -4.7800 -4.8447
 -4.9053 -4.9609 -5.0123 -5.0628 -5.1156 -5.2667 -5.4464 -5.6243 -5.7924 -5.9516
 -6.1030 -6.2475 -6.3858 -6.5187 -6.6473
 -4.3967 -4.4366 -4.4773 -4.5217 -4.5716 -4.6266 -4.6855 -4.7464 -4.8083 -4.8704
 -4.9313 -4.9898 -5.0445 -5.0950 -5.1480 -5.2884 -5.4544 -5.6321 -5.8016 -5.9612
 -6.1125 -6.2568 -6.3946 -6.5268 -6.6541 -6.7773
 -4.5020 -4.5337 -4.5663 -4.5997 -4.6373 -4.6811 -4.7309 -4.7848 -4.8413 -4.8991
 -4.9575 -5.0150 -5.0704 -5.1222 -5.1735 -5.3106 -5.4634 -5.6354 -5.8066 -5.9678
 -6.1196 -6.2639 -6.4015 -6.5333 -6.6598 -6.7819 -6.9002 -7.0151 -7.1270 -7.2365
 -4.6101 -4.6412 -4.6691 -4.6941 -4.7202 -4.7510 -4.7880 -4.8317 -4.8804 -4.9322
 -4.9860 -5.0407 -5.0950 -5.1469 -5.1971 -5.3283 -5.4750 -5.6371 -5.8071 -5.9708
 -6.1243 -6.2691 -6.4069 -6.5386 -6.6648 -6.7861 -6.9033 -7.0170 -7.1274 -7.2351
 -7.3408
 -4.7192 -4.7522 -4.7791 -4.8004 -4.8189 -4.8381 -4.8613 -4.8913 -4.9288 -4.9719
 -5.0188 -5.0685 -5.1199 -5.1714 -5.2207 -5.3457 -5.4854 -5.6403 -5.8045 -5.9692
 -6.1255 -6.2721 -6.4106 -6.5426 -6.6687 -6.7898 -6.9066 -7.0193 -7.1285 -7.2348
 -7.3386
 -4.8160 -4.8591 -4.8916 -4.9146 -4.9301 -4.9415 -4.9533 -4.9693 -4.9924 -5.0232
 -5.0604 -5.1023 -5.1481 -5.1964 -5.2443 -5.3651 -5.4975 -5.6460 -5.8045 -5.9666
 -6.1251 -6.2748 -6.4152 -6.5481 -6.6747 -6.7959 -6.9124 -7.0248 -7.1336 -7.2391
 -7.3415
 -4.9072 -4.9554 -4.9933 -5.0219 -5.0395 -5.0500 -5.0562 -5.0618 -5.0708 -5.0874
 -5.1128 -5.1452 -5.1827 -5.2234 -5.2662 -5.3814 -5.5096 -5.6509 -5.8031 -5.9603
 -6.1177 -6.2698 -6.4132 -6.5481 -6.6758 -6.7975 -6.9142 -7.0263 -7.1346 -7.2394
 -7.3432
 -4.9817 -5.0411 -5.0870 -5.1206 -5.1438 -5.1579 -5.1635 -5.1650 -5.1655 -5.1713
 -5.1837 -5.2024 -5.2273 -5.2579 -5.2940 -5.4021 -5.5255 -5.6579 -5.8038 -5.9558
 -6.1096 -6.2613 -6.4073 -6.5451 -6.6750 -6.7981 -6.9155 -7.0279 -7.1361 -7.2405
 -7.3417
 -5.0396 -5.1163 -5.1727 -5.2107 -5.2430 -5.2652 -5.2685 -5.2709 -5.2692 -5.2689
 -5.2712 -5.2758 -5.2825 -5.2999 -5.3278 -5.4271 -5.5452 -5.6670 -5.8066
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F430M
 -4.2381 -4.3201 -4.3978 -4.4745 -4.5514 -4.5878 -4.5538 -4.5623 -4.6160 -4.7095
 -4.8370 -4.9329 -4.9642 -4.9753 -5.0102 -5.1972
 -4.2050 -4.2861 -4.3646 -4.4418 -4.5181 -4.5734 -4.5915 -4.6238 -4.6726 -4.7372
 -4.8165 -4.8868 -4.9359 -4.9798 -5.0358 -5.2234 -5.4007 -5.5717 -5.7372
 -4.1915 -4.2696 -4.3466 -4.4225 -4.4971 -4.5639 -4.6160 -4.6656 -4.7144 -4.7637
 -4.8151 -4.8695 -4.9278 -4.9909 -5.0593 -5.2454 -5.4229 -5.5939 -5.7603 -5.9202
 -6.0722
 -4.1976 -4.2706 -4.3438 -4.4166 -4.4885 -4.5593 -4.6273 -4.6877 -4.7412 -4.7891
 -4.8327 -4.8809 -4.9401 -5.0086 -5.0807 -5.2632 -5.4402 -5.6114 -5.7782 -5.9372
 -6.0888 -6.2337 -6.3734
 -4.2233 -4.2891 -4.3562 -4.4241 -4.4922 -4.5596 -4.6254 -4.6901 -4.7532 -4.8133
 -4.8694 -4.9211 -4.9727 -5.0329 -5.1000 -5.2768 -5.4526 -5.6242 -5.7909 -5.9499
 -6.1012 -6.2456 -6.3839 -6.5170 -6.6458
 -4.2686 -4.3251 -4.3838 -4.4450 -4.5082 -4.5724 -4.6364 -4.6993 -4.7615 -4.8233
 -4.8852 -4.9460 -5.0020 -5.0590 -5.1212 -5.2885 -5.4610 -5.6326 -5.8000 -5.9592
 -6.1105 -6.2547 -6.3925 -6.5248 -6.6523 -6.7758
 -4.3338 -4.3807 -4.4290 -4.4809 -4.5365 -4.5954 -4.6561 -4.7171 -4.7780 -4.8388
 -4.8997 -4.9611 -5.0220 -5.0791 -5.1402 -5.3011 -5.4674 -5.6368 -5.8052 -5.9656
 -6.1173 -6.2615 -6.3992 -6.5311 -6.6578 -6.7801 -6.8987 -7.0138 -7.1258 -7.2353
 -4.4143 -4.4543 -4.4935 -4.5345 -4.5800 -4.6306 -4.6851 -4.7422 -4.8006 -4.8595
 -4.9188 -4.9787 -5.0388 -5.0968 -5.1559 -5.3126 -5.4741 -5.6384 -5.8060 -5.9686
 -6.1218 -6.2666 -6.4044 -6.5362 -6.6625 -6.7841 -6.9016 -7.0154 -7.1260 -7.2338
 -7.3396
 -4.4729 -4.5299 -4.5740 -4.6065 -4.6411 -4.6810 -4.7266 -4.7768 -4.8304 -4.8859
 -4.9425 -5.0001 -5.0584 -5.1164 -5.1728 -5.3231 -5.4802 -5.6400 -5.8051 -5.9673
 -6.1223 -6.2695 -6.4080 -6.5401 -6.6664 -6.7877 -6.9046 -7.0177 -7.1275 -7.2339
 -7.3374
 -4.6029 -4.6278 -4.6585 -4.6943 -4.7213 -4.7502 -4.7849 -4.8255 -4.8713 -4.9210
 -4.9732 -5.0274 -5.0829 -5.1390 -5.1940 -5.3371 -5.4879 -5.6439 -5.8033 -5.9651
 -6.1230 -6.2722 -6.4125 -6.5454 -6.6723 -6.7937 -6.9104 -7.0230 -7.1319 -7.2375
 -7.3402
 -4.6786 -4.7193 -4.7559 -4.7889 -4.8121 -4.8353 -4.8596 -4.8892 -4.9247 -4.9657
 -5.0109 -5.0596 -5.1106 -5.1634 -5.2167 -5.3529 -5.4957 -5.6461 -5.8011 -5.9588
 -6.1159 -6.2676 -6.4107 -6.5455 -6.6733 -6.7952 -6.9121 -7.0245 -7.1329 -7.2379
 -7.3418
 -4.7534 -4.8043 -4.8460 -4.8795 -4.9026 -4.9189 -4.9361 -4.9702 -4.9947 -5.0250
 -5.0607 -5.1014 -5.1458 -5.1933 -5.2429 -5.3722 -5.5072 -5.6506 -5.8006 -5.9539
 -6.1079 -6.2594 -6.4051 -6.5427 -6.6725 -6.7957 -6.9133 -7.0260 -7.1343 -7.2389
 -7.3403
 -4.8272 -4.8828 -4.9288 -4.9662 -4.9928 -5.0010 -5.0367 -5.0508 -5.0680 -5.1009
 -5.1259 -5.1561 -5.1916 -5.2314 -5.2726 -5.3950 -5.5224 -5.6574 -5.8018
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F430M
 -4.3032 -4.3977 -4.4736 -4.5009 -4.4768 -4.4388 -4.4275 -4.4541 -4.5158 -4.6095
 -4.7044 -4.7940 -4.8701 -4.9396 -5.0122 -5.1971
 -4.2536 -4.3441 -4.4248 -4.4801 -4.5083 -4.5242 -4.5445 -4.5763 -4.6221 -4.6831
 -4.7503 -4.8228 -4.8963 -4.9693 -5.0434 -5.2278 -5.4052 -5.5738 -5.7330
 -4.2197 -4.3059 -4.3884 -4.4612 -4.5232 -4.5752 -4.6193 -4.6592 -4.6992 -4.7425
 -4.7926 -4.8523 -4.9212 -4.9946 -5.0690 -5.2526 -5.4287 -5.5960 -5.7582 -5.9163
 -6.0706
 -4.2015 -4.2831 -4.3644 -4.4442 -4.5215 -4.5918 -4.6519 -4.7028 -4.7471 -4.7877
 -4.8313 -4.8825 -4.9448 -5.0155 -5.0890 -5.2715 -5.4469 -5.6137 -5.7772 -5.9357
 -6.0871 -6.2320 -6.3713
 -4.1990 -4.2757 -4.3528 -4.4291 -4.5032 -4.5740 -4.6423 -4.7071 -4.7658 -4.8187
 -4.8664 -4.9134 -4.9671 -5.0320 -5.1034 -5.2845 -5.4598 -5.6269 -5.7901 -5.9482
 -6.0993 -6.2438 -6.3821 -6.5153 -6.6442
 -4.2130 -4.2832 -4.3547 -4.4267 -4.4982 -4.5677 -4.6342 -4.6976 -4.7601 -4.8223
 -4.8824 -4.9388 -4.9914 -5.0491 -5.1156 -5.2933 -5.4682 -5.6359 -5.7993 -5.9574
 -6.1084 -6.2526 -6.3905 -6.5229 -6.6506 -6.7743
 -4.2464 -4.3078 -4.3715 -4.4371 -4.5038 -4.5709 -4.6368 -4.7005 -4.7619 -4.8227
 -4.8846 -4.9477 -5.0084 -5.0664 -5.1291 -5.2999 -5.4731 -5.6410 -5.8049 -5.9637
 -6.1151 -6.2593 -6.3970 -6.5290 -6.6559 -6.7784 -6.8972 -7.0125 -7.1246 -7.2341
 -4.3006 -4.3524 -4.4062 -4.4629 -4.5224 -4.5843 -4.6474 -4.7102 -4.7720 -4.8325
 -4.8926 -4.9541 -5.0173 -5.0780 -5.1402 -5.3065 -5.4761 -5.6428 -5.8067 -5.9667
 -6.1193 -6.2641 -6.4020 -6.5339 -6.6604 -6.7822 -6.9000 -7.0140 -7.1247 -7.2326
 -7.3384
 -4.3718 -4.4167 -4.4610 -4.5071 -4.5571 -4.6109 -4.6681 -4.7273 -4.7874 -4.8475
 -4.9071 -4.9668 -5.0277 -5.0890 -5.1496 -5.3125 -5.4787 -5.6430 -5.8053 -5.9660
 -6.1207 -6.2669 -6.4055 -6.5376 -6.6641 -6.7856 -6.9027 -7.0160 -7.1256 -7.2322
 -7.3362
 -4.4525 -4.4956 -4.5344 -4.5713 -4.6108 -4.6547 -4.7034 -4.7560 -4.8117 -4.8691
 -4.9273 -4.9858 -5.0448 -5.1044 -5.1632 -5.3203 -5.4828 -5.6448 -5.8048 -5.9645
 -6.1210 -6.2697 -6.4098 -6.5428 -6.6698 -6.7913 -6.9083 -7.0212 -7.1303 -7.2361
 -7.3389
 -4.5333 -4.5788 -4.6176 -4.6505 -4.6814 -4.7155 -4.7540 -4.7976 -4.8459 -4.8978
 -4.9522 -5.0082 -5.0649 -5.1223 -5.1798 -5.3292 -5.4858 -5.6443 -5.8017 -5.9585
 -6.1145 -6.2654 -6.4082 -6.5428 -6.6707 -6.7928 -6.9099 -7.0225 -7.1311 -7.2363
 -7.3404
 -4.6121 -4.6616 -4.7029 -4.7376 -4.7667 -4.7931 -4.8224 -4.8562 -4.8951 -4.9388
 -4.9866 -5.0377 -5.0909 -5.1453 -5.2005 -5.3427 -5.4920 -5.6454 -5.7996 -5.9533
 -6.1067 -6.2577 -6.4028 -6.5402 -6.6699 -6.7931 -6.9109 -7.0238 -7.1324 -7.2372
 -7.3388
 -4.6889 -4.7440 -4.7868 -4.8262 -4.8572 -4.8827 -4.9065 -4.9318 -4.9612 -4.9954
 -5.0343 -5.0778 -5.1250 -5.1748 -5.2253 -5.3608 -5.5014 -5.6481 -5.7985
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F430M
 -4.1717 -4.2133 -4.2592 -4.3174 -4.3700 -4.4250 -4.4824 -4.5447 -4.6076 -4.6702
 -4.7341 -4.7989 -4.8654 -4.9353 -5.0213 -5.2015
 -4.2326 -4.2915 -4.3456 -4.3960 -4.4454 -4.4960 -4.5494 -4.6058 -4.6623 -4.7185
 -4.7765 -4.8386 -4.9056 -4.9765 -5.0538 -5.2343 -5.4090 -5.5770 -5.7367
 -4.2521 -4.3238 -4.3878 -4.4457 -4.4994 -4.5510 -4.6029 -4.6555 -4.7076 -4.7591
 -4.8122 -4.8705 -4.9358 -5.0066 -5.0795 -5.2603 -5.4344 -5.6006 -5.7595 -5.9164
 -6.0674
 -4.2302 -4.3102 -4.3858 -4.4665 -4.5319 -4.5899 -4.6429 -4.6938 -4.7435 -4.7920
 -4.8412 -4.8946 -4.9560 -5.0256 -5.0984 -5.2795 -5.4536 -5.6190 -5.7775 -5.9335
