 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  G   
 -1.7154 -1.6935 -1.8790 -1.8714 -1.7719 -1.6114 -1.4178 -1.2929 -1.1795 -1.0585
 -0.9436 -0.8349 -0.7334 -0.6394 -0.5546 -0.3731 -0.2314 -0.1170 -0.0452
 -1.7155 -1.6114 -1.5244 -1.4718 -1.4543 -1.4092 -1.3109 -1.1936 -1.0803 -0.9704
 -0.8637 -0.7625 -0.6685 -0.5823 -0.5038 -0.3380 -0.2098 -0.1148 -0.0466  0.0030
 -1.5772 -1.4770 -1.3782 -1.2897 -1.2186 -1.1790 -1.1533 -1.0956 -1.0065 -0.9052
 -0.8065 -0.7120 -0.6236 -0.5426 -0.4691 -0.3154 -0.1989 -0.1135 -0.0523 -0.0074
  0.0267
 -1.4544 -1.3703 -1.2783 -1.1869 -1.1025 -1.0287 -0.9710 -0.9352 -0.8979 -0.8369
 -0.7566 -0.6713 -0.5893 -0.5131 -0.4437 -0.2991 -0.1911 -0.1140 -0.0590 -0.0186
  0.0125  0.0370
 -1.3339 -1.2701 -1.1935 -1.1100 -1.0269 -0.9491 -0.8788 -0.8173 -0.7705 -0.7301
 -0.6845 -0.6250 -0.5572 -0.4885 -0.4237 -0.2868 -0.1848 -0.1139 -0.0649 -0.0294
 -0.0019  0.0201  0.0381  0.0525
 -1.2144 -1.1671 -1.1092 -1.0399 -0.9651 -0.8904 -0.8200 -0.7554 -0.6970 -0.6452
 -0.6004 -0.5578 -0.5102 -0.4573 -0.4025 -0.2762 -0.1789 -0.1122 -0.0680 -0.0380
 -0.0149  0.0037  0.0191  0.0320  0.0440  0.0539  0.0600  0.0609  0.0556  0.0435
 -1.0985 -1.0628 -1.0202 -0.9666 -0.9046 -0.8382 -0.7717 -0.7086 -0.6507 -0.5971
 -0.5474 -0.5017 -0.4590 -0.4166 -0.3725 -0.2637 -0.1721 -0.1070 -0.0668 -0.0421
 -0.0246 -0.0105  0.0012  0.0113  0.0201  0.0288  0.0358  0.0389  0.0363  0.0268
  0.0096
 -0.9885 -0.9606 -0.9277 -0.8871 -0.8387 -0.7839 -0.7255 -0.6667 -0.6110 -0.5594
 -0.5114 -0.4659 -0.4225 -0.3816 -0.3419 -0.2468 -0.1636 -0.1008 -0.0617 -0.0406
 -0.0285 -0.0201 -0.0132 -0.0071 -0.0018  0.0033  0.0092  0.0135  0.0135  0.0070
 -0.0073
 -0.8871 -0.8639 -0.8363 -0.8026 -0.7657 -0.7225 -0.6744 -0.6233 -0.5720 -0.5230
 -0.4774 -0.4348 -0.3941 -0.3547 -0.3165 -0.2282 -0.1522 -0.0931 -0.0539 -0.0341
 -0.0261 -0.0233 -0.0222 -0.0216 -0.0207 -0.0194 -0.0181 -0.0170 -0.0181 -0.0216
 -0.0273
 -0.7967 -0.7760 -0.7511 -0.7225 -0.6906 -0.6557 -0.6177 -0.5757 -0.5316 -0.4870
 -0.4443 -0.4045 -0.3671 -0.3307 -0.2953 -0.2125 -0.1409 -0.0848 -0.0462 -0.0256
 -0.0187 -0.0196 -0.0241 -0.0294 -0.0342 -0.0381 -0.0412 -0.0435 -0.0458 -0.0489
 -0.0529
 -0.7176 -0.6962 -0.6722 -0.6458 -0.6174 -0.5871 -0.5552 -0.5216 -0.4856 -0.4477
 -0.4094 -0.3726 -0.3380 -0.3054 -0.2739 -0.1981 -0.1301 -0.0763 -0.0387 -0.0170
 -0.0094 -0.0114 -0.0193 -0.0298 -0.0405 -0.0504 -0.0590 -0.0662 -0.0725 -0.0784
 -0.0848
 -0.6430 -0.6105 -0.5833 -0.5594 -0.5368 -0.5139 -0.4893 -0.4622 -0.4330 -0.4022
 -0.3704 -0.3381 -0.3067 -0.2771 -0.2490 -0.1822 -0.1194 -0.0677 -0.0310
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  G   
 -2.0151 -2.0029 -1.9512 -1.8107 -1.6388 -1.4691 -1.3235 -1.2015 -1.0895 -0.9819
 -0.8786 -0.7804 -0.6881 -0.6019 -0.5222 -0.3519 -0.2175 -0.1118 -0.0385
 -1.8108 -1.7114 -1.6666 -1.6500 -1.5565 -1.4103 -1.2635 -1.1375 -1.0268 -0.9224
 -0.8226 -0.7280 -0.6394 -0.5575 -0.4824 -0.3240 -0.2012 -0.1082 -0.0400  0.0102
 -1.6889 -1.5725 -1.4691 -1.3935 -1.3652 -1.3232 -1.2167 -1.0920 -0.9803 -0.8793
 -0.7832 -0.6922 -0.6069 -0.5282 -0.4564 -0.3062 -0.1916 -0.1061 -0.0442  0.0013
  0.0358
 -1.5900 -1.4825 -1.3728 -1.2679 -1.1811 -1.1247 -1.0942 -1.0383 -0.9434 -0.8459
 -0.7539 -0.6666 -0.5845 -0.5086 -0.4393 -0.2949 -0.1859 -0.1059 -0.0491 -0.0080
  0.0232  0.0479
 -1.4964 -1.4055 -1.3048 -1.2030 -1.1069 -1.0194 -0.9478 -0.8969 -0.8602 -0.8035
 -0.7271 -0.6456 -0.5673 -0.4944 -0.4273 -0.2875 -0.1825 -0.1063 -0.0536 -0.0168
  0.0108  0.0327  0.0504  0.0641
 -1.4055 -1.3285 -1.2428 -1.1497 -1.0562 -0.9673 -0.8846 -0.8104 -0.7497 -0.7059
 -0.6651 -0.6122 -0.5483 -0.4811 -0.4171 -0.2816 -0.1794 -0.1057 -0.0562 -0.0237
 -0.0004  0.0180  0.0329  0.0452  0.0561  0.0645  0.0692  0.0692  0.0635  0.0513
 -1.3099 -1.2474 -1.1772 -1.0977 -1.0127 -0.9278 -0.8466 -0.7704 -0.7005 -0.6394
 -0.5884 -0.5462 -0.5037 -0.4551 -0.4022 -0.2754 -0.1758 -0.1036 -0.0560 -0.0270
 -0.0084  0.0054  0.0166  0.0259  0.0338  0.0415  0.0473  0.0491  0.0452  0.0345
  0.0175
 -1.2162 -1.1623 -1.1064 -1.0403 -0.9674 -0.8904 -0.8138 -0.7403 -0.6712 -0.6071
