 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F250M
 -2.2672 -2.3003 -2.2495 -2.2171 -2.2466 -2.2906 -2.3463 -2.3978 -2.4636 -2.5261
 -2.5891 -2.6562 -2.7264 -2.7964 -2.8637 -3.0214 -3.1540 -3.2622 -3.5214
 -2.3384 -2.3224 -2.3191 -2.3247 -2.3299 -2.3392 -2.3722 -2.4229 -2.4811 -2.5425
 -2.6070 -2.6743 -2.7429 -2.8111 -2.8778 -3.0346 -3.1803 -3.3391 -3.5016 -3.6587
 -2.4057 -2.3840 -2.3802 -2.3867 -2.3997 -2.4159 -2.4285 -2.4540 -2.4990 -2.5559
 -2.6174 -2.6831 -2.7511 -2.8194 -2.8865 -3.0456 -3.1939 -3.3508 -3.5120 -3.6677
 -3.8176
 -2.4873 -2.4536 -2.4430 -2.4476 -2.4611 -2.4801 -2.5031 -2.5240 -2.5458 -2.5814
 -2.6320 -2.6922 -2.7575 -2.8248 -2.8920 -3.0534 -3.2049 -3.3613 -3.5200 -3.6749
 -3.8235 -3.9667
 -2.5937 -2.5387 -2.5142 -2.5108 -2.5207 -2.5383 -2.5603 -2.5862 -2.6127 -2.6402
 -2.6717 -2.7150 -2.7696 -2.8317 -2.8972 -3.0595 -3.2140 -3.3695 -3.5260 -3.6803
 -3.8283 -3.9703 -4.1073 -4.2399
 -2.7216 -2.6489 -2.6026 -2.5841 -2.5850 -2.5976 -2.6168 -2.6395 -2.6663 -2.6969
 -2.7291 -2.7633 -2.8040 -2.8531 -2.9093 -3.0659 -3.2219 -3.3761 -3.5305 -3.6841
 -3.8318 -3.9733 -4.1092 -4.2404 -4.3680 -4.4921 -4.6128 -4.7300 -4.8438 -4.9542
 -2.8638 -2.7796 -2.7138 -2.6764 -2.6613 -2.6639 -2.6774 -2.6964 -2.7191 -2.7454
 -2.7765 -2.8116 -2.8495 -2.8912 -2.9383 -3.0772 -3.2301 -3.3823 -3.5346 -3.6864
 -3.8340 -3.9755 -4.1108 -4.2410 -4.3668 -4.4888 -4.6075 -4.7231 -4.8361 -4.9464
 -5.0532
 -3.0128 -2.9224 -2.8463 -2.7924 -2.7585 -2.7449 -2.7474 -2.7600 -2.7784 -2.8001
 -2.8254 -2.8554 -2.8905 -2.9301 -2.9734 -3.0984 -3.2415 -3.3905 -3.5393 -3.6880
 -3.8346 -3.9765 -4.1120 -4.2418 -4.3667 -4.4874 -4.6045 -4.7183 -4.8294 -4.9379
 -5.0442
 -3.1613 -3.0687 -2.9899 -2.9305 -2.8793 -2.8478 -2.8344 -2.8354 -2.8465 -2.8632
 -2.8834 -2.9071 -2.9353 -2.9691 -3.0083 -3.1246 -3.2589 -3.4019 -3.5475 -3.6925
 -3.8367 -3.9782 -4.1146 -4.2450 -4.3698 -4.4898 -4.6059 -4.7184 -4.8279 -4.9347
 -5.0390
 -3.3018 -3.2102 -3.1329 -3.0686 -3.0160 -2.9741 -2.9435 -2.9289 -2.9277 -2.9362
 -2.9505 -2.9687 -2.9901 -3.0167 -3.0487 -3.1502 -3.2761 -3.4134 -3.5546 -3.6959
 -3.8365 -3.9758 -4.1121 -4.2434 -4.3689 -4.4890 -4.6046 -4.7162 -4.8243 -4.9294
 -5.0338
 -3.4300 -3.3475 -3.2756 -3.2133 -3.1597 -3.1141 -3.0756 -3.0454 -3.0287 -3.0243
 -3.0295 -3.0408 -3.0561 -3.0749 -3.0976 -3.1799 -3.2948 -3.4251 -3.5618 -3.7003
 -3.8377 -3.9740 -4.1085 -4.2399 -4.3664 -4.4875 -4.6036 -4.7150 -4.8226 -4.9267
 -5.0278
 -3.5515 -3.5104 -3.4569 -3.3967 -3.3353 -3.2773 -3.2263 -3.1850 -3.1541 -3.1341
 -3.1250 -3.1261 -3.1336 -3.1454 -3.1609 -3.2199 -3.3168 -3.4384 -3.5699
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F250M
 -2.2107 -2.2138 -2.2121 -2.2320 -2.2721 -2.3206 -2.3748 -2.4349 -2.4978 -2.5622
 -2.6264 -2.6913 -2.7575 -2.8243 -2.8906 -3.0495 -3.1904 -3.3108 -3.4904
 -2.2487 -2.2428 -2.2520 -2.2598 -2.2811 -2.3260 -2.3815 -2.4423 -2.5061 -2.5713
 -2.6366 -2.7027 -2.7698 -2.8374 -2.9043 -3.0638 -3.2060 -3.3430 -3.4986 -3.6553
 -2.3024 -2.2906 -2.2955 -2.3107 -2.3280 -2.3449 -2.3868 -2.4450 -2.5085 -2.5735
 -2.6391 -2.7055 -2.7731 -2.8413 -2.9090 -3.0708 -3.2166 -3.3557 -3.5089 -3.6639
 -3.8139
 -2.3668 -2.3461 -2.3455 -2.3605 -2.3836 -2.4077 -2.4296 -2.4594 -2.5121 -2.5742
 -2.6386 -2.7045 -2.7717 -2.8400 -2.9083 -3.0727 -3.2230 -3.3654 -3.5170 -3.6707
 -3.8193 -3.9627
 -2.4448 -2.4115 -2.4018 -2.4088 -2.4272 -2.4548 -2.4890 -2.5217 -2.5497 -2.5880
 -2.6418 -2.7037 -2.7691 -2.8366 -2.9049 -3.0714 -3.2261 -3.3722 -3.5229 -3.6756
 -3.8236 -3.9659 -4.1030 -4.2360
 -2.5438 -2.4919 -2.4680 -2.4657 -2.4776 -2.4995 -2.5299 -2.5672 -2.6070 -2.6426
 -2.6766 -2.7190 -2.7728 -2.8351 -2.9015 -3.0686 -3.2269 -3.3768 -3.5271 -3.6790
 -3.8266 -3.9683 -4.1045 -4.2360 -4.3637 -4.4879 -4.6088 -4.7265 -4.8410 -4.9515
 -2.6594 -2.5915 -2.5501 -2.5332 -2.5356 -2.5507 -2.5743 -2.6054 -2.6431 -2.6848
 -2.7263 -2.7650 -2.8049 -2.8520 -2.9070 -3.0665 -3.2267 -3.3796 -3.5300 -3.6809
 -3.8284 -3.9700 -4.1056 -4.2362 -4.3623 -4.4848 -4.6041 -4.7202 -4.8332 -4.9433
 -5.0505
 -2.7873 -2.7116 -2.6531 -2.6181 -2.6056 -2.6105 -2.6271 -2.6512 -2.6816 -2.7179
 -2.7590 -2.8026 -2.8460 -2.8892 -2.9350 -3.0714 -3.2274 -3.3819 -3.5324 -3.6817
 -3.8286 -3.9706 -4.1064 -4.2365 -4.3617 -4.4828 -4.6003 -4.7147 -4.8261 -4.9350
 -5.0415
 -2.9211 -2.8429 -2.7745 -2.7237 -2.6939 -2.6841 -2.6903 -2.7070 -2.7307 -2.7596
 -2.7939 -2.8334 -2.8769 -2.9224 -2.9687 -3.0927 -3.2352 -3.3870 -3.5370 -3.6846
 -3.8301 -3.9720 -4.1086 -4.2392 -4.3643 -4.4848 -4.6013 -4.7144 -4.8245 -4.9316
 -5.0360
 -3.0528 -2.9755 -2.9050 -2.8485 -2.8037 -2.7773 -2.7685 -2.7742 -2.7901 -2.8123
 -2.8393 -2.8711 -2.9081 -2.9499 -2.9953 -3.1164 -3.2492 -3.3929 -3.5402 -3.6856
 -3.8287 -3.9692 -4.1059 -4.2374 -4.3631 -4.4836 -4.5996 -4.7116 -4.8202 -4.9257
 -5.0306
 -3.1716 -3.1075 -3.0424 -2.9840 -2.9298 -2.8910 -2.8671 -2.8584 -2.8629 -2.8770
 -2.8973 -2.9222 -2.9512 -2.9852 -3.0243 -3.1388 -3.2662 -3.4028 -3.5451 -3.6878
 -3.8283 -3.9665 -4.1019 -4.2337 -4.3604 -4.4818 -4.5982 -4.7100 -4.8180 -4.9226
 -5.0241
 -3.2780 -3.2387 -3.1867 -3.1282 -3.0706 -3.0213 -2.9853 -2.9627 -2.9535 -2.9561
 -2.9679 -2.9860 -3.0083 -3.0345 -3.0651 -3.1633 -3.2839 -3.4147 -3.5516
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F250M
 -2.1868 -2.1901 -2.2195 -2.2648 -2.3100 -2.3577 -2.4125 -2.4715 -2.5328 -2.5971
 -2.6618 -2.7259 -2.7898 -2.8541 -2.9187 -3.0764 -3.2220 -3.3508 -3.4842
 -2.1909 -2.2042 -2.2164 -2.2539 -2.3062 -2.3600 -2.4154 -2.4754 -2.5382 -2.6036
 -2.6695 -2.7351 -2.8005 -2.8663 -2.9320 -3.0916 -3.2375 -3.3661 -3.4988 -3.6505
 -2.2213 -2.2284 -2.2475 -2.2646 -2.2979 -2.3523 -2.4113 -2.4722 -2.5358 -2.6015
