 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  g   
 -4.8315 -4.6555 -4.8460 -4.7708 -4.5390 -4.2028 -3.8150 -3.5631 -3.3283 -3.0847
 -2.8536 -2.6380 -2.4381 -2.2493 -2.0687 -1.6738 -1.2762 -0.9191 -0.6695
 -4.7057 -4.3951 -4.1469 -3.9766 -3.8720 -3.7313 -3.5107 -3.2607 -3.0204 -2.7875
 -2.5651 -2.3578 -2.1668 -1.9902 -1.8252 -1.4504 -1.1206 -0.8471 -0.6373 -0.4760
 -4.4079 -4.1022 -3.8314 -3.6030 -3.4165 -3.2835 -3.1717 -3.0080 -2.7992 -2.5765
 -2.3634 -2.1636 -1.9801 -1.8127 -1.6593 -1.3241 -1.0393 -0.8013 -0.6151 -0.4703
 -0.3533
 -4.1632 -3.8872 -3.6252 -3.3901 -3.1827 -2.9985 -2.8406 -2.7145 -2.5815 -2.4093
 -2.2156 -2.0255 -1.8489 -1.6878 -1.5416 -1.2317 -0.9792 -0.7710 -0.6036 -0.4723
 -0.3651 -0.2735
 -3.9416 -3.7045 -3.4672 -3.2419 -3.0360 -2.8474 -2.6726 -2.5112 -2.3715 -2.2379
 -2.0918 -1.9275 -1.7614 -1.6057 -1.4641 -1.1688 -0.9370 -0.7495 -0.5987 -0.4789
 -0.3803 -0.2956 -0.2203 -0.1523
 -3.7365 -3.5326 -3.3285 -3.1231 -2.9271 -2.7440 -2.5721 -2.4088 -2.2545 -2.1096
 -1.9749 -1.8417 -1.7007 -1.5568 -1.4190 -1.1299 -0.9095 -0.7352 -0.5967 -0.4868
 -0.3964 -0.3185 -0.2489 -0.1850 -0.1230 -0.0649 -0.0136  0.0288  0.0603  0.0801
 -3.5493 -3.3708 -3.1945 -3.0151 -2.8351 -2.6622 -2.4973 -2.3398 -2.1891 -2.0436
 -1.9045 -1.7730 -1.6468 -1.5212 -1.3956 -1.1111 -0.8937 -0.7265 -0.5955 -0.4930
 -0.4102 -0.3394 -0.2762 -0.2179 -0.1631 -0.1106 -0.0618 -0.0184  0.0184  0.0459
  0.0577
 -3.3810 -3.2213 -3.0647 -2.9076 -2.7484 -2.5887 -2.4334 -2.2840 -2.1402 -2.0004
 -1.8648 -1.7343 -1.6098 -1.4910 -1.3759 -1.1078 -0.8888 -0.7228 -0.5949 -0.4963
 -0.4193 -0.3557 -0.2995 -0.2476 -0.1987 -0.1518 -0.1057 -0.0627 -0.0257  0.0031
  0.0223
 -3.2330 -3.0866 -2.9430 -2.7974 -2.6579 -2.5152 -2.3717 -2.2308 -2.0948 -1.9623
 -1.8326 -1.7066 -1.5853 -1.4691 -1.3578 -1.1036 -0.8895 -0.7223 -0.5943 -0.4966
 -0.4227 -0.3647 -0.3157 -0.2713 -0.2293 -0.1885 -0.1490 -0.1112 -0.0770 -0.0467
 -0.0198
 -3.1065 -2.9692 -2.8338 -2.7005 -2.5690 -2.4394 -2.3108 -2.1809 -2.0527 -1.9277
 -1.8055 -1.6857 -1.5689 -1.4561 -1.3481 -1.1016 -0.8932 -0.7261 -0.5970 -0.4983
 -0.4242 -0.3687 -0.3252 -0.2880 -0.2536 -0.2202 -0.1874 -0.1552 -0.1240 -0.0948
 -0.0676
 -2.9986 -2.8636 -2.7324 -2.6048 -2.4805 -2.3594 -2.2413 -2.1251 -2.0077 -1.8907
 -1.7758 -1.6630 -1.5523 -1.4442 -1.3397 -1.0995 -0.8953 -0.7294 -0.5996 -0.4999
 -0.4248 -0.3693 -0.3283 -0.2965 -0.2692 -0.2436 -0.2186 -0.1934 -0.1682 -0.1437
 -0.1207
 -2.8941 -2.7412 -2.6061 -2.4844 -2.3716 -2.2642 -2.1593 -2.0547 -1.9500 -1.8452
 -1.7400 -1.6349 -1.5312 -1.4291 -1.3292 -1.0965 -0.8956 -0.7314 -0.6014
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  g   
 -5.1218 -4.9819 -4.7997 -4.4932 -4.1408 -3.7948 -3.4956 -3.2414 -3.0079 -2.7866
 -2.5780 -2.3845 -2.2066 -2.0421 -1.8883 -1.5453 -1.2192 -0.9195 -0.6807
 -4.6735 -4.3905 -4.2245 -4.1154 -3.8935 -3.5917 -3.2910 -3.0287 -2.7959 -2.5768
 -2.3705 -2.1798 -2.0059 -1.8479 -1.7029 -1.3817 -1.0987 -0.8488 -0.6419 -0.4780
 -4.4168 -4.1032 -3.8442 -3.6481 -3.5300 -3.3893 -3.1483 -2.8850 -2.6490 -2.4339
 -2.2306 -2.0418 -1.8697 -1.7143 -1.5737 -1.2721 -1.0186 -0.8002 -0.6174 -0.4701
 -0.3505
 -4.2316 -3.9300 -3.6578 -3.4160 -3.2139 -3.0606 -2.9414 -2.7758 -2.5551 -2.3420
 -2.1422 -1.9555 -1.7841 -1.6294 -1.4902 -1.1983 -0.9631 -0.7671 -0.6035 -0.4698
 -0.3599 -0.2667
 -4.0777 -3.8022 -3.5391 -3.3000 -3.0859 -2.8904 -2.7185 -2.5739 -2.4439 -2.2786
 -2.0908 -1.9066 -1.7360 -1.5810 -1.4414 -1.1522 -0.9270 -0.7455 -0.5963 -0.4739
