 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F090W
 -1.4554 -1.4730 -1.6508 -1.6796 -1.6417 -1.5522 -1.4250 -1.3484 -1.2787 -1.2046
 -1.1342 -1.0683 -1.0081 -0.9546 -0.9090 -0.8176 -0.7970 -0.8601 -0.9001
 -1.4675 -1.4332 -1.4078 -1.4050 -1.4267 -1.4260 -1.3827 -1.3203 -1.2554 -1.1915
 -1.1298 -1.0719 -1.0193 -0.9732 -0.9346 -0.8729 -0.8581 -0.8771 -0.9117 -0.9529
 -1.3684 -1.3396 -1.3079 -1.2806 -1.2632 -1.2673 -1.2814 -1.2714 -1.2330 -1.1810
 -1.1279 -1.0760 -1.0283 -0.9864 -0.9515 -0.8958 -0.8816 -0.9001 -0.9348 -0.9757
 -1.0192
 -1.2731 -1.2588 -1.2343 -1.2069 -1.1816 -1.1611 -1.1506 -1.1561 -1.1604 -1.1465
 -1.1148 -1.0745 -1.0330 -0.9953 -0.9637 -0.9133 -0.9001 -0.9180 -0.9530 -0.9940
 -1.0374 -1.0821
 -1.1713 -1.1756 -1.1652 -1.1457 -1.1234 -1.1020 -1.0831 -1.0684 -1.0627 -1.0621
 -1.0599 -1.0474 -1.0249 -0.9968 -0.9695 -0.9246 -0.9127 -0.9306 -0.9661 -1.0084
 -1.0525 -1.0975 -1.1432 -1.1897
 -1.0623 -1.0827 -1.0897 -1.0837 -1.0699 -1.0530 -1.0363 -1.0205 -1.0058 -0.9939
 -0.9881 -0.9861 -0.9822 -0.9738 -0.9616 -0.9289 -0.9191 -0.9371 -0.9734 -1.0183
 -1.0643 -1.1106 -1.1572 -1.2040 -1.2509 -1.2986 -1.3478 -1.3993 -1.4534 -1.5104
 -0.9484 -0.9815 -1.0035 -1.0127 -1.0116 -1.0038 -0.9925 -0.9803 -0.9680 -0.9553
 -0.9438 -0.9359 -0.9322 -0.9308 -0.9292 -0.9222 -0.9189 -0.9358 -0.9740 -1.0224
 -1.0720 -1.1207 -1.1690 -1.2171 -1.2650 -1.3119 -1.3592 -1.4088 -1.4621 -1.5195
 -1.5788
 -0.8319 -0.8748 -0.9080 -0.9303 -0.9427 -0.9470 -0.9450 -0.9393 -0.9318 -0.9230
 -0.9136 -0.9050 -0.8985 -0.8955 -0.8952 -0.9009 -0.9106 -0.9303 -0.9684 -1.0195
 -1.0737 -1.1265 -1.1777 -1.2279 -1.2775 -1.3264 -1.3742 -1.4224 -1.4731 -1.5275
 -1.5867
 -0.7152 -0.7657 -0.8071 -0.8387 -0.8632 -0.8792 -0.8884 -0.8921 -0.8920 -0.8889
 -0.8841 -0.8788 -0.8740 -0.8709 -0.8700 -0.8777 -0.8952 -0.9206 -0.9587 -1.0112
