 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F070W
 -2.9901 -2.9494 -3.1379 -3.1142 -2.9948 -2.8229 -2.6314 -2.5042 -2.3941 -2.2782
 -2.1674 -2.0635 -1.9674 -1.8832 -1.8095 -1.6588 -1.5707 -1.5059 -1.4836
 -2.9880 -2.8656 -2.7652 -2.7034 -2.6801 -2.6304 -2.5299 -2.4150 -2.3083 -2.2064
 -2.1082 -2.0160 -1.9318 -1.8564 -1.7895 -1.6568 -1.5699 -1.5220 -1.5006 -1.4950
 -2.8468 -2.7316 -2.6216 -2.5249 -2.4489 -2.4073 -2.3819 -2.3274 -2.2454 -2.1538
 -2.0660 -1.9828 -1.9064 -1.8377 -1.7768 -1.6561 -1.5777 -1.5358 -1.5178 -1.5135
 -1.5180
 -2.7250 -2.6276 -2.5269 -2.4288 -2.3402 -2.2651 -2.2092 -2.1771 -2.1468 -2.0963
 -2.0282 -1.9559 -1.8874 -1.8251 -1.7692 -1.6578 -1.5850 -1.5475 -1.5327 -1.5298
 -1.5343 -1.5445
 -2.6082 -2.5309 -2.4469 -2.3587 -2.2720 -2.1928 -2.1242 -2.0672 -2.0275 -1.9965
 -1.9628 -1.9175 -1.8649 -1.8113 -1.7612 -1.6583 -1.5898 -1.5555 -1.5438 -1.5436
 -1.5492 -1.5593 -1.5735 -1.5920
 -2.4953 -2.4326 -2.3667 -2.2937 -2.2169 -2.1408 -2.0712 -2.0103 -1.9589 -1.9167
 -1.8829 -1.8530 -1.8202 -1.7834 -1.7449 -1.6551 -1.5905 -1.5583 -1.5495 -1.5535
 -1.5618 -1.5733 -1.5878 -1.6052 -1.6256 -1.6496 -1.6779 -1.7108 -1.7486 -1.7915
 -2.3894 -2.3354 -2.2826 -2.2242 -2.1610 -2.0943 -2.0284 -1.9677 -1.9155 -1.8710
 -1.8324 -1.7988 -1.7693 -1.7415 -1.7131 -1.6439 -1.5863 -1.5541 -1.5484 -1.5571
 -1.5702 -1.5848 -1.6011 -1.6192 -1.6391 -1.6597 -1.6831 -1.7116 -1.7469 -1.7893
 -1.8347
 -2.2937 -2.2435 -2.1969 -2.1488 -2.0980 -2.0440 -1.9869 -1.9301 -1.8785 -1.8343
 -1.7966 -1.7632 -1.7326 -1.7051 -1.6797 -1.6228 -1.5761 -1.5464 -1.5411 -1.5534
 -1.5722 -1.5919 -1.6116 -1.6319 -1.6532 -1.6753 -1.6976 -1.7223 -1.7518 -1.7880
 -1.8321
 -2.2114 -2.1614 -2.1155 -2.0706 -2.0281 -1.9845 -1.9388 -1.8905 -1.8426 -1.7992
 -1.7623 -1.7310 -1.7029 -1.6768 -1.6522 -1.5997 -1.5603 -1.5355 -1.5296 -1.5434
 -1.5668 -1.5925 -1.6176 -1.6420 -1.6660 -1.6899 -1.7142 -1.7393 -1.7673 -1.7983
 -1.8322
 -2.1456 -2.0935 -2.0452 -2.0003 -1.9586 -1.9198 -1.8829 -1.8448 -1.8050 -1.7652
 -1.7292 -1.6989 -1.6732 -1.6496 -1.6276 -1.5799 -1.5437 -1.5222 -1.5168 -1.5295
 -1.5546 -1.5849 -1.6159 -1.6457 -1.6741 -1.7014 -1.7281 -1.7545 -1.7813 -1.8094
 -1.8394
 -2.0960 -2.0369 -1.9838 -1.9361 -1.8935 -1.8553 -1.8213 -1.7904 -1.7595 -1.7274
 -1.6952 -1.6661 -1.6416 -1.6211 -1.6029 -1.5616 -1.5282 -1.5088 -1.5046 -1.5155
 -1.5398 -1.5717 -1.6068 -1.6421 -1.6760 -1.7081 -1.7387 -1.7680 -1.7966 -1.8252
 -1.8548
 -2.0515 -1.9665 -1.9022 -1.8537 -1.8160 -1.7852 -1.7581 -1.7322 -1.7068 -1.6817
 -1.6566 -1.6317 -1.6088 -1.5897 -1.5739 -1.5417 -1.5136 -1.4957 -1.4924
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F070W
 -3.2885 -3.2607 -3.1934 -3.0356 -2.8518 -2.6777 -2.5342 -2.4186 -2.3151 -2.2163
 -2.1212 -2.0307 -1.9456 -1.8670 -1.7959 -1.6510 -1.5570 -1.4967 -1.4717
 -3.0771 -2.9610 -2.9052 -2.8806 -2.7788 -2.6279 -2.4826 -2.3636 -2.2634 -2.1704
 -2.0815 -1.9970 -1.9179 -1.8455 -1.7805 -1.6509 -1.5632 -1.5121 -1.4889 -1.4829
 -2.9569 -2.8256 -2.7114 -2.6283 -2.5956 -2.5516 -2.4462 -2.3272 -2.2258 -2.1379
 -2.0548 -1.9760 -1.9023 -1.8348 -1.7744 -1.6542 -1.5728 -1.5253 -1.5047 -1.5000
 -1.5046
 -2.8627 -2.7408 -2.6221 -2.5106 -2.4195 -2.3614 -2.3323 -2.2815 -2.1958 -2.1113
 -2.0333 -1.9599 -1.8911 -1.8281 -1.7715 -1.6587 -1.5818 -1.5367 -1.5178 -1.5145
 -1.5196 -1.5303
 -2.7772 -2.6689 -2.5601 -2.4529 -2.3527 -2.2635 -2.1932 -2.1464 -2.1166 -2.0717
 -2.0099 -1.9433 -1.8796 -1.8209 -1.7678 -1.6616 -1.5884 -1.5450 -1.5275 -1.5263
 -1.5327 -1.5438 -1.5589 -1.5790
 -2.6996 -2.5996 -2.5026 -2.4052 -2.3089 -2.2181 -2.1356 -2.0647 -2.0101 -1.9749
 -1.9464 -1.9087 -1.8609 -1.8095 -1.7607 -1.6611 -1.5914 -1.5494 -1.5330 -1.5344
 -1.5435 -1.5562 -1.5718 -1.5903 -1.6111 -1.6353 -1.6642 -1.6990 -1.7397 -1.7838
 -2.6212 -2.5296 -2.4424 -2.3566 -2.2700 -2.1843 -2.1029 -2.0285 -1.9634 -1.9100
 -1.8692 -1.8393 -1.8112 -1.7791 -1.7433 -1.6559 -1.5901 -1.5494 -1.5337 -1.5374
 -1.5504 -1.5663 -1.5838 -1.6031 -1.6244 -1.6472 -1.6729 -1.7028 -1.7383 -1.7799
 -1.8273
 -2.5504 -2.4594 -2.3813 -2.3030 -2.2271 -2.1505 -2.0748 -2.0024 -1.9364 -1.8782
 -1.8295 -1.7898 -1.7579 -1.7314 -1.7060 -1.6417 -1.5841 -1.5452 -1.5295 -1.5346
 -1.5516 -1.5721 -1.5932 -1.6148 -1.6372 -1.6593 -1.6828 -1.7097 -1.7416 -1.7797
 -1.8248
 -2.4935 -2.3969 -2.3191 -2.2463 -2.1766 -2.1095 -2.0427 -1.9761 -1.9124 -1.8544
 -1.8038 -1.7612 -1.7251 -1.6946 -1.6689 -1.6155 -1.5705 -1.5366 -1.5213 -1.5266
 -1.5465 -1.5721 -1.5982 -1.6238 -1.6490 -1.6743 -1.7002 -1.7282 -1.7583 -1.7904
 -1.8242
 -2.4585 -2.3503 -2.2647 -2.1907 -2.1252 -2.0633 -2.0045 -1.9463 -1.8886 -1.8330
 -1.7827 -1.7393 -1.7026 -1.6711 -1.6437 -1.5905 -1.5516 -1.5242 -1.5106 -1.5149
 -1.5354 -1.5646 -1.5960 -1.6268 -1.6564 -1.6849 -1.7131 -1.7410 -1.7693 -1.7991
 -1.8305
 -2.4561 -2.3211 -2.2206 -2.1405 -2.0753 -2.0151 -1.9602 -1.9087 -1.8588 -1.8090
 -1.7613 -1.7183 -1.6813 -1.6502 -1.6233 -1.5699 -1.5326 -1.5089 -1.4982 -1.5020
 -1.5213 -1.5516 -1.5867 -1.6228 -1.6577 -1.6909 -1.7229 -1.7536 -1.7837 -1.8138
 -1.8448
 -2.4811 -2.3095 -2.1868 -2.0967 -2.0272 -1.9680 -1.9149 -1.8662 -1.8214 -1.7785
 -1.7364 -1.6961 -1.6597 -1.6285 -1.6023 -1.5518 -1.5157 -1.4935 -1.4849
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F070W
 -3.4807 -3.3700 -3.1596 -2.9426 -2.7371 -2.5653 -2.4412 -2.3401 -2.2480 -2.1611
 -2.0781 -1.9987 -1.9231 -1.8515 -1.7848 -1.6448 -1.5461 -1.4850 -1.4554
 -3.1720 -3.1375 -3.0856 -2.9169 -2.7267 -2.5514 -2.4115 -2.3050 -2.2133 -2.1297
 -2.0505 -1.9751 -1.9034 -1.8360 -1.7734 -1.6442 -1.5544 -1.4992 -1.4723 -1.4650
 -3.0475 -2.9107 -2.8417 -2.8209 -2.7105 -2.5506 -2.4013 -2.2827 -2.1888 -2.1074
 -2.0317 -1.9601 -1.8922 -1.8284 -1.7694 -1.6479 -1.5638 -1.5119 -1.4865 -1.4801
 -1.4851
 -2.9801 -2.8285 -2.6972 -2.6031 -2.5641 -2.5167 -2.4005 -2.2750 -2.1719 -2.0895
 -2.0165 -1.9482 -1.8838 -1.8234 -1.7675 -1.6523 -1.5724 -1.5228 -1.4982 -1.4926
 -1.4981 -1.5098
 -2.9260 -2.7801 -2.6429 -2.5200 -2.4179 -2.3483 -2.3129 -2.2567 -2.1637 -2.0747
 -2.0021 -1.9366 -1.8753 -1.8179 -1.7649 -1.6554 -1.5791 -1.5311 -1.5074 -1.5025
 -1.5091 -1.5213 -1.5376 -1.5573
 -2.8777 -2.7382 -2.6078 -2.4845 -2.3697 -2.2695 -2.1895 -2.1346 -2.0996 -2.0511
 -1.9863 -1.9236 -1.8650 -1.8105 -1.7601 -1.6560 -1.5829 -1.5365 -1.5135 -1.5094
 -1.5176 -1.5316 -1.5486 -1.5686 -1.5910 -1.6169 -1.6480 -1.6852 -1.7279 -1.7715
 -2.8344 -2.6984 -2.5735 -2.4572 -2.3465 -2.2431 -2.1497 -2.0691 -2.0051 -1.9608
 -1.9284 -1.8927 -1.8481 -1.7993 -1.7521 -1.6533 -1.5834 -1.5386 -1.5162 -1.5128
 -1.5229 -1.5394 -1.5584 -1.5794 -1.6024 -1.6268 -1.6542 -1.6864 -1.7247 -1.7690
 -1.8151
 -2.7997 -2.6615 -2.5389 -2.4276 -2.3242 -2.2254 -2.1323 -2.0469 -1.9717 -1.9082
 -1.8585 -1.8236 -1.7961 -1.7671 -1.7337 -1.6467 -1.5804 -1.5373 -1.5152 -1.5122
 -1.5238 -1.5435 -1.5658 -1.5891 -1.6133 -1.6388 -1.6651 -1.6939 -1.7271 -1.7664
 -1.8126
 -2.7792 -2.6303 -2.5053 -2.3951 -2.2959 -2.2042 -2.1167 -2.0334 -1.9565 -1.8876
 -1.8285 -1.7806 -1.7439 -1.7154 -1.6909 -1.6299 -1.5725 -1.5318 -1.5105 -1.5074
 -1.5200 -1.5427 -1.5692 -1.5963 -1.6233 -1.6506 -1.6787 -1.7089 -1.7412 -1.7755
 -1.8114
 -2.7808 -2.6166 -2.4799 -2.3664 -2.2674 -2.1790 -2.0978 -2.0204 -1.9467 -1.8778
 -1.8158 -1.7623 -1.7184 -1.6831 -1.6545 -1.6012 -1.5576 -1.5229 -1.5026 -1.4990
 -1.5112 -1.5357 -1.5662 -1.5980 -1.6292 -1.6596 -1.6899 -1.7201 -1.7507 -1.7827
 -1.8174
 -2.8185 -2.6166 -2.4673 -2.3453 -2.2415 -2.1521 -2.0732 -2.0012 -1.9332 -1.8682
 -1.8072 -1.7521 -1.7046 -1.6654 -1.6330 -1.5749 -1.5363 -1.5085 -1.4917 -1.4881
 -1.4994 -1.5240 -1.5571 -1.5934 -1.6296 -1.6644 -1.6983 -1.7311 -1.7634 -1.7958
 -1.8290
 -2.9030 -2.6504 -2.4733 -2.3371 -2.2243 -2.1291 -2.0477 -1.9768 -1.9131 -1.8534
 -1.7966 -1.7432 -1.6949 -1.6532 -1.6184 -1.5557 -1.5159 -1.4909 -1.4777
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F070W
 -3.5370 -3.3489 -3.1092 -2.8907 -2.6904 -2.5214 -2.3991 -2.3035 -2.2189 -2.1360
 -2.0577 -1.9830 -1.9116 -1.8440 -1.7802 -1.6423 -1.5417 -1.4782 -1.4456
 -3.2559 -3.2399 -3.0913 -2.8823 -2.6872 -2.5120 -2.3774 -2.2752 -2.1894 -2.1091
 -2.0340 -1.9626 -1.8946 -1.8302 -1.7696 -1.6411 -1.5491 -1.4915 -1.4622 -1.4536
 -3.0807 -2.9710 -2.9554 -2.8667 -2.6915 -2.5207 -2.3716 -2.2578 -2.1682 -2.0896
 -2.0173 -1.9492 -1.8844 -1.8231 -1.7656 -1.6440 -1.5576 -1.5035 -1.4758 -1.4678
 -1.4726
 -3.0210 -2.8583 -2.7383 -2.6887 -2.6530 -2.5270 -2.3804 -2.2525 -2.1540 -2.0739
 -2.0036 -1.9382 -1.8765 -1.8182 -1.7635 -1.6477 -1.5654 -1.5138 -1.4870 -1.4794
 -1.4845 -1.4967
 -2.9840 -2.8176 -2.6696 -2.5485 -2.4667 -2.4299 -2.3702 -2.2586 -2.1489 -2.0615
 -1.9909 -1.9275 -1.8684 -1.8128 -1.7608 -1.6505 -1.5716 -1.5218 -1.4959 -1.4887
 -1.4945 -1.5071 -1.5241 -1.5447
 -2.9552 -2.7909 -2.6425 -2.5081 -2.3918 -2.2983 -2.2349 -2.1963 -2.1391 -2.0552
 -1.9791 -1.9163 -1.8590 -1.8058 -1.7563 -1.6511 -1.5755 -1.5273 -1.5022 -1.4953
 -1.5020 -1.5160 -1.5337 -1.5545 -1.5785 -1.6063 -1.6386 -1.6759 -1.7181 -1.7632
 -2.9325 -2.7690 -2.6226 -2.4902 -2.3689 -2.2604 -2.1673 -2.0925 -2.0401 -2.0028
 -1.9570 -1.9021 -1.8477 -1.7967 -1.7493 -1.6489 -1.5766 -1.5300 -1.5053 -1.4990
 -1.5066 -1.5226 -1.5422 -1.5640 -1.5879 -1.6145 -1.6439 -1.6772 -1.7156 -1.7605
 -1.8069
 -2.9199 -2.7508 -2.6043 -2.4742 -2.3562 -2.2475 -2.1481 -2.0604 -1.9859 -1.9261
 -1.8824 -1.8497 -1.8173 -1.7795 -1.7383 -1.6437 -1.5746 -1.5295 -1.5055 -1.4992
 -1.5075 -1.5256 -1.5482 -1.5723 -1.5976 -1.6243 -1.6521 -1.6825 -1.7171 -1.7574
 -1.8041
 -2.9221 -2.7398 -2.5873 -2.4563 -2.3407 -2.2361 -2.1390 -2.0491 -1.9685 -1.8981
 -1.8390 -1.7923 -1.7582 -1.7312 -1.7049 -1.6327 -1.5683 -1.5253 -1.5019 -1.4958
 -1.5046 -1.5247 -1.5506 -1.5783 -1.6064 -1.6349 -1.6643 -1.6948 -1.7271 -1.7630
 -1.8025
 -2.9447 -2.7455 -2.5813 -2.4433 -2.3259 -2.2230 -2.1302 -2.0437 -1.9633 -1.8899
 -1.8250 -1.7697 -1.7248 -1.6900 -1.6624 -1.6075 -1.5576 -1.5180 -1.4954 -1.4889
 -1.4974 -1.5185 -1.5474 -1.5793 -1.6113 -1.6429 -1.6744 -1.7059 -1.7380 -1.7716
 -1.8076
 -3.0005 -2.7680 -2.5893 -2.4403 -2.3143 -2.2087 -2.1169 -2.0344 -1.9579 -1.8862
 -1.8202 -1.7613 -1.7108 -1.6696 -1.6363 -1.5778 -1.5371 -1.5060 -1.4857 -1.4793
 -1.4871 -1.5080 -1.5388 -1.5745 -1.6110 -1.6468 -1.6818 -1.7159 -1.7496 -1.7834
 -1.8178
 -3.1099 -2.8189 -2.6141 -2.4508 -2.3134 -2.1987 -2.1029 -2.0205 -1.9472 -1.8795
 -1.8161 -1.7574 -1.7048 -1.6595 -1.6221 -1.5562 -1.5153 -1.4884 -1.4727
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = F070W
 -3.5536 -3.3027 -3.0557 -2.8433 -2.6568 -2.4915 -2.3688 -2.2724 -2.1915 -2.1125
 -2.0380 -1.9671 -1.8996 -1.8354 -1.7746 -1.6402 -1.5380 -1.4708 -1.4347
 -3.3727 -3.2778 -3.0627 -2.8423 -2.6514 -2.4831 -2.3509 -2.2499 -2.1659 -2.0890
 -2.0172 -1.9492 -1.8844 -1.8229 -1.7647 -1.6379 -1.5437 -1.4829 -1.4510 -1.4407
 -3.1180 -3.0771 -3.0315 -2.8546 -2.6602 -2.4899 -2.3462 -2.2353 -2.1474 -2.0714
 -2.0020 -1.9368 -1.8749 -1.8162 -1.7606 -1.6398 -1.5508 -1.4939 -1.4639 -1.4540
 -1.4582
 -3.0479 -2.8873 -2.8118 -2.7935 -2.6715 -2.5050 -2.3550 -2.2308 -2.1347 -2.0572
 -1.9892 -1.9263 -1.8672 -1.8111 -1.7582 -1.6428 -1.5576 -1.5033 -1.4746 -1.4649
 -1.4691 -1.4816
 -3.0259 -2.8416 -2.6916 -2.5914 -2.5530 -2.4977 -2.3697 -2.2391 -2.1305 -2.0462
 -1.9774 -1.9161 -1.8592 -1.8057 -1.7552 -1.6450 -1.5633 -1.5109 -1.4831 -1.4737
 -1.4780 -1.4908 -1.5084 -1.5299
 -3.0179 -2.8284 -2.6642 -2.5251 -2.4166 -2.3457 -2.3064 -2.2399 -2.1374 -2.0419
 -1.9669 -1.9057 -1.8502 -1.7987 -1.7505 -1.6455 -1.5671 -1.5163 -1.4892 -1.4802
 -1.4848 -1.4983 -1.5166 -1.5381 -1.5627 -1.5913 -1.6250 -1.6647 -1.7091 -1.7532
 -3.0186 -2.8254 -2.6570 -2.5099 -2.3828 -2.2758 -2.1912 -2.1322 -2.0906 -2.0348
 -1.9605 -1.8952 -1.8402 -1.7902 -1.7438 -1.6435 -1.5684 -1.5193 -1.4927 -1.4840
 -1.4890 -1.5037 -1.5235 -1.5461 -1.5710 -1.5988 -1.6294 -1.6642 -1.7046 -1.7502
 -1.7964
 -3.0310 -2.8286 -2.6564 -2.5070 -2.3763 -2.2601 -2.1592 -2.0738 -2.0052 -1.9545
 -1.9155 -1.8730 -1.8263 -1.7793 -1.7349 -1.6389 -1.5670 -1.5195 -1.4933 -1.4847
 -1.4901 -1.5060 -1.5282 -1.5529 -1.5792 -1.6072 -1.6374 -1.6698 -1.7057 -1.7465
 -1.7937
 -3.0591 -2.8417 -2.6586 -2.5052 -2.3730 -2.2565 -2.1518 -2.0585 -1.9775 -1.9088
 -1.8532 -1.8105 -1.7776 -1.7477 -1.7155 -1.6302 -1.5617 -1.5161 -1.4907 -1.4822
 -1.4879 -1.5051 -1.5297 -1.5576 -1.5866 -1.6163 -1.6471 -1.6792 -1.7132 -1.7500
 -1.7917
 -3.1064 -2.8702 -2.6740 -2.5101 -2.3731 -2.2555 -2.1516 -2.0576 -1.9727 -1.8974
 -1.8322 -1.7774 -1.7333 -1.7000 -1.6733 -1.6127 -1.5537 -1.5102 -1.4853 -1.4766
 -1.4822 -1.4998 -1.5265 -1.5578 -1.5904 -1.6230 -1.6558 -1.6888 -1.7226 -1.7578
 -1.7955
 -3.1827 -2.9155 -2.7041 -2.5259 -2.3779 -2.2552 -2.1501 -2.0574 -1.9734 -1.8967
 -1.8277 -1.7673 -1.7157 -1.6737 -1.6405 -1.5820 -1.5371 -1.5006 -1.4770 -1.4683
 -1.4734 -1.4910 -1.5187 -1.5529 -1.5894 -1.6259 -1.6620 -1.6974 -1.7327 -1.7682
 -1.8039
 -3.3109 -2.9858 -2.7495 -2.5569 -2.3944 -2.2599 -2.1490 -2.0547 -1.9719 -1.8970
 -1.8283 -1.7659 -1.7107 -1.6634 -1.6244 -1.5570 -1.5147 -1.4847 -1.4656
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = F070W
 -3.5241 -3.2441 -2.9992 -2.7975 -2.6214 -2.4646 -2.3447 -2.2458 -2.1655 -2.0907
 -2.0190 -1.9510 -1.8866 -1.8255 -1.7674 -1.6375 -1.5347 -1.4639 -1.4242
 -3.3548 -3.2658 -3.0213 -2.8015 -2.6153 -2.4545 -2.3272 -2.2264 -2.1439 -2.0696
 -2.0002 -1.9348 -1.8729 -1.8140 -1.7580 -1.6341 -1.5383 -1.4739 -1.4389 -1.4264
 -3.1940 -3.1867 -3.0379 -2.8244 -2.6280 -2.4585 -2.3217 -2.2131 -2.1272 -2.0533
 -1.9860 -1.9232 -1.8638 -1.8075 -1.7538 -1.6350 -1.5438 -1.4834 -1.4508 -1.4389
 -1.4420
 -3.0678 -2.9376 -2.9252 -2.8326 -2.6516 -2.4777 -2.3291 -2.2094 -2.1158 -2.0399
 -1.9738 -1.9131 -1.8562 -1.8023 -1.7511 -1.6373 -1.5495 -1.4918 -1.4607 -1.4492
 -1.4519 -1.4643
 -3.0522 -2.8571 -2.7230 -2.6749 -2.6362 -2.4990 -2.3479 -2.2168 -2.1120 -2.0297
 -1.9626 -1.9032 -1.8482 -1.7967 -1.7478 -1.6391 -1.5546 -1.4987 -1.4686 -1.4574
 -1.4600 -1.4723 -1.4904 -1.5125
 -3.0635 -2.8501 -2.6767 -2.5442 -2.4623 -2.4258 -2.3553 -2.2341 -2.1192 -2.0259
 -1.9528 -1.8931 -1.8394 -1.7896 -1.7429 -1.6393 -1.5583 -1.5040 -1.4744 -1.4635
 -1.4661 -1.4786 -1.4971 -1.5195 -1.5452 -1.5752 -1.6103 -1.6513 -1.6968 -1.7415
 -3.0894 -2.8642 -2.6766 -2.5212 -2.3946 -2.2989 -2.2356 -2.1919 -2.1244 -2.0318
 -1.9485 -1.8835 -1.8298 -1.7812 -1.7362 -1.6373 -1.5597 -1.5072 -1.4780 -1.4673
 -1.4701 -1.4830 -1.5026 -1.5258 -1.5517 -1.5806 -1.6128 -1.6494 -1.6913 -1.7379
 -1.7844
 -3.1312 -2.8902 -2.6918 -2.5262 -2.3860 -2.2683 -2.1713 -2.0948 -2.0388 -1.9946
 -1.9416 -1.8768 -1.8201 -1.7717 -1.7277 -1.6327 -1.5586 -1.5079 -1.4792 -1.4685
 -1.4715 -1.4851 -1.5061 -1.5311 -1.5583 -1.5873 -1.6189 -1.6531 -1.6909 -1.7334
 -1.7814
 -3.1874 -2.9279 -2.7147 -2.5393 -2.3923 -2.2669 -2.1584 -2.0658 -1.9881 -1.9248
 -1.8756 -1.8357 -1.7960 -1.7560 -1.7157 -1.6247 -1.5539 -1.5052 -1.4773 -1.4667
 -1.4700 -1.4845 -1.5071 -1.5346 -1.5641 -1.5948 -1.6269 -1.6603 -1.6960 -1.7352
 -1.7786
 -3.2629 -2.9840 -2.7532 -2.5632 -2.4069 -2.2758 -2.1632 -2.0644 -1.9781 -1.9036
 -1.8404 -1.7883 -1.7466 -1.7138 -1.6853 -1.6135 -1.5471 -1.5003 -1.4730 -1.4622
 -1.4654 -1.4803 -1.5042 -1.5342 -1.5667 -1.6000 -1.6340 -1.6685 -1.7041 -1.7410
 -1.7809
 -3.3653 -3.0555 -2.8074 -2.5999 -2.4291 -2.2894 -2.1720 -2.0707 -1.9813 -1.9020
 -1.8323 -1.7722 -1.7212 -1.6795 -1.6470 -1.5872 -1.5352 -1.4923 -1.4659 -1.4551
 -1.4580 -1.4728 -1.4975 -1.5294 -1.5651 -1.6019 -1.6388 -1.6756 -1.7124 -1.7498
 -1.7873
 -3.5132 -3.1487 -2.8760 -2.6522 -2.4645 -2.3101 -2.1841 -2.0785 -1.9874 -1.9068
 -1.8345 -1.7704 -1.7143 -1.6664 -1.6268 -1.5588 -1.5138 -1.4794 -1.4560
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value = F070W
 -3.4695 -3.1905 -2.9564 -2.7648 -2.5892 -2.4359 -2.3211 -2.2260 -2.1439 -2.0704
 -2.0010 -1.9350 -1.8729 -1.8141 -1.7585 -1.6331 -1.5350 -1.4628 -1.4130
 -3.4218 -3.2300 -2.9804 -2.7673 -2.5870 -2.4279 -2.3061 -2.2065 -2.1239 -2.0511
 -1.9835 -1.9201 -1.8603 -1.8036 -1.7496 -1.6290 -1.5326 -1.4648 -1.4260 -1.4107
 -3.3121 -3.2301 -3.0150 -2.7918 -2.5990 -2.4335 -2.2988 -2.1934 -2.1085 -2.0357
 -1.9701 -1.9090 -1.8516 -1.7972 -1.7454 -1.6292 -1.5366 -1.4725 -1.4365 -1.4225
 -1.4241
 -3.1598 -3.0387 -3.0001 -2.8218 -2.6247 -2.4521 -2.3058 -2.1890 -2.0975 -2.0229
 -1.9583 -1.8992 -1.8441 -1.7920 -1.7425 -1.6309 -1.5414 -1.4797 -1.4453 -1.4318
 -1.4331 -1.4450
 -3.0614 -2.8739 -2.7905 -2.7762 -2.6479 -2.4777 -2.3247 -2.1960 -2.0936 -2.0132
 -1.9474 -1.8894 -1.8361 -1.7862 -1.7390 -1.6324 -1.5460 -1.4860 -1.4525 -1.4393
 -1.4404 -1.4518 -1.4703 -1.4930
 -3.0847 -2.8587 -2.6877 -2.5815 -2.5470 -2.4844 -2.3481 -2.2138 -2.0999 -2.0093
 -1.9379 -1.8795 -1.8273 -1.7791 -1.7339 -1.6324 -1.5495 -1.4911 -1.4580 -1.4450
 -1.4460 -1.4572 -1.4757 -1.4987 -1.5255 -1.5563 -1.5928 -1.6358 -1.6822 -1.7278
 -3.1345 -2.8844 -2.6843 -2.5279 -2.4137 -2.3453 -2.3046 -2.2269 -2.1164 -2.0152
