 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F140M
 -1.3075 -1.4577 -1.5756 -1.5740 -1.5752 -1.5650 -1.5387 -1.5381 -1.5338 -1.5222
 -1.5142 -1.5176 -1.5306 -1.5485 -1.5699 -1.6333 -1.7375 -1.8925 -1.9963
 -1.3936 -1.4376 -1.4748 -1.5124 -1.5475 -1.5542 -1.5502 -1.5491 -1.5462 -1.5421
 -1.5427 -1.5500 -1.5632 -1.5814 -1.6043 -1.6813 -1.7794 -1.8887 -2.0022 -2.1171
 -1.3611 -1.4097 -1.4501 -1.4845 -1.5154 -1.5463 -1.5637 -1.5630 -1.5597 -1.5589
 -1.5621 -1.5713 -1.5860 -1.6054 -1.6292 -1.7057 -1.8004 -1.9065 -2.0170 -2.1286
 -2.2405
 -1.3268 -1.3791 -1.4242 -1.4630 -1.4973 -1.5276 -1.5542 -1.5747 -1.5786 -1.5750
 -1.5769 -1.5867 -1.6027 -1.6235 -1.6484 -1.7258 -1.8186 -1.9217 -2.0298 -2.1389
 -2.2479 -2.3568
 -1.2966 -1.3471 -1.3955 -1.4385 -1.4769 -1.5117 -1.5428 -1.5687 -1.5869 -1.5963
 -1.5986 -1.6038 -1.6167 -1.6372 -1.6629 -1.7418 -1.8340 -1.9349 -2.0407 -2.1481
 -2.2551 -2.3615 -2.4674 -2.5732
 -1.2743 -1.3202 -1.3665 -1.4119 -1.4537 -1.4920 -1.5274 -1.5590 -1.5850 -1.6044
 -1.6190 -1.6294 -1.6398 -1.6551 -1.6770 -1.7546 -1.8467 -1.9460 -2.0499 -2.1560
 -2.2619 -2.3667 -2.4705 -2.5737 -2.6771 -2.7805 -2.8833 -2.9853 -3.0860 -3.1853
 -1.2625 -1.3024 -1.3421 -1.3867 -1.4294 -1.4701 -1.5085 -1.5442 -1.5762 -1.6029
 -1.6256 -1.6457 -1.6633 -1.6800 -1.6992 -1.7675 -1.8576 -1.9556 -2.0578 -2.1625
 -2.2676 -2.3717 -2.4743 -2.5757 -2.6760 -2.7754 -2.8743 -2.9734 -3.0731 -3.1728
 -3.2696
 -1.2640 -1.2967 -1.3300 -1.3687 -1.4091 -1.4492 -1.4887 -1.5268 -1.5627 -1.5951
 -1.6239 -1.6501 -1.6748 -1.6982 -1.7208 -1.7853 -1.8688 -1.9643 -2.0648 -2.1679
