 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F480M
 -4.4763 -4.6103 -4.7302 -4.7843 -4.8496 -4.9157 -4.9764 -5.0357 -5.1011 -5.1818
 -5.2599 -5.3354 -5.4094 -5.4812 -5.5510 -5.7166 -5.8685 -6.0069 -6.1579
 -4.5426 -4.6072 -4.6791 -4.7617 -4.8526 -4.9327 -5.0019 -5.0687 -5.1352 -5.2115
 -5.2887 -5.3650 -5.4396 -5.5127 -5.5841 -5.7535 -5.9069 -6.0485 -6.1992 -6.3580
 -4.5622 -4.6205 -4.6857 -4.7575 -4.8361 -4.9221 -5.0086 -5.0849 -5.1562 -5.2284
 -5.3039 -5.3793 -5.4539 -5.5273 -5.5993 -5.7707 -5.9260 -6.0676 -6.2186 -6.3762
 -6.5278
 -4.5903 -4.6428 -4.7024 -4.7686 -4.8407 -4.9172 -4.9967 -5.0798 -5.1610 -5.2386
 -5.3135 -5.3872 -5.4604 -5.5332 -5.6052 -5.7787 -5.9376 -6.0844 -6.2328 -6.3893
 -6.5407 -6.6853
 -4.6301 -4.6741 -4.7269 -4.7872 -4.8541 -4.9257 -4.9996 -5.0754 -5.1547 -5.2354
 -5.3149 -5.3910 -5.4642 -5.5357 -5.6067 -5.7808 -5.9433 -6.0935 -6.2432 -6.3988
 -6.5500 -6.6945 -6.8326 -6.9650
 -4.6803 -4.7174 -4.7612 -4.8138 -4.8739 -4.9401 -5.0100 -5.0818 -5.1559 -5.2317
 -5.3090 -5.3862 -5.4618 -5.5351 -5.6066 -5.7798 -5.9445 -6.0983 -6.2500 -6.4053
 -6.5567 -6.7013 -6.8394 -6.9716 -7.0986 -7.2210 -7.3394 -7.4544 -7.5664 -7.6757
 -4.7381 -4.7708 -4.8069 -4.8512 -4.9028 -4.9619 -5.0261 -5.0936 -5.1645 -5.2366
 -5.3095 -5.3828 -5.4564 -5.5297 -5.6020 -5.7769 -5.9428 -6.0996 -6.2529 -6.4088
 -6.5611 -6.7063 -6.8445 -6.9767 -7.1034 -7.2253 -7.3429 -7.4567 -7.5672 -7.6749
 -7.7807
 -4.8007 -4.8310 -4.8631 -4.9006 -4.9440 -4.9938 -5.0503 -5.1119 -5.1785 -5.2473
 -5.3169 -5.3868 -5.4567 -5.5269 -5.5973 -5.7715 -5.9390 -6.0977 -6.2520 -6.4087
 -6.5628 -6.7092 -6.8481 -6.9807 -7.1075 -7.2291 -7.3461 -7.4591 -7.5687 -7.6752
 -7.7791
 -4.8653 -4.8945 -4.9257 -4.9625 -4.9981 -5.0402 -5.0877 -5.1410 -5.2010 -5.2652
 -5.3314 -5.3983 -5.4652 -5.5322 -5.5994 -5.7685 -5.9353 -6.0945 -6.2504 -6.4073
 -6.5636 -6.7124 -6.8528 -6.9862 -7.1135 -7.2354 -7.3526 -7.4655 -7.5746 -7.6802
 -7.7826
 -4.9291 -4.9581 -4.9898 -5.0238 -5.0599 -5.0979 -5.1381 -5.1827 -5.2331 -5.2905
 -5.3513 -5.4142 -5.4780 -5.5420 -5.6061 -5.7676 -5.9302 -6.0898 -6.2448 -6.4004
 -6.5573 -6.7088 -6.8516 -6.9865 -7.1147 -7.2372 -7.3547 -7.4676 -7.5764 -7.6815
 -7.7851
 -4.9897 -5.0224 -5.0563 -5.0912 -5.1270 -5.1635 -5.2006 -5.2387 -5.2801 -5.3280
 -5.3815 -5.4384 -5.4975 -5.5579 -5.6189 -5.7728 -5.9286 -6.0851 -6.2393 -6.3933
 -6.5486 -6.7013 -6.8470 -6.9845 -7.1143 -7.2379 -7.3561 -7.4695 -7.5784 -7.6836
 -7.7852
 -5.0460 -5.1011 -5.1454 -5.1820 -5.2142 -5.2443 -5.2746 -5.3066 -5.3417 -5.3808
 -5.4248 -5.4738 -5.5263 -5.5813 -5.6380 -5.7836 -5.9321 -6.0831 -6.2354
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F480M
 -4.5495 -4.6427 -4.7187 -4.7806 -4.8468 -4.9148 -4.9834 -5.0522 -5.1162 -5.1943
 -5.2745 -5.3528 -5.4289 -5.5025 -5.5739 -5.7423 -5.8963 -6.0363 -6.1767
 -4.5372 -4.6063 -4.6917 -4.7831 -4.8560 -4.9275 -5.0009 -5.0731 -5.1425 -5.2219
 -5.3030 -5.3824 -5.4596 -5.5344 -5.6069 -5.7780 -5.9327 -6.0718 -6.2056 -6.3552
 -4.5441 -4.6053 -4.6740 -4.7528 -4.8447 -4.9314 -5.0074 -5.0825 -5.1553 -5.2325
 -5.3133 -5.3932 -5.4711 -5.5469 -5.6204 -5.7942 -5.9514 -6.0916 -6.2265 -6.3743
