 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F300M
  0.8849  0.8165  0.8150  0.8156  0.7754  0.7230  0.6695  0.6107  0.5334  0.4526
  0.3714  0.2899  0.2103  0.1312  0.0532 -0.1389 -0.3221 -0.4916 -0.6526
  0.8010  0.7805  0.7539  0.7214  0.6914  0.6671  0.6255  0.5671  0.4978  0.4218
  0.3432  0.2640  0.1852  0.1074  0.0305 -0.1569 -0.3374 -0.5098 -0.6743 -0.8317
  0.7523  0.7310  0.7015  0.6661  0.6269  0.5865  0.5539  0.5172  0.4624  0.3942
  0.3199  0.2428  0.1654  0.0885  0.0125 -0.1727 -0.3514 -0.5233 -0.6874 -0.8440
 -0.9939
  0.6966  0.6775  0.6495  0.6137  0.5724  0.5276  0.4818  0.4393  0.4003  0.3525
  0.2914  0.2215  0.1476  0.0725 -0.0023 -0.1853 -0.3621 -0.5332 -0.6973 -0.8536
 -1.0027 -1.1458
  0.6287  0.6177  0.5940  0.5617  0.5223  0.4779  0.4303  0.3813  0.3327  0.2859
  0.2396  0.1862  0.1241  0.0554 -0.0164 -0.1959 -0.3704 -0.5402 -0.7042 -0.8609
 -1.0098 -1.1522 -1.2888 -1.4206
  0.5492  0.5462  0.5315  0.5050  0.4705  0.4298  0.3844  0.3360  0.2852  0.2331
  0.1824  0.1332  0.0819  0.0253 -0.0366 -0.2064 -0.3776 -0.5450 -0.7081 -0.8656
 -1.0151 -1.1575 -1.2936 -1.4245 -1.5510 -1.6736 -1.7925 -1.9081 -2.0206 -2.1302
  0.4602  0.4636  0.4597  0.4403  0.4126  0.3776  0.3369  0.2921  0.2438  0.1928
  0.1405  0.0884  0.0370 -0.0150 -0.0698 -0.2213 -0.3854 -0.5488 -0.7099 -0.8674
 -1.0182 -1.1614 -1.2976 -1.4281 -1.5536 -1.6747 -1.7921 -1.9062 -2.0174 -2.1260
 -2.2319
  0.3642  0.3727  0.3754  0.3652  0.3454  0.3177  0.2834  0.2440  0.2003  0.1531
  0.1033  0.0521  0.0006 -0.0513 -0.1038 -0.2437 -0.3963 -0.5540 -0.7111 -0.8667
 -1.0183 -1.1630 -1.3003 -1.4311 -1.5565 -1.6771 -1.7935 -1.9062 -2.0158 -2.1228
 -2.2275
  0.2633  0.2760  0.2818  0.2777  0.2666  0.2468  0.2200  0.1873  0.1496  0.1078
  0.0625  0.0147 -0.0345 -0.0847 -0.1357 -0.2690 -0.4127 -0.5631 -0.7158 -0.8679
 -1.0183 -1.1642 -1.3033 -1.4355 -1.5615 -1.6823 -1.7986 -1.9109 -2.0197 -2.1254
 -2.2280
  0.1600  0.1761  0.1838  0.1840  0.1774  0.1647  0.1461  0.1210  0.0905  0.0553
  0.0162 -0.0264 -0.0716 -0.1184 -0.1665 -0.2931 -0.4286 -0.5724 -0.7197 -0.8675
 -1.0147 -1.1598 -1.3000 -1.4339 -1.5612 -1.6828 -1.7995 -1.9117 -2.0200 -2.1247
 -2.2281
  0.0582  0.0730  0.0812  0.0834  0.0801  0.0720  0.0595  0.0425  0.0198 -0.0078
 -0.0400 -0.0760 -0.1153 -0.1574 -0.2016 -0.3195 -0.4468 -0.5830 -0.7248 -0.8687
 -1.0124 -1.1548 -1.2945 -1.4295 -1.5584 -1.6813 -1.7989 -1.9117 -2.0203 -2.1251
 -2.2265
 -0.0331 -0.0411 -0.0422 -0.0398 -0.0369 -0.0362 -0.0398 -0.0490 -0.0637 -0.0835
