 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F150W
  1.9300  1.9155  1.9332  1.9403  1.9214  1.9180  1.9290  1.9308  1.9205  1.9101
  1.8917  1.8649  1.8313  1.7944  1.7537  1.6451  1.5080  1.3501  1.2273
  1.9359  1.9050  1.8850  1.8842  1.9033  1.9182  1.9173  1.9090  1.8985  1.8839
  1.8626  1.8348  1.8020  1.7652  1.7250  1.6127  1.4890  1.3591  1.2275  1.0962
  1.9404  1.9055  1.8765  1.8554  1.8458  1.8563  1.8781  1.8877  1.8812  1.8646
  1.8425  1.8140  1.7805  1.7431  1.7026  1.5914  1.4712  1.3453  1.2170  1.0889
  0.9621
  1.9422  1.9087  1.8768  1.8491  1.8268  1.8114  1.8082  1.8219  1.8373  1.8379
  1.8218  1.7947  1.7613  1.7236  1.6828  1.5716  1.4539  1.3318  1.2072  1.0819
  0.9579  0.8353
  1.9354  1.9082  1.8778  1.8482  1.8211  1.7975  1.7784  1.7661  1.7668  1.7738
  1.7767  1.7650  1.7397  1.7048  1.6646  1.5535  1.4371  1.3185  1.1978  1.0753
  0.9535  0.8333  0.7148  0.5978
  1.9181  1.8982  1.8738  1.8462  1.8182  1.7914  1.7669  1.7450  1.7271  1.7157
  1.7109  1.7072  1.6959  1.6738  1.6421  1.5366  1.4211  1.3051  1.1879  1.0688
  0.9493  0.8309  0.7144  0.5997  0.4859  0.3734  0.2627  0.1540  0.0479 -0.0556
  1.8898  1.8771  1.8608  1.8375  1.8124  1.7859  1.7594  1.7342  1.7103  1.6890
  1.6704  1.6548  1.6412  1.6252  1.6027  1.5165  1.4056  1.2912  1.1770  1.0617
  0.9449  0.8285  0.7136  0.6006  0.4895  0.3803  0.2727  0.1662  0.0604 -0.0441
 -0.1446
  1.8497  1.8442  1.8349  1.8186  1.7982  1.7752  1.7502  1.7244  1.6986  1.6738
  1.6497  1.6264  1.6039  1.5822  1.5599  1.4870  1.3882  1.2774  1.1656  1.0536
  0.9401  0.8258  0.7124  0.6010  0.4915  0.3839  0.2781  0.1739  0.0708 -0.0313
 -0.1327
  1.7974  1.7990  1.7956  1.7868  1.7721  1.7541  1.7334  1.7101  1.6851  1.6596
  1.6342  1.6083  1.5818  1.5549  1.5279  1.4553  1.3658  1.2621  1.1527  1.0431
  0.9326  0.8209  0.7091  0.5986  0.4903  0.3841  0.2798  0.1773  0.0761 -0.0238
 -0.1225
  1.7323  1.7408  1.7433  1.7405  1.7328  1.7208  1.7051  1.6867  1.6654  1.6420
  1.6174  1.5917  1.5649  1.5368  1.5075  1.4296  1.3443  1.2467  1.1413  1.0339
  0.9260  0.8172  0.7078  0.5987  0.4914  0.3863  0.2834  0.1826  0.0835 -0.0141
 -0.1122
  1.6556  1.6697  1.6780  1.6811  1.6795  1.6736  1.6639  1.6507  1.6344  1.6155
  1.5942  1.5708  1.5459  1.5190  1.4901  1.4106  1.3245  1.2318  1.1308  1.0253
  0.9190  0.8125  0.7056  0.5985  0.4923  0.3879  0.2858  0.1862  0.0886 -0.0071
 -0.1015
  1.5743  1.5881  1.5992  1.6073  1.6119  1.6126  1.6094  1.6021  1.5911  1.5771
