 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F150W
 -1.4720 -1.4853 -1.4668 -1.4596 -1.4785 -1.4822 -1.4715 -1.4700 -1.4805 -1.4911
 -1.5091 -1.5359 -1.5697 -1.6071 -1.6477 -1.7550 -1.8946 -2.0523 -2.1745
 -1.4653 -1.4961 -1.5160 -1.5165 -1.4971 -1.4822 -1.4832 -1.4916 -1.5023 -1.5170
 -1.5384 -1.5663 -1.5991 -1.6360 -1.6763 -1.7887 -1.9126 -2.0426 -2.1743 -2.3056
 -1.4610 -1.4958 -1.5247 -1.5457 -1.5552 -1.5445 -1.5225 -1.5129 -1.5195 -1.5362
 -1.5585 -1.5871 -1.6206 -1.6581 -1.6987 -1.8100 -1.9303 -2.0563 -2.1848 -2.3129
 -2.4398
 -1.4594 -1.4928 -1.5246 -1.5523 -1.5745 -1.5898 -1.5929 -1.5790 -1.5636 -1.5630
 -1.5792 -1.6064 -1.6398 -1.6776 -1.7185 -1.8298 -1.9476 -2.0698 -2.1945 -2.3199
 -2.4440 -2.5666
 -1.4664 -1.4935 -1.5237 -1.5533 -1.5804 -1.6038 -1.6230 -1.6352 -1.6343 -1.6273
 -1.6244 -1.6361 -1.6614 -1.6964 -1.7367 -1.8479 -1.9644 -2.0831 -2.2039 -2.3265
 -2.4484 -2.5687 -2.6872 -2.8043
 -1.4839 -1.5038 -1.5280 -1.5555 -1.5834 -1.6101 -1.6346 -1.6564 -1.6743 -1.6856
 -1.6904 -1.6941 -1.7053 -1.7275 -1.7593 -1.8648 -1.9804 -2.0965 -2.2138 -2.3330
 -2.4526 -2.5710 -2.6876 -2.8024 -2.9162 -3.0288 -3.1396 -3.2482 -3.3544 -3.4579
 -1.5124 -1.5252 -1.5411 -1.5643 -1.5894 -1.6158 -1.6422 -1.6674 -1.6912 -1.7125
 -1.7310 -1.7466 -1.7601 -1.7762 -1.7987 -1.8849 -1.9960 -2.1105 -2.2247 -2.3401
 -2.4569 -2.5735 -2.6884 -2.8015 -2.9127 -3.0220 -3.1297 -3.2363 -3.3420 -3.4464
 -3.5470
 -1.5527 -1.5584 -1.5673 -1.5834 -1.6037 -1.6266 -1.6516 -1.6773 -1.7030 -1.7278
 -1.7519 -1.7752 -1.7976 -1.8193 -1.8416 -1.9146 -2.0134 -2.1243 -2.2362 -2.3483
 -2.4618 -2.5762 -2.6896 -2.8011 -2.9107 -3.0183 -3.1241 -3.2284 -3.3314 -3.4336
 -3.5350
 -1.6052 -1.6038 -1.6070 -1.6153 -1.6300 -1.6478 -1.6685 -1.6917 -1.7167 -1.7421
 -1.7675 -1.7934 -1.8198 -1.8467 -1.8737 -1.9463 -2.0358 -2.1395 -2.2491 -2.3588
 -2.4693 -2.5811 -2.6929 -2.8035 -2.9119 -3.0181 -3.1224 -3.2250 -3.3262 -3.4262
 -3.5249
 -1.6705 -1.6620 -1.6594 -1.6622 -1.6696 -1.6814 -1.6969 -1.7153 -1.7365 -1.7599
 -1.7844 -1.8100 -1.8368 -1.8649 -1.8942 -1.9721 -2.0575 -2.1551 -2.2605 -2.3680
 -2.4759 -2.5847 -2.6942 -2.8033 -2.9107 -3.0159 -3.1188 -3.2197 -3.3188 -3.4165
 -3.5147
 -1.7474 -1.7330 -1.7245 -1.7212 -1.7228 -1.7286 -1.7383 -1.7515 -1.7677 -1.7865
 -1.8078 -1.8310 -1.8560 -1.8828 -1.9117 -1.9911 -2.0773 -2.1700 -2.2711 -2.3766
 -2.4829 -2.5895 -2.6964 -2.8035 -2.9098 -3.0142 -3.1164 -3.2161 -3.3137 -3.4095
 -3.5039
 -1.8289 -1.8150 -1.8038 -1.7956 -1.7909 -1.7900 -1.7931 -1.8003 -1.8112 -1.8251
 -1.8417 -1.8606 -1.8818 -1.9053 -1.9313 -2.0072 -2.0937 -2.1850 -2.2819
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F150W
 -1.5082 -1.5061 -1.5006 -1.5032 -1.5087 -1.5112 -1.5125 -1.5169 -1.5243 -1.5354
 -1.5518 -1.5741 -1.6021 -1.6346 -1.6707 -1.7717 -1.8933 -2.0307 -2.1630
 -1.5083 -1.5339 -1.5342 -1.5173 -1.5103 -1.5152 -1.5224 -1.5296 -1.5385 -1.5507
 -1.5684 -1.5920 -1.6211 -1.6545 -1.6912 -1.7951 -1.9126 -2.0397 -2.1707 -2.3020
 -1.4919 -1.5299 -1.5557 -1.5633 -1.5468 -1.5276 -1.5275 -1.5381 -1.5503 -1.5638
 -1.5822 -1.6064 -1.6361 -1.6702 -1.7076 -1.8123 -1.9285 -2.0525 -2.1804 -2.3085
 -2.4356
 -1.4727 -1.5138 -1.5497 -1.5775 -1.5916 -1.5868 -1.5655 -1.5525 -1.5604 -1.5753
 -1.5942 -1.6185 -1.6483 -1.6828 -1.7207 -1.8264 -1.9422 -2.0639 -2.1890 -2.3147
 -2.4391 -2.5621
 -1.4569 -1.4961 -1.5347 -1.5693 -1.5970 -1.6164 -1.6242 -1.6174 -1.6002 -1.5953
 -1.6073 -1.6299 -1.6591 -1.6934 -1.7316 -1.8382 -1.9540 -2.0741 -2.1967 -2.3201
 -2.4426 -2.5634 -2.6824 -2.7999
 -1.4514 -1.4826 -1.5193 -1.5558 -1.5899 -1.6191 -1.6425 -1.6590 -1.6659 -1.6597
 -1.6508 -1.6545 -1.6737 -1.7044 -1.7416 -1.8483 -1.9644 -2.0836 -2.2041 -2.3252
 -2.4458 -2.5650 -2.6821 -2.7974 -2.9112 -3.0234 -3.1342 -3.2435 -3.3510 -3.4549
