 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F070W
 -2.6910 -2.6501 -2.8379 -2.8150 -2.6968 -2.5261 -2.3354 -2.2094 -2.0996 -1.9845
 -1.8736 -1.7698 -1.6746 -1.5899 -1.5172 -1.3645 -1.2796 -1.2155 -1.1935
 -2.6879 -2.5667 -2.4672 -2.4062 -2.3834 -2.3343 -2.2346 -2.1205 -2.0144 -1.9130
 -1.8152 -1.7233 -1.6394 -1.5643 -1.4977 -1.3658 -1.2797 -1.2327 -1.2119 -1.2069
 -2.5473 -2.4331 -2.3243 -2.2286 -2.1534 -2.1124 -2.0874 -2.0334 -1.9520 -1.8609
 -1.7735 -1.6906 -1.6145 -1.5461 -1.4855 -1.3656 -1.2878 -1.2466 -1.2293 -1.2254
 -1.2304
 -2.4260 -2.3295 -2.2298 -2.1327 -2.0450 -1.9707 -1.9153 -1.8837 -1.8538 -1.8037
 -1.7360 -1.6641 -1.5959 -1.5338 -1.4782 -1.3674 -1.2954 -1.2585 -1.2442 -1.2418
 -1.2467 -1.2573
 -2.3099 -2.2330 -2.1498 -2.0626 -1.9769 -1.8985 -1.8306 -1.7740 -1.7347 -1.7041
 -1.6707 -1.6258 -1.5736 -1.5203 -1.4704 -1.3681 -1.3002 -1.2666 -1.2554 -1.2556
 -1.2616 -1.2721 -1.2867 -1.3056
 -2.1978 -2.1351 -2.0698 -1.9975 -1.9216 -1.8464 -1.7776 -1.7173 -1.6663 -1.6244
 -1.5909 -1.5613 -1.5288 -1.4924 -1.4543 -1.3651 -1.3011 -1.2694 -1.2610 -1.2654
 -1.2742 -1.2860 -1.3009 -1.3187 -1.3395 -1.3639 -1.3924 -1.4256 -1.4638 -1.5070
 -2.0928 -2.0384 -1.9861 -1.9280 -1.8656 -1.7997 -1.7346 -1.6746 -1.6229 -1.5787
 -1.5404 -1.5071 -1.4779 -1.4504 -1.4224 -1.3539 -1.2969 -1.2652 -1.2599 -1.2691
 -1.2826 -1.2976 -1.3142 -1.3326 -1.3529 -1.3740 -1.3977 -1.4265 -1.4621 -1.5047
 -1.5504
 -1.9979 -1.9472 -1.9008 -1.8529 -1.8025 -1.7492 -1.6929 -1.6368 -1.5858 -1.5420
 -1.5046 -1.4715 -1.4413 -1.4141 -1.3890 -1.3328 -1.2867 -1.2575 -1.2526 -1.2654
 -1.2846 -1.3046 -1.3247 -1.3453 -1.3669 -1.3893 -1.4119 -1.4370 -1.4668 -1.5033
 -1.5477
 -1.9160 -1.8656 -1.8198 -1.7754 -1.7329 -1.6897 -1.6446 -1.5970 -1.5498 -1.5069
 -1.4704 -1.4394 -1.4116 -1.3857 -1.3615 -1.3096 -1.2708 -1.2465 -1.2411 -1.2553
 -1.2792 -1.3052 -1.3306 -1.3553 -1.3796 -1.4038 -1.4284 -1.4538 -1.4821 -1.5134
 -1.5475
 -1.8502 -1.7980 -1.7498 -1.7051 -1.6636 -1.6252 -1.5887 -1.5510 -1.5119 -1.4727
 -1.4372 -1.4073 -1.3820 -1.3587 -1.3370 -1.2898 -1.2542 -1.2332 -1.2284 -1.2414
 -1.2669 -1.2976 -1.3288 -1.3590 -1.3877 -1.4152 -1.4422 -1.4689 -1.4960 -1.5244
 -1.5545
 -1.8002 -1.7415 -1.6888 -1.6415 -1.5991 -1.5612 -1.5274 -1.4967 -1.4662 -1.4347
 -1.4031 -1.3744 -1.3503 -1.3301 -1.3122 -1.2715 -1.2387 -1.2198 -1.2161 -1.2274
 -1.2521 -1.2843 -1.3197 -1.3553 -1.3895 -1.4219 -1.4527 -1.4823 -1.5111 -1.5400
 -1.5698
 -1.7552 -1.6715 -1.6081 -1.5600 -1.5226 -1.4919 -1.4649 -1.4391 -1.4139 -1.3890
 -1.3643 -1.3399 -1.3175 -1.2987 -1.2832 -1.2516 -1.2240 -1.2067 -1.2038
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F070W
 -2.9871 -2.9596 -2.8930 -2.7367 -2.5544 -2.3816 -2.2393 -2.1244 -2.0215 -1.9232
 -1.8285 -1.7383 -1.6536 -1.5753 -1.5044 -1.3591 -1.2665 -1.2069 -1.1825
 -2.7769 -2.6617 -2.6066 -2.5826 -2.4818 -2.3322 -2.1880 -2.0699 -1.9704 -1.8778
 -1.7893 -1.7052 -1.6264 -1.5542 -1.4894 -1.3604 -1.2733 -1.2228 -1.2003 -1.1949
 -2.6572 -2.5270 -2.4139 -2.3316 -2.2995 -2.2562 -2.1518 -2.0338 -1.9331 -1.8457
 -1.7630 -1.6845 -1.6111 -1.5439 -1.4836 -1.3639 -1.2831 -1.2362 -1.2162 -1.2120
 -1.2171
 -2.5635 -2.4425 -2.3248 -2.2143 -2.1241 -2.0668 -2.0383 -1.9881 -1.9032 -1.8192
 -1.7417 -1.6687 -1.6001 -1.5373 -1.4809 -1.3687 -1.2923 -1.2477 -1.2293 -1.2265
 -1.2320 -1.2432
 -2.4788 -2.3709 -2.2628 -2.1566 -2.0575 -1.9692 -1.8996 -1.8533 -1.8241 -1.7796
 -1.7183 -1.6522 -1.5888 -1.5302 -1.4774 -1.3717 -1.2990 -1.2561 -1.2391 -1.2383
 -1.2452 -1.2566 -1.2721 -1.2926
 -2.4020 -2.3021 -2.2054 -2.1088 -2.0135 -1.9236 -1.8420 -1.7718 -1.7177 -1.6829
 -1.6547 -1.6174 -1.5700 -1.5189 -1.4703 -1.3712 -1.3021 -1.2605 -1.2446 -1.2464
 -1.2559 -1.2690 -1.2850 -1.3039 -1.3251 -1.3496 -1.3789 -1.4140 -1.4550 -1.4994
 -2.3244 -2.2329 -2.1455 -2.0603 -1.9744 -1.8896 -1.8090 -1.7354 -1.6709 -1.6179
 -1.5775 -1.5479 -1.5202 -1.4885 -1.4529 -1.3661 -1.3009 -1.2606 -1.2453 -1.2494
 -1.2628 -1.2791 -1.2970 -1.3166 -1.3382 -1.3613 -1.3873 -1.4176 -1.4534 -1.4953
 -1.5430
 -2.2543 -2.1634 -2.0851 -2.0068 -1.9313 -1.8555 -1.7806 -1.7091 -1.6437 -1.5861
 -1.5378 -1.4984 -1.4668 -1.4405 -1.4155 -1.3519 -1.2948 -1.2564 -1.2411 -1.2466
 -1.2640 -1.2848 -1.3062 -1.3282 -1.3510 -1.3735 -1.3972 -1.4244 -1.4565 -1.4949
 -1.5403
 -2.1975 -2.1014 -2.0237 -1.9507 -1.8811 -1.8144 -1.7482 -1.6824 -1.6195 -1.5621
 -1.5120 -1.4697 -1.4340 -1.4037 -1.3783 -1.3256 -1.2812 -1.2478 -1.2329 -1.2386
 -1.2589 -1.2849 -1.3113 -1.3372 -1.3627 -1.3882 -1.4144 -1.4427 -1.4731 -1.5055
 -1.5396
 -2.1616 -2.0548 -1.9697 -1.8959 -1.8302 -1.7683 -1.7098 -1.6523 -1.5953 -1.5404
 -1.4907 -1.4477 -1.4114 -1.3802 -1.3530 -1.3004 -1.2622 -1.2353 -1.2222 -1.2269
 -1.2478 -1.2773 -1.3090 -1.3401 -1.3699 -1.3987 -1.4272 -1.4554 -1.4840 -1.5140
