 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_BP 
 -3.0141 -2.2719 -1.8578 -1.7685 -2.0239 -2.4180 -2.8565 -2.7193 -2.5842 -2.4403
 -2.2867 -2.1688 -1.9989 -1.8303 -1.6695 -1.3177 -1.0078 -0.7700 -0.5728
 -3.5517 -3.2132 -2.9675 -2.8053 -2.6994 -2.6023 -2.4982 -2.3915 -2.2847 -2.1760
 -2.0547 -1.9159 -1.7664 -1.6194 -1.4810 -1.1714 -0.9142 -0.7101 -0.5559 -0.4374
 -3.3420 -3.0242 -2.7734 -2.5783 -2.4319 -2.3297 -2.2587 -2.1835 -2.0883 -1.9789
 -1.8685 -1.7527 -1.6232 -1.4907 -1.3656 -1.0920 -0.8647 -0.6825 -0.5433 -0.4357
 -0.3493
 -3.1796 -2.8936 -2.6582 -2.4633 -2.3028 -2.1727 -2.0685 -1.9863 -1.9144 -1.8298
 -1.7269 -1.6212 -1.5099 -1.3922 -1.2780 -1.0292 -0.8266 -0.6634 -0.5372 -0.4389
 -0.3594 -0.2925
 -3.0242 -2.7749 -2.5631 -2.3802 -2.2211 -2.0838 -1.9661 -1.8649 -1.7760 -1.6949
 -1.6116 -1.5188 -1.4214 -1.3169 -1.2128 -0.9830 -0.7979 -0.6498 -0.5348 -0.4448
 -0.3717 -0.3099 -0.2559 -0.2069
 -2.8679 -2.6533 -2.4680 -2.3030 -2.1539 -2.0192 -1.8984 -1.7908 -1.6942 -1.6049
 -1.5197 -1.4351 -1.3502 -1.2596 -1.1658 -0.9506 -0.7773 -0.6397 -0.5334 -0.4509
 -0.3841 -0.3275 -0.2778 -0.2332 -0.1904 -0.1508 -0.1167 -0.0898 -0.0715 -0.0626
 -2.7182 -2.5292 -2.3680 -2.2225 -2.0875 -1.9614 -1.8441 -1.7361 -1.6373 -1.5462
 -1.4598 -1.3760 -1.2942 -1.2126 -1.1294 -0.9299 -0.7636 -0.6323 -0.5314 -0.4546
 -0.3939 -0.3429 -0.2984 -0.2581 -0.2208 -0.1850 -0.1522 -0.1241 -0.1023 -0.0886
 -0.0866
 -2.5776 -2.4095 -2.2658 -2.1368 -2.0168 -1.9024 -1.7925 -1.6884 -1.5913 -1.5005
 -1.4154 -1.3338 -1.2545 -1.1768 -1.0995 -0.9154 -0.7559 -0.6277 -0.5289 -0.4552
 -0.3991 -0.3538 -0.3149 -0.2799 -0.2474 -0.2166 -0.1860 -0.1579 -0.1350 -0.1196
 -0.1130
 -2.4499 -2.2989 -2.1654 -2.0478 -1.9399 -1.8368 -1.7366 -1.6394 -1.5466 -1.4585
 -1.3755 -1.2966 -1.2206 -1.1467 -1.0736 -0.9006 -0.7489 -0.6241 -0.5262 -0.4528
 -0.3990 -0.3583 -0.3252 -0.2961 -0.2693 -0.2436 -0.2190 -0.1967 -0.1767 -0.1590
 -0.1432
 -2.3352 -2.1974 -2.0756 -1.9632 -1.8622 -1.7683 -1.6776 -1.5887 -1.5022 -1.4188
 -1.3391 -1.2633 -1.1908 -1.1207 -1.0523 -0.8887 -0.7438 -0.6223 -0.5253 -0.4512
 -0.3970 -0.3581 -0.3292 -0.3059 -0.2853 -0.2657 -0.2467 -0.2281 -0.2138 -0.1966
 -0.1782
 -2.2335 -2.1050 -1.9964 -1.8869 -1.7876 -1.6978 -1.6139 -1.5330 -1.4537 -1.3763
 -1.3013 -1.2294 -1.1604 -1.0942 -1.0299 -0.8765 -0.7377 -0.6197 -0.5241 -0.4497
 -0.3944 -0.3551 -0.3278 -0.3085 -0.2935 -0.2802 -0.2676 -0.2549 -0.2421 -0.2297
 -0.2184
 -2.1446 -2.0217 -1.9278 -1.8194 -1.7196 -1.6300 -1.5486 -1.4726 -1.3997 -1.3289
 -1.2597 -1.1926 -1.1279 -1.0657 -1.0064 -0.8640 -0.7306 -0.6163 -0.5226
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = G_BP 
 -4.3911 -3.7412 -3.2636 -2.9536 -2.8134 -2.7671 -2.7764 -2.6227 -2.4734 -2.3223
 -2.1654 -2.0185 -1.8560 -1.7019 -1.5584 -1.2464 -0.9780 -0.7594 -0.5771
 -3.9919 -3.5796 -3.2822 -3.0323 -2.8170 -2.6368 -2.4852 -2.3523 -2.2280 -2.1042
 -1.9743 -1.8344 -1.6888 -1.5484 -1.4183 -1.1374 -0.9034 -0.7091 -0.5558 -0.4349
 -3.6805 -3.2459 -2.9202 -2.6854 -2.5286 -2.4087 -2.2874 -2.1645 -2.0471 -1.9356
 -1.8242 -1.7059 -1.5763 -1.4455 -1.3232 -1.0634 -0.8537 -0.6806 -0.5424 -0.4337
 -0.3463
 -3.5157 -3.0979 -2.7734 -2.5239 -2.3347 -2.1936 -2.0951 -2.0186 -1.9290 -1.8219
 -1.7123 -1.6052 -1.4926 -1.3728 -1.2583 -1.0111 -0.8177 -0.6610 -0.5353 -0.4358
 -0.3552 -0.2875
 -3.4018 -3.0121 -2.7025 -2.4564 -2.2602 -2.1038 -1.9788 -1.8784 -1.7994 -1.7260
 -1.6353 -1.5334 -1.4288 -1.3203 -1.2118 -0.9759 -0.7927 -0.6476 -0.5321 -0.4406
 -0.3662 -0.3036 -0.2492 -0.2009
 -3.2986 -2.9426 -2.6544 -2.4195 -2.2255 -2.0639 -1.9288 -1.8149 -1.7165 -1.6300
 -1.5518 -1.4700 -1.3797 -1.2812 -1.1798 -0.9530 -0.7761 -0.6383 -0.5303 -0.4457
 -0.3775 -0.3200 -0.2700 -0.2253 -0.1846 -0.1475 -0.1146 -0.0862 -0.0655 -0.0563
 -3.1960 -2.8731 -2.6086 -2.3887 -2.2023 -2.0419 -1.9028 -1.7819 -1.6758 -1.5802
 -1.4918 -1.4086 -1.3286 -1.2450 -1.1550 -0.9383 -0.7653 -0.6315 -0.5283 -0.4489
 -0.3864 -0.3346 -0.2896 -0.2492 -0.2121 -0.1778 -0.1465 -0.1187 -0.0958 -0.0823
 -0.0805
 -3.0963 -2.8029 -2.5605 -2.3559 -2.1793 -2.0238 -1.8855 -1.7615 -1.6508 -1.5510
 -1.4587 -1.3718 -1.2895 -1.2094 -1.1292 -0.9296 -0.7590 -0.6269 -0.5259 -0.4493
 -0.3912 -0.3448 -0.3054 -0.2703 -0.2379 -0.2074 -0.1791 -0.1531 -0.1297 -0.1131
 -0.1067
 -3.0019 -2.7332 -2.5083 -2.3173 -2.1509 -2.0021 -1.8669 -1.7435 -1.6310 -1.5284
 -1.4344 -1.3467 -1.2632 -1.1831 -1.1051 -0.9189 -0.7547 -0.6232 -0.5225 -0.4468
