 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F460M
  3.4421  3.3651  3.2961  3.2282  3.1620  3.1039  3.0796  3.0428  3.0006  2.9474
  2.8848  2.8107  2.7386  2.6699  2.5997  2.4433  2.3134  2.1403  1.9884
  3.5301  3.4511  3.3694  3.2854  3.2023  3.1275  3.0625  3.0053  2.9529  2.9027
  2.8485  2.7870  2.7196  2.6501  2.5812  2.4188  2.2740  2.1378  1.9790  1.8197
  3.5294  3.4556  3.3805  3.3046  3.2280  3.1503  3.0722  2.9996  2.9343  2.8751
  2.8215  2.7671  2.7056  2.6384  2.5700  2.4066  2.2568  2.1183  1.9604  1.8018
  1.6501
  3.5133  3.4460  3.3767  3.3060  3.2345  3.1628  3.0911  3.0182  2.9445  2.8739
  2.8077  2.7505  2.6940  2.6316  2.5650  2.4002  2.2457  2.1028  1.9466  1.7887
  1.6372  1.4926
  3.4810  3.4218  3.3597  3.2951  3.2285  3.1608  3.0927  3.0246  2.9557  2.8854
  2.8145  2.7469  2.6868  2.6254  2.5615  2.3980  2.2398  2.0917  1.9365  1.7791
  1.6277  1.4832  1.3452  1.2128
  3.4318  3.3814  3.3284  3.2718  3.2116  3.1486  3.0842  3.0191  2.9536  2.8875
  2.8202  2.7515  2.6883  2.6254  2.5604  2.3974  2.2376  2.0854  1.9301  1.7724
  1.6207  1.4762  1.3382  1.2061  1.0792  0.9569  0.8384  0.7235  0.6115  0.5022
  3.3701  3.3248  3.2810  3.2340  3.1824  3.1262  3.0668  3.0055  2.9431  2.8798
  2.8160  2.7511  2.6882  2.6270  2.5627  2.3985  2.2375  2.0833  1.9278  1.7690
  1.6161  1.4710  1.3328  1.2007  1.0740  0.9522  0.8346  0.7209  0.6104  0.5027
  0.3969
  3.2970  3.2562  3.2179  3.1798  3.1383  3.0911  3.0391  2.9834  2.9251  2.8653
  2.8044  2.7428  2.6818  2.6230  2.5616  2.4006  2.2393  2.0840  1.9293  1.7696
  1.6145  1.4680  1.3291  1.1966  1.0698  0.9481  0.8310  0.7180  0.6085  0.5020
  0.3981
  3.2185  3.1789  3.1427  3.1096  3.0768  3.0399  2.9973  2.9495  2.8975  2.8425
  2.7856  2.7273  2.6689  2.6115  2.5531  2.3986  2.2403  2.0846  1.9308  1.7717
  1.6140  1.4648  1.3243  1.1909  1.0636  0.9416  0.8244  0.7114  0.6021  0.4964
  0.3940
  3.1346  3.0929  3.0626  3.0304  3.0015  2.9730  2.9404  2.9022  2.8589  2.8112
  2.7601  2.7064  2.6514  2.5959  2.5401  2.3936  2.2414  2.0880  1.9354  1.7789
  1.6209  1.4688  1.3256  1.1906  1.0623  0.9398  0.8222  0.7092  0.5979  0.4926
  0.3910
  3.0452  2.9982  2.9776  2.9492  2.9180  2.8918  2.8667  2.8383  2.8047  2.7662
  2.7232  2.6762  2.6262  2.5745  2.5217  2.3830  2.2387  2.0898  1.9390  1.7855
  1.6298  1.4768  1.3306  1.1928  1.0627  0.9390  0.8207  0.7072  0.5981  0.4928
  0.3908
  2.9504  2.8948  2.8877  2.8675  2.8332  2.8046  2.7810  2.7586  2.7337  2.7049
  2.6715  2.6333  2.5909  2.5451  2.4979  2.3668  2.2322  2.0900  1.9416
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F460M
  3.4527  3.3834  3.3211  3.2618  3.2045  3.1491  3.1020  3.0468  2.9873  2.9234
  2.8555  2.7828  2.7105  2.6398  2.5696  2.4080  2.2722  2.1266  1.9923
  3.5023  3.4152  3.3279  3.2480  3.1767  3.1126  3.0543  2.9994  2.9438  2.8855
  2.8236  2.7573  2.6874  2.6167  2.5472  2.3841  2.2443  2.1100  1.9763  1.8301
  3.5249  3.4443  3.3619  3.2784  3.1938  3.1130  3.0409  2.9765  2.9174  2.8613
  2.8042  2.7437  2.6777  2.6083  2.5386  2.3747  2.2277  2.0919  1.9554  1.8034
  1.6524
  3.5318  3.4560  3.3784  3.3000  3.2218  3.1443  3.0661  2.9887  2.9170  2.8515
  2.7920  2.7343  2.6738  2.6074  2.5394  2.3726  2.2186  2.0788  1.9399  1.7899
  1.6397  1.4952
  3.5247  3.4544  3.3818  3.3079  3.2336  3.1596  3.0867  3.0145  2.9407  2.8663
  2.7951  2.7311  2.6709  2.6085  2.5418  2.3747  2.2153  2.0699  1.9284  1.7800
  1.6304  1.4861  1.3480  1.2154
  3.5025  3.4392  3.3730  3.3045  3.2346  3.1640  3.0935  3.0239  2.9550  2.8852
  2.8133  2.7415  2.6756  2.6113  2.5456  2.3793  2.2163  2.0652  1.9205  1.7729
  1.6236  1.4793  1.3413  1.2090  1.0819  0.9593  0.8405  0.7252  0.6133  0.5042
  3.4635  3.4086  3.3505  3.2892  3.2251  3.1591  3.0919  3.0244  2.9572  2.8906
  2.8234  2.7544  2.6868  2.6207  2.5532  2.3849  2.2200  2.0645  1.9167  1.7686
  1.6191  1.4744  1.3362  1.2039  1.0770  0.9550  0.8371  0.7229  0.6122  0.5045
  0.3986
  3.4102  3.3619  3.3123  3.2599  3.2036  3.1439  3.0815  3.0175  2.9527  2.8878
  2.8231  2.7578  2.6933  2.6287  2.5625  2.3923  2.2253  2.0671  1.9167  1.7678
  1.6173  1.4715  1.3326  1.2000  1.0730  0.9512  0.8337  0.7202  0.6105  0.5039
  0.3999
  3.3463  3.3012  3.2582  3.2145  3.1671  3.1155  3.0598  3.0010  2.9400  2.8778
