 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F444W
 -4.2481 -4.3265 -4.3934 -4.4591 -4.5158 -4.5623 -4.5833 -4.6217 -4.6674 -4.7247
 -4.7924 -4.8624 -4.9428 -5.0197 -5.0915 -5.2686 -5.4337 -5.6050 -5.7599
 -4.1809 -4.2609 -4.3412 -4.4217 -4.4991 -4.5666 -4.6248 -4.6774 -4.7277 -4.7787
 -4.8358 -4.9009 -4.9718 -5.0449 -5.1182 -5.2963 -5.4641 -5.6238 -5.7873 -5.9465
 -4.1918 -4.2668 -4.3423 -4.4175 -4.4916 -4.5651 -4.6372 -4.7027 -4.7617 -4.8172
 -4.8710 -4.9283 -4.9933 -5.0638 -5.1359 -5.3130 -5.4815 -5.6417 -5.8049 -5.9636
 -6.1151
 -4.2164 -4.2848 -4.3549 -4.4261 -4.4972 -4.5674 -4.6362 -4.7049 -4.7730 -4.8375
 -4.8989 -4.9557 -5.0143 -5.0795 -5.1489 -5.3241 -5.4935 -5.6552 -5.8179 -5.9763
 -6.1275 -6.2719
 -4.2569 -4.3165 -4.3791 -4.4444 -4.5116 -4.5793 -4.6465 -4.7126 -4.7783 -4.8447
 -4.9109 -4.9748 -5.0345 -5.0964 -5.1614 -5.3319 -5.5010 -5.6644 -5.8271 -5.9855
 -6.1367 -6.2809 -6.4188 -6.5512
 -4.3137 -4.3640 -4.4171 -4.4742 -4.5351 -4.5985 -4.6630 -4.7275 -4.7916 -4.8554
 -4.9198 -4.9850 -5.0472 -5.1096 -5.1739 -5.3388 -5.5055 -5.6693 -5.8327 -5.9919
 -6.1434 -6.2877 -6.4254 -6.5573 -6.6841 -6.8064 -6.9249 -7.0400 -7.1521 -7.2616
 -4.3824 -4.4272 -4.4708 -4.5180 -4.5701 -4.6268 -4.6866 -4.7479 -4.8099 -4.8720
 -4.9341 -4.9968 -5.0586 -5.1198 -5.1830 -5.3454 -5.5090 -5.6711 -5.8342 -5.9949
 -6.1478 -6.2926 -6.4305 -6.5623 -6.6888 -6.8105 -6.9280 -7.0418 -7.1524 -7.2602
 -7.3660
