 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_BP 
 -3.2562 -2.5239 -2.1206 -2.0438 -2.3140 -2.7218 -3.1710 -3.0332 -2.8989 -2.7555
 -2.6035 -2.4878 -2.3207 -2.1530 -1.9943 -1.6477 -1.3458 -1.1182 -0.9290
 -3.8652 -3.5268 -3.2813 -3.1194 -3.0138 -2.9171 -2.8138 -2.7079 -2.6023 -2.4950
 -2.3753 -2.2384 -2.0912 -1.9465 -1.8104 -1.5076 -1.2582 -1.0618 -0.9142 -0.8012
 -3.6566 -3.3389 -3.0885 -2.8940 -2.7485 -2.6472 -2.5772 -2.5031 -2.4091 -2.3013
 -2.1927 -2.0789 -1.9518 -1.8216 -1.6988 -1.4315 -1.2116 -1.0367 -0.9037 -0.8011
 -0.7190
 -3.4954 -3.2096 -2.9746 -2.7805 -2.6211 -2.4923 -2.3896 -2.3088 -2.2384 -2.1554
 -2.0544 -1.9507 -1.8418 -1.7265 -1.6146 -1.3718 -1.1758 -1.0194 -0.8991 -0.8054
 -0.7298 -0.6663
 -3.3414 -3.0923 -2.8809 -2.6987 -2.5408 -2.4048 -2.2888 -2.1894 -2.1023 -2.0230
 -1.9416 -1.8509 -1.7558 -1.6537 -1.5521 -1.3280 -1.1489 -1.0072 -0.8978 -0.8122
 -0.7427 -0.6839 -0.6326 -0.5860
 -3.1867 -2.9723 -2.7873 -2.6229 -2.4748 -2.3414 -2.2222 -2.1165 -2.0219 -1.9347
 -1.8515 -1.7689 -1.6862 -1.5980 -1.5066 -1.2971 -1.1293 -0.9977 -0.8970 -0.8188
 -0.7554 -0.7017 -0.6545 -0.6121 -0.5715 -0.5341 -0.5021 -0.4774 -0.4611 -0.4541
 -3.0387 -2.8499 -2.6889 -2.5438 -2.4096 -2.2846 -2.1687 -2.0624 -1.9657 -1.8768
 -1.7926 -1.7109 -1.6312 -1.5519 -1.4708 -1.2771 -1.1162 -0.9904 -0.8949 -0.8227
 -0.7654 -0.7172 -0.6750 -0.6369 -0.6015 -0.5675 -0.5364 -0.5101 -0.4903 -0.4787
 -0.4784
 -2.9000 -2.7319 -2.5883 -2.4596 -2.3402 -2.2266 -2.1178 -2.0153 -1.9201 -1.8314
 -1.7485 -1.6692 -1.5920 -1.5165 -1.4413 -1.2627 -1.1085 -0.9855 -0.8921 -0.8230
 -0.7706 -0.7281 -0.6916 -0.6586 -0.6279 -0.5988 -0.5698 -0.5433 -0.5220 -0.5082
 -0.5033
 -2.7738 -2.6229 -2.4895 -2.3720 -2.2646 -2.1620 -2.0627 -1.9668 -1.8755 -1.7894
 -1.7085 -1.6319 -1.5582 -1.4865 -1.4156 -1.2479 -1.1013 -0.9816 -0.8887 -0.8201
 -0.7702 -0.7325 -0.7018 -0.6748 -0.6497 -0.6256 -0.6025 -0.5816 -0.5631 -0.5467
 -0.5322
 -2.6603 -2.5229 -2.4013 -2.2890 -2.1882 -2.0948 -2.0047 -1.9167 -1.8314 -1.7496
 -1.6719 -1.5983 -1.5280 -1.4603 -1.3941 -1.2357 -1.0959 -0.9793 -0.8872 -0.8177
