 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F356W
  3.3290  3.2539  3.1895  3.1301  3.0868  3.0578  3.0711  3.0576  3.0365  3.0020
  2.9522  2.8896  2.8207  2.7433  2.6665  2.4775  2.2923  2.1245  1.9563
  3.4039  3.3255  3.2496  3.1760  3.1096  3.0575  3.0181  2.9878  2.9627  2.9380
  2.9036  2.8523  2.7862  2.7136  2.6392  2.4534  2.2722  2.0984  1.9325  1.7741
  3.3986  3.3262  3.2543  3.1841  3.1175  3.0551  2.9991  2.9543  2.9174  2.8839
  2.8524  2.8139  2.7583  2.6903  2.6183  2.4359  2.2564  2.0830  1.9174  1.7596
  1.6088
  3.3803  3.3146  3.2477  3.1807  3.1151  3.0528  2.9953  2.9421  2.8935  2.8503
  2.8088  2.7708  2.7260  2.6668  2.5992  2.4217  2.2448  2.0719  1.9061  1.7485
  1.5983  1.4545
  3.3457  3.2887  3.2291  3.1675  3.1050  3.0431  2.9839  2.9287  2.8769  2.8272
  2.7792  2.7328  2.6889  2.6374  2.5776  2.4089  2.2359  2.0645  1.8982  1.7402
  1.5901  1.4469  1.3096  1.1774
  3.2931  3.2459  3.1957  3.1420  3.0853  3.0268  2.9683  2.9116  2.8573  2.8055
  2.7547  2.7039  2.6562  2.6057  2.5502  2.3947  2.2280  2.0600  1.8938  1.7346
  1.5840  1.4408  1.3040  1.1726  1.0458  0.9232  0.8042  0.6886  0.5760  0.4662
  3.2259  3.1860  3.1455  3.1013  3.0528  3.0004  2.9458  2.8906  2.8359  2.7826
  2.7305  2.6787  2.6280  2.5775  2.5237  2.3770  2.2189  2.0565  1.8926  1.7324
  1.5803  1.4364  1.2994  1.1684  1.0425  0.9211  0.8036  0.6895  0.5784  0.4699
  0.3638
  3.1452  3.1119  3.0789  3.0439  3.0049  2.9608  2.9129  2.8622  2.8099  2.7574
  2.7051  2.6531  2.6015  2.5509  2.4985  2.3586  2.2078  2.0519  1.8929  1.7335
  1.5796  1.4340  1.2962  1.1649  1.0392  0.9184  0.8019  0.6891  0.5795  0.4726
  0.3681
  3.0560  3.0271  2.9984  2.9699  2.9398  2.9050  2.8654  2.8216  2.7746  2.7256
  2.6755  2.6247  2.5736  2.5230  2.4719  2.3381  2.1945  2.0438  1.8900  1.7341
  1.5798  1.4319  1.2921  1.1597  1.0335  0.9127  0.7964  0.6840  0.5751  0.4696
  0.3673
  2.9583  2.9316  2.9106  2.8854  2.8606  2.8341  2.8034  2.7681  2.7286  2.6856
  2.6402  2.5928  2.5442  2.4949  2.4452  2.3169  2.1813  2.0372  1.8882  1.7370
  1.5853  1.4366  1.2945  1.1601  1.0327  0.9112  0.7947  0.6827  0.5723  0.4677
  0.3668
  2.8521  2.8254  2.8155  2.7962  2.7714  2.7490  2.7257  2.6990  2.6679  2.6329
  2.5944  2.5528  2.5088  2.4630  2.4159  2.2931  2.1648  2.0284  1.8849  1.7382
  1.5903  1.4434  1.3004  1.1636  1.0340  0.9110  0.7936  0.6812  0.5731  0.4687
  0.3678
  2.7374  2.7085  2.7131  2.7033  2.6780  2.6557  2.6356  2.6150  2.5918  2.5653
  2.5352  2.5014  2.4642  2.4241  2.3840  2.2667  2.1450  2.0174  1.8801
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F356W
  3.3379  3.2740  3.2200  3.1727  3.1350  3.1043  3.0883  3.0627  3.0334  2.9958
  2.9458  2.8829  2.8129  2.7381  2.6634  2.4777  2.2952  2.1232  1.9553
  3.3756  3.2918  3.2127  3.1462  3.0923  3.0500  3.0177  2.9922  2.9680  2.9401
  2.9023  2.8491  2.7824  2.7100  2.6362  2.4527  2.2734  2.1003  1.9346  1.7763
  3.3937  3.3137  3.2354  3.1606  3.0900  3.0295  2.9822  2.9449  2.9143  2.8876
