 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F410M
  3.5552  3.4745  3.4072  3.3455  3.2966  3.2571  3.2356  3.1926  3.1408  3.0781
  3.0053  2.9387  2.8503  2.7701  2.6935  2.5051  2.3164  2.1482  1.9798
  3.6002  3.5193  3.4401  3.3625  3.2898  3.2281  3.1744  3.1241  3.0735  3.0198
  2.9591  2.8904  2.8166  2.7410  2.6648  2.4759  2.2929  2.1181  1.9512  1.7922
  3.5795  3.5034  3.4273  3.3526  3.2805  3.2103  3.1428  3.0828  3.0282  2.9744
  2.9191  2.8585  2.7904  2.7177  2.6433  2.4575  2.2760  2.1014  1.9346  1.7758
  1.6244
  3.5466  3.4774  3.4064  3.3347  3.2638  3.1948  3.1283  3.0629  2.9992  2.9393
  2.8814  2.8243  2.7635  2.6964  2.6253  2.4435  2.2638  2.0893  1.9223  1.7636
  1.6125  1.4682
  3.4987  3.4386  3.3754  3.3094  3.2419  3.1742  3.1079  3.0435  2.9802  2.9170
  2.8546  2.7938  2.7343  2.6723  2.6067  2.4320  2.2554  2.0815  1.9138  1.7547
  1.6037  1.4596  1.3218  1.1894
  3.4349  3.3846  3.3312  3.2737  3.2124  3.1487  3.0844  3.0206  2.9579  2.8960
  2.8341  2.7717  2.7106  2.6490  2.5859  2.4206  2.2492  2.0775  1.9090  1.7487
  1.5972  1.4531  1.3155  1.1836  1.0567  0.9341  0.8154  0.7000  0.5876  0.4779
  3.3600  3.3157  3.2721  3.2246  3.1721  3.1152  3.0554  2.9944  2.9331  2.8722
  2.8117  2.7510  2.6903  2.6296  2.5676  2.4079  2.2430  2.0758  1.9081  1.7460
  1.5930  1.4484  1.3107  1.1789  1.0524  0.9305  0.8128  0.6987  0.5878  0.4797
  0.3736
  3.2754  3.2361  3.1988  3.1605  3.1182  3.0702  3.0177  2.9619  2.9041  2.8456
  2.7867  2.7277  2.6686  2.6097  2.5499  2.3958  2.2362  2.0742  1.9100  1.7472
  1.5919  1.4457  1.3073  1.1753  1.0490  0.9275  0.8104  0.6972  0.5874  0.4805
  0.3762
  3.1858  3.1494  3.1148  3.0819  3.0485  3.0105  2.9671  2.9188  2.8669  2.8126
  2.7569  2.7003  2.6432  2.5861  2.5287  2.3812  2.2275  2.0697  1.9100  1.7491
  1.5920  1.4430  1.3028  1.1700  1.0432  0.9218  0.8049  0.6919  0.5826  0.4767
  0.3740
  3.0914  3.0556  3.0269  2.9956  2.9666  2.9370  2.9031  2.8640  2.8202  2.7726
  2.7221  2.6696  2.6158  2.5611  2.5060  2.3654  2.2192  2.0669  1.9116  1.7548
