 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F356W
  3.3074  3.2341  3.1692  3.1089  3.0652  3.0366  3.0510  3.0376  3.0166  2.9826
  2.9327  2.8697  2.7993  2.7241  2.6472  2.4569  2.2730  2.1037  1.9371
  3.3832  3.3050  3.2291  3.1554  3.0891  3.0371  2.9979  2.9678  2.9429  2.9183
  2.8839  2.8324  2.7662  2.6936  2.6192  2.4334  2.2522  2.0784  1.9126  1.7542
  3.3782  3.3059  3.2339  3.1638  3.0972  3.0349  2.9790  2.9343  2.8975  2.8641
  2.8326  2.7940  2.7383  2.6703  2.5983  2.4159  2.2365  2.0631  1.8975  1.7396
  1.5888
  3.3602  3.2944  3.2276  3.1605  3.0949  3.0326  2.9752  2.9220  2.8736  2.8304
  2.7889  2.7509  2.7061  2.6469  2.5792  2.4017  2.2248  2.0519  1.8862  1.7285
  1.5783  1.4345
  3.3257  3.2687  3.2091  3.1475  3.0849  3.0230  2.9638  2.9086  2.8569  2.8072
  2.7593  2.7129  2.6690  2.6174  2.5576  2.3890  2.2159  2.0445  1.8783  1.7202
  1.5702  1.4269  1.2896  1.1574
  3.2733  3.2260  3.1757  3.1220  3.0653  3.0067  2.9483  2.8915  2.8373  2.7855
  2.7347  2.6839  2.6362  2.5857  2.5302  2.3747  2.2081  2.0401  1.8739  1.7147
  1.5641  1.4209  1.2840  1.1527  1.0260  0.9034  0.7844  0.6688  0.5561  0.4462
  3.2062  3.1662  3.1256  3.0814  3.0328  2.9805  2.9259  2.8706  2.8159  2.7626
  2.7105  2.6587  2.6080  2.5575  2.5037  2.3570  2.1989  2.0366  1.8727  1.7125
  1.5603  1.4164  1.2795  1.1484  1.0226  0.9012  0.7837  0.6696  0.5584  0.4499
  0.3438
  3.1254  3.0921  3.0591  3.0241  2.9850  2.9409  2.8929  2.8422  2.7899  2.7374
  2.6851  2.6331  2.5815  2.5309  2.4785  2.3386  2.1878  2.0319  1.8729  1.7136
