 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F150W2
  0.8749  0.8800  0.8888  0.8951  0.9047  0.9166  0.9597  0.9586  0.9478  0.9267
  0.8959  0.8735  0.8288  0.7814  0.7326  0.6068  0.4738  0.3406  0.2104
  0.8761  0.8585  0.8586  0.8746  0.9003  0.9174  0.9225  0.9194  0.9096  0.8929
  0.8670  0.8317  0.7899  0.7451  0.6988  0.5786  0.4532  0.3247  0.1970  0.0718
  0.8452  0.8353  0.8256  0.8201  0.8228  0.8375  0.8601  0.8734  0.8714  0.8565
  0.8338  0.8033  0.7641  0.7201  0.6742  0.5563  0.4347  0.3094  0.1840  0.0611
 -0.0587
  0.8191  0.8127  0.8035  0.7936  0.7858  0.7828  0.7861  0.7963  0.8078  0.8084
  0.7946  0.7706  0.7371  0.6958  0.6510  0.5347  0.4166  0.2953  0.1724  0.0514
 -0.0665 -0.1813
  0.7840  0.7832  0.7782  0.7700  0.7603  0.7511  0.7445  0.7413  0.7406  0.7410
  0.7373  0.7236  0.7005  0.6676  0.6275  0.5144  0.3988  0.2816  0.1620  0.0427
 -0.0738 -0.1871 -0.2973 -0.4046
  0.7386  0.7441  0.7450  0.7415  0.7342  0.7243  0.7141  0.7051  0.6974  0.6898
  0.6808  0.6690  0.6522  0.6279  0.5960  0.4945  0.3818  0.2679  0.1521  0.0351
 -0.0804 -0.1928 -0.3019 -0.4080 -0.5118 -0.6137 -0.7138 -0.8122 -0.9090 -1.0044
  0.6841  0.6948  0.7021  0.7046  0.7021  0.6952  0.6853  0.6744  0.6636  0.6527
  0.6407  0.6258  0.6078  0.5860  0.5591  0.4712  0.3653  0.2547  0.1424  0.0283
 -0.0859 -0.1978 -0.3064 -0.4117 -0.5141 -0.6135 -0.7107 -0.8068 -0.9026 -0.9981
 -1.0912
  0.6208  0.6364  0.6489  0.6576  0.6611  0.6592  0.6529  0.6432  0.6316  0.6196
  0.6068  0.5919  0.5737  0.5517  0.5260  0.4459  0.3483  0.2420  0.1329  0.0219
 -0.0903 -0.2016 -0.3102 -0.4154 -0.5173 -0.6161 -0.7121 -0.8061 -0.8991 -0.9919
 -1.0849
  0.5504  0.5701  0.5866  0.6002  0.6097  0.6140  0.6129  0.6072  0.5978  0.5862
  0.5734  0.5592  0.5427  0.5227  0.4983  0.4220  0.3304  0.2286  0.1224  0.0140
 -0.0957 -0.2059 -0.3146 -0.4204 -0.5226 -0.6214 -0.7173 -0.8111 -0.9031 -0.9933
 -1.0819
  0.4728  0.4959  0.5164  0.5340  0.5482  0.5583  0.5633  0.5632  0.5583  0.5496
  0.5383  0.5253  0.5106  0.4934  0.4726  0.4018  0.3148  0.2175  0.1142  0.0082
 -0.0990 -0.2071 -0.3149 -0.4210 -0.5239 -0.6232 -0.7193 -0.8125 -0.9059 -0.9946
 -1.0802
  0.3881  0.4138  0.4383  0.4605  0.4776  0.4921  0.5028  0.5088  0.5099  0.5063
  0.4988  0.4884  0.4757  0.4611  0.4438  0.3829  0.2999  0.2071  0.1069  0.0030
 -0.1024 -0.2084 -0.3145 -0.4200 -0.5233 -0.6236 -0.7205 -0.8141 -0.9048 -0.9929
 -1.0792
  0.2963  0.3238  0.3523  0.3799  0.3995  0.4170  0.4319  0.4433  0.4505  0.4532
  0.4515  0.4457  0.4366  0.4250  0.4119  0.3653  0.2857  0.1974  0.1005
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =F150W2
  0.9148  0.9220  0.9316  0.9401  0.9482  0.9547  0.9682  0.9628  0.9494  0.9271
  0.8959  0.8626  0.8193  0.7733  0.7258  0.6033  0.4752  0.3449  0.2142
  0.8811  0.8843  0.9009  0.9130  0.9197  0.9242  0.9261  0.9236  0.9144  0.8970
  0.8702  0.8342  0.7919  0.7464  0.6995  0.5790  0.4547  0.3275  0.2002  0.0751
  0.8668  0.8515  0.8418  0.8431  0.8609  0.8817  0.8906  0.8887  0.8800  0.8654
  0.8433  0.8120  0.7718  0.7267  0.6797  0.5596  0.4373  0.3128  0.1877  0.0648
 -0.0551
  0.8579  0.8415  0.8247  0.8112  0.8041  0.8059  0.8204  0.8397  0.8459  0.8359
  0.8157  0.7883  0.7525  0.7092  0.6629  0.5427  0.4218  0.2998  0.1768  0.0556
 -0.0624 -0.1775
  0.8431  0.8302  0.8145  0.7983  0.7837  0.7728  0.7670  0.7674  0.7757  0.7844
  0.7796  0.7607  0.7309  0.6920  0.6471  0.5280  0.4080  0.2881  0.1674  0.0476
 -0.0692 -0.1828 -0.2932 -0.4011
  0.8185  0.8113  0.8000  0.7860  0.7706  0.7555  0.7423  0.7319  0.7240  0.7192
