 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  Hp  
 -3.7798 -3.3671 -2.9796 -2.7071 -2.6461 -2.7310 -3.0468 -2.9583 -2.8599 -2.7455
 -2.6184 -2.5205 -2.3764 -2.2295 -2.0914 -1.7918 -1.5362 -1.3430 -1.1877
 -3.5973 -3.3368 -3.1482 -3.0243 -2.9464 -2.8738 -2.7935 -2.7095 -2.6243 -2.5365
 -2.4361 -2.3187 -2.1904 -2.0635 -1.9442 -1.6810 -1.4674 -1.3022 -1.1794 -1.0859
 -3.4450 -3.2025 -3.0042 -2.8470 -2.7292 -2.6494 -2.5972 -2.5411 -2.4661 -2.3768
 -2.2856 -2.1883 -2.0777 -1.9630 -1.8546 -1.6205 -1.4324 -1.2864 -1.1765 -1.0919
 -1.0241
 -3.3240 -3.1052 -2.9185 -2.7600 -2.6279 -2.5211 -2.4372 -2.3732 -2.3186 -2.2523
 -2.1685 -2.0809 -1.9870 -1.8858 -1.7869 -1.5736 -1.4059 -1.2764 -1.1781 -1.1014
 -1.0390 -0.9863
 -3.1982 -3.0090 -2.8429 -2.6955 -2.5644 -2.4500 -2.3526 -2.2702 -2.1988 -2.1345
 -2.0681 -1.9926 -1.9126 -1.8247 -1.7359 -1.5391 -1.3858 -1.2694 -1.1814 -1.1123
 -1.0554 -1.0067 -0.9638 -0.9244
 -3.0631 -2.9027 -2.7606 -2.6306 -2.5095 -2.3978 -2.2967 -2.2074 -2.1283 -2.0558
 -1.9867 -1.9178 -1.8487 -1.7741 -1.6959 -1.5143 -1.3706 -1.2629 -1.1835 -1.1220
 -1.0711 -1.0272 -0.9880 -0.9524 -0.9180 -0.8865 -0.8601 -0.8406 -0.8295 -0.8275
 -2.9263 -2.7877 -2.6677 -2.5567 -2.4506 -2.3482 -2.2507 -2.1603 -2.0784 -2.0037
 -1.9332 -1.8647 -1.7976 -1.7308 -1.6619 -1.4964 -1.3594 -1.2564 -1.1824 -1.1276
 -1.0834 -1.0451 -1.0108 -0.9792 -0.9496 -0.9206 -0.8941 -0.8724 -0.8575 -0.8511
 -0.8554
 -2.7900 -2.6706 -2.5674 -2.4729 -2.3825 -2.2930 -2.2041 -2.1179 -2.0370 -1.9619
 -1.8922 -1.8257 -1.7608 -1.6972 -1.6335 -1.4817 -1.3517 -1.2508 -1.1786 -1.1278
 -1.0897 -1.0580 -1.0297 -1.0033 -0.9781 -0.9537 -0.9289 -0.9064 -0.8892 -0.8797
 -0.8794
 -2.6597 -2.5566 -2.4643 -2.3818 -2.3043 -2.2275 -2.1498 -2.0717 -1.9954 -1.9225
 -1.8542 -1.7899 -1.7283 -1.6683 -1.6086 -1.4664 -1.3435 -1.2456 -1.1733 -1.1235
 -1.0891 -1.0635 -1.0419 -1.0219 -1.0024 -0.9830 -0.9639 -0.9468 -0.9319 -0.9190
 -0.9079
 -2.5354 -2.4457 -2.3661 -2.2906 -2.2215 -2.1551 -2.0885 -2.0203 -1.9516 -1.8838
 -1.8185 -1.7567 -1.6981 -1.6419 -1.5867 -1.4535 -1.3365 -1.2414 -1.1694 -1.1186
 -1.0847 -1.0624 -1.0466 -1.0334 -1.0207 -1.0075 -0.9940 -0.9801 -0.9706 -0.9576
 -0.9427
 -2.4170 -2.3379 -2.2728 -2.2038 -2.1383 -2.0779 -2.0195 -1.9609 -1.9010 -1.8405
