 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F090W
 -1.5561 -1.5948 -1.6470 -1.7022 -1.7370 -1.7405 -1.6268 -1.6258 -1.6189 -1.6015
 -1.5713 -1.5232 -1.4884 -1.4494 -1.4103 -1.3454 -1.3467 -1.3900 -1.4360
 -1.5322 -1.5039 -1.4975 -1.5107 -1.5394 -1.5638 -1.5778 -1.5845 -1.5863 -1.5830
 -1.5691 -1.5424 -1.5074 -1.4728 -1.4432 -1.4006 -1.3967 -1.4205 -1.4566 -1.4986
 -1.5176 -1.5025 -1.4900 -1.4828 -1.4848 -1.5003 -1.5274 -1.5504 -1.5606 -1.5588
 -1.5524 -1.5394 -1.5153 -1.4868 -1.4611 -1.4217 -1.4198 -1.4442 -1.4806 -1.5222
 -1.5662
 -1.4911 -1.4868 -1.4799 -1.4721 -1.4665 -1.4661 -1.4728 -1.4880 -1.5084 -1.5230
 -1.5267 -1.5252 -1.5146 -1.4948 -1.4738 -1.4393 -1.4378 -1.4628 -1.4999 -1.5415
 -1.5852 -1.6301
 -1.4416 -1.4512 -1.4547 -1.4533 -1.4495 -1.4463 -1.4460 -1.4496 -1.4575 -1.4692
 -1.4809 -1.4886 -1.4929 -1.4885 -1.4775 -1.4506 -1.4497 -1.4754 -1.5143 -1.5570
 -1.6012 -1.6463 -1.6919 -1.7370
 -1.3709 -1.3953 -1.4116 -1.4203 -1.4234 -1.4235 -1.4231 -1.4240 -1.4272 -1.4323
 -1.4388 -1.4460 -1.4543 -1.4595 -1.4605 -1.4533 -1.4549 -1.4808 -1.5225 -1.5680
 -1.6140 -1.6602 -1.7066 -1.7532 -1.7995 -1.8464 -1.8948 -1.9454 -1.9989 -2.0555
 -1.2863 -1.3215 -1.3507 -1.3713 -1.3842 -1.3915 -1.3955 -1.3982 -1.4013 -1.4054
 -1.4101 -1.4150 -1.4208 -1.4274 -1.4324 -1.4420 -1.4527 -1.4792 -1.5231 -1.5729
 -1.6224 -1.6710 -1.7192 -1.7670 -1.8145 -1.8607 -1.9073 -1.9560 -2.0085 -2.0652
 -2.1241
 -1.1896 -1.2355 -1.2750 -1.3066 -1.3306 -1.3476 -1.3588 -1.3667 -1.3730 -1.3786
 -1.3844 -1.3903 -1.3960 -1.4022 -1.4077 -1.4229 -1.4425 -1.4716 -1.5166 -1.5703
 -1.6247 -1.6773 -1.7284 -1.7784 -1.8276 -1.8760 -1.9231 -1.9706 -2.0204 -2.0741
 -2.1326
 -1.0901 -1.1433 -1.1898 -1.2302 -1.2640 -1.2908 -1.3111 -1.3264 -1.3383 -1.3481
 -1.3568 -1.3650 -1.3729 -1.3806 -1.3876 -1.4048 -1.4283 -1.4607 -1.5058 -1.5615
 -1.6204 -1.6782 -1.7337 -1.7871 -1.8390 -1.8895 -1.9392 -1.9893 -2.0399 -2.0909
 -2.1422
 -0.9877 -1.0449 -1.0985 -1.1453 -1.1866 -1.2223 -1.2519 -1.2758 -1.2952 -1.3111
 -1.3246 -1.3366 -1.3476 -1.3581 -1.3678 -1.3891 -1.4142 -1.4482 -1.4928 -1.5478
 -1.6087 -1.6708 -1.7312 -1.7892 -1.8447 -1.8983 -1.9504 -2.0013 -2.0553 -2.1055
 -2.1534
 -0.8824 -0.9403 -1.0011 -1.0571 -1.1026 -1.1448 -1.1823 -1.2148 -1.2424 -1.2657
 -1.2857 -1.3031 -1.3186 -1.3326 -1.3457 -1.3744 -1.4013 -1.4361 -1.4804 -1.5340
 -1.5943 -1.6580 -1.7220 -1.7846 -1.8446 -1.9021 -1.9575 -2.0111 -2.0633 -2.1148
 -2.1664
 -0.7744 -0.8295 -0.8976 -0.9668 -1.0161 -1.0625 -1.1057 -1.1451 -1.1803 -1.2115
 -1.2388 -1.2629 -1.2842 -1.3032 -1.3213 -1.3607 -1.3896 -1.4244 -1.4686
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F090W
 -1.4865 -1.4964 -1.5239 -1.5621 -1.5989 -1.6264 -1.6119 -1.6283 -1.6320 -1.6212
 -1.5958 -1.5566 -1.5182 -1.4802 -1.4448 -1.3818 -1.3642 -1.3847 -1.4255
 -1.4655 -1.4556 -1.4721 -1.4929 -1.5143 -1.5385 -1.5637 -1.5855 -1.5992 -1.6015
 -1.5904 -1.5659 -1.5327 -1.4991 -1.4689 -1.4167 -1.4007 -1.4173 -1.4514 -1.4922
 -1.4862 -1.4618 -1.4508 -1.4554 -1.4801 -1.5135 -1.5397 -1.5571 -1.5695 -1.5775
 -1.5772 -1.5656 -1.5419 -1.5135 -1.4870 -1.4407 -1.4259 -1.4410 -1.4746 -1.5155
 -1.5593
 -1.4986 -1.4791 -1.4649 -1.4566 -1.4562 -1.4656 -1.4886 -1.5201 -1.5445 -1.5557
 -1.5589 -1.5560 -1.5436 -1.5221 -1.5002 -1.4589 -1.4457 -1.4598 -1.4930 -1.5339
 -1.5776 -1.6225
 -1.4884 -1.4791 -1.4702 -1.4617 -1.4552 -1.4530 -1.4565 -1.4666 -1.4858 -1.5096
 -1.5264 -1.5348 -1.5339 -1.5226 -1.5055 -1.4709 -1.4596 -1.4732 -1.5065 -1.5483
 -1.5927 -1.6381 -1.6840 -1.7305
 -1.4530 -1.4572 -1.4579 -1.4551 -1.4503 -1.4455 -1.4427 -1.4435 -1.4480 -1.4570
 -1.4714 -1.4870 -1.4998 -1.5047 -1.5005 -1.4761 -1.4673 -1.4808 -1.5145 -1.5583
 -1.6046 -1.6512 -1.6981 -1.7453 -1.7924 -1.8398 -1.8882 -1.9390 -1.9945 -2.0515
 -1.3934 -1.4123 -1.4256 -1.4322 -1.4335 -1.4315 -1.4285 -1.4267 -1.4269 -1.4292
 -1.4336 -1.4410 -1.4524 -1.4639 -1.4711 -1.4726 -1.4687 -1.4825 -1.5163 -1.5628
 -1.6122 -1.6614 -1.7101 -1.7585 -1.8066 -1.8545 -1.9028 -1.9519 -2.0038 -2.0609
 -2.1200
 -1.3144 -1.3464 -1.3725 -1.3910 -1.4016 -1.4064 -1.4075 -1.4071 -1.4070 -1.4081
 -1.4100 -1.4132 -1.4188 -1.4263 -1.4347 -1.4519 -1.4627 -1.4788 -1.5125 -1.5607
 -1.6142 -1.6672 -1.7188 -1.7694 -1.8192 -1.8683 -1.9173 -1.9663 -2.0162 -2.0696
 -2.1285
 -1.2232 -1.2648 -1.3017 -1.3315 -1.3532 -1.3673 -1.3755 -1.3799 -1.3828 -1.3854
 -1.3883 -1.3916 -1.3957 -1.4008 -1.4070 -1.4257 -1.4469 -1.4701 -1.5045 -1.5534
 -1.6102 -1.6679 -1.7238 -1.7777 -1.8301 -1.8813 -1.9318 -1.9817 -2.0319 -2.0832
 -2.1379
 -1.1256 -1.1736 -1.2181 -1.2569 -1.2888 -1.3131 -1.3305 -1.3425 -1.3509 -1.3573
 -1.3630 -1.3688 -1.3744 -1.3802 -1.3863 -1.4039 -1.4277 -1.4568 -1.4931 -1.5414
 -1.5994 -1.6607 -1.7212 -1.7795 -1.8355 -1.8897 -1.9425 -1.9942 -2.0453 -2.0965
 -2.1489
 -1.0240 -1.0768 -1.1259 -1.1713 -1.2111 -1.2449 -1.2719 -1.2927 -1.3087 -1.3212
 -1.3317 -1.3412 -1.3500 -1.3584 -1.3665 -1.3865 -1.4106 -1.4422 -1.4807 -1.5284
 -1.5856 -1.6483 -1.7122 -1.7749 -1.8352 -1.8932 -1.9493 -2.0036 -2.0566 -2.1090
 -2.1613
 -0.9224 -0.9770 -1.0291 -1.0786 -1.1240 -1.1649 -1.2004 -1.2302 -1.2548 -1.2750
 -1.2918 -1.3066 -1.3242 -1.3349 -1.3476 -1.3735 -1.3956 -1.4263 -1.4673
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = F090W
 -1.5553 -1.5418 -1.5459 -1.5622 -1.5853 -1.6093 -1.6291 -1.6409 -1.6424 -1.6316
 -1.6079 -1.5742 -1.5360 -1.5004 -1.4688 -1.4096 -1.3807 -1.3839 -1.4156
 -1.5038 -1.4824 -1.4813 -1.4965 -1.5220 -1.5517 -1.5797 -1.6015 -1.6145 -1.6162
 -1.6048 -1.5808 -1.5491 -1.5175 -1.4893 -1.4367 -1.4112 -1.4156 -1.4439 -1.4835
 -1.4699 -1.4422 -1.4450 -1.4604 -1.4807 -1.5066 -1.5353 -1.5616 -1.5816 -1.5930
 -1.5932 -1.5806 -1.5569 -1.5295 -1.5041 -1.4575 -1.4355 -1.4395 -1.4663 -1.5052
 -1.5487
 -1.4886 -1.4485 -1.4266 -1.4235 -1.4402 -1.4730 -1.5056 -1.5314 -1.5518 -1.5665
 -1.5737 -1.5718 -1.5581 -1.5363 -1.5140 -1.4726 -1.4539 -1.4582 -1.4836 -1.5222
 -1.5658 -1.6111
 -1.5056 -1.4695 -1.4453 -1.4316 -1.4275 -1.4347 -1.4544 -1.4837 -1.5164 -1.5396
 -1.5515 -1.5551 -1.5508 -1.5370 -1.5186 -1.4823 -1.4666 -1.4717 -1.4966 -1.5352
 -1.5796 -1.6255 -1.6721 -1.7193
 -1.5048 -1.4777 -1.4583 -1.4445 -1.4354 -1.4319 -1.4342 -1.4425 -1.4579 -1.4819
 -1.5074 -1.5255 -1.5325 -1.5290 -1.5173 -1.4868 -1.4741 -1.4804 -1.5052 -1.5442
 -1.5901 -1.6375 -1.6852 -1.7332 -1.7812 -1.8292 -1.8788 -1.9315 -1.9876 -2.0442
 -1.4801 -1.4660 -1.4556 -1.4470 -1.4392 -1.4328 -1.4289 -1.4285 -1.4318 -1.4386
 -1.4505 -1.4685 -1.4872 -1.4999 -1.5033 -1.4864 -1.4767 -1.4842 -1.5091 -1.5488
 -1.5967 -1.6465 -1.6961 -1.7455 -1.7946 -1.8436 -1.8931 -1.9435 -1.9965 -2.0541
 -2.1132
 -1.4302 -1.4310 -1.4329 -1.4334 -1.4314 -1.4275 -1.4229 -1.4192 -1.4176 -1.4183
 -1.4210 -1.4265 -1.4371 -1.4511 -1.4638 -1.4773 -1.4746 -1.4836 -1.5086 -1.5486
 -1.5985 -1.6515 -1.7039 -1.7555 -1.8062 -1.8565 -1.9067 -1.9571 -2.0082 -2.0625
 -2.1219
 -1.3576 -1.3731 -1.3882 -1.4003 -1.4075 -1.4100 -1.4091 -1.4065 -1.4040 -1.4027
 -1.4027 -1.4041 -1.4076 -1.4142 -1.4236 -1.4489 -1.4657 -1.4790 -1.5046 -1.5444
 -1.5957 -1.6520 -1.7082 -1.7630 -1.8164 -1.8686 -1.9204 -1.9716 -2.0231 -2.0763
 -2.1312
 -1.2701 -1.2975 -1.3240 -1.3472 -1.3652 -1.3770 -1.3832 -1.3854 -1.3855 -1.3852
 -1.3854 -1.3865 -1.3886 -1.3920 -1.3971 -1.4184 -1.4445 -1.4687 -1.4965 -1.5358
 -1.5869 -1.6453 -1.7054 -1.7643 -1.8212 -1.8763 -1.9303 -1.9832 -2.0356 -2.0881
 -2.1417
 -1.1744 -1.2096 -1.2447 -1.2773 -1.3050 -1.3267 -1.3421 -1.3519 -1.3578 -1.3613
 -1.3640 -1.3670 -1.3703 -1.3740 -1.3785 -1.3953 -1.4213 -1.4521 -1.4853 -1.5250
 -1.5752 -1.6340 -1.6967 -1.7595 -1.8205 -1.8793 -1.9364 -1.9919 -2.0461 -2.0998
 -2.1533
 -1.0735 -1.1144 -1.1549 -1.1943 -1.2299 -1.2604 -1.2852 -1.3040 -1.3178 -1.3278
 -1.3353 -1.3417 -1.3494 -1.3547 -1.3678 -1.3796 -1.3961 -1.4292 -1.4710
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value = F090W
 -1.7625 -1.7311 -1.7129 -1.7026 -1.6960 -1.6890 -1.6784 -1.6636 -1.6501 -1.6327
 -1.6076 -1.5759 -1.5418 -1.5101 -1.4823 -1.4287 -1.3961 -1.3874 -1.4062
 -1.6646 -1.6292 -1.6121 -1.6081 -1.6121 -1.6193 -1.6242 -1.6265 -1.6270 -1.6217
 -1.6067 -1.5821 -1.5527 -1.5239 -1.4984 -1.4503 -1.4223 -1.4162 -1.4344 -1.4696
 -1.5994 -1.5575 -1.5361 -1.5319 -1.5401 -1.5552 -1.5715 -1.5854 -1.5966 -1.6018
 -1.5976 -1.5822 -1.5584 -1.5326 -1.5091 -1.4657 -1.4419 -1.4382 -1.4558 -1.4899
 -1.5324
 -1.5397 -1.4944 -1.4781 -1.4766 -1.4839 -1.5003 -1.5216 -1.5425 -1.5609 -1.5743
 -1.5799 -1.5748 -1.5590 -1.5373 -1.5158 -1.4762 -1.4561 -1.4546 -1.4722 -1.5055
 -1.5479 -1.5936
 -1.5386 -1.4737 -1.4350 -1.4198 -1.4258 -1.4489 -1.4781 -1.5048 -1.5270 -1.5443
 -1.5556 -1.5591 -1.5527 -1.5374 -1.5188 -1.4828 -1.4658 -1.4664 -1.4844 -1.5173
 -1.5599 -1.6064 -1.6539 -1.7022
 -1.5492 -1.4886 -1.4456 -1.4184 -1.4060 -1.4073 -1.4212 -1.4470 -1.4809 -1.5105
 -1.5292 -1.5381 -1.5389 -1.5316 -1.5179 -1.4859 -1.4717 -1.4742 -1.4929 -1.5259
 -1.5688 -1.6165 -1.6653 -1.7145 -1.7640 -1.8143 -1.8657 -1.9200 -1.9773 -2.0341
 -1.5514 -1.4968 -1.4571 -1.4297 -1.4126 -1.4045 -1.4048 -1.4124 -1.4269 -1.4488
 -1.4761 -1.5003 -1.5144 -1.5172 -1.5113 -1.4858 -1.4743 -1.4785 -1.4980 -1.5311
 -1.5746 -1.6237 -1.6744 -1.7251 -1.7757 -1.8266 -1.8780 -1.9305 -1.9854 -2.0439
 -2.1028
 -1.5360 -1.4914 -1.4588 -1.4359 -1.4200 -1.4095 -1.4039 -1.4032 -1.4070 -1.4145
