 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F162M
 -1.1868 -1.1645 -1.1406 -1.1215 -1.1103 -1.1082 -1.1379 -1.1694 -1.2105 -1.2586
 -1.3113 -1.3125 -1.3765 -1.4420 -1.5098 -1.6801 -1.8453 -1.9950 -2.1471
 -1.3319 -1.3546 -1.3331 -1.2720 -1.2033 -1.1748 -1.1802 -1.2042 -1.2392 -1.2821
 -1.3310 -1.3841 -1.4400 -1.4979 -1.5567 -1.7046 -1.8543 -2.0057 -2.1565 -2.3048
 -1.4001 -1.4159 -1.4249 -1.4209 -1.4000 -1.3550 -1.3009 -1.2775 -1.2875 -1.3200
 -1.3637 -1.4132 -1.4670 -1.5238 -1.5819 -1.7272 -1.8708 -2.0166 -2.1638 -2.3092
 -2.4515
 -1.4524 -1.4644 -1.4764 -1.4852 -1.4868 -1.4796 -1.4630 -1.4327 -1.4021 -1.3954
 -1.4145 -1.4515 -1.4988 -1.5522 -1.6087 -1.7517 -1.8907 -2.0294 -2.1717 -2.3143
 -2.4542 -2.5909
 -1.5190 -1.5218 -1.5282 -1.5360 -1.5428 -1.5461 -1.5450 -1.5404 -1.5314 -1.5177
 -1.5107 -1.5221 -1.5501 -1.5901 -1.6393 -1.7775 -1.9136 -2.0457 -2.1810 -2.3195
 -2.4572 -2.5921 -2.7237 -2.8520
 -1.6027 -1.5938 -1.5909 -1.5923 -1.5962 -1.6008 -1.6042 -1.6060 -1.6075 -1.6094
 -1.6111 -1.6151 -1.6279 -1.6519 -1.6867 -1.8056 -1.9380 -2.0658 -2.1934 -2.3257
 -2.4601 -2.5932 -2.7234 -2.8503 -2.9745 -3.0960 -3.2142 -3.3290 -3.4402 -3.5477
 -1.7038 -1.6819 -1.6677 -1.6599 -1.6572 -1.6579 -1.6605 -1.6632 -1.6662 -1.6710
 -1.6787 -1.6896 -1.7039 -1.7224 -1.7477 -1.8424 -1.9637 -2.0878 -2.2096 -2.3347
 -2.4640 -2.5943 -2.7227 -2.8483 -2.9709 -3.0902 -3.2066 -3.3204 -3.4318 -3.5406
 -3.6448
 -1.8222 -1.7868 -1.7600 -1.7413 -1.7297 -1.7239 -1.7218 -1.7222 -1.7243 -1.7275
 -1.7338 -1.7447 -1.7606 -1.7810 -1.8050 -1.8855 -1.9923 -2.1106 -2.2283 -2.3471
 -2.4700 -2.5961 -2.7222 -2.8462 -2.9673 -3.0857 -3.2012 -3.3139 -3.4239 -3.5316
 -3.6370
 -1.9534 -1.9061 -1.8680 -1.8382 -1.8163 -1.8016 -1.7926 -1.7881 -1.7867 -1.7875
 -1.7906 -1.7975 -1.8099 -1.8280 -1.8517 -1.9276 -2.0238 -2.1345 -2.2492 -2.3640
 -2.4811 -2.6019 -2.7247 -2.8469 -2.9667 -3.0838 -3.1982 -3.3099 -3.4191 -3.5259
 -3.6303
 -2.0974 -2.0398 -1.9903 -1.9503 -1.9182 -1.8937 -1.8761 -1.8644 -1.8574 -1.8540
 -1.8533 -1.8556 -1.8621 -1.8743 -1.8930 -1.9641 -2.0532 -2.1564 -2.2672 -2.3797
 -2.4928 -2.6082 -2.7261 -2.8451 -2.9630 -3.0786 -3.1916 -3.3018 -3.4119 -3.5175
 -3.6205
 -2.2542 -2.1879 -2.1269 -2.0741 -2.0352 -2.0016 -1.9747 -1.9542 -1.9396 -1.9299
 -1.9239 -1.9212 -1.9219 -1.9272 -1.9385 -1.9960 -2.0816 -2.1776 -2.2838 -2.3940
 -2.5052 -2.6172 -2.7305 -2.8454 -2.9604 -3.0741 -3.1856 -3.2945 -3.4008 -3.5047
 -3.6066
 -2.4239 -2.3504 -2.2778 -2.2086 -2.1641 -2.1237 -2.0887 -2.0596 -2.0362 -2.0182
 -2.0051 -1.9961 -1.9907 -1.9891 -1.9882 -2.0233 -2.1090 -2.1981 -2.2990
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F162M
 -1.1458 -1.1222 -1.1019 -1.0893 -1.0869 -1.0951 -1.1210 -1.1539 -1.1951 -1.2426
 -1.2944 -1.3309 -1.3897 -1.4506 -1.5135 -1.6743 -1.8353 -1.9906 -2.1459
 -1.3034 -1.2563 -1.1812 -1.1442 -1.1354 -1.1406 -1.1567 -1.1832 -1.2193 -1.2631
 -1.3128 -1.3666 -1.4234 -1.4823 -1.5427 -1.6960 -1.8498 -2.0028 -2.1541 -2.3026
 -1.3577 -1.3730 -1.3691 -1.3380 -1.2698 -1.2146 -1.2025 -1.2186 -1.2491 -1.2886
 -1.3348 -1.3861 -1.4416 -1.4999 -1.5599 -1.7119 -1.8629 -2.0125 -2.1608 -2.3065
 -2.4490
 -1.3781 -1.4036 -1.4234 -1.4325 -1.4281 -1.4074 -1.3599 -1.3116 -1.3001 -1.3219
 -1.3617 -1.4093 -1.4618 -1.5185 -1.5775 -1.7285 -1.8772 -2.0231 -2.1679 -2.3111
 -2.4514 -2.5883
 -1.4047 -1.4267 -1.4490 -1.4685 -1.4821 -1.4886 -1.4875 -1.4752 -1.4443 -1.4158
 -1.4166 -1.4442 -1.4878 -1.5398 -1.5968 -1.7456 -1.8927 -2.0352 -2.1756 -2.3157
 -2.4539 -2.5892 -2.7210 -2.8496
 -1.4489 -1.4619 -1.4785 -1.4963 -1.5137 -1.5287 -1.5404 -1.5486 -1.5527 -1.5475
 -1.5325 -1.5268 -1.5426 -1.5757 -1.6217 -1.7636 -1.9091 -2.0493 -2.1853 -2.3208
 -2.4563 -2.5899 -2.7203 -2.8476 -2.9715 -3.0924 -3.2103 -3.3257 -3.4383 -3.5457
 -1.5153 -1.5159 -1.5227 -1.5334 -1.5468 -1.5616 -1.5765 -1.5907 -1.6040 -1.6163
 -1.6254 -1.6286 -1.6319 -1.6451 -1.6722 -1.7856 -1.9262 -2.0646 -2.1974 -2.3280
 -2.4594 -2.5905 -2.7193 -2.8453 -2.9682 -3.0879 -3.2047 -3.3186 -3.4299 -3.5387
 -3.6428
 -1.6034 -1.5902 -1.5850 -1.5859 -1.5915 -1.6009 -1.6132 -1.6271 -1.6423 -1.6583
 -1.6750 -1.6918 -1.7068 -1.7217 -1.7400 -1.8235 -1.9465 -2.0809 -2.2114 -2.3378
 -2.4642 -2.5917 -2.7184 -2.8428 -2.9643 -3.0829 -3.1988 -3.3118 -3.4219 -3.5296
 -3.6351
 -1.7091 -1.6831 -1.6651 -1.6548 -1.6511 -1.6527 -1.6590 -1.6689 -1.6817 -1.6967
 -1.7138 -1.7331 -1.7543 -1.7764 -1.7992 -1.8713 -1.9761 -2.1005 -2.2280 -2.3516
 -2.4736 -2.5967 -2.7205 -2.8431 -2.9633 -3.0807 -3.1955 -3.3075 -3.4169 -3.5238
 -3.6284
 -1.8272 -1.7915 -1.7622 -1.7404 -1.7260 -1.7187 -1.7172 -1.7207 -1.7286 -1.7400
 -1.7542 -1.7713 -1.7914 -1.8147 -1.8403 -1.9147 -2.0082 -2.1212 -2.2432 -2.3645
 -2.4832 -2.6017 -2.7211 -2.8409 -2.9593 -3.0753 -3.1886 -3.2991 -3.4072 -3.5129
 -3.6186
 -1.9487 -1.9090 -1.8723 -1.8412 -1.8167 -1.7997 -1.7895 -1.7854 -1.7866 -1.7925
 -1.8022 -1.8152 -1.8315 -1.8514 -1.8752 -1.9495 -2.0396 -2.1435 -2.2586 -2.3770
 -2.4939 -2.6093 -2.7246 -2.8406 -2.9563 -3.0704 -3.1823 -3.2916 -3.3982 -3.5024
 -3.6045
