 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  g   
 -4.9076 -4.3557 -4.0570 -4.0103 -4.2129 -4.4947 -4.6879 -4.5331 -4.3786 -4.2137
 -4.0370 -3.8857 -3.6971 -3.5098 -3.3318 -2.9349 -2.5870 -2.3295 -2.1185
 -5.3854 -5.0390 -4.7852 -4.6147 -4.5003 -4.3928 -4.2754 -4.1524 -4.0276 -3.8995
 -3.7567 -3.5949 -3.4232 -3.2562 -3.1002 -2.7558 -2.4760 -2.2602 -2.1012 -1.9809
 -5.1553 -4.8281 -4.5672 -4.3602 -4.2000 -4.0837 -3.9987 -3.9077 -3.7940 -3.6647
 -3.5348 -3.3993 -3.2505 -3.1009 -2.9616 -2.6628 -2.4213 -2.2333 -2.0924 -1.9844
 -1.8977
 -4.9724 -4.6766 -4.4306 -4.2239 -4.0494 -3.9033 -3.7823 -3.6837 -3.5954 -3.4927
 -3.3705 -3.2467 -3.1187 -2.9860 -2.8596 -2.5916 -2.3805 -2.2158 -2.0905 -1.9928
 -1.9131 -1.8452
 -4.7984 -4.5384 -4.3158 -4.1217 -3.9504 -3.7989 -3.6652 -3.5471 -3.4416 -3.3445
 -3.2449 -3.1355 -3.0223 -2.9034 -2.7878 -2.5412 -2.3506 -2.2037 -2.0917 -2.0034
 -1.9304 -1.8675 -1.8116 -1.7598
 -4.6260 -4.4001 -4.2036 -4.0277 -3.8676 -3.7214 -3.5872 -3.4645 -3.3522 -3.2475
 -3.1476 -3.0488 -2.9501 -2.8464 -2.7412 -2.5080 -2.3298 -2.1944 -2.0927 -2.0132
 -1.9472 -1.8898 -1.8382 -1.7910 -1.7453 -1.7031 -1.6669 -1.6387 -1.6202 -1.6122
 -4.4636 -4.2627 -4.0897 -3.9331 -3.7877 -3.6516 -3.5238 -3.4037 -3.2912 -3.1858
 -3.0856 -2.9887 -2.8946 -2.8016 -2.7078 -2.4899 -2.3168 -2.1871 -2.0915 -2.0193
 -1.9606 -1.9095 -1.8634 -1.8206 -1.7802 -1.7407 -1.7044 -1.6736 -1.6506 -1.6373
 -1.6362
 -4.3139 -4.1328 -3.9767 -3.8361 -3.7057 -3.5819 -3.4630 -3.3496 -3.2417 -3.1385
 -3.0406 -2.9468 -2.8560 -2.7677 -2.6807 -2.4789 -2.3112 -2.1827 -2.0887 -2.0204
 -1.9680 -1.9238 -1.8842 -1.8472 -1.8118 -1.7775 -1.7431 -1.7113 -1.6856 -1.6684
 -1.6615
 -4.1802 -4.0146 -3.8678 -3.7380 -3.6194 -3.5069 -3.3984 -3.2933 -3.1921 -3.0944
 -3.0004 -2.9101 -2.8233 -2.7392 -2.6570 -2.4667 -2.3063 -2.1799 -2.0853 -2.0174
 -1.9684 -1.9305 -1.8980 -1.8678 -1.8387 -1.8098 -1.7816 -1.7557 -1.7324 -1.7114
 -1.6925
 -4.0624 -3.9081 -3.7718 -3.6464 -3.5341 -3.4305 -3.3315 -3.2353 -3.1418 -3.0510
 -2.9628 -2.8773 -2.7947 -2.7150 -2.6376 -2.4569 -2.3028 -2.1788 -2.0841 -2.0147
