 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F210M
  2.5167  2.5030  2.5042  2.5154  2.5415  2.5762  2.6829  2.7004  2.6977  2.6730
  2.6276  2.5655  2.4980  2.4234  2.3491  2.1647  1.9923  1.8314  1.6720
  2.5601  2.5247  2.5139  2.5252  2.5583  2.5904  2.6130  2.6265  2.6293  2.6187
  2.5884  2.5376  2.4731  2.4035  2.3330  2.1588  1.9886  1.8230  1.6625  1.5072
  2.5052  2.4964  2.4826  2.4721  2.4752  2.4988  2.5367  2.5645  2.5721  2.5618
  2.5396  2.5022  2.4463  2.3803  2.3116  2.1411  1.9752  1.8126  1.6542  1.5010
  1.3530
  2.4371  2.4452  2.4422  2.4334  2.4254  2.4262  2.4403  2.4652  2.4900  2.4973
  2.4831  2.4556  2.4126  2.3542  2.2889  2.1224  1.9608  1.8025  1.6464  1.4950
  1.3489  1.2076
  2.3332  2.3645  2.3795  2.3821  2.3777  2.3724  2.3726  2.3809  2.3934  2.4042
  2.4051  2.3897  2.3614  2.3175  2.2616  2.1026  1.9448  1.7915  1.6391  1.4894
  1.3447  1.2051  1.0702  0.9392
  2.1929  2.2496  2.2880  2.3092  2.3167  2.3160  2.3131  2.3131  2.3173  2.3219
  2.3211  2.3115  2.2930  2.2619  2.2189  2.0798  1.9272  1.7785  1.6313  1.4843
  1.3407  1.2022  1.0687  0.9396  0.8138  0.6913  0.5720  0.4561  0.3435  0.2342
  2.0274  2.1013  2.1645  2.2087  2.2347  2.2462  2.2488  2.2480  2.2479  2.2494
  2.2491  2.2415  2.2255  2.2009  2.1665  2.0488  1.9076  1.7637  1.6218  1.4791
  1.3373  1.1995  1.0667  0.9388  0.8151  0.6951  0.5783  0.4642  0.3525  0.2432
  0.1376
  1.8398  1.9293  2.0102  2.0771  2.1258  2.1556  2.1709  2.1766  2.1774  2.1777
  2.1778  2.1747  2.1643  2.1450  2.1160  2.0131  1.8846  1.7472  1.6101  1.4726
  1.3342  1.1974  1.0650  0.9375  0.8147  0.6959  0.5807  0.4685  0.3590  0.2517
  0.1464
  1.6474  1.7448  1.8345  1.9172  1.9871  2.0386  2.0722  2.0909  2.0995  2.1025
  2.1034  2.1030  2.0991  2.0882  2.0672  1.9774  1.8590  1.7283  1.5952  1.4621
  1.3279  1.1934  1.0614  0.9337  0.8110  0.6927  0.5783  0.4671  0.3590  0.2536
  0.1508
  1.4503  1.5478  1.6478  1.7382  1.8213  1.8924  1.9465  1.9835  2.0061  2.0181
  2.0237  2.0259  2.0261  2.0227  2.0124  1.9433  1.8357  1.7118  1.5825  1.4526
  1.3226  1.1918  1.0616  0.9341  0.8111  0.6928  0.5788  0.4686  0.3595  0.2555
  0.1548
  1.2484  1.3383  1.4501  1.5544  1.6393  1.7209  1.7922  1.8489  1.8897  1.9167
  1.9329  1.9417  1.9463  1.9480  1.9460  1.9049  1.8115  1.6958  1.5707  1.4434
  1.3161  1.1888  1.0616  0.9355  0.8124  0.6935  0.5791  0.4690  0.3627  0.2596
  0.1594
  1.0417  1.1163  1.2414  1.3689  1.4531  1.5361  1.6158  1.6871  1.7459  1.7912
  1.8232  1.8443  1.8574  1.8652  1.8680  1.8622  1.7864  1.6803  1.5598
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F210M
  2.5303  2.5363  2.5554  2.5821  2.6146  2.6470  2.6974  2.7095  2.7044  2.6796
  2.6347  2.5737  2.5053  2.4325  2.3593  2.1773  2.0022  1.8355  1.6733
  2.5440  2.5239  2.5272  2.5430  2.5647  2.5909  2.6170  2.6367  2.6434  2.6328
  2.6016  2.5500  2.4847  2.4142  2.3425  2.1648  1.9922  1.8257  1.6649  1.5094
  2.5531  2.5223  2.4973  2.4892  2.5065  2.5379  2.5621  2.5766  2.5828  2.5791
  2.5605  2.5222  2.4644  2.3965  2.3259  2.1505  1.9803  1.8158  1.6569  1.5036
  1.3555
  2.5399  2.5174  2.4912  2.4680  2.4559  2.4608  2.4852  2.5187  2.5364  2.5330
  2.5158  2.4868  2.4408  2.3786  2.3108  2.1369  1.9690  1.8068  1.6497  1.4980
  1.3517  1.2103
  2.4953  2.4886  2.4726  2.4523  2.4328  2.4205  2.4196  2.4295  2.4489  2.4671
  2.4654  2.4450  2.4093  2.3571  2.2935  2.1238  1.9578  1.7981  1.6432  1.4928
  1.3479  1.2081  1.0730  0.9419
  2.4132  2.4282  2.4295  2.4208  2.4062  2.3907  2.3792  2.3748  2.3755  2.3782
  2.3818  2.3770  2.3578  2.3218  2.2706  2.1102  1.9464  1.7890  1.6368  1.4883
  1.3443  1.2056  1.0719  0.9425  0.8170  0.6948  0.5756  0.4591  0.3454  0.2361
  2.2926  2.3319  2.3555  2.3646  2.3624  2.3531  2.3412  2.3307  2.3237  2.3182
  2.3103  2.2994  2.2854  2.2625  2.2261  2.0927  1.9344  1.7792  1.6298  1.4840
  1.3413  1.2031  1.0702  0.9420  0.8180  0.6977  0.5805  0.4662  0.3545  0.2451
  0.1395
  2.1426  2.2018  2.2478  2.2788  2.2947  2.2980  2.2930  2.2841  2.2746  2.2662
  2.2568  2.2426  2.2239  2.2002  2.1703  2.0612  1.9192  1.7684  1.6217  1.4791
  1.3388  1.2014  1.0687  0.9410  0.8179  0.6989  0.5833  0.4709  0.3612  0.2537
  0.1483
  1.9762  2.0477  2.1114  2.1631  2.1993  2.2199  2.2276  2.2262  2.2198  2.2114
  2.2024  2.1907  2.1737  2.1502  2.1206  2.0221  1.8952  1.7535  1.6103  1.4708
  1.3335  1.1978  1.0653  0.9375  0.8145  0.6960  0.5813  0.4701  0.3619  0.2563
  0.1528
