 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F150W2
  1.8899  1.8940  1.9025  1.9119  1.9232  1.9354  1.9799  1.9793  1.9684  1.9467
  1.9149  1.8906  1.8438  1.7937  1.7427  1.6118  1.4753  1.3402  1.2078
  1.8877  1.8693  1.8700  1.8878  1.9159  1.9347  1.9409  1.9383  1.9288  1.9120
  1.8855  1.8488  1.8052  1.7584  1.7102  1.5858  1.4569  1.3254  1.1950  1.0672
  1.8545  1.8450  1.8357  1.8307  1.8344  1.8510  1.8758  1.8906  1.8892  1.8743
  1.8512  1.8199  1.7793  1.7334  1.6857  1.5637  1.4388  1.3106  1.1825  1.0570
  0.9348
  1.8258  1.8205  1.8120  1.8027  1.7954  1.7932  1.7978  1.8098  1.8229  1.8243
  1.8105  1.7861  1.7517  1.7089  1.6624  1.5422  1.4207  1.2967  1.1713  1.0477
  0.9274  0.8103
  1.7867  1.7879  1.7843  1.7771  1.7680  1.7594  1.7536  1.7515  1.7519  1.7535
  1.7505  1.7370  1.7136  1.6799  1.6384  1.5217  1.4028  1.2831  1.1610  1.0393
  0.9205  0.8049  0.6925  0.5831
  1.7361  1.7444  1.7476  1.7457  1.7394  1.7304  1.7209  1.7127  1.7059  1.6992
  1.6910  1.6796  1.6629  1.6383  1.6057  1.5013  1.3855  1.2692  1.1511  1.0319
  0.9142  0.7996  0.6884  0.5802  0.4743  0.3705  0.2686  0.1686  0.0703 -0.0263
  1.6756  1.6896  1.7000  1.7048  1.7041  1.6984  1.6895  1.6794  1.6694  1.6594
  1.6482  1.6338  1.6160  1.5942  1.5669  1.4770  1.3685  1.2555  1.1412  1.0250
  0.9088  0.7948  0.6842  0.5768  0.4726  0.3715  0.2724  0.1746  0.0772 -0.0197
 -0.1139
  1.6057  1.6251  1.6411  1.6529  1.6589  1.6588  1.6539  1.6453  1.6347  1.6235
  1.6115  1.5974  1.5796  1.5578  1.5318  1.4504  1.3506  1.2421  1.1311  1.0184
  0.9044  0.7911  0.6806  0.5735  0.4698  0.3691  0.2713  0.1756  0.0810 -0.0131
 -0.1073
  1.5285  1.5523  1.5726  1.5897  1.6023  1.6091  1.6101  1.6058  1.5976  1.5871
  1.5752  1.5619  1.5461  1.5266  1.5023  1.4251  1.3317  1.2280  1.1200  1.0100
  0.8987  0.7868  0.6762  0.5687  0.4647  0.3642  0.2666  0.1712  0.0776 -0.0140
 -0.1039
  1.4439  1.4712  1.4960  1.5171  1.5348  1.5480  1.5557  1.5577  1.5544  1.5471
  1.5370  1.5250  1.5113  1.4948  1.4745  1.4035  1.3152  1.2161  1.1111  1.0036
  0.8949  0.7853  0.6759  0.5682  0.4637  0.3627  0.2650  0.1703  0.0755 -0.0147
 -0.1017
  1.3520  1.3818  1.4113  1.4374  1.4580  1.4758  1.4895  1.4983  1.5016  1.4998
  1.4939  1.4847  1.4732  1.4596  1.4432  1.3831  1.2993  1.2050  1.1032  0.9978
  0.8910  0.7836  0.6761  0.5692  0.4643  0.3626  0.2641  0.1691  0.0770 -0.0126
 -0.1002
  1.2527  1.2841  1.3185  1.3510  1.3738  1.3945  1.4126  1.4270  1.4369  1.4420
  1.4423  1.4382  1.4306  1.4203  1.4084  1.3639  1.2840  1.1947  1.0963
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =F150W2
  1.9272  1.9352  1.9460  1.9569  1.9669  1.9744  1.9891  1.9843  1.9710  1.9482
  1.9158  1.8807  1.8353  1.7870  1.7374  1.6099  1.4780  1.3448  1.2115
  1.8916  1.8957  1.9141  1.9279  1.9360  1.9417  1.9449  1.9433  1.9346  1.9172
  1.8898  1.8524  1.8082  1.7608  1.7119  1.5867  1.4586  1.3282  1.1981  1.0704
  1.8777  1.8622  1.8526  1.8549  1.8748  1.8978  1.9080  1.9069  1.8987  1.8843
  1.8620  1.8299  1.7881  1.7412  1.6923  1.5677  1.4417  1.3140  1.1861  1.0606
  0.9382
  1.8684  1.8521  1.8353  1.8219  1.8152  1.8182  1.8346  1.8560  1.8634  1.8537
  1.8333  1.8054  1.7686  1.7237  1.6756  1.5510  1.4264  1.3013  1.1756  1.0518
  0.9314  0.8141
  1.8519  1.8397  1.8244  1.8082  1.7937  1.7832  1.7783  1.7797  1.7896  1.7998
  1.7956  1.7766  1.7462  1.7061  1.6596  1.5363  1.4127  1.2897  1.1664  1.0441
  0.9249  0.8091  0.6965  0.5865
  1.8241  1.8183  1.8081  1.7947  1.7796  1.7647  1.7518  1.7421  1.7350  1.7310
  1.7305  1.7252  1.7088  1.6804  1.6417  1.5230  1.4003  1.2789  1.1580  1.0375
  0.9192  0.8043  0.6928  0.5843  0.4785  0.3750  0.2733  0.1727  0.0728 -0.0239
  1.7843  1.7856  1.7820  1.7740  1.7623  1.7482  1.7330  1.7184  1.7050  1.6923
  1.6796  1.6678  1.6553  1.6370  1.6093  1.5087  1.3889  1.2690  1.1502  1.0317
  0.9145  0.7999  0.6889  0.5813  0.4767  0.3748  0.2749  0.1769  0.0798 -0.0172
 -0.1115
  1.7346  1.7418  1.7447  1.7432  1.7371  1.7267  1.7130  1.6977  1.6817  1.6657
  1.6493  1.6312  1.6124  1.5921  1.5687  1.4857  1.3767  1.2596  1.1427  1.0265
  0.9108  0.7967  0.6858  0.5783  0.4742  0.3732  0.2746  0.1783  0.0836 -0.0105
 -0.1049
  1.6777  1.6892  1.6975  1.7019  1.7018  1.6968  1.6871  1.6739  1.6581  1.6412
  1.6235  1.6044  1.5832  1.5598  1.5343  1.4576  1.3594  1.2483  1.1339  1.0198
  0.9060  0.7929  0.6818  0.5739  0.4696  0.3687  0.2706  0.1752  0.0818 -0.0100
 -0.1014
  1.6151  1.6293  1.6415  1.6509  1.6564  1.6572  1.6528  1.6438  1.6308  1.6150
  1.5975  1.5787  1.5583  1.5354  1.5096  1.4331  1.3417  1.2374  1.1268  1.0149
  0.9033  0.7921  0.6818  0.5737  0.4688  0.3674  0.2693  0.1742  0.0817 -0.0088
 -0.0991
  1.5492  1.5647  1.5789  1.5916  1.6015  1.6076  1.6088  1.6050  1.5965  1.5839
  1.5683  1.5507  1.5314  1.5104  1.4867  1.4132  1.3247  1.2259  1.1196  1.0102
  0.9005  0.7912  0.6825  0.5749  0.4696  0.3675  0.2687  0.1732  0.0807 -0.0093
 -0.0972
  1.4815  1.4970  1.5118  1.5259  1.5385  1.5485  1.5547  1.5563  1.5530  1.5451
  1.5333  1.5183  1.5021  1.4815  1.4656  1.3979  1.3084  1.2138  1.1123
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =F150W2
  1.9769  1.9874  1.9991  2.0099  2.0175  2.0197  2.0149  2.0018  1.9805  1.9511
  1.9141  1.8714  1.8258  1.7783  1.7297  1.6054  1.4779  1.3478  1.2158
  1.9480  1.9533  1.9604  1.9683  1.9750  1.9781  1.9758  1.9667  1.9502  1.9260
