 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F090W
 -0.6535 -0.6916 -0.7445 -0.7999 -0.8360 -0.8409 -0.7251 -0.7241 -0.7175 -0.6996
 -0.6698 -0.6196 -0.5868 -0.5456 -0.5072 -0.4406 -0.4437 -0.4874 -0.5325
 -0.6309 -0.6025 -0.5960 -0.6091 -0.6377 -0.6621 -0.6760 -0.6827 -0.6844 -0.6811
 -0.6671 -0.6403 -0.6052 -0.5704 -0.5407 -0.4979 -0.4937 -0.5172 -0.5532 -0.5950
 -0.6162 -0.6010 -0.5884 -0.5811 -0.5830 -0.5984 -0.6255 -0.6485 -0.6586 -0.6567
 -0.6502 -0.6372 -0.6130 -0.5843 -0.5585 -0.5189 -0.5167 -0.5410 -0.5772 -0.6186
 -0.6625
 -0.5896 -0.5852 -0.5781 -0.5703 -0.5646 -0.5641 -0.5707 -0.5859 -0.6062 -0.6207
 -0.6245 -0.6228 -0.6121 -0.5923 -0.5711 -0.5364 -0.5347 -0.5596 -0.5965 -0.6379
 -0.6815 -0.7262
 -0.5399 -0.5495 -0.5528 -0.5514 -0.5475 -0.5442 -0.5438 -0.5474 -0.5553 -0.5669
 -0.5786 -0.5862 -0.5903 -0.5860 -0.5748 -0.5477 -0.5466 -0.5721 -0.6109 -0.6534
 -0.6975 -0.7425 -0.7879 -0.8328
 -0.4691 -0.4934 -0.5096 -0.5183 -0.5212 -0.5214 -0.5209 -0.5218 -0.5249 -0.5299
 -0.5363 -0.5434 -0.5518 -0.5569 -0.5578 -0.5504 -0.5518 -0.5775 -0.6190 -0.6645
 -0.7103 -0.7564 -0.8027 -0.8491 -0.8953 -0.9420 -0.9903 -1.0408 -1.0941 -1.1505
 -0.3843 -0.4194 -0.4486 -0.4691 -0.4820 -0.4892 -0.4932 -0.4959 -0.4989 -0.5029
 -0.5075 -0.5124 -0.5182 -0.5247 -0.5297 -0.5390 -0.5495 -0.5760 -0.6197 -0.6693
 -0.7188 -0.7672 -0.8152 -0.8630 -0.9103 -0.9564 -1.0028 -1.0515 -1.1038 -1.1603
 -1.2191
 -0.2873 -0.3333 -0.3727 -0.4043 -0.4283 -0.4452 -0.4564 -0.4642 -0.4705 -0.4761
 -0.4818 -0.4876 -0.4933 -0.4994 -0.5049 -0.5199 -0.5393 -0.5683 -0.6132 -0.6667
