 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F1000W
 -1.1697 -1.2803 -1.3850 -1.4888 -1.5854 -1.6684 -1.7263 -1.7710 -1.8134 -1.8612
 -1.9154 -1.9785 -2.0506 -2.1273 -2.2067 -2.3914 -2.5846 -2.7604 -2.9338
 -1.1075 -1.2170 -1.3265 -1.4359 -1.5433 -1.6443 -1.7357 -1.8154 -1.8817 -1.9333
 -1.9788 -2.0301 -2.0953 -2.1693 -2.2456 -2.4361 -2.6226 -2.8019 -2.9720 -3.1331
 -1.1017 -1.2085 -1.3126 -1.4145 -1.5153 -1.6157 -1.7152 -1.8099 -1.8961 -1.9701
 -2.0255 -2.0713 -2.1279 -2.1988 -2.2742 -2.4624 -2.6467 -2.8254 -2.9958 -3.1575
 -3.3108
 -1.1035 -1.2061 -1.3063 -1.4041 -1.4998 -1.5939 -1.6863 -1.7780 -1.8692 -1.9572
 -2.0386 -2.0994 -2.1543 -2.2206 -2.2940 -2.4813 -2.6640 -2.8416 -3.0121 -3.1740
 -3.3276 -3.4736
 -1.1149 -1.2109 -1.3064 -1.4004 -1.4928 -1.5836 -1.6725 -1.7592 -1.8445 -1.9297
 -2.0153 -2.0957 -2.1618 -2.2335 -2.3080 -2.4941 -2.6760 -2.8528 -3.0230 -3.1851
 -3.3388 -3.4850 -3.6243 -3.7575
 -1.1404 -1.2267 -1.3148 -1.4035 -1.4920 -1.5799 -1.6665 -1.7513 -1.8342 -1.9155
 -1.9965 -2.0785 -2.1511 -2.2266 -2.3070 -2.5016 -2.6838 -2.8600 -3.0302 -3.1925
 -3.3465 -3.4929 -3.6323 -3.7655 -3.8930 -4.0157 -4.1343 -4.2495 -4.3620 -4.4721
 -1.1815 -1.2575 -1.3352 -1.4158 -1.4985 -1.5822 -1.6661 -1.7491 -1.8307 -1.9108
 -1.9896 -2.0680 -2.1428 -2.2162 -2.2959 -2.4976 -2.6862 -2.8636 -3.0342 -3.1970
 -3.3515 -3.4982 -3.6379 -3.7714 -3.8990 -4.0215 -4.1395 -4.2538 -4.3646 -4.4727
 -4.5792
 -1.2383 -1.3041 -1.3713 -1.4416 -1.5155 -1.5929 -1.6721 -1.7521 -1.8320 -1.9108
 -1.9886 -2.0655 -2.1404 -2.2122 -2.2882 -2.4865 -2.6797 -2.8618 -3.0349 -3.1989
 -3.3542 -3.5015 -3.6417 -3.7755 -3.9034 -4.0259 -4.1435 -4.2570 -4.3670 -4.4740
 -4.5785
 -1.3079 -1.3656 -1.4246 -1.4847 -1.5482 -1.6165 -1.6887 -1.7637 -1.8401 -1.9168
 -1.9931 -2.0687 -2.1431 -2.2152 -2.2883 -2.4794 -2.6711 -2.8559 -3.0332 -3.2006
 -3.3575 -3.5059 -3.6469 -3.7813 -3.9098 -4.0326 -4.1505 -4.2642 -4.3739 -4.4801
 -4.5828
 -1.3903 -1.4420 -1.4895 -1.5421 -1.5962 -1.6542 -1.7170 -1.7843 -1.8550 -1.9276
 -2.0009 -2.0743 -2.1473 -2.2193 -2.2907 -2.4742 -2.6607 -2.8445 -3.0230 -3.1945
 -3.3549 -3.5049 -3.6468 -3.7820 -3.9112 -4.0346 -4.1529 -4.2665 -4.3785 -4.4842
 -4.5860
 -1.4856 -1.5333 -1.5660 -1.6088 -1.6591 -1.7087 -1.7617 -1.8193 -1.8817 -1.9477
 -2.0161 -2.0859 -2.1562 -2.2265 -2.2965 -2.4738 -2.6536 -2.8340 -3.0116 -3.1843
 -3.3485 -3.5018 -3.6453 -3.7815 -3.9114 -4.0357 -4.1548 -4.2689 -4.3785 -4.4842
 -4.5865
 -1.5936 -1.6395 -1.6541 -1.6837 -1.7312 -1.7766 -1.8224 -1.8708 -1.9235 -1.9805
 -2.0416 -2.1056 -2.1715 -2.2385 -2.3057 -2.4782 -2.6498 -2.8244 -2.9990
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =F1000W
 -1.1615 -1.2652 -1.3616 -1.4527 -1.5366 -1.6137 -1.6828 -1.7488 -1.8116 -1.8711
 -1.9294 -1.9923 -2.0626 -2.1375 -2.2139 -2.3974 -2.5835 -2.7605 -2.9343
 -1.1361 -1.2531 -1.3678 -1.4758 -1.5755 -1.6666 -1.7480 -1.8195 -1.8829 -1.9392
 -1.9902 -2.0434 -2.1073 -2.1796 -2.2546 -2.4406 -2.6225 -2.8002 -2.9701 -3.1311
 -1.1217 -1.2334 -1.3439 -1.4534 -1.5621 -1.6667 -1.7634 -1.8498 -1.9245 -1.9856
 -2.0364 -2.0824 -2.1378 -2.2069 -2.2815 -2.4684 -2.6490 -2.8246 -2.9941 -3.1554
 -3.3087
 -1.1137 -1.2219 -1.3278 -1.4316 -1.5338 -1.6343 -1.7337 -1.8307 -1.9213 -2.0017
 -2.0655 -2.1156 -2.1636 -2.2266 -2.2981 -2.4867 -2.6674 -2.8415 -3.0102 -3.1717
 -3.3252 -3.4712
 -1.1111 -1.2164 -1.3188 -1.4187 -1.5164 -1.6120 -1.7053 -1.7960 -1.8859 -1.9749
 -2.0592 -2.1279 -2.1838 -2.2433 -2.3127 -2.4988 -2.6797 -2.8532 -3.0211 -3.1825
 -3.3362 -3.4823 -3.6217 -3.7551
 -1.1148 -1.2162 -1.3153 -1.4119 -1.5062 -1.5987 -1.6889 -1.7764 -1.8610 -1.9440
 -2.0276 -2.1098 -2.1793 -2.2479 -2.3214 -2.5065 -2.6877 -2.8609 -3.0282 -3.1895
 -3.3435 -3.4899 -3.6295 -3.7629 -3.8908 -4.0139 -4.1331 -4.2487 -4.3609 -4.4706
 -1.1287 -1.2233 -1.3174 -1.4103 -1.5014 -1.5910 -1.6790 -1.7649 -1.8484 -1.9290
 -2.0078 -2.0870 -2.1614 -2.2338 -2.3127 -2.5105 -2.6923 -2.8655 -3.0324 -3.1937
 -3.3481 -3.4951 -3.6350 -3.7686 -3.8964 -4.0191 -4.1376 -4.2522 -4.3633 -4.4714
 -4.5779
 -1.1560 -1.2416 -1.3284 -1.4154 -1.5021 -1.5884 -1.6739 -1.7581 -1.8408 -1.9212
 -1.9992 -2.0759 -2.1486 -2.2212 -2.2981 -2.5019 -2.6928 -2.8673 -3.0343 -3.1957
 -3.3506 -3.4982 -3.6386 -3.7726 -3.9007 -4.0234 -4.1415 -4.2553 -4.3655 -4.4727
 -4.5771
 -1.1990 -1.2752 -1.3526 -1.4314 -1.5118 -1.5933 -1.6753 -1.7571 -1.8383 -1.9182
 -1.9965 -2.0731 -2.1469 -2.2181 -2.2915 -2.4900 -2.6868 -2.8673 -3.0360 -3.1981
 -3.3538 -3.5024 -3.6436 -3.7782 -3.9068 -4.0298 -4.1480 -4.2616 -4.3715 -4.4779
 -4.5814
 -1.2514 -1.3211 -1.3899 -1.4597 -1.5317 -1.6061 -1.6827 -1.7605 -1.8390 -1.9173
 -1.9947 -2.0707 -2.1451 -2.2175 -2.2893 -2.4791 -2.6733 -2.8583 -3.0305 -3.1945
 -3.3517 -3.5013 -3.6434 -3.7788 -3.9080 -4.0316 -4.1501 -4.2639 -4.3735 -4.4796
 -4.5845
 -1.3099 -1.3765 -1.4404 -1.5025 -1.5661 -1.6319 -1.7011 -1.7730 -1.8471 -1.9221
 -1.9974 -2.0723 -2.1463 -2.2191 -2.2909 -2.4738 -2.6620 -2.8467 -3.0214 -3.1874
 -3.3469 -3.4984 -3.6418 -3.7781 -3.9081 -4.0325 -4.1517 -4.2660 -4.3759 -4.4820
 -4.5845
 -1.3688 -1.4365 -1.4991 -1.5576 -1.6146 -1.6728 -1.7335 -1.7978 -1.8654 -1.9355
 -2.0071 -2.0794 -2.1579 -2.2286 -2.2963 -2.4741 -2.6529 -2.8325 -3.0087
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =F1000W
 -1.1471 -1.2449 -1.3346 -1.4168 -1.4927 -1.5666 -1.6428 -1.7226 -1.7993 -1.8696
 -1.9353 -2.0021 -2.0730 -2.1469 -2.2210 -2.4020 -2.5814 -2.7578 -2.9306
 -1.1664 -1.2757 -1.3767 -1.4698 -1.5556 -1.6354 -1.7129 -1.7904 -1.8644 -1.9316
 -1.9919 -2.0514 -2.1173 -2.1892 -2.2628 -2.4453 -2.6238 -2.7981 -2.9672 -3.1281
 -1.1454 -1.2618 -1.3757 -1.4832 -1.5823 -1.6727 -1.7554 -1.8333 -1.9072 -1.9745
 -2.0333 -2.0871 -2.1462 -2.2148 -2.2880 -2.4724 -2.6518 -2.8244 -2.9918 -3.1525
 -3.3056
 -1.1271 -1.2382 -1.3486 -1.4577 -1.5650 -1.6692 -1.7661 -1.8537 -1.9324 -2.0034
 -2.0654 -2.1182 -2.1700 -2.2328 -2.3043 -2.4898 -2.6701 -2.8422 -3.0082 -3.1685
 -3.3217 -3.4678
 -1.1177 -1.2252 -1.3310 -1.4354 -1.5383 -1.6394 -1.7384 -1.8344 -1.9259 -2.0088
 -2.0806 -2.1416 -2.1933 -2.2488 -2.3162 -2.5009 -2.6819 -2.8540 -3.0192 -3.1789
 -3.3322 -3.4786 -3.6181 -3.7518
 -1.1141 -1.2194 -1.3221 -1.4227 -1.5217 -1.6189 -1.7135 -1.8049 -1.8936 -1.9810
 -2.0651 -2.1403 -2.2048 -2.2634 -2.3270 -2.5080 -2.6893 -2.8618 -3.0266 -3.1857
 -3.3391 -3.4857 -3.6255 -3.7592 -3.8874 -4.0112 -4.1310 -4.2470 -4.3594 -4.4688
 -1.1142 -1.2177 -1.3183 -1.4163 -1.5120 -1.6059 -1.6977 -1.7867 -1.8723 -1.9546
 -2.0354 -2.1151 -2.1894 -2.2597 -2.3310 -2.5128 -2.6938 -2.8666 -3.0313 -3.1901
 -3.3434 -3.4905 -3.6306 -3.7645 -3.8926 -4.0158 -4.1347 -4.2500 -4.3617 -4.4697
 -4.5758
 -1.1194 -1.2195 -1.3177 -1.4135 -1.5069 -1.5980 -1.6874 -1.7745 -1.8591 -1.9404
 -2.0185 -2.0946 -2.1684 -2.2405 -2.3164 -2.5140 -2.6962 -2.8693 -3.0342 -3.1926
 -3.3459 -3.4933 -3.6340 -3.7683 -3.8966 -4.0196 -4.1381 -4.2527 -4.3636 -4.4710
 -4.5752
 -1.1350 -1.2286 -1.3226 -1.4153 -1.5062 -1.5951 -1.6822 -1.7676 -1.8512 -1.9325
 -2.0108 -2.0862 -2.1588 -2.2291 -2.3023 -2.5034 -2.6984 -2.8727 -3.0380 -3.1963
 -3.3495 -3.4974 -3.6387 -3.7737 -3.9025 -4.0258 -4.1444 -4.2585 -4.3690 -4.4760
 -4.5795
 -1.1612 -1.2468 -1.3340 -1.4214 -1.5083 -1.5943 -1.6789 -1.7623 -1.8445 -1.9252
 -2.0038 -2.0800 -2.1534 -2.2242 -2.2947 -2.4873 -2.6869 -2.8703 -3.0369 -3.1954
 -3.3485 -3.4965 -3.6385 -3.7741 -3.9035 -4.0273 -4.1462 -4.2604 -4.3706 -4.4771
 -4.5824
 -1.1996 -1.2774 -1.3569 -1.4370 -1.5180 -1.5993 -1.6806 -1.7614 -1.8415 -1.9209
 -1.9991 -2.0756 -2.1501 -2.2220 -2.2931 -2.4770 -2.6716 -2.8607 -3.0331 -3.1928
 -3.3461 -3.4943 -3.6369 -3.7732 -3.9034 -4.0280 -4.1475 -4.2621 -4.3725 -4.4790
 -4.5819
 -1.2474 -1.3194 -1.3917 -1.4645 -1.5384 -1.6133 -1.6895 -1.7665 -1.8438 -1.9210
 -1.9977 -2.0738 -2.1525 -2.2251 -2.2975 -2.4725 -2.6525 -2.8439 -3.0266
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =F1000W
 -1.1264 -1.2194 -1.3041 -1.3812 -1.4537 -1.5271 -1.6063 -1.6924 -1.7765 -1.8567
 -1.9331 -2.0079 -2.0818 -2.1555 -2.2281 -2.4051 -2.5782 -2.7523 -2.9226
 -1.1660 -1.2672 -1.3601 -1.4446 -1.5219 -1.5957 -1.6736 -1.7549 -1.8351 -1.9115
 -1.9834 -2.0535 -2.1247 -2.1973 -2.2700 -2.4480 -2.6231 -2.7954 -2.9624 -3.1234
 -1.1753 -1.2853 -1.3866 -1.4790 -1.5628 -1.6398 -1.7161 -1.7949 -1.8732 -1.9480
 -2.0179 -2.0841 -2.1513 -2.2218 -2.2942 -2.4738 -2.6514 -2.8232 -2.9884 -3.1480
 -3.3010
 -1.1497 -1.2668 -1.3800 -1.4857 -1.5817 -1.6673 -1.7455 -1.8233 -1.9006 -1.9750
