 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F182M
  0.6064  0.6293  0.6585  0.6897  0.7245  0.7633  0.8751  0.9062  0.9208  0.9136
  0.8832  0.8478  0.7869  0.7160  0.6437  0.4668  0.2973  0.1352 -0.0198
  0.6513  0.6341  0.6504  0.6967  0.7585  0.8040  0.8337  0.8544  0.8670  0.8695
  0.8528  0.8122  0.7541  0.6890  0.6222  0.4568  0.2938  0.1329 -0.0248 -0.1784
  0.6162  0.6195  0.6213  0.6297  0.6544  0.7032  0.7635  0.8036  0.8188  0.8157
  0.8031  0.7753  0.7259  0.6641  0.5989  0.4367  0.2791  0.1228 -0.0319 -0.1828
 -0.3294
  0.5772  0.5903  0.5965  0.5997  0.6060  0.6225  0.6529  0.6962  0.7371  0.7545
  0.7472  0.7270  0.6900  0.6356  0.5737  0.4149  0.2616  0.1111 -0.0397 -0.1880
 -0.3322 -0.4723
  0.5098  0.5377  0.5546  0.5636  0.5683  0.5739  0.5859  0.6057  0.6301  0.6537
  0.6652  0.6576  0.6359  0.5962  0.5435  0.3916  0.2417  0.0970 -0.0484 -0.1938
 -0.3361 -0.4742 -0.6081 -0.7383
  0.4116  0.4577  0.4900  0.5103  0.5215  0.5274  0.5327  0.5415  0.5539  0.5658
  0.5729  0.5716  0.5609  0.5355  0.4968  0.3655  0.2201  0.0799 -0.0591 -0.2003
 -0.3405 -0.4771 -0.6094 -0.7378 -0.8631 -0.9854 -1.1043 -1.2199 -1.3320 -1.4406
  0.2860  0.3490  0.3995  0.4352  0.4579  0.4707  0.4776  0.4828  0.4892  0.4963
  0.5003  0.4969  0.4863  0.4675  0.4383  0.3306  0.1969  0.0609 -0.0725 -0.2080
 -0.3451 -0.4804 -0.6117 -0.7389 -0.8621 -0.9817 -1.0982 -1.2121 -1.3237 -1.4328
 -1.5377
  0.1342  0.2142  0.2816  0.3347  0.3728  0.3972  0.4117  0.4197  0.4248  0.4297
  0.4335  0.4327  0.4243  0.4076  0.3824  0.2900  0.1704  0.0407 -0.0882 -0.2178
 -0.3502 -0.4834 -0.6140 -0.7407 -0.8631 -0.9817 -1.0968 -1.2089 -1.3184 -1.4256
 -1.5309
 -0.0329  0.0599  0.1399  0.2083  0.2631  0.3028  0.3293  0.3454  0.3547  0.3604
  0.3647  0.3667  0.3637  0.3529  0.3326  0.2499  0.1411  0.0187 -0.1067 -0.2320
 -0.3592 -0.4888 -0.6183 -0.7450 -0.8676 -0.9860 -1.1007 -1.2121 -1.3205 -1.4259
 -1.5287
 -0.2153 -0.1139 -0.0205  0.0595  0.1283  0.1839  0.2253  0.2540  0.2724  0.2836
  0.2906  0.2951  0.2969  0.2935  0.2821  0.2137  0.1140 -0.0011 -0.1225 -0.2450
 -0.3678 -0.4925 -0.6187 -0.7443 -0.8669 -0.9857 -1.1006 -1.2116 -1.3213 -1.4259
 -1.5268
 -0.4130 -0.3072 -0.1996 -0.1021 -0.0270  0.0410  0.0973  0.1409  0.1722  0.1936
  0.2076  0.2167  0.2226  0.2253  0.2226  0.1777  0.0872 -0.0202 -0.1371 -0.2571
 -0.3776 -0.4985 -0.6205 -0.7431 -0.8646 -0.9835 -1.0989 -1.2104 -1.3183 -1.4228
 -1.5242
 -0.6260 -0.5200 -0.3974 -0.2742 -0.1945 -0.1200 -0.0529  0.0043  0.0501  0.0850
  0.1103  0.1279  0.1401  0.1484  0.1541  0.1419  0.0607 -0.0386 -0.1505
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F182M
  0.6263  0.6642  0.7076  0.7529  0.7984  0.8417  0.9037  0.9313  0.9434  0.9356
  0.9051  0.8591  0.7965  0.7270  0.6559  0.4795  0.3083  0.1430 -0.0167
  0.6137  0.6366  0.6836  0.7240  0.7599  0.7969  0.8335  0.8651  0.8856  0.8899
  0.8728  0.8316  0.7726  0.7060  0.6372  0.4655  0.2982  0.1357 -0.0224 -0.1762
  0.6255  0.6188  0.6202  0.6418  0.6947  0.7509  0.7878  0.8113  0.8274  0.8356
  0.8296  0.8023  0.7515  0.6879  0.6203  0.4508  0.2861  0.1265 -0.0290 -0.1802
 -0.3270
  0.6300  0.6244  0.6165  0.6128  0.6209  0.6475  0.6988  0.7548  0.7853  0.7908
  0.7832  0.7639  0.7256  0.6682  0.6037  0.4357  0.2733  0.1167 -0.0361 -0.1850
 -0.3294 -0.4697
  0.6113  0.6147  0.6114  0.6051  0.6006  0.6036  0.6180  0.6453  0.6863  0.7224
  0.7317  0.7199  0.6912  0.6440  0.5838  0.4202  0.2597  0.1059 -0.0436 -0.1902
 -0.3329 -0.4712 -0.6054 -0.7359
  0.5644  0.5813  0.5885  0.5886  0.5846  0.5805  0.5805  0.5874  0.6000  0.6174
  0.6374  0.6455  0.6354  0.6053  0.5578  0.4038  0.2455  0.0939 -0.0522 -0.1958
 -0.3368 -0.4737 -0.6063 -0.7350 -0.8600 -0.9818 -1.1006 -1.2168 -1.3302 -1.4388
  0.4859  0.5200  0.5417  0.5531  0.5565  0.5547  0.5511  0.5490  0.5500  0.5525
  0.5541  0.5549  0.5525  0.5386  0.5081  0.3832  0.2304  0.0809 -0.0622 -0.2021
 -0.3408 -0.4766 -0.6083 -0.7357 -0.8593 -0.9793 -1.0962 -1.2103 -1.3218 -1.4310
 -1.5359
  0.3779  0.4294  0.4677  0.4939  0.5090  0.5151  0.5149  0.5118  0.5081  0.5048
  0.5004  0.4921  0.4812  0.4660  0.4438  0.3470  0.2121  0.0670 -0.0736 -0.2099
 -0.3450 -0.4792 -0.6103 -0.7372 -0.8599 -0.9788 -1.0944 -1.2067 -1.3163 -1.4237
 -1.5290
  0.2474  0.3132  0.3678  0.4098  0.4389  0.4564  0.4643  0.4655  0.4627  0.4580
  0.4520  0.4430  0.4292  0.4105  0.3866  0.3019  0.1843  0.0491 -0.0881 -0.2213
 -0.3527 -0.4841 -0.6143 -0.7413 -0.8642 -0.9829 -1.0978 -1.2093 -1.3177 -1.4233
 -1.5267
  0.1031  0.1769  0.2439  0.3004  0.3445  0.3756  0.3949  0.4046  0.4070  0.4047
  0.3998  0.3925  0.3816  0.3651  0.3424  0.2610  0.1547  0.0304 -0.1013 -0.2317
 -0.3595 -0.4868 -0.6142 -0.7403 -0.8633 -0.9824 -1.0975 -1.2088 -1.3166 -1.4213
 -1.5248
 -0.0457  0.0310  0.1032  0.1699  0.2267  0.2719  0.3042  0.3251  0.3363  0.3402
  0.3390  0.3346  0.3272  0.3159  0.2987  0.2262  0.1258  0.0103 -0.1149 -0.2422
 -0.3676 -0.4915 -0.6152 -0.7387 -0.8608 -0.9800 -1.0957 -1.2075 -1.3156 -1.4203
 -1.5219
 -0.1904 -0.1174 -0.0454  0.0248  0.0898  0.1462  0.1914  0.2249  0.2473  0.2604
  0.2663  0.2668  0.2687  0.2580  0.2555  0.1975  0.0976 -0.0112 -0.1289
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = F182M
  0.6764  0.7251  0.7778  0.8315  0.8825  0.9261  0.9580  0.9749  0.9749  0.9563
  0.9179  0.8626  0.7979  0.7292  0.6592  0.4846  0.3139  0.1478 -0.0138
  0.6462  0.6800  0.7207  0.7663  0.8127  0.8557  0.8908  0.9145  0.9242  0.9176
  0.8912  0.8441  0.7825  0.7148  0.6454  0.4721  0.3033  0.1397 -0.0190 -0.1731
  0.6189  0.6351  0.6762  0.7181  0.7546  0.7902  0.8232  0.8494  0.8656  0.8692
  0.8560  0.8216  0.7671  0.7018  0.6332  0.4610  0.2934  0.1317 -0.0248 -0.1764
 -0.3235
  0.6385  0.6293  0.6274  0.6406  0.6767  0.7320  0.7736  0.7984  0.8127  0.8181
  0.8124  0.7911  0.7486  0.6887  0.6218  0.4509  0.2844  0.1241 -0.0307 -0.1804
 -0.3253 -0.4659
  0.6537  0.6435  0.6306  0.6205  0.6185  0.6339  0.6716  0.7201  0.7622  0.7773
  0.7725  0.7545  0.7228  0.6728  0.6101  0.4415  0.2759  0.1167 -0.0365 -0.1847
 -0.3280 -0.4668 -0.6014 -0.7322
  0.6515  0.6473  0.6366  0.6229  0.6104  0.6043  0.6074  0.6213  0.6479  0.6864
  0.7127  0.7128  0.6905  0.6505  0.5954  0.4321  0.2677  0.1095 -0.0423 -0.1890
 -0.3311 -0.4687 -0.6017 -0.7308 -0.8562 -0.9783 -1.0974 -1.2139 -1.3274 -1.4358
  0.6256  0.6321  0.6294  0.6202  0.6076  0.5948  0.5853  0.5817  0.5839  0.5910
  0.6050  0.6224  0.6265  0.6088  0.5703  0.4216  0.2592  0.1021 -0.0484 -0.1933
 -0.3342 -0.4709 -0.6031 -0.7310 -0.8549 -0.9754 -1.0927 -1.2071 -1.3189 -1.4280
 -1.5328
  0.5702  0.5915  0.6010  0.6013  0.5951  0.5846  0.5722  0.5607  0.5517  0.5449
  0.5391  0.5346  0.5335  0.5300  0.5125  0.4043  0.2499  0.0944 -0.0548 -0.1980
 -0.3370 -0.4727 -0.6045 -0.7319 -0.8551 -0.9744 -1.0903 -1.2032 -1.3132 -1.4207
 -1.5260
  0.4855  0.5232  0.5473  0.5604  0.5643  0.5612  0.5527  0.5411  0.5281  0.5149
  0.5013  0.4863  0.4701  0.4547  0.4385  0.3622  0.2337  0.0835 -0.0641 -0.2057
 -0.3425 -0.4766 -0.6079 -0.7356 -0.8588 -0.9780 -1.0934 -1.2053 -1.3140 -1.4201
 -1.5237
