 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F070W
 -3.5905 -3.3491 -3.1149 -2.9386 -2.8660 -2.8689 -2.9732 -2.9231 -2.8672 -2.7986
 -2.7182 -2.6502 -2.5573 -2.4634 -2.3762 -2.2117 -2.1109 -2.0587 -2.0385
 -3.3064 -3.1332 -3.0135 -2.9419 -2.9051 -2.8711 -2.8299 -2.7856 -2.7406 -2.6938
 -2.6374 -2.5679 -2.4899 -2.4132 -2.3435 -2.2075 -2.1211 -2.0754 -2.0551 -2.0505
 -3.2150 -3.0587 -2.9322 -2.8343 -2.7653 -2.7261 -2.7093 -2.6904 -2.6574 -2.6127
 -2.5662 -2.5155 -2.4537 -2.3876 -2.3258 -2.2041 -2.1291 -2.0903 -2.0736 -2.0699
 -2.0751
 -3.1380 -3.0012 -2.8854 -2.7878 -2.7085 -2.6483 -2.6067 -2.5817 -2.5657 -2.5428
 -2.5071 -2.4679 -2.4222 -2.3683 -2.3142 -2.2039 -2.1360 -2.1030 -2.0898 -2.0874
 -2.0923 -2.1028
 -3.0494 -2.9357 -2.8377 -2.7508 -2.6736 -2.6080 -2.5558 -2.5163 -2.4865 -2.4634
 -2.4407 -2.4128 -2.3824 -2.3442 -2.3014 -2.2031 -2.1399 -2.1112 -2.1024 -2.1025
 -2.1082 -2.1185 -2.1327 -2.1496
 -2.9477 -2.8551 -2.7766 -2.7055 -2.6384 -2.5761 -2.5211 -2.4757 -2.4396 -2.4094
 -2.3826 -2.3571 -2.3335 -2.3067 -2.2760 -2.1979 -2.1395 -2.1132 -2.1092 -2.1137
 -2.1219 -2.1333 -2.1477 -2.1649 -2.1849 -2.2084 -2.2362 -2.2687 -2.3063 -2.3492
 -2.8405 -2.7624 -2.7002 -2.6453 -2.5925 -2.5398 -2.4887 -2.4423 -2.4033 -2.3711
 -2.3427 -2.3162 -2.2914 -2.2682 -2.2436 -2.1831 -2.1337 -2.1090 -2.1083 -2.1183
 -2.1313 -2.1456 -2.1617 -2.1796 -2.1991 -2.2193 -2.2422 -2.2701 -2.3050 -2.3470
 -2.3924
 -2.7298 -2.6643 -2.6134 -2.5709 -2.5318 -2.4921 -2.4501 -2.4081 -2.3696 -2.3364
 -2.3084 -2.2833 -2.2595 -2.2372 -2.2148 -2.1628 -2.1224 -2.0998 -2.1004 -2.1149
 -2.1338 -2.1531 -2.1727 -2.1929 -2.2137 -2.2354 -2.2572 -2.2813 -2.3103 -2.3460
 -2.3898
 -2.6186 -2.5654 -2.5221 -2.4877 -2.4584 -2.4299 -2.3995 -2.3663 -2.3325 -2.3009
 -2.2735 -2.2501 -2.2291 -2.2094 -2.1896 -2.1425 -2.1074 -2.0881 -2.0882 -2.1046
 -2.1285 -2.1541 -2.1790 -2.2032 -2.2269 -2.2504 -2.2743 -2.3002 -2.3283 -2.3583
 -2.3901
 -2.5068 -2.4657 -2.4311 -2.4022 -2.3787 -2.3581 -2.3375 -2.3146 -2.2893 -2.2628
 -2.2376 -2.2157 -2.1972 -2.1807 -2.1649 -2.1247 -2.0929 -2.0757 -2.0751 -2.0905
 -2.1162 -2.1465 -2.1773 -2.2070 -2.2353 -2.2622 -2.2885 -2.3144 -2.3450 -2.3724
 -2.3976
 -2.3944 -2.3652 -2.3404 -2.3178 -2.2975 -2.2814 -2.2670 -2.2525 -2.2363 -2.2180
 -2.1983 -2.1792 -2.1627 -2.1490 -2.1370 -2.1071 -2.0788 -2.0634 -2.0628 -2.0765
 -2.1014 -2.1332 -2.1681 -2.2033 -2.2371 -2.2690 -2.2992 -2.3281 -2.3562 -2.3843
 -2.4134
 -2.2814 -2.2639 -2.2500 -2.2352 -2.2177 -2.2046 -2.1939 -2.1844 -2.1750 -2.1647
 -2.1527 -2.1395 -2.1263 -2.1150 -2.1059 -2.0897 -2.0651 -2.0512 -2.0513
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F070W
 -3.7093 -3.5232 -3.3458 -3.1964 -3.0906 -3.0201 -2.9944 -2.9261 -2.8548 -2.7781
 -2.6947 -2.6135 -2.5241 -2.4392 -2.3617 -2.2089 -2.1088 -2.0523 -2.0298
 -3.4688 -3.2969 -3.1784 -3.0771 -2.9875 -2.9129 -2.8511 -2.7970 -2.7444 -2.6892
 -2.6277 -2.5577 -2.4819 -2.4082 -2.3407 -2.2059 -2.1175 -2.0689 -2.0475 -2.0418
 -3.3792 -3.1768 -3.0211 -2.9114 -2.8477 -2.8064 -2.7619 -2.7132 -2.6656 -2.6202
 -2.5735 -2.5210 -2.4590 -2.3936 -2.3322 -2.2087 -2.1277 -2.0836 -2.0651 -2.0611
 -2.0661
 -3.3325 -3.1331 -2.9718 -2.8457 -2.7515 -2.6866 -2.6512 -2.6336 -2.6099 -2.5725
 -2.5298 -2.4868 -2.4389 -2.3834 -2.3288 -2.2135 -2.1376 -2.0963 -2.0802 -2.0775
 -2.0825 -2.0932
 -3.2893 -3.1033 -2.9497 -2.8244 -2.7234 -2.6445 -2.5858 -2.5451 -2.5222 -2.5077
 -2.4848 -2.4528 -2.4151 -2.3708 -2.3226 -2.2169 -2.1448 -2.1055 -2.0918 -2.0913
 -2.0974 -2.1081 -2.1228 -2.1414
 -3.2339 -3.0651 -2.9250 -2.8087 -2.7108 -2.6285 -2.5612 -2.5082 -2.4677 -2.4379
 -2.4171 -2.3979 -2.3756 -2.3463 -2.3100 -2.2163 -2.1479 -2.1100 -2.0983 -2.1012
 -2.1100 -2.1220 -2.1370 -2.1549 -2.1756 -2.1992 -2.2268 -2.2599 -2.3008 -2.3443
 -3.1653 -3.0120 -2.8866 -2.7827 -2.6939 -2.6159 -2.5473 -2.4888 -2.4408 -2.4019
 -2.3700 -2.3439 -2.3230 -2.3030 -2.2787 -2.2086 -2.1460 -2.1091 -2.0985 -2.1053
 -2.1183 -2.1335 -2.1503 -2.1689 -2.1893 -2.2116 -2.2367 -2.2651 -2.2991 -2.3416
 -2.3872
 -3.0868 -2.9474 -2.8343 -2.7419 -2.6639 -2.5947 -2.5312 -2.4729 -2.4215 -2.3781
 -2.3417 -2.3107 -2.2844 -2.2617 -2.2408 -2.1873 -2.1378 -2.1033 -2.0930 -2.1023
 -2.1204 -2.1404 -2.1606 -2.1816 -2.2032 -2.2257 -2.2499 -2.2759 -2.3049 -2.3403
 -2.3846
 -3.0006 -2.8736 -2.7707 -2.6873 -2.6188 -2.5593 -2.5041 -2.4513 -2.4015 -2.3566
 -2.3180 -2.2852 -2.2568 -2.2321 -2.2098 -2.1608 -2.1212 -2.0929 -2.0831 -2.0932
 -2.1153 -2.1410 -2.1665 -2.1913 -2.2158 -2.2401 -2.2649 -2.2906 -2.3179 -2.3483
 -2.3847
 -2.9166 -2.7978 -2.7031 -2.6269 -2.5648 -2.5124 -2.4654 -2.4205 -2.3765 -2.3341
 -2.2952 -2.2614 -2.2328 -2.2081 -2.1861 -2.1383 -2.1025 -2.0796 -2.0710 -2.0803
 -2.1036 -2.1335 -2.1646 -2.1948 -2.2236 -2.2514 -2.2786 -2.3055 -2.3327 -2.3614
 -2.3918
 -2.8419 -2.7258 -2.6340 -2.5626 -2.5055 -2.4578 -2.4164 -2.3784 -2.3418 -2.3053
 -2.2697 -2.2365 -2.2076 -2.1836 -2.1630 -2.1191 -2.0852 -2.0651 -2.0585 -2.0667
 -2.0891 -2.1203 -2.1554 -2.1910 -2.2253 -2.2578 -2.2889 -2.3187 -2.3478 -2.3768
 -2.4068
 -2.7793 -2.6645 -2.5721 -2.4998 -2.4443 -2.3998 -2.3618 -2.3281 -2.2972 -2.2674
 -2.2378 -2.2085 -2.1820 -2.1577 -2.1405 -2.1032 -2.0693 -2.0494 -2.0456
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = F070W
 -4.0115 -3.8473 -3.6956 -3.5548 -3.4225 -3.2934 -3.1626 -3.0292 -2.9035 -2.7896
 -2.6852 -2.5884 -2.4983 -2.4180 -2.3466 -2.2029 -2.1039 -2.0439 -2.0175
 -3.8510 -3.6712 -3.5087 -3.3630 -3.2329 -3.1165 -3.0085 -2.9041 -2.8066 -2.7174
 -2.6338 -2.5530 -2.4743 -2.4015 -2.3359 -2.2042 -2.1142 -2.0607 -2.0363 -2.0303
 -3.6815 -3.4900 -3.3456 -3.2197 -3.1020 -2.9961 -2.9013 -2.8140 -2.7341 -2.6614
 -2.5937 -2.5274 -2.4598 -2.3936 -2.3328 -2.2099 -2.1258 -2.0755 -2.0527 -2.0476
 -2.0526
 -3.6066 -3.3750 -3.1885 -3.0455 -2.9451 -2.8787 -2.8164 -2.7485 -2.6798 -2.6158
 -2.5574 -2.5027 -2.4468 -2.3883 -2.3321 -2.2164 -2.1366 -2.0885 -2.0666 -2.0623
 -2.0676 -2.0788
 -3.5770 -3.3342 -3.1313 -2.9694 -2.8437 -2.7512 -2.6888 -2.6482 -2.6174 -2.5765
 -2.5271 -2.4776 -2.4300 -2.3807 -2.3300 -2.2212 -2.1449 -2.0985 -2.0774 -2.0744
 -2.0808 -2.0923 -2.1079 -2.1275
 -3.5597 -3.3179 -3.1127 -2.9458 -2.8127 -2.7078 -2.6262 -2.5642 -2.5208 -2.4954
 -2.4746 -2.4457 -2.4086 -2.3672 -2.3234 -2.2225 -2.1496 -2.1047 -2.0845 -2.0830
 -2.0916 -2.1047 -2.1208 -2.1398 -2.1617 -2.1862 -2.2151 -2.2505 -2.2922 -2.3353
 -3.5366 -3.3024 -3.1017 -2.9370 -2.8034 -2.6948 -2.6066 -2.5353 -2.4787 -2.4346
 -2.4029 -2.3817 -2.3625 -2.3383 -2.3073 -2.2193 -2.1501 -2.1066 -2.0871 -2.0871
 -2.0987 -2.1148 -2.1327 -2.1525 -2.1742 -2.1980 -2.2246 -2.2546 -2.2900 -2.3331
 -2.3788
 -3.5014 -3.2769 -3.0840 -2.9250 -2.7957 -2.6893 -2.6005 -2.5253 -2.4623 -2.4102
 -2.3674 -2.3331 -2.3077 -2.2885 -2.2692 -2.2081 -2.1461 -2.1043 -2.0851 -2.0859
