 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F070W
 -1.2974 -1.1839 -1.1188 -1.0199 -0.8798 -0.7570 -0.6950 -0.6692 -0.6339 -0.5712
 -0.4940 -0.4060 -0.3171 -0.2356 -0.1597 -0.0044  0.0981  0.1556  0.1909
 -1.1890 -1.0155 -0.8888 -0.7841 -0.6988 -0.6331 -0.5828 -0.5412 -0.5012 -0.4584
 -0.4093 -0.3506 -0.2818 -0.2090 -0.1405 -0.0020  0.0886  0.1388  0.1648  0.1725
 -1.1175 -0.9150 -0.7546 -0.6389 -0.5676 -0.5206 -0.4783 -0.4386 -0.4034 -0.3721
 -0.3386 -0.2992 -0.2486 -0.1875 -0.1267 -0.0022  0.0793  0.1238  0.1437  0.1494
  0.1460
 -1.0829 -0.8824 -0.7162 -0.5843 -0.4862 -0.4195 -0.3815 -0.3614 -0.3405 -0.3123
 -0.2819 -0.2518 -0.2175 -0.1711 -0.1183 -0.0050  0.0702  0.1106  0.1276  0.1320
  0.1286  0.1195
 -1.0475 -0.8605 -0.7019 -0.5708 -0.4655 -0.3849 -0.3276 -0.2897 -0.2671 -0.2521
 -0.2329 -0.2077 -0.1823 -0.1508 -0.1088 -0.0069  0.0637  0.1012  0.1149  0.1171
  0.1128  0.1037  0.0906  0.0739
 -0.9920 -0.8249 -0.6821 -0.5610 -0.4590 -0.3748 -0.3081 -0.2584 -0.2226 -0.1964
 -0.1763 -0.1574 -0.1371 -0.1169 -0.0889 -0.0045  0.0614  0.0972  0.1077  0.1060
  0.0992  0.0888  0.0755  0.0593  0.0406  0.0189 -0.0062 -0.0377 -0.0768 -0.1187
 -0.9123 -0.7664 -0.6424 -0.5371 -0.4461 -0.3669 -0.2987 -0.2422 -0.1983 -0.1646
 -0.1374 -0.1138 -0.0919 -0.0741 -0.0547  0.0073  0.0646  0.0988  0.1074  0.1012
  0.0898  0.0765  0.0613  0.0444  0.0258  0.0054 -0.0176 -0.0435 -0.0761 -0.1171
 -0.1615
 -0.8146 -0.6874 -0.5808 -0.4921 -0.4159 -0.3478 -0.2855 -0.2292 -0.1807 -0.1416
 -0.1102 -0.0837 -0.0598 -0.0381 -0.0202  0.0300  0.0750  0.1057  0.1136  0.1040
  0.0872  0.0689  0.0503  0.0310  0.0110 -0.0097 -0.0319 -0.0561 -0.0836 -0.1167
 -0.1595
 -0.7028 -0.5937 -0.5021 -0.4270 -0.3648 -0.3099 -0.2585 -0.2089 -0.1622 -0.1207
 -0.0861 -0.0578 -0.0334 -0.0111  0.0079  0.0542  0.0917  0.1169  0.1243  0.1133
  0.0921  0.0679  0.0440  0.0206 -0.0023 -0.0250 -0.0480 -0.0718 -0.0973 -0.1259
 -0.1604
 -0.5855 -0.4934 -0.4152 -0.3508 -0.2991 -0.2555 -0.2158 -0.1766 -0.1371 -0.0984
 -0.0630 -0.0329 -0.0081  0.0132  0.0319  0.0745  0.1089  0.1302  0.1366  0.1265
