 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F322W2
 -3.4611 -3.5347 -3.5950 -3.6247 -3.6238 -3.6058 -3.5792 -3.5505 -3.5333 -3.5396
 -3.5569 -3.5948 -3.6507 -3.7094 -3.7758 -3.9516 -4.1260 -4.2977 -4.4627
 -3.4046 -3.4716 -3.5360 -3.5902 -3.6314 -3.6577 -3.6689 -3.6669 -3.6568 -3.6432
 -3.6330 -3.6378 -3.6703 -3.7279 -3.7955 -3.9714 -4.1448 -4.3153 -4.4796 -4.6372
 -3.3701 -3.4304 -3.4934 -3.5569 -3.6174 -3.6675 -3.7033 -3.7234 -3.7278 -3.7173
 -3.7017 -3.6904 -3.7024 -3.7495 -3.8139 -3.9878 -4.1601 -4.3294 -4.4932 -4.6500
 -4.8002
 -3.3576 -3.4111 -3.4672 -3.5248 -3.5818 -3.6352 -3.6824 -3.7200 -3.7463 -3.7619
 -3.7630 -3.7526 -3.7470 -3.7742 -3.8310 -4.0008 -4.1719 -4.3400 -4.5035 -4.6598
 -4.8092 -4.9525
 -3.3656 -3.4114 -3.4603 -3.5111 -3.5629 -3.6134 -3.6601 -3.7002 -3.7338 -3.7612
 -3.7840 -3.7990 -3.7992 -3.8092 -3.8515 -4.0121 -4.1813 -4.3478 -4.5108 -4.6672
 -4.8163 -4.9589 -5.0959 -5.2280
 -3.3949 -3.4318 -3.4719 -3.5147 -3.5597 -3.6057 -3.6511 -3.6929 -3.7291 -3.7599
 -3.7879 -3.8155 -3.8367 -3.8487 -3.8807 -4.0239 -4.1893 -4.3535 -4.5154 -4.6721
 -4.8216 -4.9641 -5.1004 -5.2316 -5.3582 -5.4809 -5.6001 -5.7162 -5.8292 -5.9389
 -3.4470 -3.4739 -3.5038 -3.5369 -3.5733 -3.6126 -3.6537 -3.6948 -3.7337 -3.7682
 -3.7991 -3.8292 -3.8610 -3.8829 -3.9120 -4.0406 -4.1978 -4.3585 -4.5180 -4.6745
 -4.8248 -4.9678 -5.1042 -5.2349 -5.3607 -5.4821 -5.6000 -5.7144 -5.8258 -5.9345
 -6.0405
 -3.5195 -3.5386 -3.5585 -3.5804 -3.6064 -3.6364 -3.6704 -3.7071 -3.7449 -3.7818
 -3.8161 -3.8485 -3.8816 -3.9136 -3.9417 -4.0622 -4.2091 -4.3643 -4.5200 -4.6746
 -4.8254 -4.9696 -5.1067 -5.2375 -5.3630 -5.4838 -5.6006 -5.7138 -5.8237 -5.9308
 -6.0356
 -3.6059 -3.6213 -3.6349 -3.6470 -3.6618 -3.6808 -3.7052 -3.7344 -3.7675 -3.8026
 -3.8379 -3.8725 -3.9067 -3.9412 -3.9718 -4.0855 -4.2247 -4.3738 -4.5250 -4.6763
 -4.8261 -4.9714 -5.1100 -5.2419 -5.3678 -5.4885 -5.6049 -5.7173 -5.8262 -5.9321
 -6.0353
 -3.6974 -3.7138 -3.7256 -3.7328 -3.7385 -3.7473 -3.7605 -3.7797 -3.8046 -3.8341
 -3.8667 -3.9007 -3.9351 -3.9698 -4.0035 -4.1083 -4.2393 -4.3822 -4.5290 -4.6761
 -4.8229 -4.9675 -5.1074 -5.2408 -5.3678 -5.4890 -5.6054 -5.7175 -5.8258 -5.9307
 -6.0346
 -3.7921 -3.8105 -3.8231 -3.8306 -3.8338 -3.8347 -3.8384 -3.8469 -3.8615 -3.8821
 -3.9079 -3.9377 -3.9699 -4.0033 -4.0372 -4.1343 -4.2562 -4.3919 -4.5339 -4.6773
 -4.8206 -4.9628 -5.1023 -5.2370 -5.3656 -5.4882 -5.6054 -5.7178 -5.8260 -5.9306
 -6.0319
 -3.8900 -3.9114 -3.9231 -3.9344 -3.9383 -3.9378 -3.9359 -3.9356 -3.9402 -3.9504
 -3.9667 -3.9887 -4.0151 -4.0449 -4.0729 -4.1635 -4.2754 -4.4029 -4.5397
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =F322W2
 -3.4414 -3.4742 -3.4991 -3.5162 -3.5264 -3.5327 -3.5380 -3.5445 -3.5520 -3.5597
 -3.5736 -3.6025 -3.6511 -3.7139 -3.7857 -3.9583 -4.1280 -4.2958 -4.4609
 -3.4521 -3.5004 -3.5393 -3.5695 -3.5914 -3.6061 -3.6156 -3.6229 -3.6273 -3.6280
 -3.6297 -3.6430 -3.6796 -3.7379 -3.8051 -3.9787 -4.1482 -4.3141 -4.4775 -4.6350
 -3.4144 -3.4723 -3.5266 -3.5880 -3.6299 -3.6600 -3.6791 -3.6905 -3.6963 -3.6956
 -3.6907 -3.6896 -3.7083 -3.7569 -3.8214 -3.9944 -4.1640 -4.3288 -4.4909 -4.6474
 -4.7976
 -3.3693 -3.4285 -3.4905 -3.5539 -3.6141 -3.6664 -3.7072 -3.7344 -3.7501 -3.7558
 -3.7534 -3.7461 -3.7464 -3.7769 -3.8346 -4.0054 -4.1754 -4.3399 -4.5011 -4.6569
 -4.8062 -4.9496
 -3.3528 -3.4055 -3.4620 -3.5215 -3.5809 -3.6371 -3.6875 -3.7301 -3.7632 -3.7857
 -3.7976 -3.7999 -3.7969 -3.8057 -3.8491 -4.0131 -4.1832 -4.3478 -4.5084 -4.6640
 -4.8130 -4.9557 -5.0928 -5.2251
 -3.3545 -3.4010 -3.4512 -3.5050 -3.5607 -3.6161 -3.6678 -3.7128 -3.7503 -3.7818
 -3.8078 -3.8281 -3.8382 -3.8455 -3.8709 -4.0194 -4.1884 -4.3530 -4.5132 -4.6688
 -4.8180 -4.9605 -5.0971 -5.2284 -5.3553 -5.4782 -5.5978 -5.7142 -5.8273 -5.9368
 -3.3721 -3.4123 -3.4561 -3.5033 -3.5531 -3.6043 -3.6550 -3.7021 -3.7434 -3.7777
 -3.8075 -3.8357 -3.8611 -3.8779 -3.8997 -4.0271 -4.1924 -4.3563 -4.5158 -4.6712
 -4.8210 -4.9640 -5.1005 -5.2314 -5.3574 -5.4792 -5.5973 -5.7121 -5.8237 -5.9324
 -6.0384
 -3.4087 -3.4406 -3.4768 -3.5166 -3.5593 -3.6043 -3.6508 -3.6969 -3.7406 -3.7797
 -3.8134 -3.8441 -3.8751 -3.9029 -3.9271 -4.0416 -4.1967 -4.3588 -4.5170 -4.6715
 -4.8217 -4.9657 -5.1028 -5.2338 -5.3594 -5.4805 -5.5976 -5.7111 -5.8214 -5.9287
 -6.0335
 -3.4659 -3.4881 -3.5159 -3.5472 -3.5818 -3.6191 -3.6591 -3.7008 -3.7431 -3.7842
 -3.8223 -3.8571 -3.8903 -3.9237 -3.9530 -4.0631 -4.2070 -4.3639 -4.5201 -4.6730
 -4.8226 -4.9675 -5.1060 -5.2379 -5.3639 -5.4849 -5.6016 -5.7143 -5.8236 -5.9298
 -6.0332
 -3.5380 -3.5550 -3.5749 -3.5974 -3.6227 -3.6510 -3.6824 -3.7170 -3.7545 -3.7936
 -3.8328 -3.8707 -3.9070 -3.9425 -3.9768 -4.0828 -4.2195 -4.3688 -4.5213 -4.6716
 -4.8192 -4.9638 -5.1033 -5.2367 -5.3637 -5.4852 -5.6018 -5.7143 -5.8229 -5.9282
 -6.0324
 -3.6187 -3.6363 -3.6513 -3.6670 -3.6843 -3.7034 -3.7254 -3.7510 -3.7808 -3.8143
 -3.8505 -3.8881 -3.9257 -3.9629 -3.9997 -4.1028 -4.2332 -4.3763 -4.5241 -4.6713
 -4.8163 -4.9590 -5.0984 -5.2330 -5.3616 -5.4842 -5.6016 -5.7143 -5.8228 -5.9278
 -6.0293
 -3.7069 -3.7243 -3.7390 -3.7515 -3.7633 -3.7756 -3.7895 -3.8059 -3.8264 -3.8517
 -3.8814 -3.9148 -3.9505 -3.9874 -4.0217 -4.1231 -4.2481 -4.3864 -4.5285
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =F322W2
 -3.4105 -3.4358 -3.4526 -3.4604 -3.4594 -3.4574 -3.4628 -3.4796 -3.5013 -3.5256
 -3.5568 -3.6010 -3.6589 -3.7247 -3.7931 -3.9647 -4.1324 -4.2951 -4.4564
 -3.4439 -3.4774 -3.5021 -3.5178 -3.5256 -3.5287 -3.5337 -3.5494 -3.5671 -3.5844
 -3.6048 -3.6361 -3.6849 -3.7474 -3.8153 -3.9871 -4.1542 -4.3151 -4.4743 -4.6311
 -3.4517 -3.4979 -3.5340 -3.5605 -3.5781 -3.5883 -3.5964 -3.6114 -3.6279 -3.6423
 -3.6556 -3.6742 -3.7090 -3.7639 -3.8296 -4.0018 -4.1696 -4.3303 -4.4881 -4.6434
 -4.7934
 -3.4126 -3.4691 -3.5301 -3.5781 -3.6133 -3.6368 -3.6519 -3.6675 -3.6847 -3.6992
 -3.7099 -3.7200 -3.7390 -3.7801 -3.8401 -4.0110 -4.1799 -4.3414 -4.4985 -4.6527
 -4.8017 -4.9452
 -3.3643 -3.4229 -3.4849 -3.5459 -3.6017 -3.6487 -3.6843 -3.7089 -3.7302 -3.7488
 -3.7625 -3.7715 -3.7801 -3.8029 -3.8510 -4.0165 -4.1863 -4.3489 -4.5060 -4.6595
 -4.8081 -4.9508 -5.0881 -5.2207
