 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F322W2
  0.3666  0.2925  0.2318  0.2021  0.2029  0.2213  0.2486  0.2779  0.2957  0.2898
  0.2733  0.2361  0.1801  0.1218  0.0549 -0.1209 -0.2955 -0.4673 -0.6323
  0.4235  0.3564  0.2918  0.2374  0.1960  0.1695  0.1585  0.1607  0.1713  0.1855
  0.1966  0.1926  0.1604  0.1031  0.0354 -0.1406 -0.3143 -0.4849 -0.6492 -0.8069
  0.4584  0.3982  0.3351  0.2714  0.2107  0.1602  0.1243  0.1041  0.1000  0.1110
  0.1274  0.1395  0.1281  0.0813  0.0170 -0.1570 -0.3296 -0.4990 -0.6628 -0.8196
 -0.9698
  0.4713  0.4179  0.3617  0.3041  0.2470  0.1934  0.1460  0.1081  0.0818  0.0663
  0.0657  0.0768  0.0832  0.0564 -0.0003 -0.1701 -0.3414 -0.5096 -0.6731 -0.8295
 -0.9789 -1.1222
  0.4638  0.4179  0.3690  0.3182  0.2664  0.2158  0.1689  0.1287  0.0950  0.0675
  0.0448  0.0301  0.0306  0.0211 -0.0210 -0.1815 -0.3508 -0.5174 -0.6804 -0.8369
 -0.9860 -1.1286 -1.2656 -1.3977
  0.4351  0.3981  0.3579  0.3149  0.2700  0.2239  0.1785  0.1365  0.1002  0.0694
  0.0415  0.0140 -0.0070 -0.0186 -0.0504 -0.1934 -0.3588 -0.5231 -0.6850 -0.8418
 -0.9913 -1.1338 -1.2702 -1.4014 -1.5279 -1.6506 -1.7699 -1.8859 -1.9989 -2.1086
  0.3838  0.3566  0.3265  0.2932  0.2567  0.2174  0.1762  0.1351  0.0961  0.0615
  0.0306  0.0005 -0.0312 -0.0527 -0.0817 -0.2101 -0.3673 -0.5281 -0.6876 -0.8441
 -0.9945 -1.1375 -1.2739 -1.4046 -1.5304 -1.6519 -1.7697 -1.8842 -1.9956 -2.1043
 -2.2103
  0.3120  0.2926  0.2725  0.2503  0.2242  0.1940  0.1599  0.1231  0.0853  0.0484
  0.0140 -0.0185 -0.0515 -0.0834 -0.1113 -0.2317 -0.3786 -0.5338 -0.6895 -0.8442
 -0.9950 -1.1393 -1.2764 -1.4073 -1.5328 -1.6536 -1.7704 -1.8836 -1.9935 -2.1006
 -2.2054
  0.2261  0.2105  0.1967  0.1843  0.1692  0.1500  0.1255  0.0962  0.0631  0.0279
 -0.0076 -0.0422 -0.0764 -0.1109 -0.1414 -0.2550 -0.3942 -0.5434 -0.6946 -0.8459
 -0.9957 -1.1411 -1.2798 -1.4117 -1.5375 -1.6583 -1.7747 -1.8871 -1.9961 -2.1019
 -2.2052
  0.1350  0.1185  0.1064  0.0991  0.0931  0.0840  0.0707  0.0513  0.0263 -0.0033
 -0.0359 -0.0700 -0.1046 -0.1393 -0.1730 -0.2778 -0.4088 -0.5517 -0.6985 -0.8457
 -0.9925 -1.1372 -1.2771 -1.4106 -1.5375 -1.6588 -1.7752 -1.8874 -1.9956 -2.1006
 -2.2045
  0.0407  0.0221  0.0094  0.0017 -0.0017 -0.0029 -0.0068 -0.0155 -0.0302 -0.0510
 -0.0769 -0.1068 -0.1391 -0.1726 -0.2066 -0.3038 -0.4257 -0.5614 -0.7034 -0.8469
 -0.9902 -1.1325 -1.2720 -1.4068 -1.5354 -1.6580 -1.7752 -1.8876 -1.9959 -2.1004
 -2.2017
 -0.0568 -0.0787 -0.0904 -0.1018 -0.1058 -0.1055 -0.1039 -0.1038 -0.1086 -0.1190
 -0.1354 -0.1575 -0.1841 -0.2139 -0.2422 -0.3330 -0.4449 -0.5725 -0.7093
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =F322W2
  0.3857  0.3529  0.3280  0.3109  0.3009  0.2949  0.2900  0.2840  0.2770  0.2699
  0.2568  0.2283  0.1800  0.1173  0.0454 -0.1271 -0.2973 -0.4653 -0.6305
  0.3754  0.3271  0.2881  0.2579  0.2359  0.2214  0.2121  0.2052  0.2012  0.2011
  0.2001  0.1876  0.1513  0.0932  0.0260 -0.1477 -0.3175 -0.4836 -0.6471 -0.8046
  0.4135  0.3557  0.3013  0.2397  0.1977  0.1676  0.1486  0.1374  0.1319  0.1330
  0.1386  0.1405  0.1224  0.0740  0.0096 -0.1635 -0.3333 -0.4983 -0.6605 -0.8170
 -0.9672
  0.4590  0.3999  0.3379  0.2743  0.2139  0.1613  0.1205  0.0934  0.0779  0.0725
  0.0755  0.0834  0.0839  0.0538 -0.0038 -0.1745 -0.3447 -0.5094 -0.6707 -0.8266
 -0.9759 -1.1193
  0.4757  0.4232  0.3668  0.3072  0.2477  0.1913  0.1408  0.0981  0.0650  0.0426
  0.0309  0.0292  0.0328  0.0246 -0.0184 -0.1823 -0.3526 -0.5173 -0.6781 -0.8337
 -0.9827 -1.1254 -1.2625 -1.3948
  0.4743  0.4279  0.3777  0.3241  0.2684  0.2129  0.1612  0.1161  0.0785  0.0470
  0.0210  0.0009 -0.0087 -0.0155 -0.0405 -0.1887 -0.3578 -0.5226 -0.6829 -0.8385
 -0.9877 -1.1302 -1.2668 -1.3982 -1.5250 -1.6480 -1.7676 -1.8839 -1.9969 -2.1065
  0.4573  0.4170  0.3732  0.3260  0.2761  0.2250  0.1743  0.1271  0.0858  0.0515
  0.0217 -0.0063 -0.0316 -0.0480 -0.0695 -0.1965 -0.3618 -0.5259 -0.6854 -0.8409
 -0.9907 -1.1337 -1.2702 -1.4011 -1.5271 -1.6489 -1.7671 -1.8819 -1.9935 -2.1021
 -2.2081
  0.4214  0.3893  0.3530  0.3131  0.2703  0.2253  0.1788  0.1327  0.0889  0.0498
