 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F410M
 -3.9037 -3.9913 -4.0666 -4.1184 -4.1501 -4.1769 -4.2126 -4.2596 -4.3175 -4.3861
 -4.4586 -4.5343 -4.6096 -4.6838 -4.7589 -4.9474 -5.1317 -5.3070 -5.4734
 -3.8865 -3.9748 -4.0566 -4.1273 -4.1880 -4.2407 -4.2886 -4.3355 -4.3848 -4.4382
 -4.4972 -4.5632 -4.6352 -4.7099 -4.7853 -4.9721 -5.1541 -5.3286 -5.4950 -5.6540
 -3.8811 -3.9677 -4.0516 -4.1314 -4.2066 -4.2738 -4.3321 -4.3843 -4.4335 -4.4821
 -4.5344 -4.5930 -4.6596 -4.7321 -4.8066 -4.9916 -5.1718 -5.3456 -5.5120 -5.6707
 -5.8220
 -3.8875 -3.9700 -4.0516 -4.1307 -4.2059 -4.2762 -4.3431 -4.4060 -4.4636 -4.5178
 -4.5702 -4.6237 -4.6828 -4.7504 -4.8228 -5.0059 -5.1848 -5.3580 -5.5243 -5.6828
 -5.8338 -5.9781
 -3.9097 -3.9849 -4.0612 -4.1370 -4.2112 -4.2824 -4.3495 -4.4129 -4.4749 -4.5360
 -4.5953 -4.6528 -4.7089 -4.7694 -4.8372 -5.0164 -5.1937 -5.3664 -5.5330 -5.6917
 -5.8426 -5.9867 -6.1244 -6.2568
 -3.9523 -4.0173 -4.0847 -4.1540 -4.2240 -4.2935 -4.3610 -4.4256 -4.4874 -4.5481
 -4.6093 -4.6712 -4.7317 -4.7909 -4.8539 -5.0251 -5.1997 -5.3710 -5.5380 -5.6977
 -5.8490 -5.9931 -6.1307 -6.2626 -6.3895 -6.5121 -6.6310 -6.7464 -6.8586 -6.9682
 -4.0166 -4.0703 -4.1266 -4.1861 -4.2484 -4.3127 -4.3776 -4.4417 -4.5042 -4.5649
 -4.6249 -4.6857 -4.7478 -4.8085 -4.8705 -5.0346 -5.2043 -5.3731 -5.5394 -5.7005
 -5.8532 -5.9978 -6.1355 -6.2672 -6.3937 -6.5155 -6.6334 -6.7476 -6.8584 -6.9664
 -7.0724
 -4.0976 -4.1432 -4.1886 -4.2366 -4.2885 -4.3444 -4.4032 -4.4636 -4.5244 -4.5848
 -4.6443 -4.7036 -4.7637 -4.8245 -4.8850 -5.0448 -5.2093 -5.3741 -5.5381 -5.6996
 -5.8544 -6.0005 -6.1388 -6.2708 -6.3972 -6.5186 -6.6358 -6.7491 -6.8589 -6.9656
 -7.0698
 -4.1868 -4.2297 -4.2688 -4.3066 -4.3474 -4.3927 -4.4427 -4.4962 -4.5525 -4.6102
 -4.6683 -4.7265 -4.7848 -4.8437 -4.9024 -5.0566 -5.2165 -5.3776 -5.5382 -5.6982
 -5.8545 -6.0032 -6.1432 -6.2761 -6.4028 -6.5243 -6.6412 -6.7541 -6.8633 -6.9691
 -7.0721
 -4.2743 -4.3193 -4.3576 -4.3906 -4.4223 -4.4573 -4.4968 -4.5412 -4.5900 -4.6420
 -4.6963 -4.7519 -4.8081 -4.8648 -4.9218 -5.0688 -5.2225 -5.3793 -5.5362 -5.6928
 -5.8482 -5.9987 -6.1415 -6.2761 -6.4039 -6.5258 -6.6429 -6.7554 -6.8640 -6.9692
 -7.0734
 -4.3581 -4.4068 -4.4474 -4.4816 -4.5107 -4.5378 -4.5679 -4.6024 -4.6417 -4.6855
 -4.7332 -4.7840 -4.8366 -4.8904 -4.9450 -5.0851 -5.2315 -5.3826 -5.5356 -5.6886
 -5.8410 -5.9912 -6.1360 -6.2734 -6.4031 -6.5264 -6.6441 -6.7570 -6.8655 -6.9704
 -7.0719
 -4.4381 -4.4922 -4.5347 -4.5732 -4.6038 -4.6295 -4.6538 -4.6797 -4.7097 -4.7440
 -4.7829 -4.8262 -4.8728 -4.9221 -4.9720 -5.1055 -5.2435 -5.3875 -5.5364
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F410M
 -3.8679 -3.9297 -3.9869 -4.0414 -4.0966 -4.1541 -4.2145 -4.2780 -4.3427 -4.4081
 -4.4748 -4.5436 -4.6144 -4.6873 -4.7644 -4.9479 -5.1291 -5.3047 -5.4720
 -3.8999 -3.9741 -4.0400 -4.0999 -4.1565 -4.2123 -4.2692 -4.3275 -4.3865 -4.4465
 -4.5086 -4.5743 -4.6442 -4.7172 -4.7912 -4.9748 -5.1538 -5.3272 -5.4933 -5.6519
 -3.8931 -3.9775 -4.0547 -4.1335 -4.1984 -4.2574 -4.3134 -4.3687 -4.4240 -4.4797
 -4.5371 -4.5984 -4.6653 -4.7375 -4.8116 -4.9953 -5.1731 -5.3449 -5.5101 -5.6683
 -5.8195
 -3.8753 -3.9640 -4.0489 -4.1301 -4.2066 -4.2774 -4.3417 -4.4000 -4.4557 -4.5101
 -4.5646 -4.6214 -4.6832 -4.7522 -4.8256 -5.0094 -5.1870 -5.3578 -5.5224 -5.6802
 -5.8310 -5.9753
 -3.8723 -3.9575 -4.0418 -4.1230 -4.2004 -4.2741 -4.3440 -4.4102 -4.4727 -4.5317
 -4.5883 -4.6443 -4.7020 -4.7653 -4.8360 -5.0187 -5.1963 -5.3668 -5.5310 -5.6888
 -5.8395 -5.9835 -6.1214 -6.2540
