 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  o   
 -1.4804 -1.4609 -1.4825 -1.4768 -1.4293 -1.3835 -1.3775 -1.3913 -1.3854 -1.3461
 -1.2877 -1.2151 -1.1384 -1.0663 -0.9974 -0.8509 -0.7449 -0.6749 -0.6232
 -1.4718 -1.4054 -1.3665 -1.3366 -1.3144 -1.3007 -1.2924 -1.2841 -1.2703 -1.2478
 -1.2139 -1.1662 -1.1054 -1.0387 -0.9746 -0.8407 -0.7453 -0.6828 -0.6411 -0.6156
 -1.4650 -1.3762 -1.3043 -1.2547 -1.2320 -1.2231 -1.2125 -1.1990 -1.1851 -1.1704
 -1.1491 -1.1179 -1.0725 -1.0149 -0.9565 -0.8335 -0.7466 -0.6905 -0.6560 -0.6345
 -0.6211
 -1.4600 -1.3733 -1.2959 -1.2311 -1.1821 -1.1507 -1.1378 -1.1360 -1.1298 -1.1139
 -1.0933 -1.0702 -1.0397 -0.9949 -0.9431 -0.8293 -0.7488 -0.6980 -0.6678 -0.6494
 -0.6379 -0.6311
 -1.4370 -1.3615 -1.2903 -1.2257 -1.1703 -1.1263 -1.0948 -1.0746 -1.0643 -1.0581
 -1.0454 -1.0252 -1.0030 -0.9724 -0.9301 -0.8259 -0.7502 -0.7035 -0.6778 -0.6629
 -0.6540 -0.6488 -0.6463 -0.6458
 -1.3887 -1.3292 -1.2707 -1.2144 -1.1619 -1.1153 -1.0764 -1.0460 -1.0232 -1.0058
 -0.9916 -0.9764 -0.9584 -0.9386 -0.9095 -0.8207 -0.7495 -0.7054 -0.6837 -0.6734
 -0.6681 -0.6657 -0.6651 -0.6660 -0.6681 -0.6714 -0.6768 -0.6866 -0.7027 -0.7247
 -1.3153 -1.2731 -1.2302 -1.1870 -1.1437 -1.1016 -1.0624 -1.0277 -0.9989 -0.9751
 -0.9542 -0.9346 -0.9150 -0.8979 -0.8773 -0.8093 -0.7455 -0.7034 -0.6841 -0.6787
 -0.6784 -0.6799 -0.6825 -0.6858 -0.6895 -0.6937 -0.6993 -0.7064 -0.7184 -0.7381
 -0.7643
 -1.2230 -1.1962 -1.1685 -1.1397 -1.1089 -1.0763 -1.0425 -1.0092 -0.9784 -0.9516
 -0.9279 -0.9059 -0.8845 -0.8639 -0.8454 -0.7896 -0.7367 -0.6976 -0.6794 -0.6773
 -0.6824 -0.6893 -0.6963 -0.7033 -0.7100 -0.7164 -0.7230 -0.7305 -0.7401 -0.7543
 -0.7777
 -1.1186 -1.1047 -1.0897 -1.0737 -1.0556 -1.0345 -1.0100 -0.9828 -0.9549 -0.9280
 -0.9035 -0.8811 -0.8598 -0.8388 -0.8196 -0.7685 -0.7230 -0.6887 -0.6711 -0.6703
 -0.6795 -0.6921 -0.7048 -0.7167 -0.7276 -0.7375 -0.7467 -0.7558 -0.7655 -0.7773
 -0.7942
 -1.0100 -1.0062 -1.0010 -0.9949 -0.9875 -0.9773 -0.9634 -0.9453 -0.9239 -0.9008
 -0.8778 -0.8562 -0.8360 -0.8167 -0.7981 -0.7510 -0.7090 -0.6785 -0.6618 -0.6603
 -0.6708 -0.6873 -0.7057 -0.7234 -0.7397 -0.7543 -0.7676 -0.7798 -0.7914 -0.8035
 -0.8163
 -0.8990 -0.9039 -0.9069 -0.9082 -0.9084 -0.9072 -0.9028 -0.8943 -0.8817 -0.8656
 -0.8472 -0.8282 -0.8099 -0.7926 -0.7761 -0.7352 -0.6961 -0.6678 -0.6523 -0.6501
 -0.6597 -0.6775 -0.6995 -0.7226 -0.7447 -0.7650 -0.7835 -0.8001 -0.8153 -0.8297
 -0.8445
 -0.7855 -0.7978 -0.8106 -0.8175 -0.8237 -0.8286 -0.8315 -0.8315 -0.8276 -0.8198
 -0.8085 -0.7948 -0.7800 -0.7654 -0.7536 -0.7211 -0.6843 -0.6566 -0.6426
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  o   
 -1.6828 -1.6396 -1.6069 -1.5800 -1.5558 -1.5291 -1.4950 -1.4505 -1.3974 -1.3395
 -1.2757 -1.2058 -1.1318 -1.0592 -0.9880 -0.8465 -0.7420 -0.6705 -0.6255
 -1.5893 -1.5315 -1.4884 -1.4549 -1.4269 -1.4011 -1.3746 -1.3423 -1.3050 -1.2640
 -1.2173 -1.1628 -1.0999 -1.0340 -0.9713 -0.8396 -0.7434 -0.6784 -0.6377 -0.6125
 -1.5453 -1.4597 -1.4001 -1.3664 -1.3329 -1.3049 -1.2799 -1.2544 -1.2271 -1.1976
 -1.1645 -1.1249 -1.0752 -1.0171 -0.9589 -0.8357 -0.7462 -0.6862 -0.6492 -0.6269
 -0.6130
 -1.5360 -1.4311 -1.3532 -1.2986 -1.2608 -1.2335 -1.2114 -1.1900 -1.1658 -1.1407
 -1.1147 -1.0861 -1.0506 -1.0034 -0.9508 -0.8348 -0.7504 -0.6939 -0.6600 -0.6404
 -0.6289 -0.6221
 -1.5408 -1.4402 -1.3493 -1.2769 -1.2218 -1.1805 -1.1500 -1.1277 -1.1115 -1.0969
 -1.0746 -1.0492 -1.0217 -0.9876 -0.9429 -0.8346 -0.7540 -0.7004 -0.6691 -0.6526
 -0.6436 -0.6387 -0.6367 -0.6368
 -1.5336 -1.4396 -1.3514 -1.2713 -1.2016 -1.1442 -1.0995 -1.0670 -1.0455 -1.0343
 -1.0258 -1.0109 -0.9906 -0.9651 -0.9313 -0.8328 -0.7558 -0.7043 -0.6752 -0.6619
 -0.6564 -0.6544 -0.6544 -0.6560 -0.6588 -0.6632 -0.6696 -0.6802 -0.6967 -0.7185
 -1.5043 -1.4234 -1.3441 -1.2696 -1.2015 -1.1412 -1.0900 -1.0485 -1.0163 -0.9916
 -0.9728 -0.9589 -0.9453 -0.9296 -0.9081 -0.8279 -0.7547 -0.7049 -0.6773 -0.6670
 -0.6656 -0.6676 -0.6708 -0.6748 -0.6793 -0.6845 -0.6911 -0.6993 -0.7121 -0.7319
 -0.7582
 -1.4503 -1.3853 -1.3192 -1.2548 -1.1939 -1.1374 -1.0862 -1.0411 -1.0029 -0.9714
 -0.9450 -0.9225 -0.9029 -0.8866 -0.8712 -0.8140 -0.7501 -0.7022 -0.6753 -0.6668
