 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F770W
  3.5222  3.4174  3.3183  3.2395  3.1830  3.1416  3.1076  3.0759  3.0382  2.9868
  2.9422  2.8988  2.8414  2.7822  2.7139  2.5301  2.3427  2.1628  1.9937
  3.5550  3.4572  3.3595  3.2666  3.1804  3.1027  3.0350  2.9782  2.9308  2.8923
  2.8634  2.8403  2.8069  2.7507  2.6814  2.4973  2.3129  2.1345  1.9651  1.8044
  3.5764  3.4840  3.3896  3.2931  3.1957  3.1017  3.0154  2.9401  2.8784  2.8339
  2.8034  2.7860  2.7681  2.7219  2.6552  2.4719  2.2895  2.1125  1.9431  1.7821
  1.6292
  3.5864  3.4978  3.4086  3.3190  3.2289  3.1386  3.0488  2.9616  2.8810  2.8116
  2.7622  2.7359  2.7250  2.6958  2.6353  2.4539  2.2725  2.0968  1.9277  1.7667
  1.6137  1.4680
  3.5874  3.5016  3.4163  3.3319  3.2484  3.1654  3.0830  3.0020  2.9223  2.8445
  2.7718  2.7143  2.6869  2.6670  2.6172  2.4415  2.2607  2.0858  1.9171  1.7560
  1.6029  1.4572  1.3183  1.1854
  3.5800  3.4976  3.4156  3.3350  3.2562  3.1788  3.1023  3.0267  2.9528  2.8808
  2.8096  2.7392  2.6834  2.6526  2.6036  2.4328  2.2532  2.0787  1.9101  1.7488
  1.5955  1.4496  1.3106  1.1776  1.0503  0.9278  0.8092  0.6942  0.5825  0.4731
  3.5614  3.4844  3.4071  3.3307  3.2557  3.1825  3.1104  3.0391  2.9687  2.8998
  2.8328  2.7665  2.7001  2.6558  2.6076  2.4298  2.2496  2.0751  1.9063  1.7444
  1.5905  1.4442  1.3049  1.1719  1.0446  0.9225  0.8046  0.6906  0.5802  0.4726
  0.3667
  3.5287  3.4582  3.3876  3.3175  3.2477  3.1788  3.1106  3.0430  2.9757  2.9089
  2.8432  2.7790  2.7153  2.6579  2.6135  2.4365  2.2521  2.0758  1.9059  1.7428
  1.5879  1.4409  1.3010  1.1676  1.0401  0.9179  0.8005  0.6872  0.5776  0.4713
  0.3675
  3.4819  3.4167  3.3525  3.2902  3.2279  3.1655  3.1024  3.0389  2.9748  2.9104
  2.8460  2.7822  2.7193  2.6589  2.6109  2.4420  2.2582  2.0795  1.9075  1.7418
  1.5849  1.4366  1.2959  1.1618  1.0337  0.9112  0.7936  0.6805  0.5714  0.4657
  0.3631
  3.4276  3.3648  3.3047  3.2487  3.1946  3.1400  3.0846  3.0272  2.9678  2.9070
  2.8449  2.7824  2.7199  2.6589  2.6034  2.4453  2.2670  2.0889  1.9164  1.7488
  1.5886  1.4380  1.2961  1.1611  1.0323  0.9092  0.7911  0.6778  0.5688  0.4636
  0.3596
  3.3674  3.3047  3.2470  3.1938  3.1447  3.0982  3.0511  3.0019  2.9497  2.8945
  2.8367  2.7771  2.7163  2.6556  2.5964  2.4430  2.2724  2.0977  1.9262  1.7588
