 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F360M
  0.4911  0.4010  0.3259  0.2817  0.2671  0.2655  0.2605  0.2432  0.2082  0.1524
  0.0853  0.0098 -0.0652 -0.1375 -0.2117 -0.3972 -0.5794 -0.7540 -0.9206
  0.5233  0.4357  0.3549  0.2877  0.2351  0.1961  0.1670  0.1419  0.1146  0.0806
  0.0361 -0.0211 -0.0890 -0.1618 -0.2360 -0.4203 -0.6005 -0.7741 -0.9400 -1.0987
  0.5418  0.4576  0.3755  0.2975  0.2257  0.1653  0.1181  0.0814  0.0511  0.0226
 -0.0117 -0.0564 -0.1149 -0.1839 -0.2565 -0.4389 -0.6173 -0.7900 -0.9555 -1.1135
 -1.2645
  0.5466  0.4667  0.3877  0.3111  0.2389  0.1731  0.1138  0.0617  0.0177 -0.0216
 -0.0581 -0.0961 -0.1429 -0.2038 -0.2732 -0.4530 -0.6298 -0.8017 -0.9671 -1.1247
 -1.2751 -1.4191
  0.5363  0.4629  0.3889  0.3154  0.2439  0.1764  0.1147  0.0592  0.0076 -0.0413
 -0.0879 -0.1330 -0.1764 -0.2270 -0.2896 -0.4640 -0.6388 -0.8097 -0.9752 -1.1331
 -1.2833 -1.4268 -1.5642 -1.6967
  0.5063  0.4421  0.3760  0.3086  0.2409  0.1743  0.1105  0.0513 -0.0030 -0.0544
 -0.1053 -0.1567 -0.2067 -0.2553 -0.3109 -0.4741 -0.6455 -0.8144 -0.9799 -1.1388
 -1.2894 -1.4328 -1.5698 -1.7014 -1.8283 -1.9510 -2.0703 -2.1864 -2.2994 -2.4094
  0.4537  0.4003  0.3446  0.2863  0.2257  0.1636  0.1014  0.0410 -0.0165 -0.0707
 -0.1229 -0.1753 -0.2290 -0.2806 -0.3342 -0.4869 -0.6517 -0.8173 -0.9814 -1.1412
 -1.2933 -1.4373 -1.5744 -1.7057 -1.8317 -1.9533 -2.0711 -2.1856 -2.2969 -2.4054
 -2.5116
  0.3813  0.3369  0.2919  0.2445  0.1936  0.1394  0.0828  0.0251 -0.0323 -0.0883
 -0.1424 -0.1954 -0.2488 -0.3026 -0.3553 -0.5023 -0.6596 -0.8202 -0.9810 -1.1403
