 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F360M
  0.4529  0.3625  0.2877  0.2436  0.2290  0.2277  0.2227  0.2058  0.1708  0.1148
  0.0478 -0.0278 -0.1025 -0.1750 -0.2493 -0.4351 -0.6168 -0.7920 -0.9587
  0.4852  0.3976  0.3169  0.2497  0.1971  0.1582  0.1292  0.1043  0.0770  0.0430
 -0.0014 -0.0586 -0.1265 -0.1994 -0.2736 -0.4580 -0.6381 -0.8118 -0.9778 -1.1364
  0.5038  0.4197  0.3376  0.2596  0.1878  0.1274  0.0803  0.0437  0.0134 -0.0150
 -0.0492 -0.0939 -0.1525 -0.2215 -0.2941 -0.4765 -0.6550 -0.8276 -0.9931 -1.1511
 -1.3021
  0.5087  0.4288  0.3498  0.2733  0.2011  0.1353  0.0760  0.0240 -0.0200 -0.0592
 -0.0956 -0.1337 -0.1805 -0.2413 -0.3108 -0.4906 -0.6675 -0.8394 -1.0047 -1.1624
 -1.3128 -1.4568
  0.4985  0.4251  0.3510  0.2776  0.2062  0.1387  0.0769  0.0215 -0.0300 -0.0789
 -0.1255 -0.1705 -0.2139 -0.2646 -0.3272 -0.5016 -0.6764 -0.8473 -1.0129 -1.1708
 -1.3210 -1.4644 -1.6019 -1.7344
  0.4685  0.4043  0.3382  0.2709  0.2032  0.1366  0.0728  0.0137 -0.0407 -0.0920
 -0.1429 -0.1943 -0.2443 -0.2929 -0.3485 -0.5117 -0.6831 -0.8521 -1.0176 -1.1764
 -1.3271 -1.4705 -1.6075 -1.7391 -1.8659 -1.9887 -2.1080 -2.2241 -2.3371 -2.4470
  0.4159  0.3626  0.3069  0.2485  0.1879  0.1259  0.0637  0.0034 -0.0542 -0.1084
 -0.1605 -0.2129 -0.2666 -0.3182 -0.3718 -0.5245 -0.6893 -0.8550 -1.0190 -1.1789
 -1.3309 -1.4750 -1.6121 -1.7433 -1.8694 -1.9910 -2.1088 -2.2233 -2.3346 -2.4431
 -2.5493
  0.3436  0.2992  0.2542  0.2068  0.1559  0.1017  0.0451 -0.0126 -0.0700 -0.1260
 -0.1800 -0.2330 -0.2864 -0.3402 -0.3929 -0.5399 -0.6972 -0.8579 -1.0186 -1.1779
 -1.3317 -1.4774 -1.6154 -1.7468 -1.8727 -1.9937 -2.1105 -2.2236 -2.3334 -2.4403
 -2.5448
  0.2590  0.2189  0.1814  0.1441  0.1038  0.0595  0.0112 -0.0401 -0.0937 -0.1482
 -0.2024 -0.2561 -0.3093 -0.3629 -0.4153 -0.5569 -0.7083 -0.8641 -1.0206 -1.1773
 -1.3317 -1.4797 -1.6195 -1.7520 -1.8783 -1.9993 -2.1158 -2.2282 -2.3370 -2.4426
 -2.5456
  0.1726  0.1318  0.0968  0.0653  0.0342 -0.0002 -0.0387 -0.0814 -0.1279 -0.1774
 -0.2286 -0.2808 -0.3332 -0.3859 -0.4382 -0.5738 -0.7185 -0.8689 -1.0211 -1.1738
 -1.3261 -1.4751 -1.6173 -1.7518 -1.8793 -2.0008 -2.1175 -2.2296 -2.3378 -2.4426
 -2.5463
  0.0868  0.0438  0.0078 -0.0231 -0.0504 -0.0769 -0.1064 -0.1398 -0.1775 -0.2192
 -0.2644 -0.3123 -0.3618 -0.4124 -0.4634 -0.5939 -0.7316 -0.8755 -1.0232 -1.1718
 -1.3206 -1.4680 -1.6115 -1.7485 -1.8782 -2.0012 -2.1187 -2.2312 -2.3394 -2.4439
 -2.5450
  0.0016 -0.0451 -0.0807 -0.1146 -0.1420 -0.1660 -0.1895 -0.2147 -0.2437 -0.2766
 -0.3135 -0.3543 -0.3984 -0.4448 -0.4909 -0.6172 -0.7476 -0.8839 -1.0269
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F360M
  0.4832  0.4295  0.3845  0.3468  0.3124  0.2780  0.2409  0.1995  0.1535  0.1009
  0.0399 -0.0289 -0.1019 -0.1760 -0.2526 -0.4344 -0.6139 -0.7891 -0.9559
  0.4559  0.3853  0.3262  0.2773  0.2362  0.1998  0.1645  0.1286  0.0908  0.0485
 -0.0017 -0.0623 -0.1315 -0.2044 -0.2779 -0.4597 -0.6372 -0.8097 -0.9754 -1.1339
  0.4744  0.3922  0.3184  0.2422  0.1857  0.1401  0.1018  0.0668  0.0329 -0.0024
