 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F150W2
  1.8358  1.8716  1.9324  1.9591  1.9386  1.9164  1.9268  1.9505  1.9576  1.9409
  1.9103  1.8696  1.8265  1.7815  1.7336  1.6075  1.4749  1.3416  1.2106
  1.8305  1.8304  1.8442  1.8578  1.8709  1.8846  1.8968  1.9042  1.9041  1.8949
  1.8754  1.8444  1.8040  1.7580  1.7098  1.5850  1.4562  1.3253  1.1957  1.0681
  1.8253  1.8075  1.7950  1.7947  1.8121  1.8343  1.8484  1.8550  1.8562  1.8518
  1.8387  1.8151  1.7797  1.7354  1.6877  1.5642  1.4384  1.3104  1.1826  1.0572
  0.9350
  1.8202  1.8029  1.7848  1.7698  1.7622  1.7655  1.7816  1.8029  1.8139  1.8116
  1.8002  1.7817  1.7536  1.7137  1.6673  1.5451  1.4215  1.2969  1.1714  1.0480
  0.9277  0.8105
  1.8044  1.7926  1.7772  1.7607  1.7459  1.7359  1.7329  1.7371  1.7474  1.7574
  1.7566  1.7433  1.7220  1.6900  1.6475  1.5275  1.4056  1.2839  1.1614  1.0397
  0.9208  0.8052  0.6928  0.5831
  1.7735  1.7697  1.7609  1.7486  1.7344  1.7204  1.7092  1.7024  1.6993  1.6982
  1.6973  1.6918  1.6776  1.6553  1.6223  1.5108  1.3906  1.2713  1.1519  1.0324
  0.9145  0.7999  0.6887  0.5805  0.4750  0.3719  0.2707  0.1703  0.0706 -0.0259
  1.7271  1.7315  1.7309  1.7258  1.7167  1.7047  1.6915  1.6795  1.6696  1.6614
  1.6526  1.6420  1.6281  1.6104  1.5854  1.4914  1.3764  1.2593  1.1427  1.0258
  0.9093  0.7952  0.6845  0.5771  0.4729  0.3713  0.2718  0.1743  0.0774 -0.0194
 -0.1136
  1.6680  1.6790  1.6861  1.6891  1.6872  1.6807  1.6705  1.6583  1.6456  1.6334
  1.6213  1.6074  1.5903  1.5701  1.5471  1.4657  1.3610  1.2477  1.1337  1.0196
  0.9051  0.7916  0.6809  0.5738  0.4701  0.3694  0.2712  0.1752  0.0809 -0.0128
 -0.1070
  1.6002  1.6157  1.6284  1.6383  1.6440  1.6448  1.6404  1.6317  1.6199  1.6066
  1.5928  1.5779  1.5606  1.5397  1.5158  1.4388  1.3423  1.2345  1.1234  1.0118
  0.8996  0.7873  0.6767  0.5691  0.4651  0.3645  0.2668  0.1718  0.0789 -0.0126
 -0.1037
  1.5250  1.5434  1.5603  1.5754  1.5877  1.5956  1.5984  1.5956  1.5880  1.5767
  1.5633  1.5485  1.5321  1.5129  1.4902  1.4162  1.3252  1.2229  1.1151  1.0058
  0.8961  0.7861  0.6764  0.5687  0.4641  0.3630  0.2653  0.1705  0.0784 -0.0117
 -0.1016
  1.4424  1.4642  1.4843  1.5029  1.5197  1.5336  1.5431  1.5474  1.5460  1.5396
  1.5292  1.5159  1.5007  1.4835  1.4637  1.3966  1.3090  1.2117  1.1073  1.0003
  0.8925  0.7846  0.6767  0.5697  0.4648  0.3630  0.2645  0.1694  0.0772 -0.0124
 -0.1000
  1.3525  1.3781  1.4016  1.4224  1.4425  1.4605  1.4753  1.4861  1.4917  1.4918
  1.4869  1.4776  1.4650  1.4501  1.4363  1.3800  1.2937  1.2009  1.1000
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =F150W2
  1.9081  1.9229  1.9392  1.9553  1.9686  1.9770  1.9789  1.9732  1.9597  1.9381
  1.9080  1.8699  1.8262  1.7795  1.7300  1.6048  1.4759  1.3437  1.2115
  1.8714  1.8786  1.8897  1.9026  1.9149  1.9243  1.9290  1.9277  1.9197  1.9043
  1.8802  1.8465  1.8047  1.7581  1.7095  1.5844  1.4569  1.3276  1.1981  1.0706
  1.8501  1.8379  1.8393  1.8559  1.8652  1.8735  1.8792  1.8807  1.8770  1.8673
  1.8499  1.8229  1.7855  1.7403  1.6918  1.5668  1.4404  1.3134  1.1862  1.0609
  0.9385
  1.8432  1.8176  1.8064  1.8073  1.8153  1.8259  1.8350  1.8394  1.8370  1.8294
  1.8163  1.7959  1.7657  1.7244  1.6769  1.5520  1.4264  1.3011  1.1758  1.0523
  0.9319  0.8145
  1.8455  1.8245  1.8022  1.7880  1.7817  1.7810  1.7838  1.7883  1.7932  1.7948
  1.7847  1.7669  1.7421  1.7078  1.6634  1.5397  1.4145  1.2904  1.1669  1.0448
  0.9256  0.8097  0.6970  0.5870
  1.8402  1.8230  1.8021  1.7796  1.7581  1.7406  1.7289  1.7237  1.7249  1.7326
  1.7383  1.7317  1.7142  1.6868  1.6489  1.5290  1.4042  1.2811  1.1592  1.0384
  0.9200  0.8049  0.6933  0.5848  0.4789  0.3754  0.2737  0.1730  0.0732 -0.0232
  1.8217  1.8115  1.7956  1.7762  1.7551  1.7342  1.7155  1.7009  1.6904  1.6828
  1.6780  1.6752  1.6678  1.6517  1.6251  1.5185  1.3952  1.2728  1.1523  1.0330
  0.9155  0.8007  0.6896  0.5819  0.4772  0.3752  0.2752  0.1772  0.0801 -0.0167
 -0.1108
  1.7890  1.7859  1.7771  1.7638  1.7471  1.7282  1.7084  1.6895  1.6726  1.6578
  1.6444  1.6309  1.6177  1.6035  1.5850  1.5020  1.3864  1.2653  1.1460  1.0284
  0.9120  0.7977  0.6865  0.5790  0.4748  0.3737  0.2750  0.1786  0.0838 -0.0102
 -0.1043
  1.7422  1.7470  1.7450  1.7386  1.7281  1.7142  1.6976  1.6792  1.6602  1.6415
  1.6236  1.6053  1.5859  1.5654  1.5445  1.4739  1.3725  1.2563  1.1384  1.0223
  0.9075  0.7940  0.6827  0.5746  0.4702  0.3692  0.2711  0.1755  0.0821 -0.0098
 -0.1011
  1.6849  1.6953  1.6998  1.7000  1.6963  1.6888  1.6776  1.6631  1.6458  1.6268
  1.6070  1.5866  1.5651  1.5418  1.5169  1.4458  1.3548  1.2470  1.1327  1.0184
  0.9054  0.7934  0.6828  0.5745  0.4695  0.3681  0.2698  0.1746  0.0820 -0.0086
 -0.0990
  1.6210  1.6345  1.6440  1.6496  1.6519  1.6507  1.6457  1.6368  1.6238  1.6075
  1.5887  1.5681  1.5462  1.5227  1.4971  1.4235  1.3362  1.2356  1.1262  1.0144
  0.9031  0.7928  0.6837  0.5759  0.4705  0.3682  0.2693  0.1737  0.0811 -0.0090
 -0.0970
  1.5512  1.5671  1.5800  1.5900  1.5971  1.6011  1.6018  1.5988  1.5914  1.5797
  1.5643  1.5458  1.5251  1.5025  1.4851  1.4070  1.3167  1.2221  1.1189
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =F150W2
  1.9757  1.9916  2.0075  2.0220  2.0320  2.0346  2.0275  2.0096  1.9832  1.9499
  1.9107  1.8669  1.8207  1.7734  1.7252  1.6017  1.4752  1.3462  1.2156
  1.9368  1.9491  1.9630  1.9765  1.9869  1.9912  1.9871  1.9732  1.9519  1.9239
  1.8894  1.8485  1.8031  1.7554  1.7066  1.5824  1.4567  1.3299  1.2024  1.0755
  1.9028  1.9097  1.9199  1.9308  1.9402  1.9457  1.9445  1.9350  1.9186  1.8961
  1.8672  1.8314  1.7888  1.7418  1.6928  1.5676  1.4419  1.3164  1.1911  1.0665
  0.9442
  1.8799  1.8734  1.8763  1.8867  1.8953  1.9006  1.9010  1.8952  1.8830  1.8653
  1.8421  1.8124  1.7751  1.7307  1.6823  1.5566  1.4305  1.3056  1.1816  1.0587
  0.9382  0.8206
  1.8713  1.8525  1.8414  1.8371  1.8390  1.8465  1.8560  1.8563  1.8482  1.8338
  1.8144  1.7897  1.7587  1.7196  1.6735  1.5483  1.4218  1.2971  1.1739  1.0522
  0.9328  0.8165  0.7034  0.5928
  1.8750  1.8538  1.8319  1.8118  1.7964  1.7864  1.7840  1.7896  1.7964  1.7969
  1.7862  1.7659  1.7389  1.7057  1.6645  1.5418  1.4153  1.2906  1.1678  1.0469
  0.9282  0.8126  0.7005  0.5914  0.4849  0.3807  0.2784  0.1772  0.0773 -0.0189
  1.8759  1.8563  1.8337  1.8096  1.7861  1.7655  1.7491  1.7372  1.7293  1.7267
  1.7286  1.7260  1.7120  1.6867  1.6522  1.5363  1.4101  1.2854  1.1630  1.0428
  0.9246  0.8093  0.6976  0.5892  0.4839  0.3812  0.2806  0.1818  0.0843 -0.0124
 -0.1062
  1.8687  1.8537  1.8338  1.8106  1.7854  1.7602  1.7366  1.7162  1.6990  1.6845
  1.6724  1.6637  1.6573  1.6464  1.6257  1.5300  1.4059  1.2814  1.1593  1.0397
  0.9235  0.8070  0.6953  0.5870  0.4823  0.3804  0.2810  0.1839  0.0886 -0.0059
 -0.0999
  1.8475  1.8400  1.8262  1.8067  1.7838  1.7588  1.7334  1.7086  1.6856  1.6647
  1.6454  1.6269  1.6096  1.5942  1.5788  1.5111  1.3998  1.2764  1.1547  1.0356
  0.9189  0.8041  0.6920  0.5833  0.4783  0.3766  0.2777  0.1814  0.0873 -0.0052
 -0.0967
  1.8129  1.8125  1.8064  1.7928  1.7747  1.7533  1.7297  1.7051  1.6801  1.6556
  1.6319  1.6087  1.5855  1.5623  1.5397  1.4792  1.3882  1.2727  1.1523  1.0341
  0.9184  0.8045  0.6928  0.5838  0.4781  0.3760  0.2771  0.1812  0.0878 -0.0034
 -0.0943
  1.7674  1.7729  1.7724  1.7662  1.7542  1.7381  1.7189  1.6973  1.6739  1.6493
  1.6239  1.5981  1.5719  1.5451  1.5177  1.4483  1.3673  1.2648  1.1495  1.0327
  0.9180  0.8053  0.6945  0.5856  0.4795  0.3767  0.2771  0.1809  0.0875 -0.0033
 -0.0920
  1.7132  1.7236  1.7282  1.7275  1.7216  1.7114  1.6976  1.6807  1.6611  1.6391
  1.6151  1.5893  1.5622  1.5339  1.5128  1.4184  1.3371  1.2527  1.1463
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =F150W2
  2.0551  2.0717  2.0866  2.0981  2.1041  2.1009  2.0851  2.0549  2.0135  1.9656
  1.9149  1.8641  1.8143  1.7654  1.7171  1.5958  1.4732  1.3478  1.2203
  2.0153  2.0310  2.0460  2.0588  2.0664  2.0665  2.0554  2.0300  1.9938  1.9501
  1.9019  1.8517  1.8014  1.7516  1.7023  1.5792  1.4558  1.3319  1.2072  1.0821
  1.9766  1.9892  2.0027  2.0155  2.0252  2.0287  2.0224  2.0028  1.9725  1.9341
  1.8899  1.8420  1.7923  1.7423  1.6923  1.5674  1.4431  1.3196  1.1966  1.0738
  0.9521
  1.9419  1.9498  1.9602  1.9713  1.9811  1.9868  1.9852  1.9719  1.9477  1.9151
  1.8762  1.8323  1.7849  1.7355  1.6854  1.5594  1.4341  1.3104  1.1881  1.0669
  0.9470  0.8292
  1.9083  1.9085  1.9165  1.9269  1.9365  1.9430  1.9442  1.9367  1.9186  1.8921
  1.8589  1.8201  1.7767  1.7297  1.6804  1.5541  1.4279  1.3037  1.1816  1.0612
  0.9426  0.8262  0.7126  0.6014
  1.9001  1.8842  1.8739  1.8717  1.8775  1.8882  1.8965  1.8962  1.8854  1.8650
  1.8374  1.8040  1.7656  1.7227  1.6758  1.5506  1.4239  1.2992  1.1769  1.0569
  0.9391  0.8235  0.7109  0.6011  0.4938  0.3888  0.2856  0.1837  0.0834 -0.0125
  1.9019  1.8819  1.8623  1.8457  1.8341  1.8278  1.8256  1.8261  1.8265  1.8217
  1.8074  1.7828  1.7504  1.7124  1.6697  1.5481  1.4214  1.2962  1.1738  1.0539
  0.9365  0.8214  0.7092  0.6001  0.4939  0.3903  0.2888  0.1891  0.0908 -0.0061
 -0.0994
  1.9047  1.8846  1.8626  1.8400  1.8189  1.8004  1.7853  1.7725  1.7604  1.7491
  1.7403  1.7321  1.7179  1.6933  1.6588  1.5458  1.4199  1.2945  1.1719  1.0521
  0.9349  0.8201  0.7080  0.5991  0.4934  0.3906  0.2902  0.1921  0.0957  0.0007
 -0.0946
  1.9044  1.8869  1.8656  1.8419  1.8168  1.7918  1.7681  1.7464  1.7263  1.7067
  1.6875  1.6697  1.6553  1.6422  1.6243  1.5396  1.4176  1.2922  1.1694  1.0496
  0.9325  0.8178  0.7056  0.5964  0.4905  0.3878  0.2879  0.1906  0.0955  0.0021
 -0.0901
  1.8957  1.8828  1.8657  1.8439  1.8189  1.7919  1.7642  1.7369  1.7108  1.6858
  1.6616  1.6376  1.6142  1.5925  1.5733  1.5157  1.4156  1.2923  1.1697  1.0500
  0.9333  0.8190  0.7070  0.5975  0.4911  0.3881  0.2883  0.1913  0.0970  0.0046
 -0.0859
  1.8744  1.8680  1.8562  1.8394  1.8178  1.7923  1.7643  1.7353  1.7060  1.6772
  1.6491  1.6214  1.5940  1.5666  1.5399  1.4779  1.4000  1.2914  1.1703  1.0510
  0.9347  0.8209  0.7093  0.5999  0.4931  0.3895  0.2891  0.1919  0.0976  0.0057
 -0.0840
  1.8408  1.8404  1.8349  1.8238  1.8078  1.7865  1.7613  1.7337  1.7045  1.6746
  1.6445  1.6143  1.5840  1.5537  1.5241  1.4262  1.3708  1.2895  1.1712
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =F150W2
  2.0939  2.1110  2.1255  2.1353  2.1380  2.1306  2.1106  2.0759  2.0273  1.9731
  1.9178  1.8636  1.8117  1.7615  1.7127  1.5920  1.4707  1.3477  1.2223
  2.0552  2.0724  2.0878  2.0997  2.1054  2.1027  2.0878  2.0569  2.0136  1.9627
