 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F480M
 -4.7602 -4.8549 -4.9425 -5.0062 -5.0418 -5.0621 -5.0842 -5.1179 -5.1683 -5.2360
 -5.3058 -5.3773 -5.4489 -5.5175 -5.5865 -5.7534 -5.9058 -6.0537 -6.1915
 -4.7198 -4.8074 -4.8940 -4.9734 -5.0435 -5.1040 -5.1562 -5.2029 -5.2484 -5.2955
 -5.3463 -5.4032 -5.4672 -5.5363 -5.6066 -5.7762 -5.9311 -6.0768 -6.2266 -6.3824
 -4.6961 -4.7776 -4.8610 -4.9453 -5.0296 -5.1090 -5.1792 -5.2393 -5.2907 -5.3354
 -5.3800 -5.4283 -5.4844 -5.5501 -5.6199 -5.7914 -5.9497 -6.0958 -6.2513 -6.4094
 -6.5611
 -4.6891 -4.7655 -4.8435 -4.9219 -5.0001 -5.0771 -5.1532 -5.2271 -5.2952 -5.3557
 -5.4069 -5.4526 -5.5005 -5.5589 -5.6264 -5.7990 -5.9616 -6.1107 -6.2655 -6.4228
 -6.5742 -6.7188
 -4.6979 -4.7684 -4.8407 -4.9139 -4.9873 -5.0600 -5.1312 -5.2006 -5.2698 -5.3391
 -5.4061 -5.4663 -5.5168 -5.5686 -5.6307 -5.8018 -5.9680 -6.1215 -6.2760 -6.4326
 -6.5838 -6.7283 -6.8662 -6.9985
 -4.7244 -4.7871 -4.8522 -4.9192 -4.9873 -5.0559 -5.1241 -5.1910 -5.2565 -5.3217
 -5.3883 -5.4562 -5.5193 -5.5745 -5.6348 -5.8021 -5.9701 -6.1277 -6.2829 -6.4394
 -6.5908 -6.7354 -6.8733 -7.0053 -7.1320 -7.2540 -7.3723 -7.4870 -7.5984 -7.7075
 -4.7703 -4.8243 -4.8803 -4.9390 -5.0001 -5.0631 -5.1274 -5.1918 -5.2557 -5.3189
 -5.3819 -5.4464 -5.5127 -5.5725 -5.6329 -5.8011 -5.9693 -6.1296 -6.2859 -6.4432
 -6.5955 -6.7405 -6.8787 -7.0107 -7.1372 -7.2587 -7.3760 -7.4894 -7.5995 -7.7068
 -7.8122
 -4.8331 -4.8806 -4.9276 -4.9761 -5.0280 -5.0832 -5.1415 -5.2016 -5.2628 -5.3244
 -5.3858 -5.4474 -5.5103 -5.5725 -5.6306 -5.7975 -5.9662 -6.1279 -6.2850 -6.4432
 -6.5974 -6.7437 -6.8825 -7.0149 -7.1415 -7.2629 -7.3797 -7.4924 -7.6014 -7.7073
 -7.8107
 -4.9065 -4.9519 -4.9937 -5.0330 -5.0746 -5.1199 -5.1697 -5.2232 -5.2797 -5.3381
 -5.3975 -5.4573 -5.5177 -5.5784 -5.6354 -5.7963 -5.9633 -6.1260 -6.2835 -6.4419
 -6.5984 -6.7471 -6.8873 -7.0206 -7.1477 -7.2694 -7.3863 -7.4987 -7.6073 -7.7123
 -7.8145
 -4.9813 -5.0286 -5.0702 -5.1056 -5.1385 -5.1740 -5.2133 -5.2577 -5.3068 -5.3595
 -5.4149 -5.4719 -5.5298 -5.5882 -5.6454 -5.7974 -5.9592 -6.1206 -6.2780 -6.4349
 -6.5920 -6.7435 -6.8862 -7.0209 -7.1490 -7.2713 -7.3886 -7.5011 -7.6095 -7.7142
 -7.8175
 -5.0553 -5.1064 -5.1500 -5.1870 -5.2181 -5.2458 -5.2757 -5.3098 -5.3492 -5.3935
 -5.4422 -5.4942 -5.5485 -5.6040 -5.6599 -5.8046 -5.9590 -6.1166 -6.2728 -6.4279
 -6.5833 -6.7359 -6.8816 -7.0190 -7.1487 -7.2721 -7.3902 -7.5033 -7.6119 -7.7166
 -7.8178
 -5.1286 -5.1853 -5.2293 -5.2710 -5.3039 -5.3307 -5.3549 -5.3801 -5.4096 -5.4440
 -5.4835 -5.5279 -5.5761 -5.6272 -5.6789 -5.8179 -5.9627 -6.1140 -6.2679
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F480M
 -4.7454 -4.8056 -4.8605 -4.9112 -4.9602 -5.0109 -5.0665 -5.1284 -5.1935 -5.2591
 -5.3259 -5.3950 -5.4658 -5.5374 -5.6162 -5.7837 -5.9312 -6.0729 -6.2096
 -4.7604 -4.8334 -4.8993 -4.9594 -5.0154 -5.0694 -5.1246 -5.1832 -5.2433 -5.3031
 -5.3634 -5.4266 -5.4938 -5.5641 -5.6347 -5.8042 -5.9568 -6.0986 -6.2362 -6.3888
 -4.7328 -4.8126 -4.8900 -4.9745 -5.0446 -5.1074 -5.1652 -5.2217 -5.2784 -5.3341
 -5.3891 -5.4457 -5.5072 -5.5749 -5.6453 -5.8165 -5.9743 -6.1182 -6.2573 -6.4079
 -6.5578
 -4.6978 -4.7780 -4.8607 -4.9449 -5.0279 -5.1067 -5.1790 -5.2438 -5.3029 -5.3582
 -5.4110 -5.4627 -5.5170 -5.5792 -5.6480 -5.8206 -5.9837 -6.1317 -6.2729 -6.4218
 -6.5714 -6.7158
 -4.6862 -4.7618 -4.8396 -4.9190 -4.9987 -5.0774 -5.1542 -5.2282 -5.2988 -5.3648
 -5.4239 -5.4776 -5.5290 -5.5833 -5.6476 -5.8202 -5.9874 -6.1404 -6.2842 -6.4319
 -6.5809 -6.7251 -6.8631 -6.9955
 -4.6889 -4.7596 -4.8326 -4.9076 -4.9835 -5.0590 -5.1326 -5.2035 -5.2727 -5.3422
 -5.4116 -5.4773 -5.5357 -5.5902 -5.6483 -5.8172 -5.9870 -6.1448 -6.2920 -6.4392
 -6.5877 -6.7319 -6.8699 -7.0020 -7.1289 -7.2513 -7.3700 -7.4851 -7.5966 -7.7053
 -4.7046 -4.7701 -4.8378 -4.9077 -4.9791 -5.0510 -5.1224 -5.1921 -5.2595 -5.3251
 -5.3909 -5.4586 -5.5260 -5.5874 -5.6475 -5.8133 -5.9840 -6.1454 -6.2961 -6.4439
 -6.5923 -6.7368 -6.8750 -7.0072 -7.1338 -7.2556 -7.3733 -7.4872 -7.5975 -7.7047
 -7.8100
 -4.7369 -4.7949 -4.8560 -4.9197 -4.9854 -5.0525 -5.1204 -5.1880 -5.2546 -5.3195
 -5.3831 -5.4469 -5.5126 -5.5773 -5.6390 -5.8081 -5.9792 -6.1428 -6.2965 -6.4456
 -6.5946 -6.7398 -6.8786 -7.0111 -7.1379 -7.2595 -7.3767 -7.4898 -7.5992 -7.7053
 -7.8086
 -4.7876 -4.8372 -4.8905 -4.9465 -5.0052 -5.0660 -5.1286 -5.1924 -5.2568 -5.3209
 -5.3840 -5.4466 -5.5093 -5.5728 -5.6338 -5.8012 -5.9744 -6.1400 -6.2961 -6.4465
 -6.5966 -6.7433 -6.8832 -7.0165 -7.1438 -7.2657 -7.3829 -7.4957 -7.6047 -7.7101
 -7.8124
 -4.8503 -4.8956 -4.9417 -4.9895 -5.0396 -5.0923 -5.1477 -5.2056 -5.2655 -5.3268
 -5.3884 -5.4501 -5.5116 -5.5731 -5.6337 -5.7940 -5.9653 -6.1323 -6.2903 -6.4417
 -6.5920 -6.7403 -6.8822 -7.0168 -7.1449 -7.2674 -7.3849 -7.4978 -7.6066 -7.7117
 -7.8153
 -4.9180 -4.9651 -5.0077 -5.0491 -5.0915 -5.1355 -5.1823 -5.2320 -5.2853 -5.3413
 -5.3995 -5.4589 -5.5189 -5.5788 -5.6386 -5.7922 -5.9581 -6.1238 -6.2831 -6.4352
 -6.5851 -6.7340 -6.8781 -7.0149 -7.1445 -7.2680 -7.3863 -7.4997 -7.6086 -7.7138
 -7.8153
 -4.9892 -5.0379 -5.0816 -5.1210 -5.1582 -5.1954 -5.2340 -5.2750 -5.3197 -5.3682
 -5.4202 -5.4752 -5.5320 -5.5898 -5.6485 -5.7958 -5.9528 -6.1145 -6.2745
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F480M
 -4.7237 -4.7797 -4.8309 -4.8783 -4.9256 -4.9779 -5.0399 -5.1127 -5.1885 -5.2642
 -5.3393 -5.4142 -5.4887 -5.5622 -5.6340 -5.8039 -5.9550 -6.0910 -6.2251
 -4.7573 -4.8195 -4.8762 -4.9283 -4.9782 -5.0304 -5.0893 -5.1583 -5.2298 -5.3011
 -5.3722 -5.4436 -5.5161 -5.5890 -5.6609 -5.8316 -5.9847 -6.1241 -6.2555 -6.3904
 -4.7655 -4.8374 -4.9017 -4.9600 -5.0140 -5.0666 -5.1228 -5.1872 -5.2550 -5.3228
 -5.3900 -5.4573 -5.5264 -5.5977 -5.6694 -5.8412 -5.9996 -6.1433 -6.2762 -6.4116
 -6.5555
 -4.7342 -4.8134 -4.8964 -4.9703 -5.0354 -5.0939 -5.1498 -5.2099 -5.2742 -5.3390
 -5.4029 -5.4662 -5.5306 -5.5985 -5.6692 -5.8422 -6.0055 -6.1544 -6.2907 -6.4267
 -6.5689 -6.7117
 -4.6955 -4.7757 -4.8578 -4.9395 -5.0186 -5.0933 -5.1620 -5.2251 -5.2885 -5.3520
 -5.4143 -5.4751 -5.5352 -5.5978 -5.6655 -5.8389 -6.0058 -6.1600 -6.3007 -6.4377
 -6.5786 -6.7207 -6.8585 -6.9911
 -4.6822 -4.7566 -4.8330 -4.9111 -4.9896 -5.0662 -5.1406 -5.2132 -5.2839 -5.3524
 -5.4184 -5.4812 -5.5411 -5.5998 -5.6622 -5.8334 -6.0028 -6.1615 -6.3069 -6.4455
 -6.5858 -6.7273 -6.8649 -6.9971 -7.1244 -7.2472 -7.3664 -7.4821 -7.5941 -7.7025
 -4.6828 -4.7529 -4.8243 -4.8981 -4.9735 -5.0493 -5.1236 -5.1951 -5.2643 -5.3330
 -5.4028 -5.4722 -5.5387 -5.6013 -5.6618 -5.8272 -5.9978 -6.1600 -6.3098 -6.4508
 -6.5909 -6.7320 -6.8696 -7.0019 -7.1288 -7.2510 -7.3692 -7.4837 -7.5947 -7.7020
 -7.8067
 -4.6928 -4.7591 -4.8265 -4.8959 -4.9675 -5.0404 -5.1134 -5.1850 -5.2543 -5.3212
 -5.3871 -5.4539 -5.5222 -5.5899 -5.6557 -5.8214 -5.9917 -6.1562 -6.3097 -6.4534
 -6.5969 -6.7350 -6.8729 -7.0054 -7.1324 -7.2543 -7.3720 -7.4858 -7.5958 -7.7023
 -7.8055
 -4.7147 -4.7752 -4.8379 -4.9032 -4.9707 -5.0400 -5.1102 -5.1803 -5.2494 -5.3167
 -5.3821 -5.4465 -5.5113 -5.5771 -5.6432 -5.8147 -5.9871 -6.1530 -6.3093 -6.4558
 -6.5977 -6.7388 -6.8772 -7.0104 -7.1379 -7.2601 -7.3778 -7.4911 -7.6007 -7.7068
 -7.8094
 -4.7494 -4.8033 -4.8595 -4.9192 -4.9817 -5.0465 -5.1127 -5.1797 -5.2469 -5.3136
 -5.3791 -5.4434 -5.5068 -5.5703 -5.6340 -5.8016 -5.9772 -6.1457 -6.3040 -6.4528
 -6.5957 -6.7372 -6.8764 -7.0105 -7.1387 -7.2615 -7.3794 -7.4927 -7.6021 -7.7077
 -7.8120
 -4.7971 -4.8453 -4.8957 -4.9484 -5.0047 -5.0635 -5.1244 -5.1869 -5.2506 -5.3150
 -5.3793 -5.4432 -5.5064 -5.5690 -5.6314 -5.7920 -5.9648 -6.1356 -6.2968 -6.4476
 -6.5915 -6.7332 -6.8732 -7.0087 -7.1381 -7.2618 -7.3804 -7.4942 -7.6036 -7.7093
 -7.8114
 -4.8580 -4.9026 -4.9476 -4.9936 -5.0426 -5.0944 -5.1487 -5.2050 -5.2633 -5.3234
 -5.3847 -5.4468 -5.5091 -5.5712 -5.6354 -5.7859 -5.9499 -6.1227 -6.2877
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = F480M
 -4.6950 -4.7485 -4.7986 -4.8474 -4.8985 -4.9558 -5.0227 -5.1000 -5.1821 -5.2649
 -5.3468 -5.4273 -5.5059 -5.5822 -5.6558 -5.8288 -5.9835 -6.1183 -6.2445
 -4.7366 -4.7948 -4.8488 -4.8996 -4.9503 -5.0041 -5.0649 -5.1382 -5.2164 -5.2964
 -5.3762 -5.4554 -5.5333 -5.6095 -5.6835 -5.8575 -6.0127 -6.1526 -6.2804 -6.4050
 -4.7611 -4.8240 -4.8816 -4.9347 -4.9849 -5.0354 -5.0908 -5.1589 -5.2331 -5.3098
 -5.3872 -5.4643 -5.5409 -5.6165 -5.6905 -5.8655 -6.0249 -6.1699 -6.3007 -6.4268
 -6.5575
 -4.7664 -4.8375 -4.9015 -4.9592 -5.0118 -5.0617 -5.1125 -5.1738 -5.2436 -5.3167
 -5.3910 -5.4656 -5.5400 -5.6143 -5.6880 -5.8641 -6.0273 -6.1776 -6.3132 -6.4418
 -6.5722 -6.7076
 -4.7291 -4.8155 -4.8961 -4.9676 -5.0295 -5.0840 -5.1345 -5.1890 -5.2536 -5.3226
 -5.3936 -5.4652 -5.5369 -5.6090 -5.6814 -5.8582 -6.0243 -6.1795 -6.3205 -6.4521
 -6.5828 -6.7170 -6.8524 -6.9847
 -4.6908 -4.7718 -4.8540 -4.9353 -5.0129 -5.0844 -5.1470 -5.2030 -5.2639 -5.3297
 -5.3976 -5.4662 -5.5350 -5.6040 -5.6741 -5.8503 -6.0186 -6.1777 -6.3238 -6.4589
 -6.5905 -6.7238 -6.8584 -6.9902 -7.1177 -7.2410 -7.3609 -7.4773 -7.5903 -7.6991
 -4.6768 -4.7511 -4.8271 -4.9045 -4.9820 -5.0573 -5.1284 -5.1947 -5.2602 -5.3287
 -5.3982 -5.4671 -5.5348 -5.6015 -5.6687 -5.8417 -6.0114 -6.1735 -6.3241 -6.4628
 -6.5958 -6.7289 -6.8627 -6.9943 -7.1214 -7.2441 -7.3629 -7.4782 -7.5902 -7.6985
 -7.8030
 -4.6778 -4.7477 -4.8184 -4.8908 -4.9647 -5.0391 -5.1119 -5.1813 -5.2478 -5.3146
 -5.3839 -5.4555 -5.5272 -5.5973 -5.6651 -5.8336 -6.0037 -6.1678 -6.3219 -6.4643
