 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  i   
 -2.0367 -1.9901 -1.9927 -1.9727 -1.9164 -1.8666 -1.8583 -1.8701 -1.8632 -1.8238
 -1.7667 -1.6966 -1.6242 -1.5572 -1.4950 -1.3720 -1.3003 -1.2692 -1.2568
 -2.0108 -1.9191 -1.8645 -1.8253 -1.7985 -1.7834 -1.7757 -1.7689 -1.7572 -1.7374
 -1.7070 -1.6641 -1.6094 -1.5498 -1.4935 -1.3832 -1.3185 -1.2914 -1.2854 -1.2948
 -1.9933 -1.8812 -1.7962 -1.7406 -1.7161 -1.7077 -1.6994 -1.6894 -1.6798 -1.6701
 -1.6543 -1.6297 -1.5918 -1.5427 -1.4930 -1.3937 -1.3346 -1.3105 -1.3084 -1.3184
 -1.3361
 -1.9842 -1.8764 -1.7878 -1.7186 -1.6692 -1.6395 -1.6294 -1.6316 -1.6310 -1.6219
 -1.6086 -1.5934 -1.5714 -1.5359 -1.4935 -1.4035 -1.3486 -1.3265 -1.3259 -1.3362
 -1.3531 -1.3750
 -1.9587 -1.8638 -1.7824 -1.7140 -1.6589 -1.6176 -1.5898 -1.5741 -1.5689 -1.5691
 -1.5647 -1.5542 -1.5422 -1.5219 -1.4899 -1.4100 -1.3586 -1.3380 -1.3395 -1.3512
 -1.3683 -1.3895 -1.4143 -1.4427
 -1.9076 -1.8300 -1.7619 -1.7021 -1.6503 -1.6067 -1.5724 -1.5473 -1.5301 -1.5189
 -1.5119 -1.5055 -1.4978 -1.4897 -1.4727 -1.4105 -1.3630 -1.3434 -1.3473 -1.3621
 -1.3812 -1.4031 -1.4276 -1.4548 -1.4846 -1.5172 -1.5534 -1.5955 -1.6442 -1.6951
 -1.8313 -1.7715 -1.7191 -1.6724 -1.6298 -1.5911 -1.5570 -1.5284 -1.5060 -1.4889
 -1.4752 -1.4635 -1.4530 -1.4463 -1.4377 -1.3996 -1.3609 -1.3425 -1.3479 -1.3669
 -1.3899 -1.4142 -1.4401 -1.4674 -1.4964 -1.5272 -1.5607 -1.5972 -1.6396 -1.6893
 -1.7419
 -1.7370 -1.6924 -1.6544 -1.6214 -1.5910 -1.5619 -1.5337 -1.5071 -1.4836 -1.4642
 -1.4481 -1.4342 -1.4214 -1.4102 -1.4024 -1.3757 -1.3503 -1.3357 -1.3418 -1.3639
 -1.3920 -1.4209 -1.4497 -1.4788 -1.5085 -1.5390 -1.5710 -1.6051 -1.6422 -1.6847
 -1.7355
 -1.6312 -1.5997 -1.5732 -1.5514 -1.5326 -1.5146 -1.4958 -1.4760 -1.4561 -1.4377
 -1.4215 -1.4077 -1.3952 -1.3834 -1.3743 -1.3504 -1.3325 -1.3239 -1.3309 -1.3545
 -1.3869 -1.4213 -1.4549 -1.4876 -1.5197 -1.5515 -1.5837 -1.6166 -1.6513 -1.6890
 -1.7322
 -1.5223 -1.5005 -1.4833 -1.4698 -1.4598 -1.4514 -1.4426 -1.4318 -1.4192 -1.4054
 -1.3918 -1.3795 -1.3687 -1.3588 -1.3501 -1.3292 -1.3140 -1.3095 -1.3176 -1.3406
 -1.3747 -1.4134 -1.4525 -1.4902 -1.5262 -1.5609 -1.5949 -1.6286 -1.6626 -1.6979
 -1.7354
 -1.4122 -1.3983 -1.3884 -1.3815 -1.3778 -1.3763 -1.3755 -1.3736 -1.3696 -1.3633
 -1.3553 -1.3467 -1.3386 -1.3314 -1.3251 -1.3104 -1.2973 -1.2949 -1.3043 -1.3262
 -1.3595 -1.3997 -1.4428 -1.4856 -1.5268 -1.5658 -1.6032 -1.6392 -1.6744 -1.7096
 -1.7457
 -1.3009 -1.2931 -1.2921 -1.2898 -1.2911 -1.2946 -1.2993 -1.3042 -1.3080 -1.3099
 -1.3094 -1.3069 -1.3034 -1.2997 -1.2993 -1.2940 -1.2824 -1.2801 -1.2910
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  i   
 -2.3091 -2.2292 -2.1645 -2.1108 -2.0656 -2.0238 -1.9801 -1.9311 -1.8778 -1.8222
 -1.7621 -1.6969 -1.6285 -1.5623 -1.4970 -1.3771 -1.3006 -1.2645 -1.2576
 -2.1809 -2.0884 -2.0169 -1.9619 -1.9193 -1.8854 -1.8560 -1.8249 -1.7917 -1.7561
 -1.7157 -1.6681 -1.6129 -1.5551 -1.5007 -1.3913 -1.3211 -1.2872 -1.2806 -1.2898
 -2.1145 -1.9950 -1.9103 -1.8607 -1.8176 -1.7861 -1.7623 -1.7413 -1.7205 -1.6985
