 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F444W
  4.2334  4.2791  4.2015  3.7578  2.9401  2.3548  2.3619  2.4172  2.4655  2.5262
  2.3530  2.2557  2.3933  2.6098  2.6889  2.5257
  3.8098  3.8485  3.8419  3.6630  3.2973  2.9995  2.9167  2.8354  2.7614  2.7135
  2.6134  2.5675  2.6170  2.6895  2.6966  2.5095  2.3343  2.1710  1.9746
  3.5779  3.5739  3.5702  3.5146  3.3990  3.2733  3.1653  3.0424  2.9294  2.8407
  2.7797  2.7492  2.7376  2.7216  2.6825  2.4950  2.3169  2.1376  1.9570  1.7834
  1.6596
  3.5377  3.4553  3.3864  3.3126  3.2451  3.1763  3.1077  3.0382  2.9694  2.9076
  2.8521  2.8006  2.7551  2.7061  2.6466  2.4822  2.2908  2.1180  1.9508  1.7908
  1.6390  1.4938  1.3549
  3.4358  3.3788  3.3258  3.2678  3.2079  3.1446  3.0794  3.0132  2.9467  2.8814
  2.8202  2.7639  2.7122  2.6621  2.6094  2.4607  2.2833  2.1057  1.9375  1.7783
  1.6269  1.4824  1.3442  1.2113  1.0829
  3.3319  3.2920  3.2512  3.2067  3.1568  3.1019  3.0430  2.9820  2.9199  2.8575
  2.7961  2.7372  2.6820  2.6320  2.5789  2.4393  2.2751  2.0978  1.9283  1.7687
  1.6173  1.4731  1.3353  1.2031  1.0759  0.9529
  3.2260  3.1949  3.1626  3.1293  3.0918  3.0482  2.9985  2.9446  2.8881  2.8301
  2.7715  2.7137  2.6581  2.6065  2.5551  2.4180  2.2662  2.0943  1.9232  1.7620
  1.6102  1.4659  1.3283  1.1965  1.0701  0.9481  0.8299  0.7152  0.6035  0.4941
  3.1182  3.0875  3.0600  3.0354  3.0096  2.9791  2.9423  2.8987  2.8500  2.7982
  2.7443  2.6893  2.6348  2.5830  2.5327  2.4013  2.2550  2.0927  1.9226  1.7590
  1.6055  1.4607  1.3229  1.1912  1.0651  0.9438  0.8267  0.7133  0.6030  0.4954
  0.3898
  3.0106  2.9771  2.9503  2.9294  2.9113  2.8926  2.8697  2.8399  2.8025  2.7594
  2.7124  2.6626  2.6110  2.5594  2.5102  2.3849  2.2449  2.0897  1.9252  1.7604
  1.6041  1.4576  1.3191  1.1871  1.0610  0.9399  0.8233  0.7108  0.6017  0.4955
  0.3918
  2.9142  2.8712  2.8388  2.8159  2.8007  2.7896  2.7782  2.7625  2.7396  2.7089
  2.6717  2.6296  2.5836  2.5352  2.4873  2.3662  2.2333  2.0843  1.9254  1.7630
  1.6044  1.4548  1.3144  1.1815  1.0548  0.9336  0.8171  0.7048  0.5963  0.4910
  0.3887
  2.8233  2.7755  2.7379  2.7095  2.6921  2.6817  2.6758  2.6705  2.6617  2.6452
  2.6198  2.5873  2.5497  2.5088  2.4659  2.3502  2.2216  2.0798  1.9270  1.7694
  1.6118  1.4595  1.3161  1.1813  1.0535  0.9317  0.8150  0.7029  0.5947  0.4900
  0.3865
  2.7499  2.6900  2.6443  2.6113  2.5884  2.5745  2.5690  2.5677  2.5675  2.5618
  2.5494  2.5306  2.5056  2.4748  2.4386  2.3301  2.2062  2.0731  1.9266  1.7741
  1.6200  1.4680  1.3220  1.1841  1.0542  0.9310  0.8135  0.7009  0.5927  0.4883
  0.3872
  2.6940  2.6148  2.5580  2.5213  2.4896  2.4680  2.4645  2.4623  2.4642  2.4646
  2.4624  2.4578  2.4509  2.4332  2.4053  2.3059  2.1871  2.0642  1.9242
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F444W
  3.5152  3.4309  3.3532  3.2761  3.1976  3.1679  3.1917  3.1747  3.1166  3.0242
  2.9027  2.8043  2.7605  2.7406  2.7022  2.5222
  3.5444  3.4607  3.3810  3.3025  3.2244  3.1715  3.1473  3.1092  3.0562  2.9896
  2.9104  2.8375  2.7827  2.7348  2.6777  2.4958  2.3234  2.1584  1.9953
  3.5543  3.4735  3.3945  3.3167  3.2402  3.1730  3.1176  3.0643  3.0117  2.9588
  2.9043  2.8474  2.7874  2.7236  2.6556  2.4740  2.3014  2.1358  1.9706  1.8099
  1.6580
  3.5449  3.4693  3.3937  3.3187  3.2449  3.1724  3.1026  3.0398  2.9833  2.9318
  2.8843  2.8338  2.7746  2.7070  2.6359  2.4568  2.2843  2.1179  1.9518  1.7927
  1.6412  1.4963  1.3567
  3.5162  3.4481  3.3786  3.3085  3.2386  3.1697  3.1023  3.0358  2.9708  2.9087
  2.8505  2.7968  2.7444  2.6850  2.6186  2.4442  2.2721  2.1047  1.9389  1.7800
  1.6287  1.4843  1.3461  1.2131  1.0844
