 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F250M
 -1.5446 -1.4846 -1.7962 -2.6319 -3.5473 -3.6821 -4.1198 -4.4318 -4.3204 -3.7887
 -4.0800 -4.6788 -4.3658 -3.4610 -2.8016 -2.9906
 -2.3260 -2.1905 -2.2144 -2.4814 -2.8400 -2.8604 -3.0523 -3.2286 -3.2855 -3.2078
 -3.4025 -3.6660 -3.5331 -3.1193 -2.8220 -3.0096 -3.2381 -3.3709 -3.5575
 -2.7242 -2.6133 -2.5312 -2.5283 -2.5835 -2.5634 -2.6128 -2.6874 -2.7782 -2.8756
 -2.9736 -3.0412 -3.0145 -2.9139 -2.8529 -3.0283 -3.2415 -3.3881 -3.5515 -3.7062
 -3.8489
 -2.7392 -2.7530 -2.7466 -2.7726 -2.7781 -2.7910 -2.8013 -2.8082 -2.7984 -2.7921
 -2.7934 -2.8044 -2.8100 -2.8448 -2.8943 -3.0467 -3.2230 -3.3918 -3.5532 -3.7081
 -3.8577 -4.0025 -4.1430
 -2.9485 -2.9052 -2.8627 -2.8455 -2.8358 -2.8391 -2.8486 -2.8587 -2.8645 -2.8631
 -2.8602 -2.8664 -2.8774 -2.9020 -2.9434 -3.0772 -3.2352 -3.3994 -3.5609 -3.7159
 -3.8644 -4.0074 -4.1456 -4.2796 -4.4099
 -3.1605 -3.0790 -3.0091 -2.9574 -2.9262 -2.9129 -2.9131 -2.9196 -2.9274 -2.9328
 -2.9339 -2.9346 -2.9434 -2.9580 -2.9920 -3.1096 -3.2523 -3.4088 -3.5677 -3.7221
 -3.8699 -4.0117 -4.1483 -4.2805 -4.4089 -4.5339
 -3.3753 -3.2744 -3.1858 -3.1083 -3.0494 -3.0124 -2.9948 -2.9909 -2.9938 -2.9989
 -3.0035 -3.0058 -3.0091 -3.0162 -3.0401 -3.1439 -3.2743 -3.4200 -3.5736 -3.7267
 -3.8742 -4.0154 -4.1510 -4.2817 -4.4082 -4.5313 -4.6513 -4.7683 -4.8824 -4.9926
