 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F277W
  1.6717  1.8727  1.7086  0.8958 -0.2684 -0.9171 -1.3901 -1.5515 -1.3059 -0.7127
 -1.1393 -1.8949 -1.4976 -0.4441  0.3365  0.1575
  0.9058  1.0791  1.1199  0.8726  0.4274  0.1836 -0.0297 -0.1585 -0.1791 -0.1015
 -0.3662 -0.6943 -0.5190 -0.0292  0.3260  0.1389 -0.0567 -0.2125 -0.3877
  0.5284  0.6262  0.7185  0.7323  0.6692  0.6335  0.5700  0.4880  0.3828  0.2611
  0.1363  0.0558  0.0978  0.2252  0.3036  0.1239 -0.0667 -0.2278 -0.3919 -0.5472
 -0.6960
  0.5395  0.5140  0.5044  0.4749  0.4568  0.4327  0.4090  0.3881  0.3799  0.3753
  0.3683  0.3554  0.3527  0.3192  0.2693  0.1125 -0.0695 -0.2394 -0.4010 -0.5564
 -0.7063 -0.8506 -0.9901
  0.3992  0.4109  0.4241  0.4220  0.4144  0.3976  0.3758  0.3534  0.3338  0.3203
  0.3112  0.2983  0.2856  0.2611  0.2197  0.0836 -0.0794 -0.2470 -0.4101 -0.5658
 -0.7146 -0.8575 -0.9952 -1.1285 -1.2580
  0.2498  0.2871  0.3182  0.3385  0.3457  0.3409  0.3266  0.3076  0.2872  0.2682
  0.2527  0.2395  0.2236  0.2069  0.1717  0.0524 -0.0943 -0.2554 -0.4172 -0.5729
 -0.7213 -0.8634 -0.9999 -1.1317 -1.2593 -1.3834
  0.0914  0.1426  0.1867  0.2244  0.2507  0.2626  0.2614  0.2507  0.2349  0.2170
  0.1989  0.1824  0.1668  0.1525  0.1253  0.0189 -0.1142 -0.2646 -0.4223 -0.5777
 -0.7264 -0.8683 -1.0041 -1.1348 -1.2610 -1.3834 -1.5025 -1.6185 -1.7316 -1.8413
 -0.0760 -0.0226  0.0296  0.0807  0.1251  0.1574  0.1754  0.1792  0.1730  0.1608
  0.1457  0.1291  0.1125  0.0974  0.0774 -0.0123 -0.1370 -0.2768 -0.4271 -0.5803
 -0.7295 -0.8718 -1.0075 -1.1377 -1.2630 -1.3841 -1.5015 -1.6158 -1.7273 -1.8362
 -1.9422
 -0.2418 -0.1941 -0.1415 -0.0845 -0.0277  0.0229  0.0622  0.0867  0.0965  0.0951
  0.0873  0.0753  0.0605  0.0444  0.0280 -0.0438 -0.1583 -0.2916 -0.4338 -0.5819
 -0.7300 -0.8733 -1.0098 -1.1400 -1.2649 -1.3852 -1.5017 -1.6146 -1.7244 -1.8316
 -1.9366
 -0.3985 -0.3618 -0.3154 -0.2604 -0.1995 -0.1368 -0.0796 -0.0336 -0.0024  0.0138
  0.0183  0.0151  0.0062 -0.0066 -0.0215 -0.0792 -0.1799 -0.3073 -0.4446 -0.5867
 -0.7316 -0.8748 -1.0126 -1.1439 -1.2692 -1.3895 -1.5054 -1.6175 -1.7262 -1.8321
 -1.9354
 -0.5499 -0.5186 -0.4784 -0.4303 -0.3708 -0.3066 -0.2402 -0.1779 -0.1258 -0.0882
 -0.0659 -0.0559 -0.0552 -0.0610 -0.0714 -0.1189 -0.2025 -0.3207 -0.4534 -0.5909
 -0.7309 -0.8716 -1.0095 -1.1422 -1.2686 -1.3894 -1.5054 -1.6171 -1.7251 -1.8298
 -1.9337
 -0.6876 -0.6645 -0.6309 -0.5878 -0.5349 -0.4749 -0.4076 -0.3387 -0.2727 -0.2192
 -0.1791 -0.1509 -0.1331 -0.1247 -0.1246 -0.1567 -0.2295 -0.3355 -0.4620 -0.5959
 -0.7320 -0.8689 -1.0050 -1.1380 -1.2657 -1.3877 -1.5045 -1.6166 -1.7245 -1.8288
 -1.9299
 -0.8115 -0.7996 -0.7729 -0.7329 -0.6918 -0.6417 -0.5705 -0.5021 -0.4326 -0.3694
 -0.3138 -0.2652 -0.2231 -0.1977 -0.1811 -0.1925 -0.2609 -0.3517 -0.4704
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F277W
  0.3056  0.2592  0.2041  0.1363  0.0731  0.1182  0.2018  0.3191  0.4264  0.4646
  0.3218  0.1077  0.0841  0.2324  0.3247  0.1555
  0.3828  0.3437  0.2973  0.2418  0.1880  0.1915  0.2217  0.2783  0.3390  0.3752
  0.3396  0.2685  0.2565  0.3002  0.3111  0.1386 -0.0370 -0.2075 -0.3728
  0.4290  0.3984  0.3615  0.3180  0.2737  0.2512  0.2454  0.2591  0.2840  0.3120
  0.3363  0.3511  0.3514  0.3334  0.2937  0.1218 -0.0523 -0.2230 -0.3870 -0.5439
 -0.6951
  0.4442  0.4233  0.3967  0.3649  0.3302  0.2973  0.2729  0.2613  0.2614  0.2751
  0.3119  0.3555  0.3688  0.3320  0.2725  0.1051 -0.0660 -0.2357 -0.3989 -0.5550
 -0.7048 -0.8491 -0.9884
  0.4284  0.4184  0.4029  0.3825  0.3575  0.3298  0.3042  0.2849  0.2712  0.2644
  0.2664  0.2818  0.3086  0.2959  0.2475  0.0885 -0.0781 -0.2456 -0.4084 -0.5640
 -0.7128 -0.8557 -0.9935 -1.1270 -1.2567
  0.3816  0.3837  0.3801  0.3708  0.3556  0.3355  0.3126  0.2915  0.2752  0.2654
  0.2548  0.2433  0.2499  0.2484  0.2131  0.0702 -0.0904 -0.2535 -0.4153 -0.5709
 -0.7193 -0.8614 -0.9980 -1.1299 -1.2577 -1.3820
  0.3048  0.3189  0.3291  0.3327  0.3290  0.3179  0.3012  0.2815  0.2625  0.2466
  0.2330  0.2185  0.2027  0.2027  0.1727  0.0471 -0.1043 -0.2613 -0.4201 -0.5755
 -0.7242 -0.8660 -1.0019 -1.1328 -1.2592 -1.3817 -1.5010 -1.6172 -1.7304 -1.8401
  0.2038  0.2263  0.2481  0.2665  0.2769  0.2778  0.2704  0.2562  0.2387  0.2206
  0.2036  0.1867  0.1675  0.1570  0.1329  0.0198 -0.1213 -0.2707 -0.4242 -0.5780
 -0.7271 -0.8694 -1.0052 -1.1355 -1.2610 -1.3823 -1.5000 -1.6145 -1.7261 -1.8350
 -1.9410
  0.1444  0.1321  0.1419  0.1716  0.1966  0.2123  0.2176  0.2131  0.2013  0.1854
  0.1680  0.1497  0.1301  0.1111  0.0927 -0.0080 -0.1399 -0.2825 -0.4280 -0.5792
 -0.7267 -0.8709 -1.0073 -1.1377 -1.2628 -1.3833 -1.4999 -1.6132 -1.7234 -1.8308
 -1.9354
 -0.0329  0.0043  0.0324  0.0524  0.0876  0.1181  0.1381  0.1474  0.1462  0.1370
  0.1230  0.1062  0.0875  0.0676  0.0496 -0.0381 -0.1599 -0.2969 -0.4388 -0.5833
 -0.7290 -0.8724 -1.0102 -1.1416 -1.2670 -1.3874 -1.5035 -1.6159 -1.7248 -1.8307
 -1.9342
 -0.1501 -0.1242 -0.1012 -0.0806 -0.0405 -0.0027  0.0314  0.0557  0.0688  0.0713
  0.0654  0.0537  0.0384  0.0207  0.0025 -0.0703 -0.1795 -0.3090 -0.4466 -0.5867
 -0.7280 -0.8692 -1.0072 -1.1399 -1.2664 -1.3873 -1.5034 -1.6153 -1.7235 -1.8284
 -1.9325
 -0.2675 -0.2535 -0.2321 -0.2039 -0.1665 -0.1222 -0.0792 -0.0633 -0.0348 -0.0175
 -0.0107 -0.0127 -0.0211 -0.0338 -0.0495 -0.1077 -0.2025 -0.3222 -0.4544 -0.5910
 -0.7286 -0.8663 -1.0027 -1.1358 -1.2637 -1.3857 -1.5026 -1.6148 -1.7228 -1.8273
 -1.9286
 -0.3851 -0.3835 -0.3603 -0.3176 -0.2904 -0.2403 -0.2250 -0.1806 -0.1427 -0.1316
 -0.1098 -0.0980 -0.0953 -0.0996 -0.1064 -0.1503 -0.2289 -0.3365 -0.4622
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F277W
  0.1646  0.1023  0.0763  0.1185  0.2138  0.3302  0.4559  0.5729  0.6386  0.6145
  0.5654  0.4878  0.4072  0.3692  0.3143  0.1506
  0.2818  0.2295  0.1908  0.1841  0.2066  0.2488  0.3075  0.3746  0.4302  0.4555
  0.4674  0.4532  0.4099  0.3608  0.2990  0.1311 -0.0369 -0.2059 -0.3692
  0.3667  0.3241  0.2802  0.2439  0.2195  0.2111  0.2211  0.2485  0.2883  0.3347
  0.3790  0.4056  0.3942  0.3464  0.2832  0.1140 -0.0538 -0.2218 -0.3849 -0.5420
 -0.6936
  0.4193  0.3861  0.3445  0.2979  0.2525  0.2171  0.1967  0.1946  0.2129  0.2521
  0.3002  0.3450  0.3601  0.3260  0.2669  0.0993 -0.0680 -0.2347 -0.3974 -0.5534
 -0.7031 -0.8475 -0.9872
  0.4396  0.4155  0.3837  0.3461  0.3056  0.2668  0.2343  0.2129  0.2040  0.2077
