 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F444W
 -3.5298 -3.4712 -3.5482 -3.9935 -4.8256 -5.4374 -5.4441 -5.3840 -5.3172 -5.2432
 -5.4242 -5.5250 -5.3936 -5.1655 -5.0790 -5.2466
 -3.9584 -3.9136 -3.9231 -4.1004 -4.4677 -4.7782 -4.8666 -4.9469 -5.0149 -5.0594
 -5.1631 -5.2100 -5.1617 -5.0844 -5.0736 -5.2611 -5.4376 -5.5968 -5.7929
 -4.1939 -4.1952 -4.2017 -4.2553 -4.3678 -4.4972 -4.6062 -4.7300 -4.8432 -4.9331
 -4.9951 -5.0256 -5.0363 -5.0513 -5.0892 -5.2755 -5.4547 -5.6331 -5.8141 -5.9897
 -6.1125
 -4.2363 -4.3160 -4.3840 -4.4582 -4.5257 -4.5943 -4.6629 -4.7331 -4.8021 -4.8643
 -4.9201 -4.9719 -5.0173 -5.0662 -5.1258 -5.2898 -5.4808 -5.6538 -5.8211 -5.9808
 -6.1329 -6.2778 -6.4166
 -4.3359 -4.3918 -4.4444 -4.5024 -4.5623 -4.6256 -4.6909 -4.7573 -4.8240 -4.8895
 -4.9510 -5.0077 -5.0595 -5.1097 -5.1625 -5.3111 -5.4884 -5.6661 -5.8343 -5.9935
 -6.1450 -6.2895 -6.4277 -6.5605 -6.6889
 -4.4383 -4.4781 -4.5188 -4.5631 -4.6129 -4.6679 -4.7269 -4.7879 -4.8503 -4.9129
 -4.9744 -5.0335 -5.0890 -5.1392 -5.1925 -5.3323 -5.4966 -5.6740 -5.8435 -6.0032
 -6.1546 -6.2989 -6.4367 -6.5688 -6.6960 -6.8190
 -4.5435 -4.5749 -4.6072 -4.6403 -4.6776 -4.7212 -4.7709 -4.8249 -4.8816 -4.9398
 -4.9986 -5.0565 -5.1124 -5.1641 -5.2158 -5.3534 -5.5054 -5.6775 -5.8487 -6.0099
 -6.1617 -6.3060 -6.4437 -6.5754 -6.7019 -6.8238 -6.9420 -7.0567 -7.1684 -7.2777
 -4.6516 -4.6822 -4.7096 -4.7341 -4.7597 -4.7902 -4.8269 -4.8706 -4.9193 -4.9714
 -5.0255 -5.0806 -5.1352 -5.1872 -5.2376 -5.3696 -5.5164 -5.6790 -5.8493 -6.0130
 -6.1664 -6.3113 -6.4491 -6.5808 -6.7069 -6.8282 -6.9453 -7.0587 -7.1689 -7.2765
 -7.3821
 -4.7589 -4.7924 -4.8192 -4.8400 -4.8580 -4.8766 -4.8994 -4.9292 -4.9666 -5.0099
 -5.0570 -5.1070 -5.1588 -5.2105 -5.2599 -5.3857 -5.5261 -5.6817 -5.8466 -6.0115
 -6.1678 -6.3144 -6.4530 -6.5849 -6.7111 -6.8321 -6.9488 -7.0614 -7.1703 -7.2764
 -7.3800
 -4.8549 -4.8981 -4.9306 -4.9535 -4.9686 -4.9796 -4.9908 -5.0064 -5.0293 -5.0602
 -5.0975 -5.1397 -5.1859 -5.2345 -5.2826 -5.4041 -5.5375 -5.6869 -5.8463 -6.0089
 -6.1676 -6.3173 -6.4577 -6.5906 -6.7173 -6.8385 -6.9550 -7.0672 -7.1757 -7.2810
 -7.3832
 -4.9459 -4.9937 -5.0313 -5.0597 -5.0772 -5.0875 -5.0933 -5.0985 -5.1072 -5.1236
 -5.1490 -5.1817 -5.2196 -5.2607 -5.3038 -5.4199 -5.5489 -5.6913 -5.8444 -6.0024
 -6.1602 -6.3125 -6.4559 -6.5908 -6.7185 -6.8404 -6.9571 -7.0692 -7.1774 -7.2820
 -7.3855
 -5.0195 -5.0792 -5.1248 -5.1578 -5.1807 -5.1946 -5.2001 -5.2013 -5.2015 -5.2072
 -5.2197 -5.2386 -5.2636 -5.2945 -5.3309 -5.4397 -5.5641 -5.6978 -5.8447 -5.9975
 -6.1519 -6.3041 -6.4501 -6.5881 -6.7179 -6.8411 -6.9586 -7.0712 -7.1794 -7.2839
 -7.3849
 -5.0758 -5.1545 -5.2111 -5.2478 -5.2791 -5.3009 -5.3047 -5.3068 -5.3049 -5.3045
 -5.3067 -5.3113 -5.3181 -5.3359 -5.3638 -5.4636 -5.5831 -5.7064 -5.8472
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F444W
 -4.2608 -4.3440 -4.4247 -4.5027 -4.5808 -4.6145 -4.5897 -4.6040 -4.6594 -4.7499
 -4.8725 -4.9723 -5.0162 -5.0348 -5.0712 -5.2501
 -4.2311 -4.3141 -4.3954 -4.4744 -4.5523 -4.6075 -4.6316 -4.6687 -4.7205 -4.7861
 -4.8653 -4.9383 -4.9929 -5.0399 -5.0960 -5.2770 -5.4490 -5.6128 -5.7756
 -4.2206 -4.3010 -4.3806 -4.4586 -4.5351 -4.6033 -4.6591 -4.7125 -4.7648 -4.8174
 -4.8715 -4.9278 -4.9873 -5.0506 -5.1182 -5.2991 -5.4710 -5.6358 -5.8009 -5.9618
 -6.1138
 -4.2293 -4.3047 -4.3803 -4.4553 -4.5291 -4.6019 -4.6722 -4.7355 -4.7923 -4.8439
 -4.8910 -4.9409 -4.9995 -5.0668 -5.1378 -5.3164 -5.4881 -5.6539 -5.8200 -5.9790
 -6.1306 -6.2755 -6.4152
 -4.2572 -4.3252 -4.3945 -4.4645 -4.5344 -4.6033 -4.6709 -4.7376 -4.8029 -4.8655
 -4.9239 -4.9775 -5.0294 -5.0885 -5.1548 -5.3289 -5.5003 -5.6671 -5.8329 -5.9918
 -6.1431 -6.2876 -6.4258 -6.5588 -6.6874
 -4.3043 -4.3625 -4.4232 -4.4862 -4.5510 -4.6164 -4.6815 -4.7458 -4.8096 -4.8730
 -4.9365 -4.9987 -5.0552 -5.1116 -5.1732 -5.3391 -5.5085 -5.6760 -5.8421 -6.0012
 -6.1525 -6.2967 -6.4345 -6.5667 -6.6941 -6.8174
 -4.3709 -4.4191 -4.4690 -4.5224 -4.5794 -4.6393 -4.7007 -4.7625 -4.8243 -4.8861
 -4.9481 -5.0104 -5.0722 -5.1284 -5.1892 -5.3499 -5.5145 -5.6807 -5.8475 -6.0077
 -6.1594 -6.3037 -6.4413 -6.5732 -6.6998 -6.8220 -6.9404 -7.0553 -7.1672 -7.2765
 -4.4524 -4.4934 -4.5338 -4.5760 -4.6225 -4.6739 -4.7291 -4.7866 -4.8454 -4.9050
 -4.9649 -5.0253 -5.0861 -5.1436 -5.2022 -5.3593 -5.5203 -5.6825 -5.8486 -6.0108
 -6.1639 -6.3087 -6.4466 -6.5784 -6.7047 -6.8262 -6.9436 -7.0573 -7.1676 -7.2752
 -7.3809
 -4.5109 -4.5692 -4.6143 -4.6476 -4.6830 -4.7236 -4.7696 -4.8201 -4.8739 -4.9297
 -4.9866 -5.0447 -5.1034 -5.1613 -5.2169 -5.3679 -5.5252 -5.6838 -5.8486 -6.0097
 -6.1646 -6.3118 -6.4503 -6.5824 -6.7087 -6.8300 -6.9468 -7.0598 -7.1693 -7.2756
 -7.3788
 -4.6404 -4.6667 -4.6984 -4.7349 -4.7625 -4.7918 -4.8268 -4.8676 -4.9135 -4.9633
 -5.0157 -5.0701 -5.1258 -5.1821 -5.2364 -5.3800 -5.5314 -5.6870 -5.8458 -6.0075
 -6.1655 -6.3147 -6.4550 -6.5880 -6.7148 -6.8362 -6.9529 -7.0654 -7.1741 -7.2794
 -7.3819
 -4.7174 -4.7580 -4.7952 -4.8291 -4.8526 -4.8760 -4.9004 -4.9300 -4.9656 -5.0065
 -5.0519 -5.1007 -5.1519 -5.2048 -5.2578 -5.3943 -5.5378 -5.6884 -5.8432 -6.0010
 -6.1585 -6.3103 -6.4534 -6.5882 -6.7161 -6.8380 -6.9550 -7.0673 -7.1757 -7.2804
 -7.3841
 -4.7925 -4.8431 -4.8849 -4.9187 -4.9421 -4.9588 -4.9762 -5.0100 -5.0344 -5.0646
 -5.1003 -5.1410 -5.1856 -5.2332 -5.2828 -5.4123 -5.5480 -5.6920 -5.8422 -5.9958
 -6.1503 -6.3022 -6.4479 -6.5856 -6.7155 -6.8387 -6.9565 -7.0692 -7.1776 -7.2822
 -7.3835
 -4.8657 -4.9219 -4.9675 -5.0036 -5.0311 -5.0402 -5.0758 -5.0896 -5.1068 -5.1395
 -5.1643 -5.1945 -5.2301 -5.2701 -5.3114 -5.4340 -5.5620 -5.6978 -5.8428
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F444W
 -4.3132 -4.4063 -4.4813 -4.5108 -4.4935 -4.4680 -4.4700 -4.5096 -4.5810 -4.6800
 -4.7757 -4.8660 -4.9420 -5.0103 -5.0809 -5.2586
 -4.2704 -4.3612 -4.4421 -4.4991 -4.5314 -4.5545 -4.5834 -4.6246 -4.6791 -4.7470
 -4.8181 -4.8925 -4.9658 -5.0377 -5.1102 -5.2887 -5.4577 -5.6205 -5.7751
 -4.2419 -4.3296 -4.4132 -4.4875 -4.5519 -4.6076 -4.6569 -4.7033 -4.7506 -4.8011
 -4.8567 -4.9192 -4.9881 -5.0605 -5.1336 -5.3124 -5.4814 -5.6421 -5.8003 -5.9570
 -6.1121
 -4.2277 -4.3115 -4.3946 -4.4760 -4.5550 -4.6273 -4.6905 -4.7457 -4.7955 -4.8423
 -4.8915 -4.9461 -5.0089 -5.0787 -5.1511 -5.3297 -5.4994 -5.6596 -5.8195 -5.9775
 -6.1289 -6.2738 -6.4130
 -4.2278 -4.3069 -4.3863 -4.4646 -4.5407 -4.6136 -4.6842 -4.7518 -4.8138 -4.8706
 -4.9225 -4.9732 -5.0282 -5.0923 -5.1627 -5.3406 -5.5117 -5.6730 -5.8328 -5.9902
 -6.1413 -6.2857 -6.4240 -6.5571 -6.6858
 -4.2439 -4.3163 -4.3901 -4.4643 -4.5377 -4.6091 -4.6777 -4.7434 -4.8085 -4.8733
 -4.9360 -4.9949 -5.0492 -5.1066 -5.1721 -5.3474 -5.5193 -5.6824 -5.8424 -5.9995
 -6.1505 -6.2947 -6.4325 -6.5649 -6.6924 -6.8159
 -4.2792 -4.3425 -4.4083 -4.4759 -4.5446 -4.6133 -4.6809 -4.7462 -4.8095 -4.8722
 -4.9359 -5.0007 -5.0626 -5.1207 -5.1828 -5.3520 -5.5232 -5.6877 -5.8484 -6.0059
 -6.1572 -6.3014 -6.4391 -6.5711 -6.6979 -6.8203 -6.9389 -7.0540 -7.1659 -7.2753
 -4.3352 -4.3884 -4.4440 -4.5026 -4.5639 -4.6272 -4.6916 -4.7556 -4.8186 -4.8803
 -4.9417 -5.0043 -5.0685 -5.1293 -5.1907 -5.3565 -5.5252 -5.6896 -5.8507 -6.0092
 -6.1615 -6.3063 -6.4442 -6.5761 -6.7026 -6.8243 -6.9419 -7.0558 -7.1663 -7.2740
 -7.3797
 -4.4079 -4.4539 -4.4995 -4.5472 -4.5987 -4.6539 -4.7122 -4.7723 -4.8331 -4.8940
 -4.9543 -5.0147 -5.0762 -5.1379 -5.1974 -5.3603 -5.5264 -5.6894 -5.8496 -6.0088
 -6.1631 -6.3092 -6.4478 -6.5799 -6.7064 -6.8278 -6.9449 -7.0580 -7.1674 -7.2738
 -7.3777
 -4.4897 -4.5334 -4.5733 -4.6115 -4.6523 -4.6973 -4.7469 -4.8003 -4.8565 -4.9144
 -4.9729 -5.0318 -5.0912 -5.1510 -5.2090 -5.3661 -5.5290 -5.6905 -5.8490 -6.0074
 -6.1635 -6.3122 -6.4523 -6.5854 -6.7123 -6.8339 -6.9508 -7.0635 -7.1725 -7.2780
 -7.3806
 -4.5711 -4.6170 -4.6565 -4.6904 -4.7224 -4.7574 -4.7966 -4.8409 -4.8896 -4.9418
 -4.9964 -5.0525 -5.1095 -5.1670 -5.2241 -5.3732 -5.5304 -5.6890 -5.8454 -6.0014
 -6.1572 -6.3081 -6.4508 -6.5856 -6.7135 -6.8356 -6.9527 -7.0653 -7.1739 -7.2789
 -7.3827
 -4.6500 -4.6998 -4.7416 -4.7770 -4.8069 -4.8341 -4.8640 -4.8982 -4.9374 -4.9813
 -5.0293 -5.0804 -5.1337 -5.1882 -5.2433 -5.3853 -5.5351 -5.6888 -5.8427 -5.9959
 -6.1493 -6.3005 -6.4457 -6.5831 -6.7129 -6.8362 -6.9541 -7.0671 -7.1757 -7.2805
 -7.3820
 -4.7264 -4.7818 -4.8251 -4.8651 -4.8967 -4.9228 -4.9470 -4.9725 -5.0022 -5.0365
 -5.0755 -5.1190 -5.1662 -5.2161 -5.2666 -5.4024 -5.5431 -5.6899 -5.8409
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F444W
