 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F140M
  3.0070  3.4127  3.5231  2.9655  1.8857  1.3567  1.5384  1.3525  1.1830  1.3729
  1.4350  1.5302  1.7430  1.9005  1.9818  1.8626
  2.4847  2.7441  2.9044  2.7536  2.3442  2.0686  2.0606  1.9049  1.7662  1.7770
  1.7727  1.8037  1.8830  1.9402  1.9570  1.8445  1.7365  1.6276  1.5031
  2.1751  2.3000  2.4224  2.4592  2.4076  2.3052  2.2322  2.1335  2.0476  1.9894
  1.9586  1.9513  1.9524  1.9476  1.9291  1.8235  1.7148  1.6064  1.4917  1.3772
  1.2655
  2.0782  2.0804  2.0771  2.0823  2.0759  2.0664  2.0532  2.0384  2.0271  2.0101
  1.9926  1.9730  1.9510  1.9226  1.8981  1.7996  1.6955  1.5874  1.4771  1.3666
  1.2556  1.1444  1.0327
  2.0842  2.0765  2.0674  2.0631  2.0566  2.0483  2.0361  2.0195  1.9982  1.9745
  1.9513  1.9288  1.9068  1.8827  1.8547  1.7709  1.6745  1.5706  1.4630  1.3546
  1.2464  1.1385  1.0308  0.9230  0.8149
  2.0640  2.0528  2.0421  2.0334  2.0268  2.0201  2.0106  1.9959  1.9757  1.9507
  1.9228  1.8951  1.8689  1.8439  1.8175  1.7423  1.6531  1.5542  1.4499  1.3437
  1.2377  1.1323  1.0276  0.9232  0.8189  0.7145
  2.0175  2.0093  2.0012  1.9932  1.9866  1.9818  1.9767  1.9676  1.9522  1.9304
  1.9035  1.8733  1.8428  1.8144  1.7865  1.7138  1.6313  1.5382  1.4378  1.3339
  1.2295  1.1258  1.0232  0.9214  0.8202  0.7192  0.6183  0.5167  0.4148  0.3157
  1.9447  1.9460  1.9447  1.9411  1.9372  1.9343  1.9328  1.9300  1.9224  1.9073
  1.8851  1.8575  1.8264  1.7945  1.7640  1.6898  1.6104  1.5223  1.4264  1.3254
  1.2223  1.1196  1.0183  0.9182  0.8193  0.7211  0.6235  0.5258  0.4272  0.3281
  0.2314
  1.8447  1.8598  1.8697  1.8748  1.8772  1.8785  1.8805  1.8828  1.8830  1.8771
  1.8631  1.8411  1.8133  1.7819  1.7494  1.6714  1.5927  1.5075  1.4153  1.3176
  1.2165  1.1146  1.0137  0.9145  0.8170  0.7208  0.6254  0.5307  0.4359  0.3405
  0.2439
  1.7320  1.7562  1.7755  1.7904  1.8026  1.8118  1.8197  1.8271  1.8337  1.8370
  1.8330  1.8197  1.7982  1.7703  1.7390  1.6570  1.5781  1.4941  1.4040  1.3091
  1.2103  1.1094  1.0087  0.9094  0.8123  0.7170  0.6232  0.5304  0.4382  0.3459
  0.2535
  1.6136  1.6415  1.6680  1.6932  1.7152  1.7343  1.7503  1.7643  1.7771  1.7878
  1.7914  1.7871  1.7755  1.7569  1.7321  1.6530  1.5667  1.4839  1.3953  1.3024
  1.2060  1.1071  1.0071  0.9079  0.8105  0.7155  0.6224  0.5310  0.4408  0.3514
  0.2610
  1.4717  1.5157  1.5535  1.5856  1.6160  1.6441  1.6694  1.6918  1.7120  1.7294
  1.7421  1.7486  1.7474  1.7375  1.7184  1.6444  1.5577  1.4751  1.3882  1.2966
  1.2018  1.1048  1.0064  0.9076  0.8101  0.7146  0.6214  0.5305  0.4414  0.3537
  0.2668
  1.3065  1.3789  1.4320  1.4676  1.5050  1.5412  1.5777  1.6085  1.6365  1.6605
  1.6804  1.6966  1.7094  1.7121  1.6981  1.6315  1.5511  1.4677  1.3827
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F140M
  1.6936  1.7342  1.7733  1.8116  1.8376  1.8855  1.9715  1.9802  1.9675  1.9648
  1.9500  1.9524  1.9786  1.9921  1.9823  1.8830
  1.7455  1.7784  1.8093  1.8391  1.8612  1.8921  1.9449  1.9643  1.9708  1.9761
  1.9720  1.9697  1.9720  1.9656  1.9461  1.8525  1.7439  1.6304  1.5137
  1.7956  1.8210  1.8442  1.8661  1.8837  1.9017  1.9294  1.9509  1.9660  1.9744
  1.9761  1.9708  1.9587  1.9395  1.9135  1.8242  1.7202  1.6095  1.4962  1.3817
  1.2665
  1.8439  1.8620  1.8780  1.8926  1.9050  1.9143  1.9250  1.9397  1.9528  1.9597
  1.9622  1.9558  1.9386  1.9138  1.8845  1.7981  1.6982  1.5907  1.4804  1.3693
  1.2580  1.1464  1.0348
  1.8904  1.9014  1.9107  1.9186  1.9252  1.9299  1.9317  1.9309  1.9314  1.9320
  1.9304  1.9246  1.9118  1.8884  1.8591  1.7742  1.6779  1.5740  1.4663  1.3579
  1.2496  1.1414  1.0334  0.9252  0.8167
  1.9351  1.9392  1.9423  1.9441  1.9443  1.9425  1.9385  1.9316  1.9217  1.9114
  1.9010  1.8903  1.8787  1.8608  1.8350  1.7526  1.6591  1.5588  1.4539  1.3475
  1.2413  1.1357  1.0307  0.9259  0.8211  0.7164
  1.9729  1.9720  1.9700  1.9671  1.9627  1.9561  1.9471  1.9354  1.9205  1.9030
  1.8843  1.8656  1.8474  1.8298  1.8068  1.7318  1.6416  1.5447  1.4427  1.3382
  1.2335  1.1296  1.0267  0.9245  0.8228  0.7214  0.6201  0.5183  0.4162  0.3171
  1.9944  1.9924  1.9883  1.9825  1.9755  1.9665  1.9551  1.9405  1.9228  1.9017
  1.8784  1.8539  1.8291  1.8058  1.7813  1.7100  1.6249  1.5314  1.4326  1.3303
  1.2268  1.1237  1.0220  0.9216  0.8222  0.7236  0.6253  0.5273  0.4287  0.3295
  0.2328
  2.0064  1.9974  1.9902  1.9846  1.9773  1.9679  1.9564  1.9419  1.9238  1.9021
  1.8772  1.8497  1.8211  1.7924  1.7644  1.6906  1.6088  1.5188  1.4261  1.3234
  1.2232  1.1189  1.0177  0.9181  0.8201  0.7235  0.6277  0.5320  0.4363  0.3407
  0.2453
  1.9686  1.9841  1.9834  1.9681  1.9632  1.9556  1.9457  1.9332  1.9174  1.8977
  1.8741  1.8468  1.8170  1.7859  1.7547  1.6753  1.5941  1.5062  1.4129  1.3156
  1.2155  1.1140  1.0128  0.9131  0.8156  0.7199  0.6256  0.5325  0.4401  0.3477
  0.2548
  1.9083  1.9404  1.9471  1.9309  1.9308  1.9274  1.9210  1.9120  1.9000  1.8845
  1.8649  1.8408  1.8129  1.7819  1.7495  1.6657  1.5826  1.4965  1.4050  1.3096
  1.2117  1.1118  1.0113  0.9116  0.8139  0.7185  0.6250  0.5333  0.4428  0.3531
  0.2623
  1.8407  1.8665  1.8839  1.8940  1.9001  1.9019  1.9002  1.8760  1.8690  1.8588
  1.8448  1.8263  1.8031  1.7755  1.7444  1.6599  1.5735  1.4879  1.3981  1.3043
  1.2079  1.1097  1.0106  0.9114  0.8134  0.7176  0.6241  0.5328  0.4435  0.3555
  0.2683
  1.7658  1.7621  1.7939  1.8574  1.8711  1.8790  1.8443  1.8461  1.8442  1.8193
  1.8119  1.8003  1.7838  1.7621  1.7394  1.6579  1.5668  1.4804  1.3922
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F140M
  1.5090  1.5204  1.5568  1.6699  1.8328  1.9501  2.0099  2.0519  2.0731  2.0554
  2.0380  2.0258  2.0156  1.9999  1.9732  1.8840
  1.6042  1.6236  1.6528  1.7183  1.8074  1.8826  1.9364  1.9790  2.0057  2.0095
  2.0053  1.9957  1.9818  1.9625  1.9360  1.8505  1.7458  1.6327  1.5173
  1.6834  1.7072  1.7306  1.7635  1.8027  1.8459  1.8890  1.9267  1.9543  1.9702
  1.9744  1.9676  1.9523  1.9308  1.9042  1.8211  1.7211  1.6118  1.4991  1.3847
  1.2689
  1.7466  1.7712  1.7902  1.8055  1.8187  1.8400  1.8677  1.8950  1.9189  1.9375
  1.9453  1.9415  1.9271  1.9048  1.8778  1.7958  1.6992  1.5933  1.4833  1.3722
  1.2608  1.1490  1.0368
  1.7938  1.8156  1.8316  1.8443  1.8554  1.8649  1.8725  1.8839  1.8995  1.9114
  1.9180  1.9174  1.9062  1.8845  1.8568  1.7746  1.6801  1.5772  1.4698  1.3612
  1.2527  1.1443  1.0360  0.9276  0.8190
  1.8380  1.8555  1.8677  1.8758  1.8816  1.8858  1.8887  1.8896  1.8887  1.8903
  1.8929  1.8915  1.8847  1.8673  1.8402  1.7573  1.6638  1.5632  1.4580  1.3513
  1.2449  1.1390  1.0337  0.9285  0.8234  0.7182
  1.8866  1.8973  1.9044  1.9082  1.9088  1.9068  1.9031  1.8979  1.8904  1.8809
  1.8717  1.8638  1.8559  1.8441  1.8229  1.7431  1.6499  1.5511  1.4480  1.3428
  1.2376  1.1333  1.0301  0.9275  0.8254  0.7237  0.6221  0.5199  0.4177  0.3187
  1.9383  1.9417  1.9428  1.9417  1.9380  1.9312  1.9216  1.9101  1.8965  1.8810
  1.8641  1.8470  1.8308  1.8164  1.7982  1.7287  1.6381  1.5405  1.4392  1.3356
